Genes,U1.1_1.2,U1.2_1.2,X215.1_1.2,X215.2_1.2,X478.1_1.2,X478.2_1.2
"SAR0721,NA,multicopper_oxidase_protein",7033,7908,5560,6919,7579,6702
"SAR0722,NA,putative_transposase",215,285,204,279,370,276
"SAR0723,cadA,probable_cadmium-transporting_ATPase",11058,10870,7836,8813,7801,6824
"SAR0724,cadC,putative_cadmium_efflux_system_accessory_protein",1489,1499,1030,1215,1025,835
"SAR0725,NA,Tn554_transposase_C",553,605,544,460,670,581
"SAR0726,NA,putative_transposase",80,67,70,61,79,78
"SAR0728,NA,putative_membrane_protein",2030,2359,1950,1697,2268,1232
"SAR0729,NA,putative_acetyltransferase",254,610,200,326,316,270
"SAR0730,NA,putative_lipoprotein",4061,4717,3733,3847,5267,3430
"SAR0731,NA,hypothetical_protein",5055,12369,4765,9244,11341,10355
"SAR0732,NA,putative_acetyltransferase",1611,2685,1547,2451,3111,2805
"SAR0733,NA,conserved_hypothetical_protein",4792,5406,5672,7374,11092,10142
"SAR0734,NA,conserved_hypothetical_protein",2455,3162,2768,3653,6843,5670
"SAR0735,NA,putative_exported_protein",9806,19832,11811,17116,26917,23306
"SAR0737,NA,ABC_transporter_ATP-binding_protein",7366,7605,6691,7303,8659,7485
"SAR0738,NA,ABC_transporter_ATP-binding_protein",9768,10680,8601,9711,11106,9797
"SAR0739,NA,MarR_family_regulatory_protein",93427,103894,81760,72750,101393,84494
"SAR0740,NA,putative_cobalamin_synthesis_protein",4266,5319,4112,4538,5032,4231
"SAR0741,NA,aldo/keto_reductase_family_protein",9352,9776,8021,8780,10320,8048
"SAR0742,NA,putative_membrane_protein",1269,1706,1313,1273,1824,1712
"SAR0743,NA,putative_sodium:sulfate_symporter_protein",8164,9447,6730,8593,7411,6119
"SAR0744,NA,putative_DNA_photolyase",11280,12238,8989,11044,13034,10878
"SAR0745,NA,putative_membrane_protein",1960,2214,1533,1914,2595,2097
"SAR0746,NA,putative_membrane_protein",3195,3551,2645,3121,4171,3357
"SAR0747,NA,conserved_hypothetical_protein",3866,4097,2993,3816,4490,3436
"SAR0748,norA,fluoroquinolone_resistance_protein",6261,6903,5166,5830,6586,5977
"SAR0749,NA,putative_exported_protein",8606,6396,7365,6960,9865,7714
"SAR0750,NA,conserved_hypothetical_protein",1589,1692,1317,1353,1536,1250
"SAR0751,NA,DeoR_ramily_regulatory_protein",306,362,275,297,22156,9851
"SAR0752,NA,putative_phosphofructokinase",375,416,326,400,27678,13515
"SAR0753,fruA,PTS_transport_system,_fructose-specific_IIABC_component",1667,1593,1713,1561,101959,59862
"SAR0754,NA,putative_N-acetylglucosamine-6-phosphate_deacetylase",6743,6306,6221,5965,7419,6336
"SAR0755,NA,putative_membrane_protein",27386,24967,25118,23413,27905,20747
"SAR0756,NA,aldo/keto_reductase_family_protein",6631,9612,8287,11611,12003,12879
"SAR0757,NA,putative_glucosyl_transferase",9268,13837,11012,16746,18580,19032
"SAR0758,saeS,histidine_kinase_protein",54632,64290,39580,47330,53750,48878
"SAR0759,saeR,response_regulator_protein",37886,43415,27516,32422,36157,33074
"SAR0760,NA,putative_membrane_protein",21615,25141,15735,18726,21167,19154
"SAR0761,NA,putative_lipoprotein",36465,47201,27529,35120,35170,33706
"SAR0762,NA,putative_membrane_protein",2758,3197,2781,2559,5913,4457
"SAR0763,NA,putative_radical_activating_enzyme",2810,2422,2206,2160,8654,5880
"SAR0764,NA,putative_6-pyruvoyl_tetrahydropterin_synthase",1055,917,771,872,3673,2452
"SAR0765,NA,conserved_hypothetical_protein",1574,1001,1107,927,6548,3502
"SAR0766,NA,glutamine_amidotransferase_class-I_protein",1050,896,859,833,1186,771
"SAR0767,NA,para-aminobenzoate_synthase_component",2479,2346,2003,2138,2452,2187
"SAR0768,NA,putative_para-aminobenzoate_synthetase_component",1704,1725,1324,1446,1608,1308
"SAR0769,NA,putative_membrane_protein",1281,1127,957,1016,1140,903
"SAR0770,NA,conserved_hypothetical_protein",3260,3087,2554,2722,3253,2759
"SAR0771,NA,conserved_hypothetical_protein",4979,4778,3381,3975,5035,4302
"SAR0772,NA,putative_sulfatase",104706,103353,83777,85779,137785,120315
"SAR0773,NA,ABC_transporter_ATP-binding_protein",9519,6516,6415,6875,8818,6583
"SAR0774,NA,putative_ATP-dependent_DNA_helicase",9269,9134,6075,7939,8958,8362
"SAR0775,NA,ABC_transporter_ATP-binding_protein",5945,6632,5564,6974,8573,6951
"SAR0776,NA,ABC_transporter_permease_protein",9233,9655,9103,12049,15047,14871
"SAR0777,NA,putative_aminotransferase",12840,11568,8706,11543,4994,4021
"SAR0778,NA,conserved_hypothetical_protein",8235,7482,5349,6844,5240,4080
"SAR0779,NA,hypothetical_protein",1579,1659,1146,1350,1248,942
"SAR0780,NA,putative_diacylglycerol_kinase_protein",3777,8206,6159,9736,11885,10326
"SAR0781,NA,putative_proton-dependent_oligopeptide_transport_protein",95370,91675,62701,70880,52772,46101
"SAR0782,NA,conserved_hypothetical_protein",2652,2804,2264,2172,3609,2903
"SAR0783,NA,putative_membrane_protein",4359,3967,3327,3439,5488,3948
"SAR0785,rir1,ribonucleoside-diphosphate_reductase_alpha_chain",95570,86170,61300,72552,78406,72681
"SAR0787,sstA,FecCD_transport_family_protein",749,611,481,491,577,474
"SAR0788,sstB,FecCD_transport_family_protein",330,353,245,253,368,297
"SAR0789,sstC,ABC_transporter_ATP-binding_protein",410,417,248,267,371,347
"SAR0790,sstD,lipoprotein",1462,1732,1028,1225,1434,1404
"SAR0791,NA,hypothetical_protein",3528,3562,3095,3221,3792,3302
"SAR0792,murB,putative_UDP-N-acetylenolpyruvoylglucosamine_reductase",9832,10371,8410,8548,11734,9743
"SAR0793,NA,hypothetical_protein",2324,2488,2141,1911,2047,1317
"SAR0794,NA,putative_lipoprotein",5781,6027,5271,5098,6278,4616
"SAR0795,NA,conserved_hypothetical_protein",6517,6409,5036,4895,8402,5451
"SAR0796,NA,putative_glycerate_kinase",7393,7241,6450,6765,9761,8236
"SAR0797,pepT,putative_peptidase_T",14873,16727,13128,14520,16014,13330
"SAR0798,NA,putative_membrane_protein",2161,2347,1943,2058,2568,2197
"SAR0799,NA,putative_membrane_protein",3037,3233,2674,2829,3547,2619
"SAR0800,NA,putative_membrane_protein",7299,7672,6787,6658,10553,8879
"SAR0801,NA,putative_glycosyl_transferase",5184,4891,4455,4546,6927,5562
"SAR0802,NA,putative_membrane_protein",2930,3057,2837,2665,3710,2246
"SAR0803,NA,conserved_hypothetical_protein",13190,11466,10922,9620,14933,11159
"SAR0804,NA,putative_helicase",267,191,214,168,267,178
"SAR0805,NA,conserved_hypothetical_protein",112,85,90,95,105,106
"SAR0806,NA,putative_S30EA_family_ribosomal_protein",86004,134626,90803,113179,55555,60518
"SAR0807,secA,preprotein_translocase_SecA_subunit",45800,42587,38324,37113,58116,50755
"SAR0808,prfB,peptide_chain_release_factor_2",11824,10705,8467,9054,10353,7717
"SAR0809,NA,putative_exported_protein",9245,9169,6128,7500,7481,6201
"SAR0810,NA,putative_phosphohydrolase",5417,4759,4546,4135,3281,1748
"SAR0811,NA,putative_membrane_protein",1829,1540,1461,1446,1195,752
"SAR0812,uvrB,excinuclease_ABC_subunit_B",10002,9934,8363,9558,12107,10299
"SAR0813,uvrA,excinuclease_ABC_subunit_A",16471,16953,16744,18283,26237,23980
"SAR0814,hprK,HPr_kinase/phosphatase",9887,9333,8532,8664,10838,8734
"SAR0815,lgt,prolipoprotein_diacylglyceryl_transferase",4978,5068,4440,4474,5438,4583
"SAR0816,NA,putative_acetyltransferase",3517,3550,3121,3315,3831,3220
"SAR0817,NA,conserved_hypothetical_protein",8333,8108,7491,7258,10072,8714
"SAR0818,trxB,putative_thioredoxin_reductase",35679,32146,29186,29848,30288,26355
"SAR0820,NA,conserved_hypothetical_protein",6057,7188,5670,6724,7775,7036
"SAR0821,NA,conserved_hypothetical_protein",9763,14271,11146,16621,21140,20723
"SAR0822,NA,conserved_hypothetical_protein",9476,11610,11802,16139,23410,21768
"SAR0823,clpP,putative_ATP-dependent_Clp_protease_proteolytic_subunit",38259,46041,35872,37941,40245,35974
"SAR0824,NA,putative_malolactic_enzyme",2025,3906,4056,6124,9039,8507
"SAR0825,NA,conserved_hypothetical_protein",1215,2098,1276,2354,3473,3246
"SAR0826,NA,putative_exported_protein",7514,9019,6287,8555,10933,8692
"SAR0827,gapR,glycolytic_operon_regulator",90369,163283,112031,128671,176766,137958
"SAR0828,gap1,glyceraldehyde_3-phosphate_dehydrogenase_1",356768,404168,443506,382596,641891,480295
"SAR0829,pgk,phosphoglycerate_kinase",120290,124622,144252,131321,230259,173222
"SAR0830,tpiA,triosephosphate_isomerase",109064,105351,121812,113744,201406,153629
"SAR0831,pgm,putative_2,3-bisphosphoglycerate-independent_phosphoglycerate_mutase",190298,185115,216521,202736,356153,275555
"SAR0832,eno,putative_enolase",299994,326731,324324,323895,458191,378935
"SAR0833,NA,putative_membrane_protein",5522,6145,4806,4946,5586,4018
"SAR0834,secG,putative_protein-export_membrane_protein",9728,8860,7549,6796,10691,6832
"SAR0835,est,putative_carboxylesterase",7172,7409,5408,6629,8902,7404
"SAR0836,rnr,putative_ribonuclease_R",31137,32794,26973,35204,46074,43693
"SAR0837,smpB,putative_tmRNA-binding_protein",5459,6124,5358,7223,8318,8107
"SAR0838,NA,putative_membrane_protein",358,415,329,271,479,442
"SAR0839,NA,putative_lipoprotein",18343,20208,16887,15477,16431,13597
"SAR0840,NA,putative_membrane_protein",342,501,277,503,610,589
"SAR0841,NA,putative_acetyltransferase",854,909,758,1061,1506,1327
"SAR0842,clfA,clumping_factor",29986,40972,42386,66776,111318,102905
"SAR0843,NA,putative_exported_protein_pseudogene",473,481,598,737,1232,1144
"SAR0845,NA,putative_exported_protein",478,448,398,381,534,370
"SAR0846,NA,putative_exported_protein",208,229,183,139,265,183
"SAR0847,nuc,thermonuclease_precursor",37698,31397,26265,19848,19942,15815
"SAR0848,cspC,putative_cold_shock_protein",38239,37768,32274,33786,38417,21555
"SAR0849,NA,hypothetical_protein",731,1443,685,1096,2074,1951
"SAR0850,NA,hypothetical_protein",857,1938,743,1341,2162,2037
"SAR0851,NA,putative_exported_protein",910,647,649,540,899,626
"SAR0852,NA,putative_membrane_protein",2045,3009,2052,2169,1940,1819
"SAR0853,NA,putative_membrane_protein",1747,2171,1713,1728,1638,1309
"SAR0854,NA,hypothetical_protein",5803,11196,6237,9774,12846,12413
"SAR0855,NA,hypothetical_protein",2926,9414,3616,7262,8604,9068
"SAR0856,NA,phosphoglycerate_mutase_family_protein",4182,3160,3665,2785,5181,3645
"SAR0857,NA,putative_LysE_type_translocator_protein",9415,8264,7045,7515,3901,2790
"SAR0858,NA,hypothetical_protein",25320,34433,24589,25836,24416,16835
"SAR0859,NA,OsmC-like_protein",2142,4692,3056,5244,3652,3448
"SAR0860,NA,putative_type_I_3-dehydroquinase",2535,2247,2019,2218,2394,1915
"SAR0861,NA,nitroreductase_family_protein",2859,2571,2368,2276,3010,2112
"SAR0862,NA,putative_thioredoxin",7641,9043,7377,7882,7956,6583
"SAR0863,NA,conserved_hypothetical_protein",7248,8321,6283,6970,6668,6041
"SAR0864,gcvH,glycine_cleavage_system_H_protein",33822,42784,27483,31819,33921,31316
"SAR0865,NA,conserved_hypothetical_protein",3214,3424,2458,3124,3816,3463
"SAR0867,NA,hypothetical_protein",1255,1888,1073,1493,1797,1575
"SAR0868,NA,putative_thioredoxin",1049,1547,931,1296,1760,1628
"SAR0870,NA,ABC_transporter_ATP-binding_protein",14619,11523,8070,10874,3682,2530
"SAR0871,NA,ABC_transporter_permease_protein",7274,6043,3376,5167,1870,1612
"SAR0872,NA,putative_lipoprotein",14725,13700,6208,9997,3668,3551
"SAR0874,NA,conserved_hypothetical_protein",35098,80836,53164,97653,119141,131965
"SAR0875,NA,putative_membrane_protein",2794,3184,2393,2899,4779,3914
"SAR0876,NA,ABC_transporter_ATP-binding_protein",16286,18842,14511,17925,25243,21316
"SAR0877,NA,conserved_hypothetical_protein",23309,25458,22711,27908,40896,37253
"SAR0878,csdB,putative_selenocysteine_lyase",19404,21560,20456,25347,34722,31900
"SAR0879,NA,NifU-like_protein",6924,7436,7938,9513,12095,11741
"SAR0880,NA,conserved_hypothetical_protein",34387,40637,35008,45284,42656,42948
"SAR0881,NA,putative_membrane_protein",537,615,482,435,695,518
"SAR0882,NA,putative_membrane_protein",3460,4707,3153,4188,5641,4293
"SAR0883,NA,putative_dioxygenase",3365,3567,3143,4229,6434,5460
"SAR0884,NA,conserved_hypothetical_protein",3983,3892,3550,3725,5685,4908
"SAR0885,NA,putative_membrane_protein",2517,2721,2517,2602,3751,3558
"SAR0886,NA,putative_5-nucleotidase",5286,5657,4972,5568,7155,6551
"SAR0887,lipA,putative_lipoic_acid_synthetase",28599,28141,22144,24089,31078,25408
"SAR0888,NA,conserved_hypothetical_protein",3636,3644,3010,2936,4219,3928
"SAR0889,NA,conserved_hypothetical_protein",1688,1409,1082,1027,1353,904
"SAR0890,NA,conserved_hypothetical_protein",4860,5456,4272,4424,5480,4697
"SAR0891,NA,haloacid_dehalogenase-like_hydrolase",8024,8507,6928,7291,8898,7601
"SAR0892,NA,D-isomer_specific_2-hydroxyacid_dehydrogenase",9904,10402,8721,8592,11010,9223
"SAR0893,NA,putative_membrane_protein",2759,2041,1814,1692,2685,1928
"SAR0894,dltA,D-alanine-D-alanyl_carrier_protein_ligase",44969,36374,27168,31359,41282,33170
"SAR0895,dltB,putative_activated_D-alanine_transport_protein",32296,33469,20319,24488,29137,25202
"SAR0896,dltC,D-alanyl_carrier_protein",5282,5953,3463,4076,5029,4461
"SAR0897,dltD,putative_lipoteichoic_acid_biosynthesis_protein",44824,47591,26837,32805,41270,33646
"SAR0898,NA,conserved_hypothetical_protein",13806,14470,11401,11124,13791,11068
"SAR0899,NA,conserved_hypothetical_protein",1030,1370,979,1019,1669,1342
"SAR0900,NA,putative_pyridine_nucleotide-disulphide_oxidoreductase",15519,17461,13081,14839,16834,13383
"SAR0901,NA,conserved_hypothetical_protein",3288,3186,2746,2894,2596,1892
"SAR0902,NA,conserved_hypothetical_protein",4256,4973,3786,4127,3786,3077
"SAR0903,NA,putative_pyridine_nucleotide-disulphide_oxidoreductase",76805,91035,72449,86972,134952,119114
"SAR0904,pepA,cytosol_aminopeptidase_family_protein",10986,11782,9778,10207,9879,8802
"SAR0905,NA,putative_transporter_protein",1173,972,1352,1179,946,747
"SAR0906,NA,conserved_hypothetical_protein",2315,2558,2078,2105,2131,1725
"SAR0907,NA,hypothetical_protein",486,501,361,385,414,363
"SAR0908,mnhG,Na+/H+_antiporter_subunit",5123,6236,4426,4792,5496,4692
"SAR0909,mnhF,Na+/H+_antiporter_subunit",2320,2911,2035,2336,2456,2157
"SAR0910,mnhE,Na+/H+_antiporter_subunit",7357,8470,5893,6749,7043,6431
"SAR0911,mnhD,Na+/H+_antiporter_subunit",23018,25407,18162,20908,21139,18860
"SAR0912,mnhC,Na+/H+_antiporter_subunit",4302,4703,3439,3991,4022,3659
"SAR0913,mnhB,Na+/H+_antiporter_subunit",4567,5213,3878,4426,4594,3973
"SAR0914,mnhA,Na+/H+_antiporter_subunit",38871,42290,32924,38069,39267,34038
"SAR0915,NA,conserved_hypothetical_protein",2582,2922,2177,2420,2410,2005
"SAR0916,NA,putative_cyclophilin_type_peptidyl-prolyl_cis-trans_isomerase",21648,23984,20184,19182,26999,22738
"SAR0917,NA,putative_S1_RNA_binding_domain",15062,19823,13459,14826,16920,14366
"SAR0918,NA,NADH:flavin_oxidoreductase_/_NADH_oxidase_family_protein",7348,6394,5936,6278,5457,4306
"SAR0919,rocD,ornithine_aminotransferase",5306,7639,4177,5915,7098,7690
"SAR0920,NA,putative_NAD-specific_glutamate_dehydrogenase",14616,18314,14552,16061,22040,19569
"SAR0921,glpQ,putative_glycerophosphoryl_diester_phosphodiesterase",1768,2718,2093,1967,2842,2812
"SAR0922,argH,putative_argininosuccinate_lyase",2556,2410,3051,2838,4466,2897
"SAR0923,argG,putative_argininosuccinate_synthase",1810,1742,2259,1967,3168,2000
"SAR0925,NA,putative_membrane_protein",7762,6433,4500,4676,4554,3786
"SAR0926,spsA,putative_signal_peptidase_Ia",5579,5162,3633,3750,4625,3719
"SAR0927,spsB,signal_peptidase_Ib",9155,8486,5788,6297,7602,6752
"SAR0928,NA,conserved_hypothetical_protein",14800,15347,12216,13598,12748,10798
"SAR0929,NA,conserved_hypothetical_protein",19589,20357,13837,16707,15820,13123
"SAR0930,NA,fumarylacetoacetate_FAA_hydrolase_family_protein",45272,50694,37622,47048,48295,40153
"SAR0931,NA,putative_membrane_protein",1595,2354,1544,2185,3723,3366
"SAR0932,NA,putative_transposase",308,294,233,227,334,223
"SAR0933,NA,coenzyme_A_disulfide_reductase",18285,18940,14910,16901,17776,16108
"SAR0934,NA,putative_haloacid_dehalogenase-like_hydrolase",4225,4273,4011,4150,5875,4534
"SAR0935,NA,conserved_hypothetical_protein",14699,14430,10716,11524,11536,9323
"SAR0936,NA,hypothetical_protein",2376,3336,2313,2342,2348,2205
"SAR0937,NA,putative_membrane_protein",747,701,634,633,752,554
"SAR0938,clpB,putative_ATPase_subunit_of_an_ATP-dependent_protease",5607,6677,5888,6874,8699,7809
"SAR0939,NA,LysR_family_regulatory_protein",880,612,700,489,735,338
"SAR0940,NA,hypothetical_protein",65,79,58,57,78,49
"SAR0941,NA,hypothetical_protein",126,136,99,96,117,74
"SAR0942,NA,putative_membrane_protein",412,430,416,330,428,263
"SAR0943,NA,conserved_hypothetical_protein",1064,979,777,765,855,773
"SAR0944,NA,putative_exported_protein",20344,19434,18452,15740,17958,14645
"SAR0945,NA,putative_membrane_protein",14967,17113,12298,12704,14201,11094
"SAR0946,fabH,putative_3-oxoacyl-[acyl-carrier-protein]_synthase_III",10214,8772,8167,6970,15131,10424
"SAR0947,fabF,3-oxoacyl-[acyl-carrier-protein]_synthase_II",25031,24712,19909,19029,27960,23048
"SAR0948,NA,putative_membrane_protein",972,949,725,753,576,381
"SAR0949,oppB,putative_oligopeptide_transport_system_permease_protein",20350,14821,12399,15583,4583,3466
"SAR0950,oppC,putative_oligopeptide_transport_system_permease_protein",23346,16832,11075,15850,5774,4625
"SAR0951,oppD,putative_oligopeptide_transport_ATP-binding_protein",28818,20472,9237,16027,6572,6073
"SAR0952,oppF,putative_oligopeptide_transport_ATP-binding_protein",31470,23564,8845,15803,6011,6210
"SAR0953,NA,transport_system_extracellular_binding_lipoprotein",68357,53378,17913,28520,10078,11077
"SAR0954,NA,transport_system_extracellular_binding_lipoprotein_pseudogene",744,697,578,673,734,518
"SAR0957,appD,putative_oligopeptide_transport_ATP-binding_protein",161,166,129,150,167,134
"SAR0958,appF,putative_oligopeptide_transport_ATP-binding_protein",283,204,227,201,320,213
"SAR0959,NA,putative_oligopeptide_transport_system_permease_protein_pseudogene",672,673,693,553,766,372
"SAR0960,appC,putative_oligopeptide_transport_system_permease_protein",398,388,338,323,436,353
"SAR0961,NA,putative_transposase",5,10,4,4,6,6
"SAR0962,NA,putative_insertion_element_protein",7,3,6,5,4,2
"SAR0963,NA,putative_transposase",3545,3430,3166,2891,3837,2733
"SAR0964,trpS,putative_tryptophanyl-tRNA_synthetase",14862,13228,12948,11054,17640,13767
"SAR0966,NA,regulatory_protein",21919,23943,20432,21596,19811,17021
"SAR0967,NA,hypothetical_protein",143,122,92,96,116,82
"SAR0968,pepB,putative_oligopeptidase",54817,56924,45701,50189,38765,33908
"SAR0969,NA,conserved_hypothetical_protein",7575,9284,7612,8425,10415,8187
"SAR0970,NA,protozoan/cyanobacterial_globin_family_protein",6890,8085,7005,7754,8680,5759
"SAR0971,NA,conserved_hypothetical_protein",3551,5174,3647,4168,4640,4060
"SAR0972,NA,conserved_hypothetical_protein",3045,2880,2709,2728,3593,2667
"SAR0973,NA,conserved_hypothetical_protein",6353,6005,5307,5851,7249,5923
"SAR0975,NA,putative_RNA_pseudouridylate_synthase",3125,2874,2463,2681,3081,2388
"SAR0976,NA,putative_divalent_cation_transport_protein",5848,5755,4250,4884,5865,5059
"SAR0977,NA,putative_cation_transport_protein",9025,9876,7429,8172,9546,8755
"SAR0978,fabI,enoyl-[acyl-carrier-protein]_reductase_[NADH]",21680,23284,18150,19373,27180,23792
"SAR0979,NA,putative_membrane_protein",21973,22921,18784,18279,21519,18386
"SAR0980,NA,sodium:alanine_symporter_family_protein",5749,4946,3579,5691,2669,2230
"SAR0981,NA,conserved_hypothetical_protein",2906,2884,2351,2331,2606,2123
"SAR0982,NA,hypothetical_protein",1523,1654,1225,1244,1418,1222
"SAR0983,NA,hypothetical_protein",2457,2510,1912,1952,2169,1786
"SAR0984,NA,transposase_fragment",166,300,209,163,238,238
"SAR0985,NA,conserved_hypothetical_protein",30095,46660,26502,35238,41977,41319
"SAR0986,NA,putative_membrane_protein",8641,10000,8235,8983,12894,11547
"SAR0987,NA,conserved_hypothetical_protein",12836,13202,11388,12847,17756,13974
"SAR0988,murE,UDP-N-acetylmuramoylalanyl-D-glutamate--2,6-dia_minopimelate_ligase",12592,10153,9541,9527,14512,11162
"SAR0989,NA,hypothetical_protein",1625,1489,1150,1242,1740,1582
"SAR0990,prfC,peptide_chain_release_factor_3",17171,17188,13304,13645,16848,15514
"SAR0991,NA,putative_membrane_protein",4593,4738,3554,3623,7426,6254
"SAR0992,NA,putative_protease",11593,10313,9789,9427,14459,10913
"SAR0993,NA,putative_sodium_transport_protein",14092,15123,11620,12624,13144,11523
"SAR0994,NA,putative_5-nucleotidase",7860,7749,7423,7306,8370,6621
"SAR0995,NA,putative_regulatory_protein",888,601,626,440,539,259
"SAR0996,NA,conserved_hypothetical_protein",24963,29834,24955,32556,2733,5207
"SAR0997,NA,putative_lipoate-protein_ligase_A",8020,9427,8294,8573,9311,8585
"SAR0998,NA,hypothetical_protein",5169,4799,4131,3618,7597,5597
"SAR0999,NA,putative_membrane_protein",10502,11680,9060,8989,15845,14380
"SAR1000,NA,hypothetical_protein",687,759,589,557,777,568
"SAR1001,NA,putative_exported_protein",372,239,363,342,128,84
"SAR1002,NA,putative_membrane_protein",709,642,697,885,358,295
"SAR1003,NA,putative_exported_protein",115,127,66,135,81,66
"SAR1004,NA,ABC_transporter_ATP-binding_protein",325,299,183,285,297,204
"SAR1005,NA,putative_membrane_protein",1608,1986,1489,1379,1650,1076
"SAR1006,NA,hypothetical_protein",7,11,7,4,11,7
"SAR1007,NA,hypothetical_protein",1104,1095,1118,867,1318,702
"SAR1008,NA,putative_glycosyl_transferases_pseudogene",13362,12564,12722,11329,14573,11672
"SAR1010,NA,putative_membrane_protein",17453,14968,9733,9449,10279,6886
"SAR1011,NA,transport_system_extracellular_binding_lipoprotein",564,550,443,459,543,495
"SAR1012,NA,hypothetical_protein",596,1295,611,979,1276,1238
"SAR1013,NA,putative_membrane_protein",1925,2416,1771,1822,2073,1872
"SAR1014,NA,acetyltransferase_GNAT_family_protein",3574,3869,3141,3616,4919,2801
"SAR1015,NA,UbiA_prenyltransferase_family_protein",12752,11265,10498,9961,18967,13601
"SAR1016,NA,putative_chorismate_binding_enzyme",5931,6421,5122,5767,9404,8120
"SAR1017,NA,putative_menaquinone_biosynthesis_bifunctional_protein",10327,12556,9476,11422,15186,15021
"SAR1018,NA,putative_hydrolase",4226,5118,4170,4874,6140,5871
"SAR1019,menB,putative_naphthoate_synthase",28470,31906,24508,26593,33041,28720
"SAR1020,sspC,hypothetical_protein",486,556,406,441,695,571
"SAR1021,sspB,cysteine_protease_precursor",1913,1892,1577,1746,2508,2051
"SAR1022,sspA,glutamyl_endopeptidase_precursor",1614,1245,1157,1209,2014,1475
"SAR1023,NA,putative_aminotransferase",12198,9619,9003,9685,6165,4260
"SAR1024,NA,putative_membrane_protein_pseudogene",1783,1490,1660,1345,2645,2090
"SAR1025,NA,MarR_family_regulatory_protein",2926,2928,2124,2208,1990,1312
"SAR1026,atl,bifunctional_autolysin_precursor",82002,77451,53477,70956,69804,65550
"SAR1027,NA,acetyltransferase_GNAT_family_protein",939,917,548,799,708,578
"SAR1028,NA,conserved_hypothetical_protein",13007,12937,9649,10556,11370,10203
"SAR1029,NA,putative_exported_protein",28597,23252,21760,22049,29130,23860
"SAR1030,fmt,autolysis_and_methicillin_resistant-related_protein",25570,20787,17548,15852,20110,15500
"SAR1031,qoxD,putative_quinol_oxidase_polypeptide_IV",98330,98173,87212,88536,101729,79773
"SAR1032,qoxC,putative_quinol_oxidase_polypeptide_III",157630,149206,134298,138943,154865,123741
"SAR1033,qoxB,putative_quinol_oxidase_polypeptide_I",566986,566887,498773,508762,594961,480080
"SAR1034,qoxA,putative_quinol_oxidase_polypeptide_II_precursor",356302,371857,311995,327625,379031,305705
"SAR1035,NA,putative_exported_protein",54755,55349,37425,38736,33277,27383
"SAR1037,folD,FolD_bifunctional_protein_[includes:_methylenetetrahydrofolate_dehydrogenase/methenyltetrahydrofolate_cyclohydrolase]",14568,21761,13352,18770,26986,25052
"SAR1038,purE,putative_phosphoribosylaminoimidazole_carboxylase_catalytic_subunit",2796,3120,2551,2463,13222,10554
"SAR1039,purK,putative_phosphoribosylaminoimidazole_carboxylase_ATPase_subunit",5353,6329,5427,4752,23008,21637
"SAR1040,purC,putative_phosphoribosylaminoimidazole-succinocarboxamide_synthase",1929,2995,2355,2086,7048,7211
"SAR1041,NA,conserved_hypothetical_protein",998,1759,1240,1321,3951,3751
"SAR1042,purQ,putative_phosphoribosylformylglycinamidine_synthase_I",2490,4188,2818,3188,9992,9324
"SAR1043,purL,putative_phosphoribosylformylglycinamidine_synthase_II",13862,22398,12205,17953,64030,53047
"SAR1044,purF,putative_amidophosphoribosyltransferase_precursor",15890,25023,13152,22469,75369,65137
"SAR1045,purM,putative_phosphoribosylformylglycinamidine_cyclo-ligase",12645,18679,10781,18517,55337,48926
"SAR1046,purN,putative_phosphoribosylglycinamide_formyltransferase",6982,10198,6054,10872,28082,26309
"SAR1047,purH,putative_bifunctional_purine_biosynthesis_protein_[includes:_phosphoribosylaminoimidazolecarboxamide_formyltransferase_and_IMP_cyclohydrolase]",20851,31022,19008,34567,79374,71798
"SAR1048,purD,putative_phosphoribosylamine--glycine_ligase",28658,41677,23960,45986,92873,80684
"SAR1049,NA,putative_cobalt_transport_protein",1521,1689,981,1158,1071,1013
"SAR1050,NA,ABC_transporter_ATP-binding_protein",5415,5212,3270,4008,3527,2959
"SAR1051,NA,putative_membrane_protein",2148,1998,1349,1566,1275,1031
"SAR1052,NA,hypothetical_protein",2405,6620,3510,7153,9286,10291
"SAR1053,NA,putative_membrane_protein",27978,42808,30503,37986,41384,44134
"SAR1054,NA,conserved_hypothetical_protein",4610,4927,4096,4155,4321,3545
"SAR1055,NA,hypothetical_protein",4501,7763,5261,8705,11374,10810
"SAR1056,ptsH,histidine-containing_phosphocarrier_protein_HPr",50299,59123,47437,53482,58229,52794
"SAR1057,ptsI,phosphoenolpyruvate-protein_phosphotransferase",223286,274084,226285,251512,291701,267245
"SAR1058,NA,putative_glutaredoxin",1160,1174,853,747,944,638
"SAR1059,NA,putative_cytochrome_ubiquinol_oxidase",5914,5303,4156,4838,10051,8900
"SAR1060,NA,putative_membrane_protein",4468,5511,2981,4147,6370,6808
"SAR1061,NA,putative_potassium_transport_protein",5169,5479,3666,4704,5695,5089
"SAR1063,NA,conserved_hypothetical_protein",67420,71982,61087,62312,89194,77511
"SAR1064,NA,conserved_hypothetical_protein",8371,9340,7475,8067,12143,9864
"SAR1066,NA,putative_lipoprotein",14291,15315,12767,13097,14848,10506
"SAR1067,pdhA,putative_pyruvate_dehydrogenase_E1_component,_alpha_subunit",93375,113419,76097,105923,149431,137409
