Synonym,Raw.Counts.PAK.Replicate.1,Raw.Counts.PAK.Replicate.2,Raw.Counts.PAK.Replicate.3,Raw.Counts.PilA.Replicate.1,Raw.Counts.PilA.Replicate.2,Raw.Counts.PilA.Replicate.3,Raw.Counts.PilR.Replicate.1,Raw.Counts.PilR.Replicate.2,Raw.Counts.PilR.Replicate.3
PA1479,2,2,1,1,3,6,3,0,2
predicted RNA,82,77,49,41,59,39,60,43,40
PA1480,1,12,9,13,2,15,6,9,2
predicted RNA,11,5,4,3,7,2,3,5,3
predicted RNA,37,21,14,8,17,10,17,9,8
predicted RNA,65,52,39,41,45,39,46,41,40
PA1481,0,2,0,0,0,2,0,1,2
PA1482,1,2,0,2,0,1,0,0,0
predicted RNA,23,21,7,12,15,16,21,7,13
PA1483,1,3,5,4,3,4,10,4,0
PA1483a,5,16,10,14,12,11,17,13,14
predicted RNA,9,9,4,4,5,3,7,5,4
PA1484,33,39,32,40,32,40,41,26,19
PA1485,2,11,6,1,3,11,13,14,4
PA1486,3,7,5,7,2,4,10,9,4
PA1487,8,22,14,16,15,15,23,29,12
PA1488,3,14,11,11,6,8,18,15,6
PA1489,5,10,14,9,3,4,8,11,8
PA1490,3,0,1,1,0,1,3,5,0
PA1491,31,78,50,65,43,68,75,70,57
PA1492,1,8,4,5,5,1,2,3,3
predicted RNA,962,806,668,561,647,539,738,513,677
PA1493,5,11,3,6,2,1,11,4,6
PA1494,5,9,7,4,5,5,18,9,6
PA1495,2,1,3,0,0,1,0,1,0
PA1496,14,25,30,21,12,31,32,39,16
PA1497,6,9,3,10,6,6,16,15,14
PA1498,4,11,6,12,5,17,12,12,12
PA1499,1,12,2,8,1,9,5,8,5
PA1500,5,2,4,4,0,4,2,2,3
PA1501,19,62,55,62,40,53,69,79,39
PA1502,7,14,17,17,7,20,23,19,10
PA1503,0,0,0,0,0,1,2,1,0
PA1504,5,19,11,9,4,8,9,21,9
PA1505,7,5,11,14,12,8,10,14,12
predicted RNA,336,454,357,307,273,317,460,476,341
PA1506,0,0,0,0,0,0,1,0,0
PA1507,16,20,20,14,12,24,18,20,14
PA1508,0,1,0,0,0,0,0,0,1
PA1509,2,4,3,4,7,10,9,8,6
PA1510,3,13,10,18,5,9,9,17,7
PA1511,8,12,7,3,5,10,18,7,11
PA1512,22,32,34,31,16,24,29,36,22
predicted RNA,47,38,25,126,122,100,16,13,13
PA1513,33,75,54,46,42,48,63,82,50
predicted RNA,25,61,55,38,39,48,67,70,57
PA1514,3,11,8,11,3,10,10,22,10
PA1515,6,18,8,20,14,10,16,15,7
PA1516,3,4,2,12,4,7,4,7,3
PA1517,8,9,8,9,9,13,14,14,7
predicted RNA,3,6,9,5,5,5,8,6,4
PA1518,1,4,1,0,1,2,2,0,1
predicted RNA,84,147,137,83,77,112,136,137,93
PA1519,4,11,5,8,4,7,10,12,10
PA1520,7,14,7,15,3,14,7,13,4
predicted RNA,71,138,99,64,73,73,133,103,94
predicted RNA,43,30,33,37,31,28,43,46,42
PA1521,8,19,17,17,7,13,13,17,15
PA1522,5,19,22,16,10,29,15,34,26
PA1523,13,21,33,20,21,29,41,33,43
PA1524,2,6,8,8,5,12,15,14,13
PA1525,29,75,52,64,31,53,40,75,64
predicted RNA,73,172,118,109,72,114,97,121,110
PA1526,0,2,5,4,2,1,3,4,3
predicted RNA,3,6,3,2,4,3,5,4,2
predicted RNA,91,109,97,73,64,81,124,81,85
PA1527,3,16,19,10,4,18,14,24,8
predicted RNA,635,787,699,585,537,596,630,717,646
PA1528,3,9,5,5,0,5,12,4,2
PA1529,7,11,6,8,14,9,12,8,4
PA1530,4,21,6,8,4,13,10,25,13
PA1530.1,18,34,29,22,10,28,31,27,32
PA1531,3,7,10,11,4,6,11,11,8
PA1532,10,16,13,17,9,17,22,35,17
predicted RNA,55,108,84,64,65,69,70,65,76
predicted RNA,244,315,294,270,229,239,302,305,235
PA1533,0,0,4,0,1,0,3,1,4
PA1534,1,3,1,4,0,4,6,3,0
PA1535,3,14,9,17,8,13,8,13,5
PA1536,12,19,15,15,6,10,18,8,10
PA1537,3,6,9,2,5,8,5,12,6
PA1538,5,12,7,12,5,13,16,12,2
PA1539,2,5,4,4,3,3,1,6,9
PA1540,7,23,12,20,5,22,13,15,12
PA1541,2,5,6,5,6,9,11,12,9
PA1542,3,8,9,6,3,8,12,8,7
PA1543,7,8,7,12,6,16,12,8,10
predicted RNA,1530,1423,1235,861,1013,779,1407,1081,1007
PA1544,5,11,10,5,6,12,8,10,8
PA1545,19,15,20,10,13,9,17,9,13
PA1546,86,153,115,166,115,150,68,66,75
predicted RNA,1398,1222,661,661,757,572,840,340,545
PA1547,8,14,9,10,3,13,11,14,4
PA1548,0,1,1,1,0,3,0,1,2
PA1549,10,17,18,23,8,26,24,16,25
predicted RNA,1611,1829,1294,1027,1115,1047,1300,912,1012
PA1550,4,2,5,4,4,3,4,5,6
PA1551,8,22,18,14,8,17,13,14,16
predicted RNA,1412,1353,1010,850,1000,841,1244,843,1032
PA1552,25,29,19,25,18,27,35,28,19
PA1552.1,0,1,1,1,1,0,4,3,0
PA1553,2,5,5,3,1,3,3,2,4
PA1554,19,32,27,30,8,30,25,39,28
predicted RNA,969,999,750,630,755,583,937,627,692
PA1555,21,46,52,30,22,35,43,52,37
predicted RNA,7511,6806,3505,3549,4209,3428,4109,2041,2898
PA1555.1,7,15,18,11,5,17,18,14,12
PA1556,7,12,8,13,4,8,9,12,3
PA1557,15,32,27,28,11,47,28,40,30
PA1558,1,2,0,1,1,2,0,7,1
PA1561,6,13,6,8,3,8,8,5,12
predicted RNA,110,102,65,92,60,56,43,32,40
predicted RNA,2388,3816,2393,2979,2462,2927,3907,2918,2449
PA1562,22,28,28,20,18,17,57,28,23
PA1563,5,7,2,6,3,4,5,7,6
PA1564,3,10,8,10,8,8,7,9,3
PA1565,15,31,24,33,16,43,30,25,33
PA1566,6,10,5,15,11,17,22,22,10
PA1567,21,35,26,37,19,34,37,42,21
PA1568,3,2,2,1,0,0,4,4,0
PA1569,4,11,3,6,5,8,11,7,4
PA1570,4,1,3,2,1,5,2,2,4
predicted RNA,372,500,445,419,367,346,589,480,376
PA1571,0,1,2,3,1,1,4,2,3
PA1572,3,0,1,1,1,0,1,0,0
PA1573,7,8,5,8,5,5,5,5,9
PA1574,6,7,5,5,6,7,11,12,10
predicted RNA,118,153,134,126,105,102,145,123,117
PA1575,4,6,3,1,6,5,3,6,5
predicted RNA,38,80,58,48,28,49,45,50,58
PA1576,1,3,1,1,1,5,0,5,3
PA1577,35,55,23,26,25,38,39,40,31
PA1578,3,8,1,4,8,2,2,1,5
PA1578a,1,3,2,4,1,2,1,1,1
predicted RNA,1134,1063,808,711,769,602,937,742,738
PA1579,6,8,2,3,2,0,14,4,3
predicted RNA,2045,2284,2116,1379,1587,1596,2168,2110,1886
PA1580,31,46,34,38,22,45,49,59,34
predicted RNA,11744,12750,8695,7943,8877,8333,10701,8469,8471
PA1581,14,19,20,11,10,14,16,18,11
PA1582,15,26,35,20,23,35,24,32,32
PA1583,26,53,36,54,28,64,79,61,49
PA1584,26,23,24,41,26,34,40,38,33
PA1585,18,50,41,24,30,42,58,53,41
PA1586,21,28,37,28,20,34,43,38,15
PA1587,14,23,18,12,15,17,19,20,13
PA1588,11,19,24,26,16,22,19,25,23
PA1589,8,23,17,13,13,11,11,19,27
predicted RNA,45,58,58,43,44,39,56,43,33
PA1590,4,13,9,9,3,8,15,15,16
predicted RNA,3,2,2,2,2,3,2,3,2
PA1591,7,12,8,11,5,12,8,6,8
predicted RNA,1893,2773,2243,2961,2362,2440,2964,2200,1976
PA1592,15,22,18,6,10,4,19,11,12
PA1593,0,2,3,3,2,1,2,1,2
PA1594,1,6,0,4,2,1,2,6,5
PA1595,0,9,8,10,3,11,17,9,6
PA1596,28,66,56,45,40,49,53,56,60
predicted RNA,118,125,95,129,118,157,106,158,99
predicted RNA,365,364,295,315,270,477,284,372,274
PA1597,8,11,4,7,8,6,5,7,7
PA1598,22,22,16,37,21,21,22,25,14
PA1599,4,4,4,4,4,1,7,3,0
PA1600,7,13,7,8,7,11,9,22,17
PA1601,3,8,9,4,4,6,0,6,9
PA1602,2,1,3,0,2,0,0,0,0
PA1603,0,1,1,1,0,2,1,3,0
PA1604,10,31,13,25,21,13,17,19,14
predicted RNA,63,58,30,34,34,28,47,39,31
PA1605,17,21,20,19,16,23,17,21,17
PA1606,0,0,1,2,0,0,0,1,1
PA1607,0,2,1,6,0,1,5,2,0
PA1608,5,16,13,3,6,11,15,16,11
PA1609,17,27,23,29,16,32,41,34,13
predicted RNA,1104,1195,877,697,806,756,1148,851,883
PA1610,7,9,6,7,3,5,9,6,6
PA1611,14,40,24,24,16,22,29,33,17
PA1612,0,3,4,3,5,1,7,5,3
PA1613,44,118,94,110,56,100,130,98,96
PA1614,2,6,3,0,3,2,6,2,2
PA1615,0,0,0,0,0,0,0,0,0
PA1616,0,1,1,3,4,2,1,1,1
predicted RNA,1353,775,736,566,768,561,695,462,653
PA1617,28,32,25,26,22,17,45,29,17
PA1618,2,2,9,4,6,3,5,6,8
PA1619,2,4,3,3,1,5,4,1,2
predicted RNA,246,244,192,131,159,79,188,89,135
PA1620,2,5,5,2,3,5,5,6,2
PA1621,15,31,19,10,13,19,30,16,21
predicted RNA,26,37,36,26,21,26,30,20,26
PA1622,0,2,1,2,1,1,3,4,0
predicted RNA,374,463,394,366,339,389,507,446,391
PA1623,4,6,3,4,1,2,8,7,9
PA1624,1,4,4,1,2,2,5,2,1
predicted RNA,10,22,14,14,15,14,16,16,7
PA1625,0,3,4,9,6,5,7,7,6
PA1626,4,2,2,4,3,2,5,7,3
PA1627,6,8,9,12,4,15,13,10,5
PA1628,5,14,14,13,7,17,22,21,11
PA1629,0,0,0,0,3,0,0,0,0
PA1630,1,2,0,1,0,4,3,4,3
PA1631,1,1,2,3,1,0,3,1,4
PA1632,0,1,0,0,0,0,0,0,0
PA1633,2,4,2,8,0,7,5,8,4
PA1634,1,6,5,3,4,8,5,9,6
PA1635,0,0,0,0,1,0,2,0,0
PA1636,1,8,1,1,1,6,3,0,2
PA1637,1,9,6,15,5,4,8,14,8
PA1638,0,0,0,2,2,3,3,2,2
PA1639,6,11,14,13,16,14,21,15,15
PA1640,13,31,9,9,9,17,8,9,3
predicted RNA,38,69,47,50,38,36,81,37,55
PA1641,0,1,0,0,0,1,0,2,0
PA1642,6,11,4,8,7,7,12,6,10
predicted RNA,31,44,24,23,22,29,38,24,29
PA1643,57,108,102,85,85,108,145,93,97
PA1643a,15,33,23,27,18,27,17,28,19
PA1644,19,19,12,17,22,16,30,31,18
PA1645,10,17,9,9,5,10,13,8,5
PA1646,33,34,25,12,21,17,28,11,11
PA1647,68,119,110,79,83,82,104,43,75
PA1648,1,8,5,3,5,4,1,4,5
PA1649,0,8,4,2,0,5,3,1,2
PA1650,9,15,10,10,3,9,11,11,11
PA1651,68,96,92,81,76,94,120,71,107
PA1652,4,6,1,1,2,0,1,1,1
PA1653,14,19,12,11,6,9,6,8,6
PA1654,0,6,5,5,2,9,2,4,0
PA1655,2,4,3,6,3,2,2,2,1
PA1656,5,17,9,15,9,8,9,12,5
PA1657,1,4,1,5,1,5,4,3,1
PA1658,12,38,26,18,18,22,28,31,14
PA1659,0,0,0,0,1,1,0,1,0
PA1660,8,21,20,14,13,19,12,24,17
PA1661,3,15,8,7,8,14,10,17,3
PA1662,24,56,54,53,28,48,54,71,40
PA1663,0,3,4,6,6,3,5,4,4
PA1664,0,0,0,0,0,0,1,0,0
PA1665,1,0,0,4,1,0,0,4,0
PA1666,0,4,0,0,0,2,0,2,0
PA1667,14,28,18,29,21,28,28,35,24
PA1668,4,8,4,4,1,7,4,6,4
PA1669,10,15,13,17,9,11,22,16,24
PA1670,0,0,0,1,0,2,0,1,0
PA1671,17,16,20,32,15,21,38,35,15
PA1672,2,2,5,4,2,4,3,3,1
PA1673,0,2,2,2,1,1,1,0,1
PA1674,42,48,31,38,36,25,27,19,25
predicted RNA,291,274,256,177,244,195,335,243,276
PA1675,2,4,4,3,4,6,5,7,3
PA1676,0,0,2,0,0,1,0,0,1
predicted RNA,231,288,220,206,177,241,282,287,177
PA1677,3,5,5,2,3,5,9,13,5
PA1678,10,9,8,9,8,17,6,1,7
PA1679,18,29,25,14,8,11,24,16,20
predicted RNA,28,23,15,29,30,22,10,7,13
predicted RNA,58,82,47,64,58,64,22,20,18
PA1680,0,2,4,0,0,4,2,2,0
PA1681,1,10,9,6,8,6,7,12,14
predicted RNA,106,103,86,84,84,50,144,87,108
predicted RNA,37,49,34,35,23,22,39,35,35
PA1682,4,14,9,10,13,10,13,7,10
PA1683,0,5,4,5,2,4,7,4,3
predicted RNA,135,153,148,119,125,136,127,165,134
PA1684,0,4,1,2,0,1,2,1,0
predicted RNA,12,14,15,12,14,12,20,19,10
PA1685,8,28,27,25,21,31,35,35,16
PA1686,41,111,87,93,71,103,143,109,97
PA1687,5,15,16,12,10,9,9,7,14
PA1688,4,9,6,4,4,3,8,6,8
PA1689,10,15,18,7,5,18,8,15,9
PA1690,9,19,16,8,13,20,15,14,5
PA1691,0,4,1,3,0,2,3,3,3
PA1692,0,1,1,0,0,0,2,0,0
PA1693,1,3,0,3,1,6,4,1,1
PA1694,4,7,5,4,3,9,6,5,2
PA1695,2,11,4,7,9,6,7,8,10
PA1696,1,2,2,0,3,1,0,2,0
PA1697,1,4,0,1,4,0,1,3,2
PA1698,0,0,0,0,1,3,5,2,1
PA1699,0,0,0,0,0,0,0,0,0
PA1700,0,0,0,0,0,1,0,0,0
PA1701,0,1,1,0,0,1,1,2,2
PA1702,0,1,0,3,1,0,2,1,0
PA1703,5,13,11,3,7,13,13,16,13
predicted RNA,39,58,49,56,42,70,62,55,46
PA1704,1,0,0,2,1,3,0,3,1
PA1705,0,1,1,1,1,1,2,2,1
predicted RNA,1901,6237,3935,3467,3372,4938,5844,5235,3710
PA1706,3,5,7,4,0,2,11,5,6
PA1707,0,0,0,2,2,0,2,1,2
PA1708,10,27,8,12,5,14,20,22,10
PA1709,7,14,11,7,3,5,15,27,14
predicted RNA,868,2295,1800,1481,1235,1670,2138,2186,1655
PA1710,0,3,0,2,0,0,2,2,0
PA1711,0,1,0,0,0,0,5,3,2
PA1712,2,6,3,3,2,1,2,10,4
PA1713,1,2,3,2,0,0,0,3,0
predicted RNA,346,849,668,611,507,741,921,980,673
PA1714,3,7,6,5,1,4,14,9,5
PA1715,0,3,0,1,0,1,4,1,0
PA1716,2,11,19,8,7,12,18,13,13
PA1717,2,10,6,8,2,8,12,4,13
PA1718,0,5,0,0,1,0,2,0,1
PA1719,0,1,0,0,0,0,1,0,0
PA1720,0,0,0,0,0,0,0,0,0
PA1721,2,3,3,5,6,4,5,5,2
PA1722,2,2,2,1,1,3,2,0,1
PA1723,1,1,0,0,0,0,3,1,0
PA1724,0,0,0,0,0,0,0,0,0
PA1725,1,0,0,0,2,0,1,0,1
PA1726,11,52,32,15,17,39,38,41,27
PA1727,1,13,6,11,7,14,8,6,7
predicted RNA,988,2241,1811,1956,1540,2224,2453,2021,2706
PA1728,1,6,2,4,4,0,3,2,2
PA1729,0,0,4,1,0,2,3,1,3
predicted RNA,37,103,84,99,45,71,70,74,38
PA1730,3,8,9,8,9,9,13,15,4
PA1731,8,17,19,14,13,14,19,31,13
PA1732,2,13,9,6,2,13,13,19,8
PA1733,15,11,16,15,12,16,29,18,17
PA1734,21,46,36,33,31,39,49,37,38
PA1735,31,89,57,55,42,46,80,64,61
PA1736,6,18,11,19,13,15,31,37,26
PA1737,5,33,19,21,20,18,26,35,19
predicted RNA,22,37,24,32,20,28,30,37,35
PA1738,5,10,9,7,9,9,10,14,6
PA1739,0,2,0,1,1,2,5,3,4
PA1740,13,14,11,20,13,8,14,23,9
PA1741,0,3,2,6,2,7,10,5,4
predicted RNA,60,97,77,77,63,104,87,71,79
PA1742,0,3,2,0,1,0,1,1,0
PA1743,2,3,2,2,0,3,4,2,0
PA1744,2,1,7,4,2,1,3,0,2
predicted RNA,195,310,205,179,177,199,303,201,248
PA1745,1,0,4,3,5,3,3,2,2
PA1746,5,6,1,1,2,0,1,1,1
PA1747,41,40,26,22,29,29,13,9,13
PA1748,27,47,35,34,23,34,27,28,18
predicted RNA,95,76,77,48,53,44,59,58,53
PA1749,3,0,3,1,2,0,0,4,0
predicted RNA,131,166,137,170,138,108,166,168,125
PA1750,6,10,17,11,1,10,17,18,18
predicted RNA,63,38,35,34,31,26,34,27,24
predicted RNA,122,124,104,92,91,78,95,104,72
PA1751,0,0,1,1,0,1,0,0,0
predicted RNA,5,8,4,3,1,3,2,4,2
PA1752,0,0,1,1,1,1,2,1,0
predicted RNA,127,182,146,96,72,135,159,159,124
predicted RNA,1391,2246,1763,1563,1425,1771,2212,1780,1916
PA1753,1,4,6,2,2,1,5,2,2
PA1754,12,23,18,17,10,15,27,13,10
predicted RNA,143,235,244,210,137,222,251,246,218
PA1755,8,14,8,4,8,11,7,9,7
PA1756,14,11,12,8,14,12,12,15,11
PA1757,6,8,4,11,6,13,10,12,5
predicted RNA,4,3,2,2,3,2,3,2,2
PA1758,13,30,17,19,14,15,27,22,13
PA1759,14,38,44,23,24,32,42,61,25
PA1760,1,18,8,5,7,10,18,7,9
predicted RNA,9,32,21,16,9,14,27,24,18
predicted RNA,21,57,28,39,25,42,56,42,41
predicted RNA,262,730,549,508,438,605,727,672,614
PA1761,1,3,4,0,0,2,4,5,2
PA1762,0,3,5,4,3,10,8,7,3
PA1763,11,39,31,35,19,25,42,42,14
PA1764,6,17,15,10,5,16,19,25,11
PA1765,0,1,0,3,4,0,5,6,1
PA1766,6,15,22,18,11,15,17,16,6
predicted RNA,3,2,2,1,1,2,2,2,2
PA1767,14,39,33,27,20,24,40,48,33
PA1768,21,29,19,18,9,13,24,20,17
predicted RNA,3,9,5,6,4,5,7,10,8
PA1769,76,148,96,103,73,97,101,124,107
predicted RNA,30,48,33,35,29,33,46,46,35
predicted RNA,139,184,148,123,90,112,164,151,153
PA1770,13,25,24,21,10,19,30,23,20
PA1771,0,0,1,1,0,1,2,2,0
predicted RNA,756,1040,885,839,760,868,1088,966,991
PA1772,8,7,5,6,6,3,6,5,3
PA1773,0,4,2,0,5,3,3,6,2
PA1774,0,1,2,0,0,0,0,0,2
predicted RNA,121,158,106,76,87,61,107,102,84
PA1775,1,15,1,6,3,8,8,7,3
predicted RNA,178,289,268,239,180,204,216,300,214
PA1776,3,4,8,6,4,3,6,7,6
predicted RNA,25794,32225,25014,25230,25420,25853,31807,25039,28568
PA1777,32,40,30,17,22,18,29,24,27
PA1778,18,23,14,13,10,12,20,16,15
PA1779,60,102,88,72,58,90,82,109,84
PA1780,6,3,5,5,1,6,6,4,7
PA1781,10,19,16,11,4,14,17,15,10
PA1781.1,0,1,1,0,0,0,0,0,1
PA1782,3,7,5,5,6,4,11,5,4
PA1783,7,4,7,6,4,8,7,9,6
PA1784,11,19,19,11,7,12,22,27,23
PA1785,1,9,13,7,3,6,10,11,11
PA1786,1,8,2,3,2,4,1,4,3
predicted RNA,1695,1952,1266,1126,1263,1284,1696,1385,1225
PA1787,33,49,37,57,20,65,57,63,33
PA1788,64,61,49,42,44,43,44,28,58
PA1789,38,18,14,10,21,12,37,12,26
PA1790,2,6,4,1,1,0,2,3,1
PA1791,4,7,3,2,2,4,4,7,3
PA1792,11,20,21,20,10,20,17,21,17
predicted RNA,525,680,635,566,546,616,858,703,671
PA1793,4,9,6,4,5,5,10,10,5
PA1794,12,11,11,7,6,10,16,18,16
predicted RNA,50,50,51,39,42,39,64,54,45
predicted RNA,859,1204,1127,937,826,1117,1362,1436,1081
PA1795,1,8,9,4,3,3,10,11,8
PA1796,8,6,6,2,3,6,7,5,5
predicted RNA,252,315,409,226,222,224,212,281,326
PA1796.1,0,1,0,2,0,1,0,1,2
PA1796.2,0,1,1,2,0,0,0,0,0
PA1796.3,0,1,1,0,0,0,0,0,0
PA1796.4,0,0,1,0,0,0,0,0,0
PA1797a,1,0,1,0,0,1,0,3,1
PA1797,25,26,30,24,19,26,32,36,22
PA1798,7,22,21,22,18,26,25,42,13
PA1799,0,7,6,4,0,3,1,3,4
predicted RNA,14587,16076,13634,11863,11790,11835,12650,13220,12801
PA1800,34,86,72,70,49,75,92,79,72
PA1801,20,23,23,20,13,32,32,25,22
PA1802,13,26,26,15,13,15,19,30,24
PA1803,18,25,23,27,23,26,43,34,22
PA1804,6,7,5,0,6,5,8,6,2
PA1804.1,0,1,0,0,1,0,0,0,0
PA1805,6,9,6,6,4,4,12,8,3
PA1806,7,8,9,3,5,4,4,9,7
PA1807,8,13,8,5,5,4,7,9,4
PA1808,6,17,14,14,10,13,18,20,13
PA1809,12,22,19,21,17,19,31,22,18
PA1810,17,32,32,26,20,27,39,27,28
PA1811,9,26,14,16,15,16,15,29,21
PA1812,6,23,8,17,8,10,4,13,15
predicted RNA,20,14,11,7,10,6,11,9,9
PA1813,9,13,8,6,2,5,3,4,9
predicted RNA,167,255,207,174,138,195,272,263,176
PA1814,4,8,6,6,4,7,10,4,8
PA1815,0,0,0,0,0,0,0,3,0
predicted RNA,3,3,3,1,1,1,2,2,2
PA1816,26,64,49,49,40,54,72,66,50
PA1817,8,13,5,6,7,11,12,15,2
predicted RNA,62,57,37,30,30,29,42,27,32
PA1818,8,16,9,6,3,8,7,19,14
predicted RNA,40,33,27,16,19,13,23,18,18
predicted RNA,42,34,24,29,23,20,27,16,21
predicted RNA,5,4,3,1,2,1,3,2,2
predicted RNA,111,158,111,108,92,91,119,109,89
PA1819,16,31,21,33,20,33,43,29,28
PA1820,52,101,86,71,72,96,116,83,99
predicted RNA,522,507,382,273,334,291,430,372,319
PA1821,3,7,5,1,2,4,10,5,3
PA1822,9,16,16,16,15,20,22,18,11
predicted RNA,29,40,22,15,16,15,24,18,12
predicted RNA,5,5,2,1,3,2,3,3,2
PA1823,12,25,21,15,19,16,17,17,15
PA1824,13,18,12,8,8,19,11,12,5
PA1825,1,3,4,2,2,3,5,5,5
PA1826,38,65,62,49,28,45,52,48,39
PA1827,0,0,0,0,0,1,0,1,0
PA1828,13,17,15,11,7,14,13,18,11
PA1829,18,45,52,33,18,33,32,35,28
predicted RNA,736,744,575,476,568,550,673,624,633
PA1830,3,6,5,4,3,1,8,2,5
PA1831,4,14,10,22,16,23,10,12,14
PA1832,1,4,5,3,2,6,4,2,2
PA1833,2,4,8,6,3,3,3,4,3
PA1833a,166,180,168,139,127,137,153,139,128
PA1835,1,4,2,1,2,2,1,5,3
PA1836,0,3,2,2,1,1,1,1,0
PA1837,6,6,9,5,3,9,15,14,13
predicted RNA,3,3,2,0,2,1,1,0,1
predicted RNA,76,53,32,22,40,26,29,20,36
PA1838,16,28,14,18,12,10,17,27,8
predicted RNA,39,31,25,17,30,19,19,15,24
predicted RNA,21,11,10,9,10,5,7,5,6
predicted RNA,67,35,29,23,36,15,38,16,24
PA1837a,141,368,288,319,213,370,364,309,356
predicted RNA,372,782,696,607,496,781,600,736,829
PA1839,7,37,22,28,18,24,23,20,23
PA1840,7,17,20,20,12,13,25,24,14
PA1841,23,23,26,22,18,18,33,29,23
PA1842,1,5,10,3,6,2,3,10,2
PA1843,28,47,44,58,31,56,90,70,61
PA1844,1,2,2,2,5,3,1,4,4
PA1845,1,2,1,1,1,5,4,5,1
PA1846,26,52,39,26,24,35,49,52,28
predicted RNA,279,622,692,646,422,833,895,981,755
PA1847,4,10,2,0,3,4,10,4,5
PA1848,0,15,8,8,6,11,3,7,8
PA1849,0,3,0,2,0,1,0,0,0
PA1850,2,1,3,4,0,2,3,3,3
PA1851,7,4,6,6,5,2,11,13,5
predicted RNA,460,725,605,426,380,390,819,559,505
PA1852,53,86,53,60,53,67,58,51,46
PA1853,4,6,0,5,7,7,7,3,1
PA1854,18,56,70,50,44,64,65,89,47
PA1855,0,1,0,1,1,2,0,4,2
PA1856,6,37,10,28,10,23,28,42,20
PA1857,3,8,3,2,5,6,9,6,6
PA1858,8,9,9,9,9,14,8,13,11
PA1859,7,23,18,16,19,19,26,23,22
PA1860,9,16,11,7,5,14,23,12,10
PA1861,59,181,157,203,108,215,264,230,171
PA1862,0,15,8,11,6,19,11,16,13
PA1863,1,11,5,9,2,9,7,12,7
PA1864,1,0,1,1,1,1,3,0,0
PA1865,3,6,5,7,5,6,4,2,11
PA1866,0,1,1,3,1,5,0,0,2
PA1866a,0,0,1,0,1,0,1,0,2
PA1867,0,0,0,0,0,0,0,0,1
PA1868,8,11,14,8,5,13,15,11,8
PA1869,3,9,6,7,3,7,10,10,10
predicted RNA,29,35,22,9,17,12,21,14,16
predicted RNA,75,88,31,37,48,15,50,27,23
PA1870,0,2,2,0,0,2,1,3,0
predicted RNA,0,3,2,3,1,2,3,2,1
predicted RNA,16,44,23,58,24,31,53,45,39
predicted RNA,617,703,329,173,224,198,395,263,295
PA1871,34,88,73,81,37,109,97,118,85
PA1872,13,51,9,19,18,14,22,11,10
PA1873,7,18,11,22,25,13,20,23,20
predicted RNA,602,711,409,488,491,313,1153,530,942
PA1874,88,176,128,109,103,141,208,143,115
predicted RNA,277,458,241,229,252,158,837,342,542
predicted RNA,368,562,310,343,361,228,971,448,697
predicted RNA,37,56,29,36,33,23,98,42,65
predicted RNA,369,601,342,346,360,242,937,495,805
PA1875,4,8,10,15,6,9,11,7,6
PA1876,6,10,3,5,7,8,12,12,9
PA1877,3,5,1,6,3,5,6,5,3
PA1878,18,63,27,39,19,29,67,42,54
PA1879,7,20,13,11,14,4,16,13,19
PA1880,10,14,16,12,16,9,21,22,12
predicted RNA,201,352,233,204,215,217,333,252,232
predicted RNA,11,19,16,11,10,9,16,14,13
predicted RNA,82,160,117,86,108,105,150,104,118
predicted RNA,182,389,245,190,185,238,359,228,199
PA1881,0,3,3,5,2,2,2,0,1
predicted RNA,22,23,33,16,14,13,22,17,17
PA1882,2,2,2,2,1,4,1,1,2
PA1883,5,15,9,12,6,12,18,10,12
PA1884,2,12,10,5,1,13,10,6,4
PA1885,0,0,1,0,1,1,0,2,0
PA1886,6,19,16,10,11,28,21,24,20
PA1887,17,41,29,37,30,37,35,54,34
PA1888,18,34,26,23,13,24,29,29,30
PA1889,41,43,34,31,38,21,55,39,25
predicted RNA,11,12,9,17,10,9,7,7,4
PA1890,11,16,8,13,10,10,16,5,8
PA1891,1,3,4,0,1,1,3,0,1
PA1892,0,2,3,3,3,7,1,2,0
PA1893,19,42,38,24,24,30,40,32,20
PA1894,2,1,2,3,2,1,1,6,1
PA1895,18,48,42,34,16,41,34,60,34
PA1896,3,16,13,13,8,7,7,19,9
PA1897,3,15,17,19,10,11,27,20,11
PA1898,9,20,8,5,6,10,12,14,12
PA1899,0,1,0,0,0,2,0,0,4
PA1900,2,3,1,0,0,0,1,1,2
PA1901,1,6,1,1,2,2,4,2,0
PA1902,0,2,1,0,0,1,0,1,0
PA1903,4,15,16,15,6,12,13,18,11
PA1904,2,5,3,1,3,6,8,10,4
PA1905,1,6,4,3,2,2,1,3,4
PA1906,0,1,1,0,0,1,0,1,0
PA1907,6,9,8,1,7,10,6,12,6
PA1908,0,0,0,1,0,2,0,0,0
PA1909,0,4,2,0,1,4,3,5,1
PA1910,8,48,23,27,19,41,26,40,23
PA1911,1,1,5,2,1,2,3,4,0
PA1912,0,3,0,1,1,0,1,0,4
PA1913,0,2,5,2,2,4,4,6,3
PA1914,0,1,1,0,1,1,1,4,0
PA1915,1,6,4,13,13,14,2,8,10
PA1916,11,22,29,32,15,31,29,31,24
PA1917,3,2,4,3,2,0,4,1,5
PA1918,7,10,9,6,7,7,9,21,5
PA1919,21,21,19,23,13,24,32,24,21
predicted RNA,48,40,21,26,33,17,15,12,13
