,PAO1_control,PAO1_T2.5
PA1080,140,107
predicted RNA,2160,1608
PA1081,22,20
predicted RNA,3148,2785
PA1082,26,35
PA1083,78,51
PA1084,26,30
PA1085,42,40
PA1086,137,133
PA1087,379,328
predicted RNA,5156,4243
PA1088,30,31
predicted RNA,4506,3272
PA1089,37,42
PA1090,23,23
PA1091,42,41
predicted RNA,35476,30540
PA1092,152,317
PA1093,78,138
PA1094,134,170
PA1095,408,481
PA1096,55,69
predicted RNA,6275,5228
PA1097,15,24
predicted RNA,2692,3010
predicted RNA,4540,3600
PA1098,7,6
PA1099,15,24
PA1100,27,35
PA1101,24,24
PA1102,37,40
predicted RNA,3772,3098
PA1103,5,13
PA1104,16,18
PA1105,245,340
PA1106,301,227
PA1107,35,47
PA1108,21,29
PA1109,29,30
PA1110,34,27
PA1111,6,10
PA1112,403,321
PA1112a,1310,1379
PA1112.1,268,390
PA1112b,276,459
PA1113,116,112
PA1114,28,50
PA1115,37,38
PA1116,331,263
PA1117,86,122
PA1118,29,32
predicted RNA,8413,7565
PA1119,79,82
PA1120,26,24
PA1121,8,25
PA1123,250,198
predicted RNA,4805,5802
PA1124,35,26
PA1125,44,35
PA1126,96,102
PA1127,12,12
PA1128,85,85
PA1129,241,246
PA1130,23,26
PA1131,16,17
PA1132,126,105
PA1133,58,81
PA1134,52,34
PA1135,95,56
PA1136,6.7E+01,113
PA1137,35,39
PA1138,19,4
PA1139,6,9
PA1140,48,51
PA1141,28,36
PA1142,16,14
PA1143,19,20
PA1144,19,26
PA1145,11,17
PA1146,31,32
PA1147,8,12
PA1148,23,30
PA1149,20,23
PA1150,198,172
predicted RNA,1248,714
predicted RNA,27341,17950
PA1151,357,404
PA1153,78,81
PA1154,155,201
predicted RNA,6506,6535
PA1155,236,197
PA1156,59,70
predicted RNA,3426,3394
predicted RNA,6956,4985
PA1157,4,3
PA1158,29,36
predicted RNA,18848,13307
PA1159,209,202
PA1160,119,96
PA1161,10,7
PA1162,42,51
PA1163,50,56
PA1164,52,53
PA1165,23,33
PA1166,28,27
PA1167,271,345
PA1168,35,27
PA1169,64,72
PA1170,49,37
PA1171,251,238
PA1172,98,99
predicted RNA,6597,4058
predicted RNA,4686,3507
PA1173,39,24
PA1174,36,51
predicted RNA,6680,5460
predicted RNA,4685,3980
predicted RNA,4426,4116
predicted RNA,8446,6677
PA1175,85,118
PA1176,19,29
predicted RNA,13326,12720
PA1177,14,68
PA1178,335,283
PA1179,27,42
PA1180,41,35
PA1181,19,20
PA1182,309,285
PA1183,50,36
PA1184,12,16
PA1185,65,52
PA1186,17,10
PA1187,45,50
PA1188,21,17
PA1189,244,208
PA1190,310,272
PA1191,151,143
PA1192,87,73
PA1193,128,140
PA1194,49,92
PA1195,95,83
PA1196,7,12
predicted RNA,1593,1466
PA1197,174,175
PA1198,67,50
PA1199,11,8
PA1200,45,57
PA1201,271,233
predicted RNA,4455,3940
PA1202,61,66
predicted RNA,3354,3086
PA1203,46,44
PA1204,30,36
PA1205,12,12
PA1206,1.84E+02,170
PA1207,50,48
PA1208,1E+02,80
PA1209,47,46
PA1210,40,25
PA1211,16,18
PA1212,19,27
PA1213,25,14
PA1214,7,10
PA1215,33,27
PA1216,22,18
PA1217,157,147
PA1218,55,66
PA1219,21,36
PA1220,9,14
PA1221,439,315
PA1222,227,212
PA1223,40,81
PA1224,44,34
PA1225,60,64
PA1226,3,1
PA1227,8,10
PA1228,23,35
PA1229,37,28
PA1230,11,28
PA1231,3,4
PA1232,16,22
PA1233,168,161
PA1234,7,5
PA1235,3,4
PA1236,63,62
PA1237,12,21
PA1238,16,14
PA1239,27,31
PA1240,8,15
PA1241,30,31
PA1242,61,57
PA1243,19,20
predicted RNA,17050,16456
PA1244,78,173
predicted RNA,8416,6624
PA1245,26,33
PA1246,11,15
PA1247,41,44
PA1248,45,34
predicted RNA,6362,5017
predicted RNA,21555,18109
PA1249,54,93
PA1250,7,18
PA1251,180,240
PA1252,2,6
PA1253,34,42
PA1254,28,26
PA1255,7,9
PA1256,57,49
PA1257,50,47
PA1258,36,38
PA1259,21,25
PA1260,39,28
PA1261,89,97
PA1262,11,15
PA1263,9,19
PA1264,7,12
PA1265,0,1
PA1266,2,4
PA1267,3,4
PA1268,10,5
PA1269,10,15
PA1270,12,10
PA1271,32,38
PA1272,11,8
PA1273,4,3
PA1274,3,0
PA1275,2,3
PA1276,0,1
PA1277,5,4
PA1278,0,8
PA1279,0,1
PA1280,0,2
PA1281,3,7
PA1282,13,13
PA1283,22,22
PA1284,97,83
PA1285,0,2
PA1286,7,4
PA1287,19,30
predicted RNA,4937,3836
PA1288,243,209
PA1289,51,54
predicted RNA,4544,4182
PA1290,50,67
PA1291,52,51
PA1292,122,109
PA1293,70,56
PA1294,13,13
PA1295,87,53
PA1296,92,85
PA1297,61,72
PA1298,2,2
PA1299,9,5
PA1300,9,7
PA1301,8,4
PA1302,77,63
PA1303,32,41
PA1304,21,17
PA1305,55,33
PA1306,70,41
PA1307,59,72
PA1308,115,111
PA1309,188,272
PA1310,17,15
PA1311,22,18
PA1312,18,19
PA1313,4,4
PA1314,51,61
PA1315,52,54
PA1316,187,193
PA1317,126,117
PA1318,262,205
PA1319,40,60
PA1320,61,44
PA1321,18,15
PA1322,63,61
predicted RNA,14115,11824
PA1323,41,115
PA1324,105,151
PA1324.1,43,70
PA1325,4,11
PA1326,12,7
PA1327,23,33
PA1328,57,90
PA1329,1,1
PA1330,150,121
PA1331,23,29
PA1332,351,419
PA1333,133,109
predicted RNA,1523,1789
PA1334,51,56
PA1335,97,125
PA1336,48,55
predicted RNA,6070,4107
PA1337,60,72
PA1338,53,37
predicted RNA,1273,908
predicted RNA,1923,1116
predicted RNA,4188,2916
PA1339,31,54
PA1340,119,110
predicted RNA,3068,2166
PA1341,65,58
predicted RNA,13447,7895
PA1342,275,293
PA1343,12,12
PA1344,59,54
PA1345,28,26
PA1346,7,7
PA1347,94,66
PA1348,4,9
PA1349,7,27
PA1350,8,15
PA1351,6,13
PA1352,3,5
PA1353,23,26
PA1354,16,33
PA1355,2,18
PA1356,53,50
PA1357,201,285
PA1358,304,338
PA1359,44,37
PA1360,85,74
PA1361,13,13
PA1362,51,19
PA1363,38,28
PA1364,10,16
PA1365,113,87
PA1366,251,217
predicted RNA,19973,14722
PA1367,13,6
PA1368,124,84
PA1369,13,10
PA1370,97,63
predicted RNA,6360,3472
PA1371,109,75
predicted RNA,6182,3236
predicted RNA,6115,3471
PA1372,52,49
PA1373,82,66
PA1374,18,18
PA1375,29,28
PA1376,90,84
PA1377,3,18
PA1378,43,19
PA1379,29,22
PA1380,26,19
PA1381,48,60
PA1382,258,234
predicted RNA,5195,4649
PA1383,895,724
PA1384,28,31
PA1385,80,46
PA1386,691,441
PA1387,803,690
PA1388,11,13
PA1389,18,19
PA1390,14,10
PA1391,5,7
PA1392,34,33
PA1393,505,338
PA1394,20,12
PA1395,80,89
PA1396,20,21
PA1397,11,17
PA1398,12,7
PA1399,26,35
PA1400,6,7
PA1401,33,36
PA1402,143,205
PA1403,40,57
PA1404,86,124
PA1405,28,23
PA1406,29,27
PA1407,5,8
PA1408,25,31
PA1409,24,32
PA1410,39,45
PA1411,6,10
PA1412,13,15
PA1413,12,4
PA1414,142,328
PA1415,1997,1891
PA1416,133,121
PA1417,29,30
PA1418,80,60
PA1419,35,30
PA1420,113,129
PA1421,167,138
PA1422,35,88
PA1423,75,63
PA1424,110,138
PA1424a,34,61
PA1425,18,13
PA1428a,47,52
PA1428,16,31
PA1429,23,28
predicted RNA,803,1421
predicted RNA,1650,2555
predicted RNA,2827,2985
PA1430,5463,3783
PA1431,5519,3667
predicted RNA,32424,22446
PA1432,78,102
PA1433,258,248
PA1434,27,23
PA1435,16,22
PA1436,81,101
PA1437,29,41
PA1438,25,25
PA1439,316,241
PA1440,333,373
predicted RNA,9331,9498
predicted RNA,2895,2375
PA1441,16,15
predicted RNA,2858,2349
PA1442,27,17
PA1443,25,18
PA1444,16,35
PA1445,38,36
PA1446,82,87
PA1447,25,30
PA1448,18,13
PA1449,18,24
PA1450,16,22
PA1451,18,24
PA1452,44,44
PA1453,12,19
predicted RNA,4763,4776
PA1454,147,155
predicted RNA,4233,4583
predicted RNA,7116,6345
PA1455,64,91
PA1456,87,122
PA1457,21,38
predicted RNA,6004,5462
PA1458,40,53
predicted RNA,7353,6150
PA1459,14,27
predicted RNA,3861,3920
PA1460,10,15
PA1461,34,33
PA1462,78,81
PA1463,6,12
predicted RNA,4452,4764
predicted RNA,9586,8933
PA1464,31,62
PA1465,8,2
PA1466,263,204
PA1467,4,10
PA1468,8,9
PA1469,26,23
PA1470,15,21
PA1471,186,171
PA1472,118,82
PA1473,59,41
PA1474,12,22
predicted RNA,2924,3270
PA1475,16,28
PA1476,70,75
PA1477,19,16
PA1478,0,11
PA1479,25,43
predicted RNA,4930,4705
PA1480,9,13
PA1481,8,23
PA1482,11,20
PA1483,3,21
PA1483a,50,51
PA1484,271,269
PA1485,24,20
PA1486,11,11
PA1487,26,27
PA1488,10,12
PA1489,24,27
PA1490,14,12
PA1491,357,241
PA1492,23,29
PA1493,36,25
predicted RNA,1266,953
PA1494,43,36
PA1495,2,4
PA1496,83,84
PA1497,7,16
PA1498,24,27
PA1499,20,13
PA1500,33,17
PA1501,373,339
PA1502,79,75
PA1503,14,11
PA1504,126,116
PA1505,29,26
PA1506,4,0
PA1507,85,91
PA1508,19,22
PA1509,91,66
PA1510,66,60
PA1511,128,108
PA1512,218,226
predicted RNA,3289,1451
PA1513,160,158
PA1514,184,150
PA1515,151,126
PA1516,68,54
PA1517,60,47
PA1518,23,18
PA1519,51,45
PA1520,90,117
PA1521,72,52
PA1522,71,79
PA1523,85,72
PA1524,20,21
PA1525,229,166
PA1526,102,90
predicted RNA,4688,3636
PA1527,33,31
predicted RNA,5218,3231
PA1528,24,38
predicted RNA,5758,4738
predicted RNA,4870,4588
PA1529,33,27
PA1530,142,122
PA1530.1,295,251
PA1531,84,77
PA1532,30,34
predicted RNA,5674,4167
PA1533,45,51
PA1534,19,34
PA1535,49,41
PA1536,182,157
PA1537,37,43
PA1538,60,55
PA1539,99,95
PA1540,155,201
PA1541,140,107
PA1542,190,117
PA1543,119,121
predicted RNA,18083,17478
PA1544,63,82
PA1545,290,350
PA1546,594,528
PA1547,51,50
PA1548,104,115
PA1549,36,39
PA1550,38,63
predicted RNA,8917,8321
PA1551,58,63
predicted RNA,5202,4821
PA1552,291,276
PA1552.1,123,103
PA1553,78,73
PA1554,119,89
predicted RNA,17482,15921
PA1555,172,184
PA1555.1,436,388
PA1556,79,100
PA1557,97,105
PA1558,4,3
predicted RNA,3139,3141
PA1561,98,81
PA1562,48,61
predicted RNA,10368,9277
predicted RNA,7300,6245
predicted RNA,4833,4743
PA1563,31,34
PA1564,146,130
PA1565,209,204
PA1566,43,58
PA1567,123,125
PA1568,99,95
PA1569,81,63
PA1570,14,11
predicted RNA,6944,7571
PA1571,86,137
PA1572,3,7
PA1573,40,51
PA1574,143,168
PA1575,32,43
PA1576,18,18
PA1577,2025,1605
PA1578,10,13
PA1578a,62,94
predicted RNA,6888,5423
PA1579,52,59
predicted RNA,8439,7088
PA1580,275,251
predicted RNA,15646,13405
PA1581,214,247
PA1582,294,264
PA1583,205,203
PA1584,233,215
PA1585,93,115
PA1586,136,173
predicted RNA,20486,17596
PA1587,86,150
PA1588,139,186
PA1589,212,305
predicted RNA,5032,4296
PA1590,58,62
predicted RNA,3908,3808
PA1591,149,117
predicted RNA,66663,48545
PA1592,251,415
PA1593,27,28
PA1594,23,42
PA1595,19,22
predicted RNA,6403,5979
PA1596,34,46
PA1597,53,52
PA1598,158,239
PA1599,10,13
PA1600,11,11
PA1601,12,8
PA1602,33,32
PA1603,10,12
PA1604,173,198
PA1605,111,99
PA1606,59,44
PA1607,40,39
predicted RNA,8376,7267
PA1608,35,34
PA1609,69,93
predicted RNA,6080,5238
predicted RNA,15678,10755
PA1610,76,82
PA1611,87,81
PA1612,39,44
PA1613,84,84
PA1614,23,24
PA1615,11,11
PA1616,23,18
PA1617,24,27
PA1618,50,80
PA1619,3,8
PA1620,4,3
PA1621,12,9
PA1622,8,8
PA1623,35,43
predicted RNA,5020,4365
PA1624,5,10
PA1625,51,37
PA1626,9,18
PA1627,36,40
PA1628,11,21
PA1629,6,9
PA1630,50,29
PA1631,10,15
PA1632,49,18
PA1633,215,195
PA1634,10,6
PA1635,8,3
PA1636,3,6
PA1637,58,94
PA1638,9,14
PA1639,158,156
PA1640,140,117
PA1641,21,24
PA1642,47,69
predicted RNA,4228,4435
PA1643,395,445
PA1643a,933,799
PA1644,243,221
PA1645,45,42
PA1646,42,45
PA1647,85,71
PA1648,19,20
PA1649,20,15
PA1650,92,83
PA1651,162,145
PA1652,11,16
PA1653,34,44
PA1654,16,24
PA1655,111,92
predicted RNA,828,817
predicted RNA,15818,10352
PA1656,9,22
predicted RNA,4237,2507
PA1657,70,88
PA1658,160,141
PA1659,9,17
PA1660,59,47
PA1661,55,67
PA1662,34,34
PA1663,12,13
PA1664,14,3
PA1665,6,6
PA1666,18,28
PA1667,124,103
PA1668,13,7
PA1669,22,25
PA1670,3,7
PA1671,108,118
PA1672,125,81
PA1673,137,175
PA1674,2108,2313
PA1675,191,218
PA1676,35,29
PA1677,27,28
PA1678,120,117
PA1679,271,228
PA1680,7,6
PA1681,24,37
PA1682,32,37
PA1683,39,33
PA1684,13,15
PA1685,24,18
PA1686,193,304
PA1687,94,68
PA1688,36,27
PA1689,34,33
PA1690,54,32
PA1691,15,16
PA1692,4,16
PA1693,46,36
PA1694,51,55
PA1695,19,20
PA1696,11,20
PA1697,4,2
PA1698,0,1
PA1699,8,0
PA1700,0,7
PA1701,2,3
PA1702,0,5
PA1703,12,15
PA1704,9,11
PA1705,0,7
PA1706,20,32
PA1707,5,14
PA1708,14,30
PA1709,9,28
PA1710,26,16
predicted RNA,4694,6453
predicted RNA,3683,4444
PA1711,7,3
PA1712,73,65
PA1713,12,13
PA1714,8,23
PA1715,1,11
PA1716,30,37
PA1717,31,19
PA1718,89,42
PA1719,15,18
PA1720,3,5
PA1721,21,22
PA1722,27,31
PA1723,8,4
PA1724,0,1
PA1725,7,7
PA1726,89,80
PA1727,21,21
predicted RNA,31501,25396
PA1728,37,98
PA1729,32,27
predicted RNA,3334,4255
PA1730,30,37
PA1731,73,69
PA1732,25,22
PA1733,45,45
predicted RNA,4121,4169
PA1734,325,261
PA1735,73,76
predicted RNA,4095,3791
PA1736,32,29
PA1737,88,75
PA1738,60,52
PA1739,10,11
PA1740,143,204
PA1741,33,19
predicted RNA,7774,6054
PA1742,22,36
PA1743,61,50
PA1744,195,122
PA1745,23,54
PA1746,49,107
PA1747,9957,9183
predicted RNA,7118,5667
PA1748,1999,2026
PA1749,48,41
predicted RNA,6255,6450
PA1750,147,155
predicted RNA,2149,2302
predicted RNA,3101,2488
PA1751,13,23
PA1752,7,7
predicted RNA,7806,6793
PA1753,30,40
PA1754,78,73
predicted RNA,4959,4360
PA1755,181,97
PA1756,63,86
PA1757,328,258
PA1758,292,303
predicted RNA,6869,5244
PA1759,52,54
PA1760,18,19
PA1761,25,32
PA1762,32,41
PA1763,121,98
PA1764,76,80
PA1765,23,24
PA1766,104,103
predicted RNA,3531,2685
predicted RNA,4231,2864
PA1767,205,188
PA1768,282,340
PA1769,1831,1512
PA1770,64,63
PA1771,6,3
predicted RNA,10987,10479
PA1772,51,69
PA1773,17,19
PA1774,21,24
PA1775,31,44
PA1776,68,181
PA1777,469,1578
PA1778,648,527
PA1779,46,46
PA1780,31,40
PA1781,45,51
PA1781.1,51,34
PA1782,9,17
PA1783,15,13
PA1784,118,114
predicted RNA,3898,3707
PA1785,64,54
PA1786,11,18
predicted RNA,6886,6244
PA1787,112,120
PA1788,1058,1121
PA1789,76,139
PA1790,43,36
PA1791,37,39
PA1792,14,34
predicted RNA,8534,6670
PA1793,51,63
PA1794,49,52
predicted RNA,3.29E+03,2929
predicted RNA,3679,3015
predicted RNA,3812,3030
PA1795,26,22
PA1796,59,54
PA1796.1,77,75
PA1796.2,28,62
PA1796.3,59,42
PA1796.4,72,23
PA1797a,73,57
PA1797,139,121
PA1798,53,41
PA1799,48,44
predicted RNA,20500,16178
PA1800,956,801
PA1801,219,223
PA1802,106,165
PA1803,104,125
PA1804,133,277
PA1804.1,40,55
PA1805,20,19
predicted RNA,2952,2610
predicted RNA,2852,2285
PA1806,40,40
PA1807,46,36
PA1808,114,70
PA1809,161,128
PA1810,203,160
PA1811,92,70
PA1812,196,178
PA1813,85,77
PA1814,60,54
predicted RNA,3595,3884
PA1815,18,12
PA1816,161,182
PA1817,248,192
PA1818,39,33
predicted RNA,903,503
predicted RNA,1031,664
predicted RNA,819,636
PA1819,120,127
PA1820,707,576
PA1821,28,32
PA1822,23,25
PA1823,37,37
PA1824,284,268
PA1825,43,38
PA1826,108,115
PA1827,5,6
PA1828,80,48
PA1829,350,302
PA1830,516,423
predicted RNA,16300,12316
PA1831,179,184
PA1832,38,33
predicted RNA,5453,4555
predicted RNA,6571,5656
PA1833,26,30
PA1833a,852,831
PA1835,35,52
PA1836,12,8
PA1837,63,60
PA1838,62,65
PA1837a,7426,5722
predicted RNA,14002,10925
PA1839,123,168
PA1840,475,425
PA1841,565,554
PA1842,174,184
PA1843,116,105
PA1844,58,74
PA1845,59,45
PA1846,139,127
PA1847,33,41
predicted RNA,7021,5965
PA1848,9,6
PA1849,5,0
PA1850,6,4
PA1851,61,60
predicted RNA,28787,20020
PA1852,5394,4875
predicted RNA,3936,3255
PA1853,42,39
PA1854,191,234
PA1855,33,33
PA1856,359,265
PA1857,92,83
PA1858,70,83
PA1859,103,99
predicted RNA,4580,4927
PA1860,55,56
PA1861,325,359
PA1862,75,96
PA1863,77,90
PA1864,12,8
PA1865,17,16
PA1866,226,236
PA1866a,43,55
PA1867,4,5
PA1868,15,16
predicted RNA,9071,9119
PA1869,66,151
PA1870,50,51
predicted RNA,25077,24707
PA1871,142,151
PA1872,1900,2410
PA1873,422,432
predicted RNA,10983,6462
PA1874,122,144
predicted RNA,3783,3477
predicted RNA,3293,3135
predicted RNA,2522,2725
predicted RNA,3329,3130
predicted RNA,4892,3346
predicted RNA,2842,2915
predicted RNA,4390,2862
predicted RNA,3923,2856
predicted RNA,3971,2958
predicted RNA,8491,4876
PA1875,9,21
PA1876,13,15
PA1877,26,40
predicted RNA,5864,3447
PA1878,1532,1274
PA1879,587,519
PA1880,49,42
PA1881,1,18
PA1882,55,27
PA1883,41,29
PA1884,39,43
PA1885,2,4
PA1886,550,481
PA1887,195,177
PA1888,145,105
PA1889,426,430
PA1890,171,215
PA1891,13,15
PA1892,78,74
PA1893,124,130
PA1894,106,98
PA1895,293,294
PA1896,138,125
PA1897,140,139
PA1898,928,930
PA1899,71,49
predicted RNA,12981,12781
PA1900,33,83
PA1901,14,11
predicted RNA,4068,3842
PA1902,6,15
predicted RNA,3581,2972
PA1903,31,41
predicted RNA,5126,3383
predicted RNA,3643,2931
PA1904,19,19
predicted RNA,3768,3008
PA1905,52,55
predicted RNA,3741,3789
PA1906,886,1089
PA1907,113,146
PA1908,4,10
PA1909,6,11
PA1910,30,34
PA1911,4,3
PA1912,2,10
PA1913,8,5
PA1914,109,99
predicted RNA,5391,3090
PA1915,20,29
PA1916,101,103
PA1917,58,46
PA1918,28,37
PA1919,161,186
PA1920,101,98
PA1921,8,6
PA1922,6,11
PA1923,7,12
PA1924,65,51
PA1925,153,158
PA1926,32,30
PA1927,34,30
PA1928,23,27
PA1929,6,2
predicted RNA,7999,6986
PA1930,76,79
predicted RNA,3363,3446
PA1931,67,55
PA1932,172,188
PA1933,1024,1260
PA1934,31,63
PA1937,61,40
PA1938,524,382
PA1939,560,448
PA1940,816,778
PA1941,87,92
predicted RNA,171,115
PA1942,208,160
PA1943,117,121
PA1944,91,66
PA1945,72,92
predicted RNA,8236,6025
PA1946,22,20
PA1947,3,6
PA1948,11,16
PA1949,7,8
PA1950,13,25
PA1951,416,292
PA1952,19,18
PA1953,61,89
PA1954,60,59
PA1955,30,53
PA1956,27,34
PA1957,8,4
PA1958,52,26
PA1959,19,5
PA1960,24,36
PA1961,41,47
PA1962,9,7
PA1963,18,38
PA1964,118,112
PA1965,58,70
PA1966,112,150
PA1967,30,30
PA1968,7,5
PA1969,0,6
PA1970,354,236
PA1971,110,103
PA1972,20,32
PA1973,1,2
PA1974,33,38
PA1975,2,6
PA1976,10,17
PA1977,15,10
PA1978,89,59
PA1979,12,17
PA1980,4,4
PA1981,7,17
PA1982,46,45
PA1983,11,0
PA1984,47,44
predicted RNA,1947,925
predicted RNA,4719,2120
predicted RNA,13493,11413
PA1985,23,82
PA1986,24,24
PA1987,23,34
PA1988,33,21
PA1989,24,29
PA1990,12,15
PA1991,10,17
PA1992,5,10
PA1993,14,8
PA1994,14,15
PA1995,85,66
PA1996,229,195
PA1997,45,58
PA1998,18,30
predicted RNA,5338,4903
PA1999,38,40
PA2000,19,21
predicted RNA,2859,2508
PA2001,12,19
predicted RNA,1721,1705
predicted RNA,1947,2207
PA2002,175,163
PA2003,156,102
PA2004,87,71
PA2005,33,37
PA2006,10,15
PA2007,8,19
predicted RNA,2402,2464
PA2008,13,12
predicted RNA,2927,2361
PA2009,43,36
predicted RNA,2731,2687
PA2010,71,48
PA2011,146,160
predicted RNA,1174,651
predicted RNA,2866,1208
PA2012,13,18
predicted RNA,1620,697
predicted RNA,852,439
PA2013,22,14
predicted RNA,999,494
PA2014,58,49
predicted RNA,1358,574
predicted RNA,1050,497
predicted RNA,4115,1863
PA2015,56,59
PA2016,260,147
PA2017,8,6
PA2018,40,43
PA2019,6,10
PA2020,316,325
PA2021,50,105
PA2022,97,79
PA2023,311,202
predicted RNA,5087,4595
PA2024,94,95
predicted RNA,6887,6119
PA2025,48,53
predicted RNA,3840,3832
predicted RNA,4088,3556
predicted RNA,5675,4428
PA2026,92,75
PA2027,65,32
PA2028,269,187
PA2029,139,222
PA2030,67,77
PA2031,24,38
PA2032,73,92
PA2033,8,7
PA2034,7,16
PA2035,6,9
PA2036,5,1
PA2037,41,23
PA2038,762,524
PA2039,269,181
PA2040,229,242
predicted RNA,5072,3443
predicted RNA,1561,1206
predicted RNA,2333,1704
PA2041,582,442
PA2042,6,18
PA2043,8,10
PA2044,51,58
PA2045,19,38
PA2047,49,45
PA2048,30,27
PA2049,22,37
PA2050,23,16
PA2051,10,19
PA2052,31,54
PA2053,27,29
PA2054,2,1
PA2055,7,9
PA2056,2,5
PA2057,34,48
PA2058,15,16
PA2059,18,18
PA2060,3,3
PA2061,8,8
PA2062,1,5
PA2063,6,19
PA2064,16,26
PA2065,22,25
PA2066,89,115
PA2067,12,15
PA2068,22,13
predicted RNA,2229,3299
PA2069,23,25
predicted RNA,3369,4956
predicted RNA,1889,3535
predicted RNA,3092,4204
PA2070,249,295
PA2071,54,57
predicted RNA,3897,4101
predicted RNA,4852,4391
predicted RNA,4074,3631
PA2072,19,21
PA2073,42,49
PA2074,2,0
PA2075,16,18
PA2076,0,5
PA2077,75,67
PA2078,58,48
PA2079,58,28
PA2080,36,25
PA2081,22,20
PA2082,200,132
PA2083,10,14
PA2084,2,7
PA2085,32,23
PA2086,8,7
PA2087,7,6
PA2088,87,99
PA2089,114,114
PA2090,1,4
PA2091,2,1
PA2092,2,3
PA2093,26,14
PA2094,48,42
PA2095,12,6
PA2096,51,54
PA2097,7,15
PA2098,1,5
PA2099,33,37
PA2100,34,23
PA2101,192,142
PA2102,197,121
PA2103,256,211
PA2104,81,78
PA2105,163,132
PA2106,210,194
PA2107,54,57
PA2108,10,20
PA2109,77,128
PA2110,9,14
predicted RNA,531,431
PA2111,8,7
predicted RNA,891,920
predicted RNA,391,218
PA2112,0,8
predicted RNA,478,304
PA2113,28,19
predicted RNA,1770,1325
PA2114,67,60
PA2115,2,0
PA2116,31,62
PA2117,801,714
PA2118,45,61
PA2118a,78,107
predicted RNA,3972,4376
PA2119,343,276
PA2120,60,83
PA2121,14,12
PA2122,28,26
PA2123,13,8
PA2124,16,17
PA2125,70,85
PA2126,9,15
PA2127,355,398
predicted RNA,2480,2190
predicted RNA,1019,545
PA2128,105,93
PA2129,5,6
PA2130,28,31
PA2131,13,14
PA2132,4,5
PA2133,9,6
PA2134,10,20
PA2135,11,13
PA2136,341,293
PA2137,3,12
PA2138,8,7
PA2140,5,11
PA2141,1,0
PA2142,520,541
PA2142a,139,153
PA2143,19,36
PA2144,157,161
PA2145,297,344
predicted RNA,7369,7748
PA2146,23,124
PA2147,63,59
PA2148,8,4
PA2149,0,0
PA2150,3,5
PA2151,53,49
PA2152,59,57
PA2153,17,22
PA2154,113,118
PA2155,22,21
PA2156,12,16
PA2157,56,48
PA2158,19,26
PA2159,7,11
PA2160,24,24
PA2161,9,25
PA2162,8,13
PA2163,2,6
PA2164,11,15
PA2165,35,39
predicted RNA,9319,8465
PA2166,21,33
PA2167,29,33
PA2168,20,23
PA2169,12,16
PA2170,8,15
predicted RNA,6578,5765
PA2171,13,30
PA2172,25,28
PA2173,16,30
PA2173a,314,367
PA2174,814,636
PA2175,168,154
PA2176,9,32
PA2177,71,77
PA2178,378,259
PA2179,73,80
PA2180,11,10
PA2181,70,86
PA2182,27,46
PA2183,54,61
PA2184,20,25
PA2185,35,20
PA2187,71,95
PA2188,73,73
PA2189,166,106
PA2190,40,60
predicted RNA,4039,4426
PA2191,118,89
PA2192,2,2
PA2193,6,7
PA2194,16,14
predicted RNA,3024,2685
predicted RNA,1539,1213
PA2195,38,38
predicted RNA,2400,2424
predicted RNA,4084,3337
PA2196,21,23
PA2197,26,35
PA2198,2,7
PA2199,36,36
PA2200,9,15
PA2201,4,2
PA2202,43,46
PA2203,7,10
PA2204,94,84
PA2205,153,114
PA2206,174,188
PA2207,28,15
PA2208,17,13
PA2209,12,18
PA2210,5,7
PA2211,17,21
PA2212,19,29
PA2213,17,24
PA2214,12,13
PA2215,23,19
PA2216,3,8
PA2217,11,13
PA2218,159,148
PA2219,24,23
PA2220,45,54
PA2221,203,172
PA2222,106,57
PA2223,46,44
PA2224,36,17
PA2225,24,19
PA2226,45,46
PA2227,31,11
PA2228,43,34
PA2229,47,46
PA2230,303,304
predicted RNA,8410,5721
PA2231,125,121
predicted RNA,4716,4238
PA2232,35,53
predicted RNA,6261,5033
PA2233,76,95
PA2234,133,164
PA2235,24,26
predicted RNA,5154,4384
predicted RNA,6349,4928
PA2236,6,6
PA2237,17,22
PA2238,6,4
PA2239,18,17
PA2240,7,13
PA2241,9,9
PA2242,51,45
PA2243,9,15
PA2244,93,117
PA2246,990,894
predicted RNA,9374,5580
PA2247,35,54
PA2248,41,37
PA2249,54,87
predicted RNA,5622,3187
PA2250,66,77
PA2251,28,34
PA2252,86,87
PA2253,3,5
PA2254,34,30
PA2255,20,24
PA2256,17,17
PA2257,17,7
PA2258,7,16
PA2259,6,13
predicted RNA,2273,2399
PA2260,6,14
PA2261,31,32
PA2262,143,120
PA2263,9,6
PA2264,33,38
predicted RNA,1435,1302
PA2265,73,59
PA2266,54,97
PA2267,13,29
PA2268,14,22
PA2269,6,13
PA2270,0,1
PA2271,23,38
PA2272,85,80
PA2273,33,34
PA2274,8,6
PA2275,175,242
PA2276,33,40
PA2277,24,21
PA2278,24,26
PA2279,32,40
PA2280,118,99
PA2281,43,40
PA2282,55,46
PA2283,15,26
PA2284,101,114
PA2285,180,130
PA2286,71,72
PA2287,116,123
PA2288,3,11
PA2289,31,30
PA2290,25,27
PA2291,32,29
predicted RNA,2722,1971
PA2292,62,68
PA2293,0,4
PA2294,6,2
PA2295,0,3
PA2296,52,44
PA2297,19,32
PA2298,13,8
PA2299,23,25
