Synonym,Expression.4C10,Expression.4N10,Expression.4A10,Expression.4A50,Expression.4A90
SPD_0789,456,531,392,461,398
predicted RNA,362,370,351,317,355
SPD_0790,346,381,306,298,226
SPD_0791,1,2,0,1,1
SPD_0792,30,37,28,33,32
SPD_0793,19,18,19,19,13
SPD_0795,21,21,19,20,17
SPD_0796,17,17,18,15,14
SPD_0797,80,94,95,61,58
SPD_0798,60,59,56,37,39
SPD_0799,83,84,52,56,36
SPD_0800,16,15,11,18,22
SPD_0801,9,11,9,9,12
SPD_0802,42,42,41,33,42
SPD_0803,676,756,862,577,589
SPD_0804,5,5,5,5,4
SPD_0805,5,5,5,3,3
SPD_0806,0,1,1,1,1
SPD_0807,2,2,1,1,1
SPD_0808,0,0,0,1,0
predicted RNA,127,121,172,104,275
SPD_0809,23,23,30,26,25
SPD_0811,16,19,30,27,22
SPD_0812,25,26,42,32,31
SPD_0813,30,34,50,37,36
SPD_0814,51,52,81,56,76
SPD_0815,23,26,36,23,29
SPD_0816,38,51,32,35,32
SPD_0817,2,2,2,2,4
SPD_0818,79,75,67,64,86
SPD_0819,74,68,61,69,69
SPD_0820,79,76,72,74,83
SPD_0821,66,72,80,72,79
SPD_0822,26,24,24,25,22
SPD_0823,39,39,47,37,42
SPD_0824,17,19,25,17,17
SPD_0825,49,54,45,57,49
SPD_0826,56,56,56,55,69
SPD_0827,88,91,76,81,114
SPD_0828,28,29,27,24,34
SPD_0829,31,34,30,31,39
SPD_0831,1,1,1,0,2
SPD_0830,38,31,35,28,38
SPD_0832,3,3,2,3,2
SPD_0833,53,49,41,36,30
SPD_0834,329,307,225,269,241
SPD_0835,297,273,221,234,210
SPD_0836,168,138,93,119,116
SPD_0837,202,160,115,148,153
predicted RNA,200,177,125,138,126
SPD_0838,226,199,136,187,175
predicted RNA,206,189,148,218,168
SPD_0839,291,289,206,272,247
SPD_0840,223,229,185,227,214
SPD_0842,13,18,13,18,17
SPD_0843,5,3,1,3,2
SPD_0844,2,2,1,2,2
SPD_0845,17,20,19,16,17
SPD_0846,11,16,17,14,17
SPD_0847,182,128,146,158,233
SPD_0848,511,440,460,408,578
predicted RNA,365,336,359,364,451
SPD_0849,490,397,438,512,690
predicted RNA,356,246,287,340,467
SPD_0850,118,93,96,110,111
SPD_0851,457,320,93,275,136
SPD_0852,408,265,81,230,131
predicted RNA,148,100,36,89,45
SPD_0853,399,337,190,270,197
SPD_0854,62,84,55,73,62
SPD_0855,90,84,72,71,82
SPD_0856,76,72,75,54,72
SPD_0857,116,137,133,97,137
SPD_0858,52,43,67,39,62
SPD_0859,40,38,65,28,39
SPD_0860,11,11,15,8,14
SPD_0861,52,36,42,29,43
SPD_0862,46,36,49,35,42
SPD_0863,53,50,57,58,55
SPD_0864,57,60,73,57,62
SPD_0865,0,1,0,0,0
SPD_0866,425,364,270,307,333
SPD_0867,180,167,124,141,142
SPD_0868,434,395,319,318,283
SPD_0869,0,1,0,0,1
SPD_0870,52,55,42,41,45
SPD_0871,52,49,37,48,43
SPD_0872,45,42,30,36,33
SPD_0873,71,72,53,69,67
SPD_0874,40,41,50,38,41
SPD_0875,81,77,112,70,88
SPD_0876,28,28,40,31,28
SPD_0877,31,27,45,26,30
SPD_0878,88,99,106,97,103
SPD_0879,18,16,16,13,14
SPD_0880,19,23,25,16,18
SPD_0882,18,17,13,11,11
SPD_0883,4,5,5,1,3
SPD_0884,5,4,4,3,2
SPD_0885,78,91,64,44,44
SPD_0886,58,64,56,35,47
SPD_0887,17,14,19,13,11
SPD_0888,32,21,37,20,18
SPD_0889,49,45,63,40,35
SPD_0890,59,51,53,36,36
SPD_0893,1,0,0,0,0
SPD_0894,163,178,94,134,104
SPD_0895,9,28,21,37,40
SPD_0896,695,357,262,267,276
SPD_0897,4,6,5,7,5
SPD_0898,93,74,59,33,30
SPD_0900,27,25,25,21,20
SPD_0901,18,19,18,17,11
SPD_0902,96,73,52,50,46
SPD_0903,55,58,25,62,31
SPD_0904,37,33,22,34,37
SPD_0905,65,56,51,58,91
SPD_0906,86,83,76,76,91
SPD_0907,89,85,78,88,111
SPD_0908,179,161,146,162,205
SPD_0909,138,125,113,104,148
predicted RNA,121,94,115,84,155
SPD_0910,99,101,86,97,89
SPD_0911,52,50,50,53,51
SPD_0912,49,45,55,61,54
SPD_0913,646,361,336,229,220
SPD_0914,45,35,33,34,39
SPD_0915,351,372,245,284,299
SPD_0916,80,62,73,53,62
SPD_0917,33,39,56,27,37
SPD_0918,32,40,57,35,41
SPD_0919,29,33,58,35,42
SPD_0920,5,5,8,4,7
SPD_0921,11,13,15,12,14
SPD_0922,7,11,12,10,10
SPD_0923,10,15,16,15,15
SPD_0924,8,9,10,8,9
SPD_0925,7,8,9,9,9
SPD_0926,29,29,27,24,18
SPD_0927,14,12,8,13,10
SPD_0928,38,45,30,44,38
SPD_0929,23,31,16,27,22
SPD_0930,19,21,16,14,10
SPD_0931,41,47,36,36,26
SPD_0932,12,14,12,9,9
SPD_0933,19,21,22,15,14
SPD_0934,0,1,0,0,0
SPD_0935,0,1,0,0,0
SPD_0936,0,0,0,0,0
SPD_0938,1,2,0,1,2
SPD_0939,2,5,1,5,3
SPD_0940,0,0,0,0,0
SPD_0941,1,0,0,1,2
SPD_0942,2,1,1,1,2
SPD_0943,0,0,0,0,1
SPD_0944,0,1,0,0,0
SPD_0945,1,1,1,1,1
SPD_0946,0,1,0,1,1
SPD_0947,0,0,0,0,0
SPD_0948,1,1,1,1,2
SPD_0949,0,2,1,2,1
SPD_0950,1,1,1,0,1
SPD_0951,1,1,0,1,0
SPD_0952,82,75,61,84,86
SPD_0953,94,109,101,115,139
predicted RNA,77,90,109,93,89
SPD_0954,9,9,8,8,12
SPD_0955,4,5,6,6,4
SPD_0956,7,8,7,6,8
SPD_0957,187,187,141,187,218
SPD_0958,270,292,225,320,310
predicted RNA,205,237,185,299,276
SPD_0959,245,281,214,305,332
SPD_0960,125,125,112,109,153
SPD_0961,96,110,97,111,109
SPD_0962,95,99,96,99,95
predicted RNA,97,103,91,137,90
SPD_0963,62,64,55,71,60
SPD_0964,129,150,147,127,153
SPD_0965,114,141,144,138,132
SPD_0967,188,163,188,205,293
SPD_0968,91,91,111,90,116
SPD_0969,124,142,154,138,156
predicted RNA,172,232,249,198,263
SPD_0970,113,143,149,134,140
SPD_0971,9,9,5,7,10
SPD_0972,11,10,7,8,6
SPD_0973,65,52,57,56,64
SPD_0975,4,2,3,3,2
SPD_0974,103,116,90,98,90
SPD_0976,75,82,52,64,41
SPD_0977,118,148,123,143,131
SPD_0978,281,355,284,289,413
SPD_0979,155,186,147,158,168
SPD_0980,74,89,61,75,61
SPD_0981,32,36,30,26,40
SPD_0982,126,110,95,147,174
SPD_0983,102,98,93,138,149
SPD_0984,109,107,109,157,154
SPD_0985,48,59,48,60,49
SPD_0987,143,126,94,91,68
SPD_0988,30,35,28,34,36
SPD_0989,1528,1110,1044,877,1494
SPD_0990,1410,960,870,883,1204
predicted RNA,998,696,734,834,923
SPD_0991,696,452,471,570,610
SPD_0992,2,3,0,0,0
SPD_0993,0,2,0,0,0
SPD_0994,38,41,36,37,44
SPD_0995,43,66,47,52,56
SPD_0996,119,162,107,131,123
SPD_0997,77,80,61,88,52
predicted RNA,114,85,56,107,79
SPD_0998,105,80,85,100,111
SPD_0999,57,54,62,54,64
SPD_1000,11,10,13,13,16
SPD_1001,100,116,88,90,91
SPD_1002,135,163,141,130,129
SPD_1003,0,0,0,0,0
SPD_1004,6,6,6,5,4
SPD_1005,55,86,80,84,73
SPD_1006,66,86,82,81,71
SPD_1007,102,139,146,131,126
SPD_1008,75,95,110,87,76
SPD_1011,11,10,13,13,12
SPD_1010,50,35,32,47,57
SPD_1012,1275,1534,862,998,649
SPD_1013,7,7,11,5,9
SPD_1014,96,101,76,75,85
SPD_1015,25,29,27,25,32
SPD_1016,42,48,47,49,52
SPD_1017,55,62,74,63,76
SPD_1018,162,189,184,197,189
SPD_1019,109,103,89,106,129
SPD_1020,126,118,109,134,165
SPD_1021,109,95,101,100,108
SPD_1022,0,0,0,0,0
SPD_1023,14,13,12,10,9
SPD_1024,16,24,25,11,9
SPD_1025,23,26,26,12,13
SPD_1026,27,19,20,11,11
SPD_1027,67,37,36,19,21
SPD_1028,56,54,40,27,23
SPD_1029,172,178,190,183,128
predicted RNA,246,267,281,226,222
SPD_1030,253,277,282,228,203
SPD_1031,478,516,538,451,477
SPD_1032,269,295,314,286,267
SPD_1033,377,462,353,348,390
SPD_1034,1635,1881,1320,1694,1506
SPD_1035,0,0,0,0,0
SPD_1036,1,1,1,1,1
SPD_1037,63,55,52,51,43
SPD_1038,11,8,6,7,8
SPD_1039,876,925,768,555,617
SPD_1040,4260,5225,3079,3390,2858
SPD_1041,46,38,41,192,292
SPD_1042,92,68,101,364,590
SPD_1043,162,117,178,576,1120
SPD_1044,326,391,258,240,186
SPD_1045,1,2,4,2,1
SPD_1046,3,3,3,2,2
SPD_1047,4,5,6,3,3
SPD_1048,6,9,7,5,4
SPD_1049,4,4,7,3,3
SPD_1050,1854,2188,1842,1327,979
SPD_1051,1185,1371,1036,867,591
SPD_1052,2863,3862,2257,1806,1101
predicted RNA,1024,1221,853,729,498
SPD_1053,1745,1864,1383,1058,829
predicted RNA,89,90,43,97,34
SPD_1054,8,6,5,4,5
SPD_1057,46,58,42,54,79
SPD_1059,0,0,0,0,0
SPD_1060,69,83,84,75,65
SPD_1061,86,98,103,85,95
SPD_1062,79,91,89,81,82
SPD_1063,76,72,68,79,62
SPD_1064,102,97,103,109,106
SPD_1065,83,78,72,84,67
SPD_1066,87,74,62,89,79
SPD_1067,85,81,76,84,72
SPD_1068,82,76,58,86,89
SPD_1069,38,38,35,34,26
SPD_1070,19,22,30,23,22
SPD_1071,14,16,16,15,17
SPD_1072,37,34,34,34,35
SPD_1073,6,6,4,4,3
SPD_1074,3,3,1,4,3
SPD_1075,23,55,52,47,60
SPD_1076,117,126,153,105,135
SPD_1077,126,130,145,115,124
SPD_1078,470,449,248,234,120
SPD_1079,46,45,51,48,52
SPD_1080,30,29,26,32,33
SPD_1081,37,32,30,34,44
SPD_1082,25,24,18,21,25
SPD_1083,141,133,160,91,106
SPD_1084,248,237,248,175,208
SPD_1085,257,234,217,161,177
SPD_1086,109,86,88,58,59
SPD_1087,35,48,40,60,61
SPD_1088,70,80,52,58,41
SPD_1089,100,111,93,90,58
SPD_1090,84,89,80,60,44
SPD_1091,26,21,10,18,16
SPD_1093,50,40,26,36,30
SPD_1092,37,40,33,44,27
SPD_1094,41,44,39,40,42
SPD_1095,52,62,56,55,63
SPD_1096,61,61,51,58,56
SPD_1097,8,16,13,10,7
SPD_1098,53,42,42,38,29
SPD_1099,60,56,62,48,44
SPD_1100,140,129,103,107,70
SPD_1101,49,62,57,73,73
SPD_1102,59,65,60,84,83
SPD_1103,53,63,60,83,91
SPD_1104,64,67,62,89,106
SPD_1105,16,17,13,21,24
SPD_1107,65,49,29,39,56
SPD_1108,5,8,6,7,5
SPD_1109,8,12,9,12,11
SPD_1110,11,10,11,8,8
SPD_1111,15,15,22,18,16
SPD_1112,9,13,8,8,7
SPD_1113,16,18,19,15,14
SPD_1114,0,0,0,0,0
SPD_1115,20,19,25,20,24
SPD_1117,38,27,31,34,33
SPD_1118,149,128,134,150,147
SPD_1119,164,143,90,139,105
SPD_1120,108,86,87,86,71
SPD_1121,19,13,21,12,15
SPD_1122,2,2,1,1,0
SPD_1123,103,122,122,120,111
SPD_1124,142,163,159,149,178
SPD_1125,101,107,99,91,116
SPD_1126,137,130,118,118,147
SPD_1127,93,95,70,74,83
SPD_1128,36,34,29,23,27
SPD_1129,50,56,58,42,49
SPD_1130,42,45,57,38,34
SPD_1131,480,452,114,400,282
predicted RNA,278,227,57,168,118
SPD_1132,1530,1342,377,1159,828
SPD_1133,1303,1004,278,842,584
SPD_1134,784,616,160,404,319
predicted RNA,542,398,135,266,257
SPD_1135,143,126,116,102,88
SPD_1136,156,145,112,123,112
SPD_1137,11,14,8,17,15
SPD_1138,188,203,156,139,96
SPD_1139,216,219,145,153,122
SPD_1140,51,44,39,45,48
SPD_1141,435,249,83,154,104
SPD_1142,68,70,72,64,64
SPD_1143,99,89,83,91,122
SPD_1144,13,17,11,15,14
SPD_1145,72,71,55,60,60
SPD_1146,79,89,75,63,73
SPD_1148,345,241,234,258,230
SPD_1149,77,66,61,73,41
SPD_1150,165,140,133,182,103
SPD_1151,74,66,56,90,53
SPD_1152,156,142,99,172,117
SPD_1153,71,76,40,49,41
SPD_1154,1861,1611,1247,2542,1971
SPD_1155,2,2,2,2,3
SPD_1156,6,4,3,5,4
SPD_1157,32,32,19,34,26
SPD_1158,84,85,68,62,34
SPD_1159,210,170,137,154,189
SPD_1160,173,135,106,119,148
SPD_1161,3,3,1,3,2
SPD_1162,1,1,1,0,0
SPD_1163,1,1,1,1,1
SPD_1164,1,0,1,0,2
SPD_1165,8,9,11,6,8
SPD_1166,6,8,12,7,6
SPD_1167,4,7,9,5,5
SPD_1168,4,8,11,6,7
SPD_1169,4,6,9,5,5
SPD_1170,13,14,12,12,11
SPD_1171,19,22,22,23,23
SPD_1172,10,10,9,11,13
SPD_1174,0,1,0,1,1
SPD_1175,18,22,26,16,12
SPD_1176,26,32,32,25,21
SPD_1177,26,30,31,24,19
SPD_1178,42,44,41,37,29
SPD_1179,46,64,46,42,33
predicted RNA,517,613,536,595,574
SPD_1180,0,0,0,0,0
SPD_1181,0,1,0,0,1
SPD_1182,0,0,0,0,0
SPD_1183,0,0,0,0,0
SPD_1184,0,1,0,0,1
SPD_1185,0,1,0,0,1
SPD_1186,0,0,0,0,0
SPD_1187,512,387,572,521,515
predicted RNA,601,407,558,759,607
SPD_1188,500,394,469,533,563
SPD_1189,1,1,2,1,0
SPD_1190,78,89,52,65,48
SPD_1191,7,7,9,7,6
SPD_1192,7,8,11,6,5
SPD_1193,149,153,158,116,108
SPD_1194,89,77,79,60,59
SPD_1195,110,87,87,74,69
SPD_1196,79,91,65,83,101
SPD_1197,84,97,116,92,87
SPD_1198,83,90,91,98,82
SPD_1199,66,72,83,79,69
SPD_1200,107,105,122,125,108
SPD_1201,110,104,83,112,98
SPD_1202,72,88,80,101,93
SPD_1203,83,93,89,100,103
SPD_1204,70,80,73,88,77
SPD_1205,70,86,73,86,74
SPD_1206,137,150,120,148,148
SPD_1207,90,99,89,99,109
SPD_1208,79,88,74,75,72
SPD_1209,85,89,78,94,82
SPD_1210,75,75,69,78,83
SPD_1211,132,144,115,157,161
SPD_1212,70,65,53,61,85
SPD_1213,1,2,1,0,1
SPD_1214,3,2,2,1,1
SPD_1215,2,4,2,2,2
SPD_1216,68,56,47,41,41
SPD_1217,85,55,37,46,57
SPD_1218,53,57,71,66,81
SPD_1219,34,32,42,41,60
SPD_1220,42,40,45,42,44
SPD_1221,60,52,61,60,80
SPD_1222,34,33,34,37,42
SPD_1223,55,59,48,47,51
SPD_1224,57,58,48,50,63
SPD_1225,22,23,15,21,13
SPD_1226,36,34,38,37,27
SPD_1227,566,566,644,575,511
SPD_1228,246,260,262,219,211
SPD_1229,191,202,209,181,153
SPD_1230,239,260,255,237,186
SPD_1231,180,193,185,164,129
SPD_1232,325,271,258,289,246
SPD_1233,14,13,16,16,22
SPD_1234,28,23,27,28,38
SPD_1235,34,33,35,44,55
SPD_1236,92,109,103,109,151
SPD_1237,65,78,80,70,58
SPD_1238,121,132,126,126,101
SPD_1239,96,106,104,95,87
SPD_1240,190,199,186,186,188
SPD_1241,244,270,217,211,151
SPD_1242,124,135,103,97,62
SPD_1243,202,240,168,204,150
SPD_1244,159,164,105,138,99
SPD_1245,492,467,381,537,381
SPD_1246,650,822,671,710,651
SPD_1247,52,45,41,31,30
SPD_1248,16,16,22,15,29
predicted RNA,71,58,84,100,111
SPD_1249,37,39,37,40,53
SPD_1250,66,68,72,82,102
SPD_1251,49,64,60,69,67
SPD_1252,6,13,13,12,9
SPD_1253,5,9,10,9,10
SPD_1254,2,4,3,3,2
SPD_1255,4,9,5,6,6
SPD_1256,23,25,25,28,31
SPD_1257,0,0,0,0,0
SPD_1258,19,21,15,25,29
SPD_1260,15,15,13,19,22
SPD_1261,0,1,0,0,1
SPD_1262,13,18,16,16,27
SPD_1263,1,2,1,1,1
SPD_1264,1,2,1,1,1
SPD_1265,0,1,0,0,0
SPD_1266,1,1,1,1,1
SPD_1267,3,3,3,2,4
SPD_1268,0,0,0,0,0
SPD_1269,0,1,0,0,0
SPD_1270,0,2,0,0,0
SPD_1271,0,0,0,0,0
SPD_1272,2,5,3,4,2
SPD_1273,1,1,0,1,1
SPD_1274,228,194,145,169,139
SPD_1275,0,1,0,0,0
SPD_1276,17,16,21,18,15
SPD_1277,46,41,49,38,48
SPD_1278,68,81,63,66,71
SPD_1279,20,36,29,25,26
SPD_1280,17,26,22,29,29
SPD_1281,14,16,15,15,23
SPD_1282,21,20,16,21,29
SPD_1283,30,29,20,40,38
SPD_1284,0,1,0,1,0
SPD_1285,240,280,191,200,180
SPD_1286,86,71,40,54,54
SPD_1287,132,119,125,85,98
SPD_1288,82,64,80,44,83
SPD_1289,85,75,94,78,73
SPD_1290,75,66,77,78,75
SPD_1291,159,108,133,123,133
SPD_1292,176,113,145,138,164
SPD_1293,176,105,109,146,140
SPD_1294,405,313,275,382,348
SPD_1295,111,88,72,110,91
SPD_1296,18,11,12,12,10
SPD_1297,29,21,19,17,20
SPD_1298,288,259,263,257,350
SPD_1299,2,1,0,2,1
SPD_1300,9,10,6,16,14
SPD_1301,7,17,9,15,16
SPD_1302,16,25,18,32,31
SPD_1303,32,30,23,22,19
SPD_1304,56,65,57,40,46
SPD_1305,70,70,55,54,60
SPD_1306,38,32,25,23,24
SPD_1307,28,25,19,25,23
SPD_1308,112,120,116,103,96
SPD_1309,201,199,190,171,214
predicted RNA,154,148,110,139,188
SPD_1310,71,71,53,56,64
SPD_1311,113,126,93,116,101
SPD_1312,93,92,77,70,61
SPD_1316,1,2,1,1,1
SPD_1317,17,17,11,10,8
SPD_1318,7769,6600,5089,4403,3490
predicted RNA,199,239,142,124,138
SPD_1319,0,0,1,0,0
SPD_1320,162,155,142,134,108
SPD_1321,1,2,1,0,1
SPD_1322,1,1,0,0,0
SPD_1323,1,2,0,0,1
SPD_1324,0,1,0,0,0
SPD_1326,222,222,216,200,234
SPD_1327,161,133,86,89,50
SPD_1328,104,84,98,87,73
SPD_1329,120,103,106,102,79
SPD_1330,68,67,52,67,42
SPD_1331,109,124,141,118,116
SPD_1332,107,114,125,113,121
SPD_1333,104,97,68,86,67
SPD_1334,102,98,117,73,39
SPD_1335,209,209,240,148,110
SPD_1336,278,274,324,185,166
SPD_1337,143,134,145,95,69
SPD_1338,128,115,108,65,54
SPD_1339,313,248,254,198,164
SPD_1340,296,258,237,210,146
SPD_1341,364,338,272,209,255
SPD_1342,5,4,5,2,4
SPD_1343,31,18,38,20,28
SPD_1344,6,4,4,4,4
SPD_1345,337,275,288,332,326
SPD_1346,442,368,321,371,340
SPD_1347,60,59,73,50,53
SPD_1348,62,64,71,49,66
SPD_1349,99,99,100,87,87
SPD_1350,129,108,104,109,87
SPD_1351,25,28,31,22,28
SPD_1352,4,4,4,3,2
SPD_1353,7,7,6,5,5
SPD_1354,1,1,1,1,1
SPD_1355,4,4,2,3,3
SPD_1357,33,38,25,30,20
SPD_1358,71,69,56,49,51
SPD_1359,40,42,44,36,34
predicted RNA,104,43,23,39,30
SPD_1360,430,314,256,235,146
predicted RNA,116,141,134,94,124
predicted RNA,100,105,102,95,95
SPD_1362,153,153,138,124,188
SPD_1363,221,267,189,179,158
SPD_1364,172,177,200,208,243
SPD_1365,145,154,154,143,158
SPD_1366,317,351,306,356,328
SPD_1367,174,154,139,144,157
SPD_1368,488,357,408,548,499
SPD_1369,814,532,622,763,1051
SPD_1370,458,287,312,390,467
predicted RNA,208,144,160,340,197
SPD_1371,70,68,76,62,55
SPD_1372,131,127,134,115,134
SPD_1373,90,79,84,92,94
SPD_1374,126,105,100,98,108
SPD_1375,56,56,44,37,32
SPD_1376,2,2,2,2,1
SPD_1377,1,2,1,1,1
SPD_1378,48,41,24,34,31
SPD_1379,19,17,7,16,10
predicted RNA,74,81,53,146,96
SPD_1380,133,164,116,153,127
SPD_1381,88,99,78,109,117
SPD_1382,84,109,124,66,55
SPD_1383,72,92,92,53,46
SPD_1384,43,32,39,28,39
SPD_1385,40,41,51,32,33
SPD_1386,63,54,69,47,46
SPD_1387,146,144,154,112,113
predicted RNA,122,130,160,94,141
predicted RNA,110,116,98,63,102
SPD_1388,89,103,87,64,71
SPD_1389,135,134,128,115,95
SPD_1390,66,72,79,59,55
SPD_1391,119,139,140,111,96
SPD_1392,80,86,83,64,72
SPD_1393,41,41,31,30,25
SPD_1394,143,165,144,136,106
SPD_1395,108,121,102,94,72
SPD_1396,270,264,229,213,169
SPD_1397,175,186,167,142,142
SPD_1398,246,245,225,199,160
SPD_1399,120,125,100,93,68
predicted RNA,189,185,118,179,123
SPD_1400,282,249,160,239,194
SPD_1401,284,282,193,215,207
SPD_1402,556,408,434,241,210
SPD_1403,828,874,797,769,710
SPD_1404,518,522,406,387,434
SPD_1405,115,111,123,116,128
SPD_1406,194,168,197,179,234
SPD_1407,197,176,171,187,194
SPD_1408,66,66,50,80,61
SPD_1409,82,105,112,136,126
SPD_1411,75,104,117,99,132
SPD_1412,66,96,86,81,112
SPD_1413,62,32,59,27,51
SPD_1414,2,2,3,1,1
SPD_1415,54,50,25,21,9
SPD_1416,109,94,92,62,66
SPD_1417,136,121,118,87,84
SPD_1418,115,125,68,62,37
SPD_1419,84,73,37,36,27
SPD_1422,21,14,18,15,18
SPD_1423,32,17,24,25,29
SPD_1424,29,19,19,24,26
SPD_1425,37,29,33,34,36
SPD_1426,69,57,41,63,46
SPD_1427,332,233,213,227,297
SPD_1428,111,123,112,126,69
SPD_1429,328,340,372,405,342
SPD_1430,5,6,3,3,2
predicted RNA,270,272,242,224,243
SPD_1431,187,195,148,157,113
SPD_1432,877,1064,673,883,697
SPD_1433,17,19,21,19,20
SPD_1434,27,26,27,28,29
SPD_1435,20,18,16,20,16
SPD_1436,55,49,50,50,57
SPD_1437,27,29,17,25,18
SPD_1438,285,220,212,216,281
SPD_1439,308,205,195,200,150
SPD_1440,0,1,0,0,0
SPD_1441,0,0,0,0,0
SPD_1442,46,40,31,37,48
SPD_1443,84,72,74,53,84
SPD_1444,55,53,48,40,48
SPD_1445,28,35,26,28,27
SPD_1446,25,36,21,25,25
SPD_1447,19,23,10,15,11
SPD_1448,72,72,58,77,69
predicted RNA,114,164,121,163,127
SPD_1449,68,76,59,70,63
SPD_1450,96,71,57,66,73
SPD_1451,7,4,2,4,3
SPD_1452,6,3,3,1,3
SPD_1454,7,11,7,5,5
predicted RNA,107,94,71,71,102
SPD_1455,0,0,0,0,0
SPD_1456,1,1,1,0,1
SPD_1457,45,46,44,38,29
SPD_1458,64,69,61,61,39
SPD_1459,41,35,27,22,22
SPD_1460,472,453,311,429,347
SPD_1461,108,99,55,43,26
SPD_1462,55,54,37,25,16
SPD_1463,182,182,128,92,72
SPD_1464,181,166,108,57,33
SPD_1465,53,60,37,55,42
predicted RNA,111,47,12,26,19
SPD_1466,41,45,29,40,22
SPD_1467,99,85,31,78,53
SPD_1468,772,1030,601,619,500
predicted RNA,145,353,117,132,285
SPD_1469,1,0,0,0,0
SPD_1470,5,5,3,6,3
SPD_1471,7,6,6,6,3
SPD_1472,42,43,47,36,38
SPD_1473,380,437,650,375,567
SPD_1474,312,322,411,262,326
SPD_1475,223,224,275,199,260
SPD_1476,104,109,111,106,102
SPD_1477,281,310,344,334,362
SPD_1478,381,455,543,382,525
SPD_1479,364,426,431,385,370
SPD_1480,212,228,239,212,241
SPD_1481,76,78,62,71,60
SPD_1482,57,63,50,58,66
SPD_1483,51,54,43,48,56
SPD_1484,106,99,87,108,117
SPD_1485,67,101,97,80,64
SPD_1486,66,77,74,57,55
SPD_1487,111,94,69,81,67
SPD_1488,5,6,6,5,6
SPD_1489,5,6,6,5,6
SPD_1490,4,8,9,7,7
SPD_1491,18,26,25,20,34
SPD_1492,3,3,6,3,6
SPD_1493,5,7,8,5,6
SPD_1494,5,5,8,5,8
SPD_1495,20,23,23,24,24
SPD_1496,14,21,21,24,32
SPD_1497,6,10,10,10,13
SPD_1498,1,1,1,1,1
SPD_1499,0,1,1,1,1
SPD_1500,1,1,0,0,1
SPD_1501,0,0,1,0,0
SPD_1502,0,1,0,0,0
SPD_1503,0,0,0,0,1
SPD_1504,6,6,6,6,7
SPD_1505,1,2,1,0,1
SPD_1506,77,65,64,53,53
SPD_1507,49,49,56,55,55
SPD_1508,56,61,71,71,71
SPD_1509,47,46,54,50,51
SPD_1510,112,126,151,119,137
SPD_1511,69,71,85,69,81
SPD_1512,127,139,139,132,167
SPD_1514,6,11,11,13,15
SPD_1515,7,10,12,9,15
SPD_1516,12,15,16,15,24
SPD_1517,9,10,11,16,14
SPD_1518,19,16,13,14,15
SPD_1519,153,182,168,156,130
SPD_1520,121,135,126,90,91
SPD_1521,75,82,72,57,57
SPD_1522,142,163,130,120,119
SPD_1523,115,151,91,117,85
SPD_1524,208,165,184,74,61
SPD_1525,168,153,153,53,52
SPD_1526,204,195,210,66,60
predicted RNA,85,98,113,25,21
SPD_1527,163,171,173,119,81
SPD_1528,219,225,171,149,111
SPD_1530,82,76,65,55,67
SPD_1531,45,89,53,12,5
SPD_1532,1,1,0,0,0
SPD_1533,0,0,0,0,0
SPD_1534,10,14,8,9,8
SPD_1535,10,12,10,9,10
SPD_1536,94,92,96,86,75
SPD_1537,67,75,60,58,51
SPD_1538,45,39,51,43,79
SPD_1540,82,74,73,81,94
SPD_1541,41,41,29,39,36
SPD_1542,286,333,308,297,246
SPD_1543,291,315,255,275,254
SPD_1544,80,76,63,59,66
SPD_1545,69,68,51,56,54
SPD_1546,53,50,39,39,35
SPD_1547,364,335,291,303,393
SPD_1548,257,235,195,213,254
SPD_1549,182,139,130,129,173
SPD_1550,11,12,5,12,7
SPD_1551,17,17,8,13,14
SPD_1552,36,30,36,33,37
SPD_1553,71,56,66,54,71
SPD_1554,27,23,28,27,21
SPD_1555,111,114,126,91,123
SPD_1556,154,160,163,152,169
SPD_1557,146,145,147,138,154
SPD_1558,132,127,147,122,99
SPD_1559,86,86,87,78,85
SPD_1560,79,72,69,67,83
SPD_1561,111,116,100,95,111
SPD_1562,58,68,48,42,48
SPD_1563,16,13,9,15,11
SPD_1564,11,12,10,13,13
predicted RNA,53,49,39,161,83
SPD_1565,76,75,67,74,88
SPD_1566,1136,1279,940,922,967
SPD_1567,476,491,378,350,309
SPD_1568,11,8,6,5,9
SPD_1569,24,24,31,20,18
SPD_1570,28,32,38,23,27
SPD_1571,31,32,43,29,29
SPD_1572,26,25,38,29,23
SPD_1573,27,26,47,38,30
SPD_1574,21,22,41,28,21
SPD_1575,17,18,27,21,17
SPD_1576,30,29,32,30,28
SPD_1577,107,117,87,120,121
SPD_1578,1,1,1,0,1
SPD_1579,0,0,0,0,0
SPD_1580,47,50,38,42,37
predicted RNA,40,63,46,98,184
SPD_1582,0,1,1,1,1
SPD_1583,1,1,2,1,0
SPD_1584,0,2,1,0,1
SPD_1585,2,3,1,1,1
SPD_1586,77,67,49,69,86
SPD_1587,13,10,9,6,9
predicted RNA,245,229,279,98,72
SPD_1588,117,104,119,54,36
SPD_1589,238,215,213,91,64
SPD_1590,155,164,166,89,51
SPD_1591,186,206,189,136,69
SPD_1592,8,7,4,8,5
SPD_1593,0,1,0,0,0
SPD_1594,44,55,35,95,183
SPD_1595,44,56,29,116,181
SPD_1596,5,5,5,5,5
SPD_1597,7,9,6,6,9
