Genome feature ID,C..albicans...S..gordonii,S..gordonii...spent.C..albicans.medium,S..gordonii.only,C..albicans...S..gordonii.1,S..gordonii...spent.C..albicans.medium.1,S..gordonii.only.1,C..albicans...S..gordonii.2,S..gordonii...spent.C..albicans.medium.2,S..gordonii.only.2
ID_SGO_0423_p01_Parent_SGO_0423_t01_Dbxref_GI_157150334_GeneID_5598130_Note_identified_by_match_to_protein_family_HMM_PF04215_codon_start_1_locus_tag_SGO_0423_product_putative_sugar-specific_permease_protein_id_YP_001449739_1_transl_table_11_translation_length_428,360,1069,848,99,378,773,187,538,311
ID_trpA-1_p01_Parent_trpA-1_t01_Dbxref_GI_157149883_GeneID_5599420_eC_number_4_2_1_20_Note_identified_by_match_to_protein_family_HMM_PF00290_B_match_to_protein_family_HMM_TIGR00262_codon_start_1_gene_trpA-1_locus_tag_SGO_0424_product_tryptophan_synthase_subunit_alpha_protein_id_YP_001449740_1_transl_table_11_translation_length_228,216,732,486,32,195,406,84,192,99
ID_ansB_p01_Parent_ansB_t01_Dbxref_GI_157150212_GeneID_5598885_eC_number_3_5_1_1_Note_identified_by_match_to_protein_family_HMM_PF00710_codon_start_1_gene_ansB_locus_tag_SGO_0425_product_asparaginase_protein_id_YP_001449741_1_transl_table_11_translation_length_320,1412,4672,3906,289,736,1016,297,772,521
ID_SGO_0426_p01_Parent_SGO_0426_t01_Dbxref_GI_157150141_GeneID_5599007_Note_identified_by_match_to_protein_family_HMM_PF00702_B_match_to_protein_family_HMM_PF05116_B_match_to_protein_family_HMM_PF08282_B_match_to_protein_family_HMM_TIGR00099_B_match_to_protein_family_HMM_TIGR01484_codon_start_1_locus_tag_SGO_0426_product_Cof_family_protein_protein_id_YP_001449742_1_transl_table_11_translation_length_463,4961,14462,9992,3096,4316,7311,2958,6742,5816
ID_SGO_0427_p01_Parent_SGO_0427_t01_Dbxref_GI_157150470_GeneID_5599488_Note_identified_by_match_to_protein_family_HMM_PF00582_codon_start_1_locus_tag_SGO_0427_product_universal_stress_protein_protein_id_YP_001449743_1_transl_table_11_translation_length_150,1247,1639,1450,224,556,1149,427,1531,1016
ID_SGO_0428_p01_Parent_SGO_0428_t01_Dbxref_GI_157150285_GeneID_5599168_codon_start_1_locus_tag_SGO_0428_product_hypothetical_protein_protein_id_YP_001449744_1_transl_table_11_translation_length_40,6,19,16,8,10,74,5,9,22
ID_SGO_0429_p01_Parent_SGO_0429_t01_Dbxref_GI_157151628_GeneID_5598692_Note_broad_specificity_B_family_IV_B_in_Corynebacterium_glutamicum_this_protein_can_use_glutamate_2C_2-aminobutyrate_2C_and_aspartate_as_amino_donors_and_pyruvate_as_the_acceptor_codon_start_1_locus_tag_SGO_0429_product_aminotransferase_AlaT_protein_id_YP_001449745_1_transl_table_11_translation_length_404,7268,21490,15327,2288,6746,7870,2471,8303,6791
ID_SGO_0430_p01_Parent_SGO_0430_t01_Dbxref_GI_157151454_GeneID_5598018_Note_identified_by_match_to_protein_family_HMM_TIGR01167_codon_start_1_locus_tag_SGO_0430_product_LPXTG_cell_wall_surface_protein_protein_id_YP_001449746_1_transl_table_11_translation_length_886,7522,19886,15465,3888,6735,8120,6649,14430,13488
ID_SGO_0431_p01_Parent_SGO_0431_t01_Dbxref_GI_157149713_GeneID_5599702_Note_CodY_B_DNA-binding_protein_that_represses_the_expression_of_many_genes_that_are_induced_as_cells_make_the_transition_from_rapid_exponential_growth_to_stationary_phase_(By_similarity)__It_is_a_GTP-binding_protein_that_senses_the_intracellular_GTP_concentration_as_an_indicator_of_nutritional_limitations__At_low_GTP_concentration_it_no_longer_binds_GTP_and_stop_to_act_as_a_transcriptional_repressor_codon_start_1_locus_tag_SGO_0431_product_transcriptional_repressor_CodY_protein_id_YP_001449747_1_transl_table_11_translation_length_262,2634,8547,5573,2385,4639,4565,3679,6827,7690
ID_entB_p01_Parent_entB_t01_Dbxref_GI_157150515_GeneID_5599248_Note_identified_by_match_to_protein_family_HMM_PF00857_codon_start_1_gene_entB_locus_tag_SGO_0432_product_isochorismatase_family_protein_protein_id_YP_001449748_1_transl_table_11_translation_length_185,1979,5599,3496,1048,2472,2310,1665,3848,3853
ID_SGO_0433_p01_Parent_SGO_0433_t01_Dbxref_GI_157150869_GeneID_5599078_codon_start_1_locus_tag_SGO_0433_product_hypothetical_protein_protein_id_YP_001449749_1_transl_table_11_translation_length_41,564,1587,944,452,613,954,733,868,800
ID_aspS_p01_Parent_aspS_t01_Dbxref_GI_157151355_GeneID_5598431_eC_number_6_1_1_12_Note_catalyzes_a_two-step_reaction_2C_first_charging_an_aspartate_molecule_by_linking_its_carboxyl_group_to_the_alpha-phosphate_of_ATP_2C_followed_by_transfer_of_the_aminoacyl-adenylate_to_its_tRNA_B_contains_discriminating_and_non-discriminating_subtypes_codon_start_1_gene_aspS_locus_tag_SGO_0434_product_aspartyl-tRNA_synthetase_protein_id_YP_001449750_1_transl_table_11_translation_length_578,6531,18413,9207,3517,5619,8140,7809,10853,9376
ID_gatC_p01_Parent_gatC_t01_Dbxref_GI_157149759_GeneID_5597890_Note_allows_the_formation_of_correctly_charged_Asn-tRNA(Asn)_or_Gln-tRNA(Gln)_through_the_transamidation_of_misacylated_Asp-tRNA(Asn)_or_Glu-tRNA(Gln)_in_organisms_which_lack_either_or_both_of_asparaginyl-tRNA_or_glutaminyl-tRNA_synthetases_B_reaction_takes_place_in_the_presence_of_glutamine_and_ATP_through_an_activated_phospho-Asp-tRNA(Asn)_or_phospho-Glu-tRNA_B_some_Mycoplasma_proteins_contain_an_N-terminal_fusion_to_an_unknown_domain_codon_start_1_gene_gatC_locus_tag_SGO_0435_product_aspartyl/glutamyl-tRNA_amidotransferase_subunit_C_protein_id_YP_001449751_1_transl_table_11_translation_length_100,2486,6089,3318,895,1399,2083,1744,2635,2589
ID_gatA_p01_Parent_gatA_t01_Dbxref_GI_157149892_GeneID_5599712_Note_allows_the_formation_of_correctly_charged_Asn-tRNA(Asn)_or_Gln-tRNA(Gln)_through_the_transamidation_of_misacylated_Asp-tRNA(Asn)_or_Glu-tRNA(Gln)_in_organisms_which_lack_either_or_both_of_asparaginyl-tRNA_or_glutaminyl-tRNA_synthetases_B_reaction_takes_place_in_the_presence_of_glutamine_and_ATP_through_an_activated_phospho-Asp-tRNA(Asn)_or_phospho-Glu-tRNA_codon_start_1_gene_gatA_locus_tag_SGO_0436_product_aspartyl/glutamyl-tRNA_amidotransferase_subunit_A_protein_id_YP_001449752_1_transl_table_11_translation_length_488,6111,16715,10940,2457,4901,6305,4696,7849,6995
ID_gatB_p01_Parent_gatB_t01_Dbxref_GI_157150996_GeneID_5598553_Note_allows_the_formation_of_correctly_charged_Asn-tRNA(Asn)_or_Gln-tRNA(Gln)_through_the_transamidation_of_misacylated_Asp-tRNA(Asn)_or_Glu-tRNA(Gln)_in_organisms_which_lack_either_or_both_of_asparaginyl-tRNA_or_glutaminyl-tRNA_synthetases_B_reaction_takes_place_in_the_presence_of_glutamine_and_ATP_through_an_activated_phospho-Asp-tRNA(Asn)_or_phospho-Glu-tRNA_codon_start_1_gene_gatB_locus_tag_SGO_0437_product_aspartyl/glutamyl-tRNA_amidotransferase_subunit_B_protein_id_YP_001449753_1_transl_table_11_translation_length_477,6195,17712,12205,2897,6103,7073,4893,9470,8577
ID_SGO_0438_p01_Parent_SGO_0438_t01_Dbxref_GI_157151572_GeneID_5598176_codon_start_1_locus_tag_SGO_0438_product_hypothetical_protein_protein_id_YP_001449754_1_transl_table_11_translation_length_266,673,1871,1530,763,625,1426,767,726,627
ID_SGO_0439_p01_Parent_SGO_0439_t01_Dbxref_GI_157150077_GeneID_5598894_codon_start_1_locus_tag_SGO_0439_product_hypothetical_protein_protein_id_YP_001449755_1_transl_table_11_translation_length_97,2465,9559,5537,1060,1752,2412,1050,2161,1818
ID_SGO_0440_p01_Parent_SGO_0440_t01_Dbxref_GI_157150058_GeneID_5597762_Note_identified_by_match_to_protein_family_HMM_PF00107_B_match_to_protein_family_HMM_PF08240_codon_start_1_locus_tag_SGO_0440_product_L-iditol_2-dehydrogenase_protein_id_YP_001449756_1_transl_table_11_translation_length_348,1279,3198,1758,745,1225,2090,1059,2555,2002
ID_SGO_0441_p01_Parent_SGO_0441_t01_Dbxref_GI_157150654_GeneID_5598276_Note_identified_by_match_to_protein_family_HMM_PF00892_codon_start_1_locus_tag_SGO_0441_product_membrane_protein_protein_id_YP_001449757_1_transl_table_11_translation_length_303,235,926,635,121,250,483,127,464,270
ID_SGO_0442_p01_Parent_SGO_0442_t01_Dbxref_GI_157150784_GeneID_5598834_Note_identified_by_match_to_protein_family_HMM_PF09335_codon_start_1_locus_tag_SGO_0442_product_immunoreactive_protein_Se23_5-like_protein_protein_id_YP_001449758_1_transl_table_11_translation_length_208,767,2325,1732,210,872,856,281,1042,909
ID_SGO_0443_p01_Parent_SGO_0443_t01_Dbxref_GI_157151372_GeneID_5598602_codon_start_1_locus_tag_SGO_0443_product_hypothetical_protein_protein_id_YP_001449759_1_transl_table_11_translation_length_160,206,854,467,171,325,574,235,478,412
ID_SGO_0444_p01_Parent_SGO_0444_t01_Dbxref_GI_157149796_GeneID_5598125_Note_identified_by_match_to_protein_family_HMM_TIGR01549_B_match_to_protein_family_HMM_TIGR01662_B_match_to_protein_family_HMM_TIGR01668_codon_start_1_locus_tag_SGO_0444_product_HAD_family_phosphatase_protein_id_YP_001449760_1_transl_table_11_translation_length_169,2466,8819,6333,980,1600,2448,1120,2158,1660
ID_SGO_0445_p01_Parent_SGO_0445_t01_Dbxref_GI_157149789_GeneID_5599558_Note_in_Bacillus_subtilis_this_enzyme_appears_to_be_involved_in_30S_ribosomal_RNA_subunit_biogenesis_codon_start_1_locus_tag_SGO_0445_product_GTP-binding_protein_YqeH_protein_id_YP_001449761_1_transl_table_11_translation_length_368,5226,16351,11519,2667,4806,6052,3768,6047,4689
ID_SGO_0446_p01_Parent_SGO_0446_t01_Dbxref_GI_157150382_GeneID_5599494_Note_identified_by_match_to_protein_family_HMM_PF01985_B_match_to_protein_family_HMM_TIGR00253_codon_start_1_locus_tag_SGO_0446_product_hypothetical_protein_protein_id_YP_001449762_1_transl_table_11_translation_length_103,2755,7922,5353,1377,3104,3474,2446,4026,2780
ID_nadD_p01_Parent_nadD_t01_Dbxref_GI_157150990_GeneID_5599341_eC_number_2_7_7_18_Note_transfers_an_adenyl_group_from_ATP_to_NaMN_to_form_nicotinic_acid_adenine_dinucleotide_(NaAD)_which_is_then_converted_to_the_ubiquitous_compound_NAD_by_NAD_synthetase_B_essential_enzyme_in_bacteria_codon_start_1_gene_nadD_locus_tag_SGO_0447_product_nicotinic_acid_mononucleotide_adenylyltransferase_protein_id_YP_001449763_1_transl_table_11_translation_length_210,6352,17450,11765,3620,7365,8231,6135,10556,8384
ID_SGO_0448_p01_Parent_SGO_0448_t01_Dbxref_GI_157151688_GeneID_5598197_Note_identified_by_match_to_protein_family_HMM_PF01966_B_match_to_protein_family_HMM_TIGR00488_codon_start_1_locus_tag_SGO_0448_product_hypothetical_protein_protein_id_YP_001449764_1_transl_table_11_translation_length_199,4739,13201,8593,3431,4463,6746,5544,6324,5694
ID_SGO_0449_p01_Parent_SGO_0449_t01_Dbxref_GI_157150596_GeneID_5598565_Note_identified_by_match_to_protein_family_HMM_PF00857_codon_start_1_locus_tag_SGO_0449_product_isochorismatase_family_protein_protein_id_YP_001449765_1_transl_table_11_translation_length_167,5936,16682,10318,4542,4619,7515,6786,6571,5806
ID_SGO_0450_p01_Parent_SGO_0450_t01_Dbxref_GI_157150230_GeneID_5598933_Note_identified_by_match_to_protein_family_HMM_PF02410_B_match_to_protein_family_HMM_TIGR00090_codon_start_1_locus_tag_SGO_0450_product_iojap-like_protein_protein_id_YP_001449766_1_transl_table_11_translation_length_121,2199,6035,3911,1519,2129,2629,2132,3272,2885
ID_SGO_0451_p01_Parent_SGO_0451_t01_Dbxref_GI_157150734_GeneID_5597909_Note_identified_by_match_to_protein_family_HMM_PF08241_B_match_to_protein_family_HMM_PF08242_codon_start_1_locus_tag_SGO_0451_product_methyltransferase_protein_id_YP_001449767_1_transl_table_11_translation_length_244,1116,3335,2171,630,1697,1673,945,2176,1641
ID_SGO_0452_p01_Parent_SGO_0452_t01_Dbxref_GI_157151466_GeneID_5598682_Note_identified_by_match_to_protein_family_HMM_PF05636_codon_start_1_locus_tag_SGO_0452_product_hypothetical_protein_protein_id_YP_001449768_1_transl_table_11_translation_length_363,1025,3076,2247,464,1196,1185,750,1598,1055
ID_SGO_0453_p01_Parent_SGO_0453_t01_Dbxref_GI_157151497_GeneID_5598819_codon_start_1_locus_tag_SGO_0453_product_putative_lipoprotein_protein_id_YP_001449769_1_transl_table_11_translation_length_276,2279,7117,3984,1667,2415,3603,2405,3111,2305
ID_SGO_0454_p01_Parent_SGO_0454_t01_Dbxref_GI_157151427_GeneID_5599096_Note_identified_by_match_to_protein_family_HMM_PF01709_B_match_to_protein_family_HMM_TIGR01033_codon_start_1_locus_tag_SGO_0454_product_hypothetical_protein_protein_id_YP_001449770_1_transl_table_11_translation_length_238,5948,17308,12696,1440,5030,5747,2409,7068,5762
ID_SGO_0455_p01_Parent_SGO_0455_t01_Dbxref_GI_157151070_GeneID_5598403_codon_start_1_locus_tag_SGO_0455_product_putative_lipoprotein_protein_id_YP_001449771_1_transl_table_11_translation_length_369,2116,6794,4353,1144,1686,2794,1454,2447,2307
ID_ILL5_p01_Parent_ILL5_t01_Dbxref_GI_157150635_GeneID_5598011_Note_identified_by_match_to_protein_family_HMM_PF01546_B_match_to_protein_family_HMM_PF07687_B_match_to_protein_family_HMM_TIGR01891_codon_start_1_gene_ILL5_locus_tag_SGO_0456_product_amino_acid_aminohydrolase_protein_id_YP_001449772_1_transl_table_11_translation_length_377,2682,7659,6144,705,2806,2717,735,3590,2604
ID_SGO_0457_p01_Parent_SGO_0457_t01_Dbxref_GI_157149654_GeneID_5598863_Note_ABC_transporter_protein_SP0148_B_identified_by_match_to_protein_family_HMM_PF00497_codon_start_1_locus_tag_SGO_0457_product_putative_amino-acid-binding_protein_protein_id_YP_001449773_1_transl_table_11_translation_length_285,23078,70701,49950,31042,36103,25491,17535,39978,43126
ID_hlpA_p01_Parent_hlpA_t01_Dbxref_GI_157151656_GeneID_5598617_Note_identified_by_match_to_protein_family_HMM_PF03180_codon_start_1_gene_hlpA_locus_tag_SGO_0458_product_lipoprotein_protein_id_YP_001449774_1_transl_table_11_translation_length_287,30173,86656,60712,25611,46596,30970,18738,46115,39538
ID_SGO_0459_p01_Parent_SGO_0459_t01_Dbxref_GI_157150277_GeneID_5599335_eC_number_3_5_1_18_Note_identified_by_match_to_protein_family_HMM_PF01546_B_match_to_protein_family_HMM_PF07687_codon_start_1_locus_tag_SGO_0459_product_succinyl-diaminopimelate_desuccinylase_protein_id_YP_001449775_1_transl_table_11_translation_length_457,20331,59334,31541,12643,21377,20335,17904,31837,25694
ID_SGO_0460_p01_Parent_SGO_0460_t01_Dbxref_GI_157150506_GeneID_5598976_Note_identified_by_match_to_protein_family_HMM_PF00005_B_ABC_transporter_ATP-binding_protein_SP0151_codon_start_1_locus_tag_SGO_0460_product_methionine_import_ATP-binding_protein_metN_protein_id_YP_001449776_1_transl_table_11_translation_length_354,14368,37290,19305,6776,12588,12154,12513,24420,20873
ID_SGO_0461_p01_Parent_SGO_0461_t01_Dbxref_GI_157149918_GeneID_5599100_Note_identified_by_match_to_protein_family_HMM_PF00528_codon_start_1_locus_tag_SGO_0461_product_ABC_transporter_permease_protein_id_YP_001449777_1_transl_table_11_translation_length_230,10879,24937,14230,3250,6038,6764,6157,12872,11638
ID_SGO_0462_p01_Parent_SGO_0462_t01_Dbxref_GI_157151044_GeneID_5598498_codon_start_1_locus_tag_SGO_0462_product_hypothetical_protein_protein_id_YP_001449778_1_transl_table_11_translation_length_75,667,1992,977,620,892,989,827,1729,1164
ID_cydD_p01_Parent_cydD_t01_Dbxref_GI_157151595_GeneID_5598064_Note_identified_by_match_to_protein_family_HMM_PF00005_B_match_to_protein_family_HMM_PF00664_codon_start_1_gene_cydD_locus_tag_SGO_0463_product_putative_ABC_transporter_ATP-binding_protein_protein_id_YP_001449779_1_transl_table_11_translation_length_558,5261,18459,10243,2423,3841,6262,3633,6167,4903
ID_cydC_p01_Parent_cydC_t01_Dbxref_GI_157149753_GeneID_5598515_Note_identified_by_match_to_protein_family_HMM_PF00005_B_match_to_protein_family_HMM_PF00664_codon_start_1_gene_cydC_locus_tag_SGO_0464_product_putative_ABC_transporter_ATP-binding_protein_protein_id_YP_001449780_1_transl_table_11_translation_length_556,2977,10232,6189,1344,3438,4021,1971,4951,3785
ID_SGO_0465_p01_Parent_SGO_0465_t01_Dbxref_GI_157150119_GeneID_5599864_Note_identified_by_match_to_protein_family_HMM_TIGR02185_codon_start_1_locus_tag_SGO_0465_product_hypothetical_protein_protein_id_YP_001449781_1_transl_table_11_translation_length_198,1272,4525,2440,319,1003,1119,337,1315,961
ID_SGO_0466_p01_Parent_SGO_0466_t01_Dbxref_GI_157150668_GeneID_5599715_Note_identified_by_match_to_protein_family_HMM_PF02361_codon_start_1_locus_tag_SGO_0466_product_hypothetical_protein_protein_id_YP_001449782_1_transl_table_11_translation_length_226,978,3731,2138,327,837,1162,433,998,761
ID_SGO_0467_p01_Parent_SGO_0467_t01_Dbxref_GI_157150059_GeneID_5598809_Note_identified_by_match_to_protein_family_HMM_PF00005_codon_start_1_locus_tag_SGO_0467_product_ABC_transporter_ATP-binding_protein_protein_id_YP_001449783_1_transl_table_11_translation_length_475,2189,8471,4531,1221,2518,3339,1409,3303,2358
ID_SGO_0468_p01_Parent_SGO_0468_t01_Dbxref_GI_157149816_GeneID_5598724_Note_identified_by_match_to_protein_family_HMM_PF01887_B_match_to_protein_family_HMM_TIGR03304_codon_start_1_locus_tag_SGO_0468_product_hypothetical_protein_protein_id_YP_001449784_1_transl_table_11_translation_length_281,9876,29566,24227,7304,7931,13947,7972,11472,10604
ID_SGO_0469_p01_Parent_SGO_0469_t01_Dbxref_GI_157150991_GeneID_5599636_Note_identified_by_match_to_protein_family_HMM_PF07155_codon_start_1_locus_tag_SGO_0469_product_hypothetical_protein_protein_id_YP_001449785_1_transl_table_11_translation_length_186,3709,11245,8661,1774,4565,4237,2265,6323,5712
ID_SGO_0470_p01_Parent_SGO_0470_t01_Dbxref_GI_157150303_GeneID_5598192_codon_start_1_locus_tag_SGO_0470_product_hypothetical_protein_protein_id_YP_001449786_1_transl_table_11_translation_length_55,1134,2791,1546,215,537,830,521,717,411
ID_SGO_0471_p01_Parent_SGO_0471_t01_Dbxref_GI_157150600_GeneID_5599468_Note_identified_by_match_to_protein_family_HMM_PF01381_codon_start_1_locus_tag_SGO_0471_product_DNA-binding_protein_protein_id_YP_001449787_1_transl_table_11_translation_length_70,1302,3342,1768,357,648,1175,876,979,565
ID_SGO_0472_p01_Parent_SGO_0472_t01_Dbxref_GI_157150126_GeneID_5598927_codon_start_1_locus_tag_SGO_0472_product_hypothetical_protein_protein_id_YP_001449788_1_transl_table_11_translation_length_165,1068,2086,1433,446,997,1427,943,1273,837
ID_SGO_0473_p01_Parent_SGO_0473_t01_Dbxref_GI_157151423_GeneID_5599827_codon_start_1_locus_tag_SGO_0473_product_hypothetical_protein_protein_id_YP_001449789_1_transl_table_11_translation_length_132,1580,3630,2231,1396,1458,2883,2600,2045,1540
ID_SGO_0474_p01_Parent_SGO_0474_t01_Dbxref_GI_157150286_GeneID_5598497_Note_identified_by_match_to_protein_family_HMM_PF02517_codon_start_1_locus_tag_SGO_0474_product_abortive_infection_protein_protein_id_YP_001449790_1_transl_table_11_translation_length_225,2469,5624,3440,868,1700,2994,1773,2341,1591
ID_SGO_0475_p01_Parent_SGO_0475_t01_Dbxref_GI_157149703_GeneID_5599489_codon_start_1_locus_tag_SGO_0475_product_hypothetical_protein_protein_id_YP_001449791_1_transl_table_11_translation_length_162,1239,2734,1717,350,516,1348,662,680,455
ID_SGO_0476_p01_Parent_SGO_0476_t01_Dbxref_GI_157149923_GeneID_5598039_Note_identified_by_match_to_protein_family_HMM_PF00581_codon_start_1_locus_tag_SGO_0476_product_hypothetical_protein_protein_id_YP_001449792_1_transl_table_11_translation_length_328,32362,117473,78813,15864,28797,31540,14706,38042,29784
ID_SGO_0477_p01_Parent_SGO_0477_t01_Dbxref_GI_157151669_GeneID_5599196_Note_identified_by_match_to_protein_family_HMM_PF01473_codon_start_1_locus_tag_SGO_0477_product_cell_wall_binding_protein_protein_id_YP_001449793_1_transl_table_11_translation_length_314,1831,4987,3040,573,1499,2484,915,2048,1693
ID_SGO_0478_p01_Parent_SGO_0478_t01_Dbxref_GI_157150883_GeneID_5597953_Note_identified_by_match_to_protein_family_HMM_PF01473_codon_start_1_locus_tag_SGO_0478_product_cell_wall_binding_protein_protein_id_YP_001449794_1_transl_table_11_translation_length_313,809,1830,1112,219,306,1234,382,621,550
ID_SGO_0479_p01_Parent_SGO_0479_t01_Dbxref_GI_157150201_GeneID_5598400_Note_identified_by_match_to_protein_family_HMM_PF00165_codon_start_1_locus_tag_SGO_0479_product_AraC_family_transcriptional_regulator_protein_id_YP_001449795_1_transl_table_11_translation_length_267,1844,5390,4099,812,2037,2312,1073,2803,2298
ID_SGO_0480_p01_Parent_SGO_0480_t01_Dbxref_GI_157151589_GeneID_5598129_Note_identified_by_match_to_protein_family_HMM_PF06983_codon_start_1_locus_tag_SGO_0480_product_hypothetical_protein_protein_id_YP_001449796_1_transl_table_11_translation_length_137,1358,4920,3248,1359,1684,2695,1311,2379,2118
ID_SGO_0481_p01_Parent_SGO_0481_t01_Dbxref_GI_157150063_GeneID_5598604_codon_start_1_locus_tag_SGO_0481_product_hypothetical_protein_protein_id_YP_001449797_1_transl_table_11_translation_length_119,1744,6589,3834,1310,2017,2583,1210,2877,2374
ID_SGO_0482_p01_Parent_SGO_0482_t01_Dbxref_GI_157149938_GeneID_5599429_Note_identified_by_match_to_protein_family_HMM_PF01965_codon_start_1_locus_tag_SGO_0482_product_ThiJ/PfpI_family_protein_protein_id_YP_001449798_1_transl_table_11_translation_length_206,2407,6350,5277,937,2990,3010,1463,4445,3984
ID_SGO_0483_p01_Parent_SGO_0483_t01_Dbxref_GI_157149793_GeneID_5599449_codon_start_1_locus_tag_SGO_0483_product_hypothetical_protein_protein_id_YP_001449799_1_transl_table_11_translation_length_302,2178,5795,4555,915,1831,2875,1332,2761,2080
ID_SGO_0484_p01_Parent_SGO_0484_t01_Dbxref_GI_157150977_GeneID_5599881_Note_identified_by_match_to_protein_family_HMM_PF00512_B_match_to_protein_family_HMM_PF02518_codon_start_1_locus_tag_SGO_0484_product_sensor_histidine_kinase_protein_id_YP_001449800_1_transl_table_11_translation_length_410,2264,5768,4291,476,1189,1958,768,1704,1463
ID_SGO_0485_p01_Parent_SGO_0485_t01_Dbxref_GI_157151302_GeneID_5598230_Note_identified_by_match_to_protein_family_HMM_PF00072_codon_start_1_locus_tag_SGO_0485_product_DNA-binding_response_regulator_protein_id_YP_001449801_1_transl_table_11_translation_length_228,1508,3085,2379,363,950,1516,669,1208,1081
ID_SGO_0486_p01_Parent_SGO_0486_t01_Dbxref_GI_157149811_GeneID_5599730_Note_identified_by_match_to_protein_family_HMM_PF04607_codon_start_1_locus_tag_SGO_0486_product_GTP_pyrophosphokinase_family_protein_protein_id_YP_001449802_1_transl_table_11_translation_length_208,1990,4580,3527,284,612,1646,547,681,662
ID_SGO_0487_p01_Parent_SGO_0487_t01_Dbxref_GI_157151159_GeneID_5598503_codon_start_1_locus_tag_SGO_0487_product_phosphorylase_Pnp/Udp_family_protein_protein_id_YP_001449803_1_transl_table_11_translation_length_253,2218,5928,3641,1987,2705,2648,2254,3951,3648
ID_SGO_0488_p01_Parent_SGO_0488_t01_Dbxref_GI_157150140_GeneID_5597850_Note_ABC_transporter_B_identified_by_match_to_protein_family_HMM_PF00005_codon_start_1_locus_tag_SGO_0488_product_putative_ABC_transporter_ATP-binding_protein_SP0483_protein_id_YP_001449804_1_transl_table_11_translation_length_561,13085,34985,18718,8343,11560,10741,10986,14411,9848
ID_SGO_0489_p01_Parent_SGO_0489_t01_Dbxref_GI_157150136_GeneID_5599038_Note_identified_by_match_to_protein_family_HMM_PF02361_codon_start_1_locus_tag_SGO_0489_product_cobalt_transport_family_protein_protein_id_YP_001449805_1_transl_table_11_translation_length_278,5698,14086,7339,2016,4968,4052,3376,6709,4722
ID_SGO_0490_p01_Parent_SGO_0490_t01_Dbxref_GI_157151502_GeneID_5599662_Note_identified_by_match_to_protein_family_HMM_PF02517_codon_start_1_locus_tag_SGO_0490_product_CAAX_amino_protease_protein_id_YP_001449806_1_transl_table_11_translation_length_286,6496,17101,8377,2787,4503,5120,4605,6383,4755
ID_gidB_p01_Parent_gidB_t01_Dbxref_GI_157151065_GeneID_5599107_Note_glucose-inhibited_division_protein_B_B_SAM-dependent_methyltransferase_B_methylates_the_N7_position_of_guanosine_in_position_527_of_16S_rRNA_codon_start_1_gene_gidB_locus_tag_SGO_0491_product_16S_rRNA_methyltransferase_GidB_protein_id_YP_001449807_1_transl_table_11_translation_length_237,1486,4871,3285,505,951,1773,764,960,977
ID_SGO_0492_p01_Parent_SGO_0492_t01_Dbxref_GI_157149820_GeneID_5598024_Note_identified_by_match_to_protein_family_HMM_PF07690_codon_start_1_locus_tag_SGO_0492_product_macrolide-efflux_protein_protein_id_YP_001449808_1_transl_table_11_translation_length_429,697,1965,995,276,505,917,522,709,395
ID_SGO_0493_p01_Parent_SGO_0493_t01_Dbxref_GI_157149781_GeneID_5599690_Note_identified_by_match_to_protein_family_HMM_PF00440_codon_start_1_locus_tag_SGO_0493_product_TetR_family_transcriptional_regulator_protein_id_YP_001449809_1_transl_table_11_translation_length_200,203,601,352,43,116,483,98,164,128
ID_lemA_p01_Parent_lemA_t01_Dbxref_GI_157149978_GeneID_5598994_Note_identified_by_match_to_protein_family_HMM_PF04011_codon_start_1_gene_lemA_locus_tag_SGO_0494_product_LemA-like_protein_protein_id_YP_001449810_1_transl_table_11_translation_length_189,4944,12468,13009,823,4153,4074,1003,5493,3828
ID_htpx_p01_Parent_htpx_t01_Dbxref_GI_157151491_GeneID_5597852_Note_putative_metalloprotease_codon_start_1_gene_htpx_locus_tag_SGO_0495_product_heat_shock_protein_HtpX_protein_id_YP_001449811_1_transl_table_11_translation_length_297,7789,19072,16483,2174,7444,6969,2769,10653,8034
ID_rgg_p01_Parent_rgg_t01_Dbxref_GI_157151127_GeneID_5599746_Note_identified_by_match_to_protein_family_HMM_PF01381_B_match_to_protein_family_HMM_TIGR01716_codon_start_1_gene_rgg_locus_tag_SGO_0496_product_transcriptional_regulator_Rgg_protein_id_YP_001449812_1_transl_table_11_translation_length_297,1779,5146,5002,561,1688,2481,695,2631,2554
ID_gtfG_p01_Parent_gtfG_t01_Dbxref_GI_157150042_GeneID_5597906_eC_number_2_4_1_5_Note_identified_by_match_to_protein_family_HMM_PF01473_B_match_to_protein_family_HMM_PF02324_codon_start_1_gene_gtfG_locus_tag_SGO_0497_product_glucosyltransferase_G_protein_id_YP_001449813_1_transl_table_11_translation_length_1576,10119,46980,79730,3254,11757,29218,3574,17313,18900
ID_dsg_p01_Parent_dsg_t01_Dbxref_GI_157150729_GeneID_5599331_Note_identified_by_match_to_protein_family_HMM_PF07690_codon_start_1_gene_dsg_locus_tag_SGO_0498_product_putative_permease_protein_id_YP_001449814_1_transl_table_11_translation_length_411,1147,1635,1952,53,140,1207,152,233,204
