,WT_THY_A,WT_THY_B,WT_THY_C,DhsdM_THY_A,DhsdM_THY_B,DhsdM_THY_C
AS_GENE_-_M5005_Spy1324_AS,22,18,2,21,9,11
AS_GENE_-_M5005_Spy1328_AS,3,2,3,3,3,3
AS_GENE_-_M5005_Spy1329_AS,6,14,8,0,14,3
AS_GENE_-_M5005_Spy1344_AS,10,5,8,6,9,11
AS_GENE_-_M5005_Spy1345_AS,2,11,1,2,5,9
AS_GENE_-_M5005_Spy1346_AS,3,2,2,1,11,5
AS_GENE_-_M5005_Spy1347_AS,1,5,5,5,3,5
AS_GENE_-_M5005_Spy1348_AS,6,19,23,9,17,20
AS_GENE_-_M5005_Spy1349_AS,6,10,7,3,11,11
AS_GENE_-_M5005_Spy1354_AS,38,66,31,27,49,38
AS_GENE_-_M5005_Spy1355_AS,0,2,0,0,0,1
AS_GENE_-_M5005_Spy1390_AS,44,45,33,18,42,42
AS_GENE_-_M5005_Spy1392_AS,0,0,2,2,5,0
AS_GENE_-_M5005_Spy1402_AS,1,1,0,0,0,0
AS_GENE_-_M5005_Spy1407_AS,9,9,8,9,14,16
AS_GENE_-_M5005_Spy1415_AS,1,0,2,4,1,2
AS_GENE_-_M5005_Spy1462_AS,1,0,1,5,2,1
AS_GENE_-_M5005_Spy1464_AS,0,0,0,1,0,0
AS_GENE_-_M5005_Spy1465_AS,0,0,0,1,1,0
AS_GENE_-_M5005_Spy1466_AS,2,0,0,1,0,0
AS_GENE_-_M5005_Spy1467_AS,26,45,34,38,40,57
AS_GENE_-_M5005_Spy1472_AS,12,20,14,14,21,21
AS_GENE_-_M5005_Spy1473_AS,28,17,13,17,17,19
AS_GENE_-_M5005_Spy1478_AS,6,6,2,2,14,5
AS_GENE_-_M5005_Spy1479_AS,2,18,5,4,10,7
AS_GENE_-_M5005_Spy1480_AS,9,19,11,2,9,21
AS_GENE_-_M5005_Spy1481_AS,4,9,9,4,14,11
AS_GENE_-_M5005_Spy1482_AS,2,2,4,0,3,4
AS_GENE_-_M5005_Spy1483_AS,18,34,24,10,54,45
AS_GENE_-_M5005_Spy1514_AS,2,1,1,3,1,2
AS_GENE_-_M5005_Spy1516_AS,6,4,2,7,4,9
AS_GENE_-_M5005_Spy1520_AS,10,16,12,8,19,30
AS_GENE_-_M5005_Spy1543_AS,4,8,3,2,9,12
AS_GENE_-_M5005_Spy1544_AS,0,2,4,3,10,3
AS_GENE_-_M5005_Spy1551_AS,1,8,11,2,10,7
AS_GENE_-_M5005_Spy1552_AS,2,4,3,3,7,8
AS_GENE_-_M5005_Spy1557_AS,119,98,95,84,149,120
AS_GENE_-_M5005_Spy1558_AS,90,96,61,85,96,91
AS_GENE_-_M5005_Spy1564_AS,5,9,3,5,11,13
AS_GENE_-_M5005_Spy1565_AS,0,0,0,0,0,0
AS_GENE_-_M5005_Spy1566_AS,6,13,4,3,10,7
AS_GENE_-_M5005_Spy1567_AS,1,1,2,0,3,0
AS_GENE_-_M5005_Spy1569_AS,3,2,1,1,1,3
AS_GENE_-_M5005_Spy1572_AS,6,10,8,8,8,12
AS_GENE_-_M5005_Spy1576_AS,0,0,0,0,0,1
AS_GENE_-_M5005_Spy1577_AS,0,0,0,0,0,0
AS_GENE_-_M5005_Spy1579_AS,0,0,0,0,0,0
AS_GENE_-_M5005_Spy1580_AS,0,0,0,0,0,0
AS_GENE_-_M5005_Spy1584_AS,10,7,11,9,18,10
AS_GENE_-_M5005_Spy1589_AS,95,118,65,71,103,51
AS_GENE_-_M5005_Spy1590_AS,6,15,7,11,10,6
AS_GENE_-_M5005_Spy1594_AS,0,0,0,0,1,0
AS_GENE_-_M5005_Spy1595_AS,2,1,2,5,9,6
AS_GENE_-_M5005_Spy1613_AS,48,71,35,45,58,54
AS_GENE_-_M5005_Spy1619_AS,19,16,5,24,14,4
AS_GENE_-_M5005_Spy1621_AS,14,18,18,9,22,25
AS_GENE_-_M5005_Spy1622_AS,0,0,0,0,1,1
AS_GENE_-_M5005_Spy1623_AS,2,0,2,1,5,2
AS_GENE_-_M5005_Spy1639_AS,0,0,0,0,1,1
AS_GENE_-_M5005_Spy1640_AS,0,0,0,0,0,0
AS_GENE_-_M5005_Spy1641_AS,0,0,0,0,0,0
AS_GENE_-_M5005_Spy1642_AS,0,0,0,0,0,0
AS_GENE_-_M5005_Spy1643_AS,0,0,0,0,0,0
AS_GENE_-_M5005_Spy1645_AS,0,0,0,0,0,0
AS_GENE_-_M5005_Spy1668_AS,0,0,1,0,0,0
AS_GENE_-_M5005_Spy1669_AS,3,2,0,1,1,3
AS_GENE_-_M5005_Spy1684_AS,6,11,6,5,7,7
AS_GENE_-_M5005_Spy1688_AS,0,0,0,0,1,1
AS_GENE_-_M5005_Spy1690_AS,1,0,0,0,1,0
AS_GENE_-_M5005_Spy1697_AS,0,0,3,1,0,1
AS_GENE_-_M5005_Spy1698_AS,0,0,0,0,0,0
AS_GENE_-_M5005_Spy1699_AS,0,0,1,0,3,0
AS_GENE_-_M5005_Spy1700_AS,0,1,0,0,0,0
AS_GENE_-_M5005_Spy1701_AS,0,0,1,1,1,0
AS_GENE_-_M5005_Spy1702_AS,1,0,0,0,0,1
AS_GENE_-_M5005_Spy1704_AS,0,2,1,2,2,1
AS_GENE_-_M5005_Spy1705_AS,3,2,1,4,4,1
AS_GENE_-_M5005_Spy1706_AS,1,4,4,4,2,2
AS_GENE_-_M5005_Spy1707_AS,1,1,0,4,3,1
AS_GENE_-_M5005_Spy1708_AS,1,1,3,0,1,1
AS_GENE_-_M5005_Spy1716_AS,6,6,4,3,8,10
AS_GENE_-_M5005_Spy1717_AS,0,0,0,2,2,1
AS_GENE_-_M5005_Spy1721_AS,3,1,0,4,1,2
AS_GENE_-_M5005_Spy1731_AS,0,0,0,0,0,0
AS_GENE_-_M5005_Spy1736_AS,0,0,0,0,0,0
AS_GENE_-_M5005_Spy1737_AS,0,1,0,0,0,0
AS_GENE_-_M5005_Spy1739_AS,0,0,0,0,0,0
AS_GENE_-_M5005_Spy1740_AS,1,0,0,0,1,0
AS_GENE_-_M5005_Spy1749_AS,4,8,1,4,7,5
AS_GENE_-_M5005_Spy1750_AS,2,3,2,5,10,7
AS_GENE_-_M5005_Spy1755_AS,0,0,1,1,1,0
AS_GENE_-_M5005_Spy1756_AS,2,4,0,1,5,1
AS_GENE_-_M5005_Spy1758_AS,8,28,20,14,26,27
AS_GENE_-_M5005_Spy1768_AS,1,3,0,1,3,3
AS_GENE_-_M5005_Spy1769_AS,2,7,6,0,9,9
AS_GENE_-_M5005_Spy1771_AS,1,1,3,2,0,1
AS_GENE_-_M5005_Spy1772_AS,1,1,1,0,2,1
AS_GENE_-_M5005_Spy1773_AS,0,1,0,0,0,0
AS_GENE_-_M5005_Spy1774_AS,0,0,0,1,0,2
AS_GENE_-_M5005_Spy1775_AS,0,2,0,0,0,0
AS_GENE_-_M5005_Spy1776_AS,1,0,1,1,1,1
AS_GENE_-_M5005_Spy1777_AS,1,0,0,0,1,3
AS_GENE_-_M5005_Spy1778_AS,0,0,0,0,0,0
AS_GENE_-_M5005_Spy1780_AS,0,0,0,0,0,0
AS_GENE_-_M5005_Spy1781_AS,0,0,0,0,1,0
AS_GENE_-_M5005_Spy1785_AS,5,9,2,3,5,3
AS_GENE_-_M5005_Spy1787_AS,0,1,0,0,2,2
AS_GENE_-_M5005_Spy1788_AS,0,1,0,1,0,1
AS_GENE_-_M5005_Spy1808_AS,5,9,6,7,8,7
AS_GENE_-_M5005_Spy1809_AS,0,0,0,0,0,1
AS_GENE_-_M5005_Spy1815_AS,0,0,1,1,0,0
AS_GENE_-_M5005_Spy1816_AS,0,0,0,0,0,0
AS_GENE_-_M5005_Spy1817_AS,3,4,1,2,0,2
AS_GENE_-_M5005_Spy1818_AS,1,0,0,3,0,1
AS_GENE_-_M5005_Spy1819_AS,3,3,1,4,3,0
AS_GENE_-_M5005_Spy1820_AS,0,1,1,1,4,0
AS_GENE_-_M5005_Spy1821_AS,1,2,0,0,0,4
AS_GENE_-_M5005_Spy1823_AS,16,15,11,16,16,26
AS_GENE_-_M5005_Spy1825_AS,0,0,0,0,0,0
AS_GENE_-_M5005_Spy1826_AS,0,0,0,2,1,0
AS_GENE_-_M5005_Spy1827_AS,2,5,2,2,1,1
AS_GENE_-_M5005_Spy1830_AS,0,0,0,1,0,0
AS_GENE_-_M5005_Spy1841_AS,2,6,1,1,4,2
AS_GENE_-_M5005_Spy1842_AS,5,10,9,5,8,14
AS_GENE_-_M5005_Spy1851_AS,7,12,3,3,7,1
AS_GENE_-_M5005_Spy1852_AS,9,5,2,2,3,1
AS_GENE_-_M5005_Spy1853_AS,2,2,3,0,6,3
AS_GENE_-_M5005_Spy1854_AS,4,11,6,6,7,1
AS_GENE_-_M5005_Spy1855_AS,23,43,19,31,33,26
AS_GENE_-_M5005_Spy1860_AS,4,10,6,3,8,10
AS_GENE_-_M5005_Spy1861_AS,5,19,11,5,14,11
AS_GENE_-_M5005_Spy1862_AS,10,32,21,22,31,27
AS_GENE_-_M5005_Spy1865_AS,27,64,61,31,51,52
AS_GENE_-_M5005_Spy1866_AS,0,0,1,0,1,0
AS_GENE_-_M5005_SpyR0001_AS,0,0,0,0,0,0
AS_GENE_-_M5005_SpyR0002_AS,0,0,0,0,0,0
AS_GENE_-_M5005_SpyR0003_AS,0,0,0,0,0,0
AS_GENE_-_M5005_SpyR0004_AS,0,0,0,0,0,0
AS_GENE_-_M5005_SpyR0005_AS,0,0,0,0,0,0
AS_GENE_-_M5005_SpyR0006_AS,0,0,0,0,0,0
AS_GENE_-_M5005_SpyR0007_AS,0,0,0,0,0,0
AS_GENE_-_M5005_SpyR0008_AS,0,0,0,0,0,0
AS_GENE_-_M5005_SpyR0009_AS,0,0,0,0,0,0
AS_GENE_-_M5005_SpyR0010_AS,0,0,0,0,0,0
AS_GENE_-_M5005_SpyR0011_AS,0,0,0,0,0,0
AS_GENE_-_M5005_SpyR0012_AS,0,0,0,0,0,0
AS_GENE_-_M5005_SpyT0001_AS,0,0,0,0,0,0
AS_GENE_-_M5005_SpyT0002_AS,0,0,0,0,0,0
AS_GENE_-_M5005_SpyT0003_AS,0,0,0,0,0,0
AS_GENE_-_M5005_SpyT0004_AS,0,0,0,0,0,0
AS_GENE_-_M5005_SpyT0005_AS,0,0,0,0,0,0
AS_GENE_-_M5005_SpyT0006_AS,0,0,0,0,0,0
AS_GENE_-_M5005_SpyT0007_AS,0,0,0,0,0,0
AS_GENE_-_M5005_SpyT0008_AS,0,0,0,0,0,0
AS_GENE_-_M5005_SpyT0009_AS,0,0,0,0,0,0
AS_GENE_-_M5005_SpyT0010_AS,0,0,0,0,0,0
AS_GENE_-_M5005_SpyT0011_AS,0,0,0,0,0,0
AS_GENE_-_M5005_SpyT0012_AS,0,0,0,0,0,0
AS_GENE_-_M5005_SpyT0013_AS,0,0,0,0,0,0
AS_GENE_-_M5005_SpyT0014_AS,0,0,0,0,0,0
AS_GENE_-_M5005_SpyT0015_AS,0,0,0,0,0,0
AS_GENE_-_M5005_SpyT0016_AS,0,0,0,0,0,0
AS_GENE_-_M5005_SpyT0017_AS,0,0,0,0,0,0
AS_GENE_-_M5005_SpyT0018_AS,0,0,0,0,0,0
AS_GENE_-_M5005_SpyT0019_AS,0,0,0,0,0,0
AS_GENE_-_M5005_SpyT0020_AS,0,0,0,0,0,0
AS_GENE_-_M5005_SpyT0021_AS,0,0,0,0,0,0
AS_GENE_-_M5005_SpyT0022_AS,0,0,0,0,0,0
AS_GENE_-_M5005_SpyT0023_AS,0,0,0,0,0,0
AS_GENE_-_M5005_SpyT0024_AS,0,0,0,0,0,0
AS_GENE_-_M5005_SpyT0025_AS,0,0,0,0,0,0
AS_GENE_-_M5005_SpyT0026_AS,0,0,0,0,0,0
AS_GENE_-_M5005_SpyT0027_AS,0,0,0,0,0,0
AS_GENE_-_M5005_SpyT0028_AS,0,0,0,0,0,0
AS_GENE_-_M5005_SpyT0029_AS,0,0,0,0,0,0
AS_GENE_-_M5005_SpyT0030_AS,0,0,0,0,0,0
AS_GENE_-_M5005_SpyT0031_AS,0,0,0,0,0,0
AS_GENE_-_M5005_SpyT0032_AS,0,0,0,0,0,0
AS_GENE_-_M5005_SpyT0033_AS,0,0,0,0,0,0
AS_GENE_-_M5005_SpyT0034_AS,0,0,0,0,0,0
AS_GENE_-_M5005_SpyT0035_AS,0,0,0,0,0,0
AS_GENE_-_M5005_SpyT0036_AS,0,0,0,0,0,0
AS_GENE_-_M5005_SpyT0037_AS,0,0,0,0,0,0
AS_GENE_-_M5005_SpyT0038_AS,0,0,0,0,0,0
AS_GENE_-_M5005_SpyT0039_AS,0,0,0,0,0,0
AS_GENE_-_M5005_SpyT0040_AS,0,0,0,0,0,0
AS_GENE_-_M5005_SpyT0041_AS,0,0,0,0,0,0
AS_GENE_-_M5005_SpyT0042_AS,0,0,0,0,0,0
AS_GENE_-_M5005_SpyT0043_AS,0,0,0,0,0,0
AS_GENE_-_M5005_SpyT0044_AS,0,0,0,0,0,0
AS_GENE_-_M5005_SpyT0045_AS,0,0,0,0,0,0
AS_GENE_-_M5005_SpyT0046_AS,0,0,0,0,0,0
AS_GENE_-_M5005_SpyT0047_AS,0,0,0,0,0,0
AS_GENE_-_M5005_SpyT0048_AS,0,0,0,0,0,0
AS_GENE_-_M5005_SpyT0049_AS,0,0,0,0,0,0
AS_GENE_-_M5005_SpyT0063_AS,0,0,0,0,0,0
AS_GENE_-_M5005_SpyT0067_AS,0,0,0,0,0,0
GENE_+_M5005_Spy0001_dnaA,179,301,128,250,275,246
GENE_+_M5005_Spy0002_dnaN,296,462,241,433,551,490
GENE_+_M5005_Spy0003_M5005_Spy_0003,1,3,0,1,5,0
GENE_+_M5005_Spy0004_ychF,326,402,248,413,402,368
GENE_+_M5005_Spy0005_pth,15,30,18,37,34,28
GENE_+_M5005_Spy0006_trcF,156,211,122,242,234,183
GENE_+_M5005_Spy0007_M5005_Spy_0007,27,23,7,40,27,27
GENE_+_M5005_Spy0008_divIC,34,36,30,45,38,37
GENE_+_M5005_Spy0009_M5005_Spy_0009,6,2,2,6,8,7
GENE_+_M5005_Spy0010_M5005_Spy_0010,187,208,121,262,209,207
GENE_+_M5005_Spy0011_tilS,277,388,211,233,371,429
GENE_+_M5005_Spy0012_M5005_Spy_0012,354,444,311,251,544,668
GENE_+_M5005_Spy0013_ftsH,3053,4968,3615,2475,4718,5134
GENE_+_M5005_Spy0014_M5005_Spy_0014,121,211,99,137,179,158
GENE_+_M5005_Spy0017_sibA,661,1438,735,620,1086,987
GENE_+_M5005_Spy0018_sibA,417,523,345,524,481,391
GENE_+_M5005_Spy0019_recO,39,74,29,51,49,41
GENE_+_M5005_Spy0020_plsX,340,511,269,374,434,378
GENE_+_M5005_Spy0021_plsX,37,59,17,47,51,39
GENE_+_M5005_Spy0022_M5005_Spy_0022,3,4,3,9,4,5
GENE_+_M5005_Spy0023_M5005_Spy_0023,39,43,38,65,43,66
GENE_+_M5005_Spy0024_purF,31,44,19,29,45,29
GENE_+_M5005_Spy0025_purM,19,26,10,20,33,25
GENE_+_M5005_Spy0026_purN,4,5,8,10,9,6
GENE_+_M5005_Spy0027_purH,23,41,19,24,47,44
GENE_+_M5005_Spy0029_purD,36,36,24,34,43,43
GENE_+_M5005_Spy0030_purE,11,16,9,14,22,21
GENE_+_M5005_Spy0031_purK,34,42,24,30,46,41
GENE_+_M5005_Spy0032_M5005_Spy_0032,225,267,167,316,370,304
GENE_+_M5005_Spy0033_purB,190,313,194,251,287,295
GENE_+_M5005_Spy0034_M5005_Spy_0034,25,30,17,41,26,35
GENE_+_M5005_Spy0035_ruvB,292,467,303,369,461,488
GENE_+_M5005_Spy0036_M5005_Spy_0036,181,238,175,147,251,188
GENE_+_M5005_Spy0037_M5005_Spy_0037,186,255,197,184,322,269
GENE_+_M5005_Spy0038_M5005_Spy_0038,756,1206,794,816,1159,1037
GENE_+_M5005_Spy0039_adh2,2129,2593,1645,3615,3853,3727
GENE_+_M5005_Spy0040_adhA,634,1022,620,1178,1118,1054
GENE_+_M5005_Spy0041_M5005_Spy_0041,43,82,53,42,49,52
GENE_+_M5005_Spy0042_M5005_Spy_0042,14,20,17,11,16,12
GENE_+_M5005_Spy0043_rpsJ,209,258,202,192,226,318
GENE_+_M5005_Spy0044_rplC,714,898,593,728,779,1044
GENE_+_M5005_Spy0045_rplD,918,1189,883,939,1048,1274
GENE_+_M5005_Spy0046_rplW,297,373,283,317,339,460
GENE_+_M5005_Spy0047_rplB,1661,2090,1577,1708,1937,2482
GENE_+_M5005_Spy0048_rpsS,247,397,306,316,343,445
GENE_+_M5005_Spy0049_rplV,539,714,600,551,684,833
GENE_+_M5005_Spy0050_rpsC,1558,2047,1600,1639,2008,2374
GENE_+_M5005_Spy0051_rplP,776,980,794,785,1051,1236
GENE_+_M5005_Spy0052_rpmC,80,128,99,83,116,159
GENE_+_M5005_Spy0053_rpsQ,420,736,569,493,678,852
GENE_+_M5005_Spy0054_rplN,497,764,551,540,764,867
GENE_+_M5005_Spy0055_rplX,400,598,523,483,646,758
GENE_+_M5005_Spy0056_rplE,1111,1649,1274,1205,1638,1824
GENE_+_M5005_Spy0057_rpsN,106,190,138,111,168,199
GENE_+_M5005_Spy0058_rpsH,641,978,767,775,1051,1175
GENE_+_M5005_Spy0059_rplF,957,1357,1145,1153,1493,1798
GENE_+_M5005_Spy0060_rplR,301,444,368,372,490,622
GENE_+_M5005_Spy0061_rpsE,949,1272,973,1063,1405,1560
GENE_+_M5005_Spy0062_rpmD,105,186,118,102,124,205
GENE_+_M5005_Spy0063_rplO,708,956,715,747,1106,1253
GENE_+_M5005_Spy0064_secY,2639,3728,2914,2504,3816,4352
GENE_+_M5005_Spy0065_adk,190,166,127,193,192,189
GENE_+_M5005_Spy0066_infA,257,363,242,213,345,425
GENE_+_M5005_Spy0067_rpmJ,4,10,10,11,25,15
GENE_+_M5005_Spy0068_rpsM,593,1060,711,619,983,1141
GENE_+_M5005_Spy0069_rpsK,822,1133,861,694,1140,1226
GENE_+_M5005_Spy0070_rpoA,2479,3502,2559,2409,3557,4179
GENE_+_M5005_Spy0071_rplQ,1180,1667,1242,1035,1601,1980
GENE_+_M5005_Spy0073_M5005_Spy_0073,3,8,4,5,8,10
GENE_+_M5005_Spy0074_M5005_Spy_0074,3,9,4,9,6,4
GENE_+_M5005_Spy0075_M5005_Spy_0075,15,17,11,8,13,7
GENE_+_M5005_Spy0076_M5005_Spy_0076,4,5,9,8,8,8
GENE_+_M5005_Spy0077_adcR,125,126,107,85,150,134
GENE_+_M5005_Spy0078_adcC,175,239,191,188,275,214
GENE_+_M5005_Spy0079_adcB,267,328,204,225,306,238
GENE_+_M5005_Spy0082_pbp1b,669,1119,771,883,1068,963
GENE_+_M5005_Spy0083_rpoB,1563,2526,1623,1565,2424,2234
GENE_+_M5005_Spy0084_rpoC,2025,3113,2177,2165,3157,3254
GENE_+_M5005_Spy0085_M5005_Spy_0085,117,227,152,71,179,169
GENE_+_M5005_Spy0086_comYA,1,1,4,2,5,7
GENE_+_M5005_Spy0087_comYB,2,8,3,4,3,5
GENE_+_M5005_Spy0088_comYC,0,2,0,1,2,2
GENE_+_M5005_Spy0089_M5005_Spy_0089,0,2,0,2,4,1
GENE_+_M5005_Spy0090_M5005_Spy_0090,2,0,2,0,0,1
GENE_+_M5005_Spy0091_comYD,0,1,1,0,2,1
GENE_+_M5005_Spy0092_M5005_Spy_0092,0,0,0,0,1,0
GENE_+_M5005_Spy0093_M5005_Spy_0093,218,276,177,184,252,192
GENE_+_M5005_Spy0094_ackA,691,844,545,687,803,646
GENE_+_M5005_Spy0095_M5005_Spy_0095,0,0,3,1,1,2
GENE_+_M5005_Spy0099_M5005_Spy_0099,28,46,20,29,37,31
GENE_+_M5005_Spy0100_M5005_Spy_0100,25,21,14,24,26,21
GENE_+_M5005_Spy0101_M5005_Spy_0101,81,99,72,75,110,94
GENE_+_M5005_Spy0102_M5005_Spy_0102,0,1,2,0,2,2
GENE_+_M5005_Spy0107_M5005_Spy_0107,1260,1673,922,1528,1462,1231
GENE_+_M5005_Spy0108_M5005_Spy_0108,246,293,140,323,227,188
GENE_+_M5005_Spy0109_M5005_Spy_0109,614,762,418,815,646,594
GENE_+_M5005_Spy0110_M5005_Spy_0109,470,493,327,614,464,420
GENE_+_M5005_Spy0111_M5005_Spy_0111,259,287,162,329,326,276
GENE_+_M5005_Spy0114_M5005_Spy_0114,4,6,0,3,2,1
GENE_+_M5005_Spy0116_atoE,0,0,1,0,1,1
GENE_+_M5005_Spy0119_M5005_Spy_0119,3,1,0,4,1,1
GENE_+_M5005_Spy0120_M5005_Spy_0119,0,0,0,4,0,0
GENE_+_M5005_Spy0121_M5005_Spy_0121,1,1,1,0,0,2
GENE_+_M5005_Spy0123_M5005_Spy_0123,23,18,12,41,31,26
GENE_+_M5005_Spy0124_sloR,127,91,63,271,149,127
GENE_+_M5005_Spy0125_M5005_Spy_0125,0,4,3,6,2,1
GENE_+_M5005_Spy0126_ntpI,29,33,22,94,50,43
GENE_+_M5005_Spy0127_ntpK,1,1,3,12,10,4
GENE_+_M5005_Spy0128_ntpE,0,4,1,10,12,6
GENE_+_M5005_Spy0129_ntpC,7,11,4,10,10,8
GENE_+_M5005_Spy0130_ntpF,1,1,1,2,3,1
GENE_+_M5005_Spy0131_ntpA,14,18,15,26,22,19
GENE_+_M5005_Spy0132_ntpB,17,19,10,22,15,13
GENE_+_M5005_Spy0133_ntpD,7,7,5,13,11,9
GENE_+_M5005_Spy0136_purA,197,837,486,491,834,755
GENE_+_M5005_Spy0137_M5005_Spy_0137,395,756,452,548,753,698
GENE_+_M5005_Spy0138_nusG,86,92,82,115,119,110
GENE_+_M5005_Spy0139_nga,111,45,36,176,73,58
GENE_+_M5005_Spy0140_M5005_Spy_0140,34,16,7,77,24,32
GENE_+_M5005_Spy0141_slo,189,91,99,593,261,291
GENE_+_M5005_Spy0142_M5005_Spy_0142,1,0,0,0,1,0
GENE_+_M5005_Spy0146_metB,75,133,111,133,145,188
GENE_+_M5005_Spy0147_leuS,593,911,648,607,887,910
GENE_+_M5005_Spy0148_ulaA,104,199,130,121,204,354
GENE_+_M5005_Spy0149_M5005_Spy_0149,3,5,6,14,5,15
GENE_+_M5005_Spy0150_M5005_Spy_0150,0,8,1,1,4,8
GENE_+_M5005_Spy0151_ulaD,1,5,5,2,7,12
GENE_+_M5005_Spy0152_M5005_Spy_0152,1,7,1,3,4,13
GENE_+_M5005_Spy0153_araD,1,4,1,2,10,3
GENE_+_M5005_Spy0154_M5005_Spy_0154,0,0,0,0,0,0
GENE_+_M5005_Spy0155_M5005_Spy_0155,81,128,82,84,126,116
GENE_+_M5005_Spy0156_M5005_Spy_0156,685,1064,670,515,976,1402
GENE_+_M5005_Spy0157_opuAA,1163,1309,727,500,910,825
GENE_+_M5005_Spy0158_opuABC,2771,4067,2017,1046,2493,2218
GENE_+_M5005_Spy0159_polA,1095,1038,697,760,885,821
GENE_+_M5005_Spy0160_M5005_Spy_0160,93,160,112,106,128,120
GENE_+_M5005_Spy0161_perR,131,260,143,146,162,175
GENE_+_M5005_Spy0162_vlg,39,64,52,46,54,44
GENE_+_M5005_Spy0163_M5005_Spy_0163,512,772,469,598,655,592
GENE_+_M5005_Spy0164_M5005_Spy_0164,363,433,259,468,442,367
GENE_+_M5005_Spy0170_nadC,0,0,0,0,0,1
GENE_+_M5005_Spy0174_M5005_Spy_0174,4,6,2,4,6,4
GENE_+_M5005_Spy0175_tgt,171,241,149,240,243,185
GENE_+_M5005_Spy0176_M5005_Spy_0176,8,11,6,3,8,12
GENE_+_M5005_Spy0177_M5005_Spy_0177,16,18,18,14,21,34
GENE_+_M5005_Spy0178_M5005_Spy_0178,96,150,99,118,109,100
GENE_+_M5005_Spy0179_M5005_Spy_0179,55,93,73,76,69,67
GENE_+_M5005_Spy0181_M5005_Spy_0181,0,0,0,1,0,0
GENE_+_M5005_Spy0182_speG,51,65,36,40,85,48
GENE_+_M5005_Spy0183_M5005_Spy_0183,1,0,0,0,0,1
GENE_+_M5005_Spy0184_M5005_Spy_0184,0,1,0,0,0,0
GENE_+_M5005_Spy0185_pgi,650,705,518,806,704,666
GENE_+_M5005_Spy0187_M5005_Spy_0187,4,5,5,8,7,12
GENE_+_M5005_Spy0188_M5005_Spy_0188,7,9,15,5,9,5
GENE_+_M5005_Spy0189_M5005_Spy_0189,0,0,0,0,0,0
GENE_+_M5005_Spy0190_M5005_Spy_0190,1,0,1,2,1,2
GENE_+_M5005_Spy0191_M5005_Spy_0191,35,68,28,35,48,50
GENE_+_M5005_Spy0195_M5005_Spy_0195,23,80,98,39,87,92
GENE_+_M5005_Spy0196_M5005_Spy_0196,232,588,537,237,502,587
GENE_+_M5005_Spy0197_M5005_Spy_0197,403,785,572,302,536,617
GENE_+_M5005_Spy0198_M5005_Spy_0198,26,37,13,19,34,36
GENE_+_M5005_Spy0199_dut,52,28,23,42,49,33
GENE_+_M5005_Spy0200_radA,125,198,112,141,214,195
GENE_+_M5005_Spy0201_M5005_Spy_0201,100,138,91,55,114,111
GENE_+_M5005_Spy0202_M5005_Spy_0202,158,163,89,317,185,114
GENE_+_M5005_Spy0203_gltX,458,675,469,591,666,486
GENE_+_M5005_Spy0204_fasB,78,107,72,86,115,124
GENE_+_M5005_Spy0205_fasC,61,91,62,88,85,87
GENE_+_M5005_Spy0206_fasA,26,42,40,47,52,34
GENE_+_M5005_Spy0207_rnpA,55,102,59,54,47,59
GENE_+_M5005_Spy0208_M5005_Spy_0208,274,410,263,249,327,363
GENE_+_M5005_Spy0209_M5005_Spy_0209,322,549,400,395,523,528
GENE_+_M5005_Spy0210_M5005_Spy_0210,0,1,0,0,0,2
GENE_+_M5005_Spy0211_rpmH,22,28,22,27,26,31
GENE_+_M5005_Spy0212_M5005_Spy_0212,14,33,14,24,23,25
GENE_+_M5005_Spy0213_M5005_Spy_0213,18,64,46,78,73,81
GENE_+_M5005_Spy0214_M5005_Spy_0214,0,11,8,5,11,14
GENE_+_M5005_Spy0215_M5005_Spy_0215,2,5,3,7,14,7
GENE_+_M5005_Spy0216_M5005_Spy_0216,1,4,1,2,5,5
GENE_+_M5005_Spy0217_nanH,2,11,3,2,10,5
GENE_+_M5005_Spy0218_M5005_Spy_0218,3,7,3,6,10,4
GENE_+_M5005_Spy0220_tatD,123,175,93,138,152,143
GENE_+_M5005_Spy0221_M5005_Spy_0221,84,91,65,71,96,103
GENE_+_M5005_Spy0222_ksgA,129,179,147,143,201,212
GENE_+_M5005_Spy0223_M5005_Spy_0223,293,528,309,309,366,348
GENE_+_M5005_Spy0224_rpe,121,240,136,147,153,204
GENE_+_M5005_Spy0225_M5005_Spy_0225,147,208,144,178,218,194
GENE_+_M5005_Spy0226_M5005_Spy_0226,337,504,348,460,538,491
GENE_+_M5005_Spy0227_cbf,282,495,293,328,499,418
GENE_+_M5005_Spy0228_purR,286,378,222,327,350,352
GENE_+_M5005_Spy0229_prgA,2160,3254,1961,2712,3126,3074
GENE_+_M5005_Spy0230_rpsL,314,409,268,254,316,381
GENE_+_M5005_Spy0231_rpsG,569,711,454,563,661,645
GENE_+_M5005_Spy0232_fus,4652,6380,4122,5256,5592,5532
GENE_+_M5005_Spy0233_plr,7335,9260,6887,8155,9417,9047
GENE_+_M5005_Spy0237_M5005_Spy_0237,181,374,261,222,297,284
GENE_+_M5005_Spy0238_uppP,79,105,91,124,126,99
GENE_+_M5005_Spy0239_mecA,92,148,110,124,188,180
GENE_+_M5005_Spy0240_M5005_Spy_0240,215,269,163,212,285,228
GENE_+_M5005_Spy0241_rgpG,0,2,1,1,3,3
