Synonym,Raw.Counts..brpT.Replicate.1,Raw.Counts..brpT.Replicate.2,Raw.Counts..brpT.Replicate.3,Raw.Counts..brpT.Replicate.4,Raw.Counts..brpT.Replicate.5,Raw.Counts.WT_SK36.Replicate.1,Raw.Counts.WT_SK36.Replicate.2,Raw.Counts.WT_SK36.Replicate.3,Raw.Counts.WT_SK36.Replicate.4,Raw.Counts.WT_SK36.Replicate.5
SSA_0353,9738,8086,11265,8478,10585,5120,5989,6836,4558,4888
SSA_0354,10216,8013,14173,10801,11371,7699,7731,9254,6935,8089
SSA_0355,17361,18073,25406,18484,21016,19448,19467,24097,18452,19848
SSA_0356,10913,11442,16545,12078,13600,15754,17552,21617,16296,17317
SSA_0357,20897,17447,29075,21095,23950,17022,19121,22240,17315,20203
SSA_0358,331,179,476,333,369,190,222,268,232,268
SSA_0359,16805,7779,20365,14969,19574,5855,6358,5695,5368,6990
SSA_0360,80277,49068,102095,69196,94616,26343,33532,33077,30283,30973
SSA_0362,1967,1580,2563,1962,2104,1181,1311,1355,1184,1421
SSA_0363,1555,1729,1878,1500,1722,1060,1069,1319,1045,1042
SSA_0364,1677,1662,2107,1573,1662,1404,1284,1563,1204,1488
SSA_0365,6448,5532,7956,6107,6765,3477,3549,3813,3163,4330
SSA_0366,4768,4028,6097,4539,5183,3277,3052,3391,2789,3942
SSA_0367,447,391,594,437,477,491,424,518,378,448
SSA_0368,8150,5977,10600,7616,9797,5269,6042,6545,5303,5965
SSA_0369,20555,22896,29989,21850,23157,22167,21307,25968,20372,23791
SSA_0370,43058,45411,63370,47741,50288,45568,48342,57601,47712,51041
predicted RNA,1689,1823,2327,1850,1961,1992,1720,2212,1694,1833
SSA_0371,93077,91933,133116,101296,101677,85058,85507,108122,86781,99002
SSA_0373,5290,5032,6840,5189,5692,5971,5568,6668,4809,6960
SSA_0374,5097,4522,7279,5487,6579,7362,8329,9724,7393,8998
SSA_0375,102534,82110,115415,86323,93861,26444,30480,31523,25495,38527
SSA_0376,20031,17248,26558,19517,21181,11537,10059,11056,8808,13382
SSA_0377,15964,16817,22798,16712,17968,15425,13655,14631,11612,15184
SSA_0378,3492,3797,4584,3563,3727,2608,2839,3200,2506,2709
SSA_0379,1437,1414,2202,1464,1790,1280,1532,2137,1729,2154
SSA_0380,3655,3256,4594,3299,3640,2695,2933,3471,2692,3774
SSA_0381,4821,2756,5371,4176,5300,1522,1750,1685,1424,1757
SSA_0382,8380,8524,11135,8786,9799,2998,3503,4863,4041,3930
SSA_0383,906,791,1129,840,804,318,362,368,313,418
SSA_0384,10914,10137,16652,11445,14355,4941,5914,7579,6012,7401
SSA_0385,81109,75675,96906,76046,90411,57750,55579,65337,48433,54214
SSA_0386,28153,22861,33000,25908,28232,10797,10201,11843,9365,12759
SSA_0387,2596,2268,2907,2342,2286,1126,972,1060,914,1243
SSA_0388,2755,2261,3531,2717,3020,2294,2251,2671,2002,2679
SSA_0389,1638,1490,2364,1741,1953,1908,1903,2043,1687,1867
SSA_0390,1653,1527,2376,1751,1915,1902,1779,1969,1606,1867
SSA_0391,13132,10472,17465,13570,16010,13653,14545,17948,12423,16199
SSA_0392,173,138,213,159,176,148,152,166,125,132
SSA_0393,47769,31493,74206,51622,61435,38441,43817,54039,43848,48882
SSA_0394,18000,13235,24037,17380,21441,10292,12908,16115,13131,13703
SSA_0395,751,776,1141,770,1079,972,1311,1749,1361,1420
SSA_0396,122,137,181,140,177,131,180,170,143,149
SSA_0397,51,35,71,59,71,61,48,93,65,87
SSA_0398,134,118,169,150,155,133,190,207,181,166
SSA_0400,98,79,113,96,110,92,93,117,88,94
SSA_0401,6048,5439,8578,6235,6952,5913,6915,8495,6964,7273
SSA_0402,6560,6606,9296,6844,7666,6687,7590,9033,6986,7791
SSA_0403,62,66,66,55,55,62,70,94,68,65
SSA_0405,3557,3304,4490,3395,3688,1933,2104,2412,1941,2294
SSA_0406,74,50,77,62,61,55,54,79,71,72
SSA_0407,59,43,51,61,43,42,60,66,55,52
SSA_0408,32,28,48,42,49,31,41,49,29,46
SSA_0409,33,37,46,41,42,35,22,50,29,41
SSA_0410,1813,1695,2661,2026,2221,2492,2640,3486,2721,2852
SSA_0411,1630,1515,2536,1904,1992,2304,2487,3188,2654,2762
SSA_0412,2125,2281,3269,2344,2582,3175,3342,3963,3025,3268
SSA_0413,3197,3286,4160,2962,3399,3052,2901,3474,2836,3486
SSA_0414,53,34,67,58,58,63,74,94,79,96
SSA_0415,3951,3703,4848,3717,3958,2926,2743,3104,2539,3007
SSA_0416,794,889,1134,813,854,670,709,774,714,831
SSA_0417,320,367,490,411,398,436,399,461,365,447
SSA_0418,3051,3166,4037,2667,3323,2680,2779,3109,2360,3310
SSA_0419,1208,1185,1839,1308,1500,1535,1786,2361,1783,1945
SSA_0420,1929,1732,2472,1831,2137,1412,1592,1845,1404,1730
SSA_0421,1166,1146,1617,1184,1416,1096,1180,1484,1165,1319
SSA_0422,1279,1357,1886,1433,1577,1324,1418,1815,1370,1508
SSA_0423,156,170,146,143,148,178,214,269,214,186
SSA_0424,193,229,203,162,174,152,219,222,193,176
SSA_0425,225,170,287,203,249,182,321,344,265,244
SSA_0426,2187,2013,2592,2266,2564,1925,1996,2433,1704,1845
SSA_0427,13638,14132,20437,14427,17158,10008,11613,15012,11770,12238
SSA_0428,14249,12616,18306,13677,14846,13531,13347,15550,11984,14987
SSA_0429,2853,2631,3495,2556,2687,3000,2877,3531,2823,2993
SSA_0430,2238,1555,2462,1848,1888,1508,1582,1892,1605,1725
SSA_0431,1152,831,1271,923,964,527,636,799,655,697
SSA_0432,2546,1710,2829,1858,1786,634,1168,1993,1610,1253
SSA_0433,868,726,1176,834,777,334,681,1317,960,602
SSA_0434,1446,1287,2245,1542,1378,876,1652,2735,2083,1233
SSA_0435,3835,4699,7903,5315,5888,4683,6735,10269,7291,5084
SSA_0436,4040,4128,5635,4164,4351,3635,3848,4877,3717,3961
SSA_0437,56930,48454,61717,47035,53099,15294,13571,14710,10805,14908
SSA_0438,53088,52776,66861,53299,56650,21020,17076,18621,15052,22952
SSA_0440,52276,40854,64742,49067,55787,27608,28919,31485,24923,30853
SSA_0441,11044,8027,13370,9568,11065,6076,7499,8046,6805,7225
SSA_0442,307,282,447,350,367,153,236,296,251,251
SSA_0443,808,691,1191,875,948,527,681,812,701,718
SSA_0445,143,90,204,163,153,103,112,152,119,130
SSA_0446,9981,9984,12120,9820,10179,8160,8577,10768,8335,9776
SSA_0447,13338,11569,14237,11036,11301,4439,4529,5519,4117,6331
SSA_0448,24932,26389,35406,26865,29153,27884,28398,33719,25755,28880
SSA_0449,7492,6707,10071,7238,7606,5238,4801,5557,4268,6478
SSA_0450,48280,36405,63462,45663,53536,19760,21180,23764,18988,24163
SSA_0451,21859,19113,32113,23989,26088,14772,13773,16216,12858,16834
SSA_0452,25063,24085,36545,26790,29552,18119,17853,21116,16235,19835
SSA_0453,3359,3519,5474,3733,4708,4319,5249,6906,5394,5475
SSA_0454,1887,1988,2946,2091,2217,2327,2597,3093,2575,2628
SSA_0455,2297,2481,3497,2466,2686,2541,2813,3430,2592,2938
SSA_0456,2783,2541,3757,2607,2843,2214,2258,2500,1945,2981
SSA_0457,6132,5466,8240,5993,6715,5170,5199,5855,4446,6350
SSA_0458,2309,2039,3159,2442,2612,2013,1900,1964,1506,2365
SSA_0459,19737,15097,23215,16879,19061,8779,8440,8540,7085,11036
SSA_0460,4019,3080,4827,3792,4212,1867,2159,2520,1683,2442
SSA_0461,29273,28309,41398,31918,34098,35303,36281,42160,31810,39429
SSA_0462,34347,34039,51808,39135,42349,54069,55799,65107,51110,57665
SSA_0463,11314,11924,15440,10620,12578,7857,10179,12413,9224,10125
SSA_0464,10499,11157,14224,10020,12379,7440,9338,10905,8819,8811
SSA_0465,4221,4050,6675,4477,5320,3429,4438,5799,4470,4608
SSA_0466,5288,5401,8579,5633,6728,4706,5655,7561,5731,5982
SSA_0467,9567,10403,15474,10438,12923,8789,11195,14610,10989,10473
SSA_0468,5350,5913,9013,5864,7295,5223,6555,8628,6457,6199
SSA_0469,5324,5808,8584,5570,7053,4864,6189,8323,6101,6085
SSA_0470,8736,9724,13967,9419,11406,7377,9646,12595,9842,9729
SSA_0471,12284,14021,19780,13372,15820,10491,13142,16988,13484,13180
SSA_0472,8457,8535,14302,9542,11228,6922,9007,12083,9464,9479
SSA_0473,8608,9321,14113,9452,11507,7594,9691,12726,10011,9595
SSA_0474,21571,25136,35239,24525,28189,19939,24797,32768,25332,23659
SSA_0475,14451,15335,22280,15567,18005,11809,14297,18605,14313,14596
SSA_0476,13919,15523,21672,14959,17523,11295,13759,17367,14023,14211
SSA_0477,13884,14036,22080,15838,17628,11744,13771,17785,13683,14067
SSA_0478,8452,8460,13089,9474,11000,6693,8097,10298,8144,8261
SSA_0479,2717,2518,3766,2686,2780,1497,1505,1690,1395,1736
SSA_0480,2995,3206,4452,3210,3744,2544,3197,4112,3139,3277
SSA_0481,9935,11004,15117,10562,12811,10024,12010,15098,11626,11776
SSA_0482,3061,3378,5194,3608,4384,3493,4403,5517,4278,4316
SSA_0483,2931,3280,4672,3327,4091,3141,3953,5198,4167,3903
SSA_0484,9771,10471,16251,11493,13420,10113,13112,17495,13552,12981
SSA_0485,8956,10397,15138,10405,12222,9176,11854,15421,12274,10710
SSA_0486,6701,7110,10634,7486,8752,6120,8030,10492,8149,7575
SSA_0487,8557,9331,14538,9961,11736,8172,11068,14142,11290,10556
SSA_0488,11857,13815,19753,13414,15646,11339,14409,18966,15184,13920
SSA_0489,5365,6437,8798,6072,7114,5108,6379,8402,6662,6067
SSA_0490,8210,8885,13170,9106,10309,7441,9537,12745,10143,9195
SSA_0491,6393,7087,10019,6929,8424,5948,7355,9731,7713,6962
SSA_0492,10010,10258,15750,10901,12714,9089,11492,15316,12091,11044
SSA_0493,16718,16284,26417,18286,21092,15002,18773,24555,19777,18173
SSA_0494,6759,7461,11169,7612,8964,6216,7970,10567,8615,7685
SSA_0495,6506,7296,10799,7242,8512,5841,7255,9708,7980,6971
SSA_0496,8676,9589,13892,9936,11379,7715,9688,12833,10326,9398
SSA_0497,8390,9116,13403,9617,10897,7411,9455,12464,10186,9288
SSA_0498,6874,7433,10732,7537,8509,6077,7620,9766,8222,7692
SSA_0499,14424,14060,22306,15515,17536,13184,15763,21088,16889,16084
SSA_0500,4199,4288,6855,4714,5431,3653,4554,5825,4940,4696
SSA_0502,3797,3631,5976,4422,4694,3167,4060,5170,4405,4170
SSA_0503,4568,4810,6833,4893,5649,3900,4796,6293,5073,4728
SSA_0504,4126,4112,6462,4488,5304,3470,4494,5698,4643,4237
SSA_0505,3491,3142,5399,3861,4470,2967,3499,4403,3605,3530
SSA_0506,2287,2300,2917,2205,2543,1379,1525,1833,1430,1579
SSA_0507,1942,1060,2026,1613,1653,1545,1713,1711,1528,2009
SSA_0508,13190,12338,20200,13994,16147,11250,14750,20661,15029,17036
SSA_0509,4349,4170,7407,5244,5696,2801,3834,5561,4121,4525
SSA_0510,14658,15633,24632,16425,17632,8137,11101,15499,11890,11974
SSA_0511,11417,11416,17186,11815,12431,5440,7292,9754,7492,7783
SSA_0512,14570,14108,20639,14046,15260,6302,7808,10707,8285,8624
SSA_0513,8400,7271,11596,8025,8246,3285,3924,5265,4134,4234
SSA_0514,24374,26453,45559,30552,33506,25219,34784,48609,37143,36232
SSA_0515,13108,11693,19083,13310,14690,9109,11133,14634,10998,13169
SSA_0516,23685,20829,37204,26219,28025,18304,22242,29075,22689,26313
SSA_0517,60843,53855,87709,61349,68097,42801,53587,68646,52672,59560
SSA_0518,29264,30441,51323,35584,40054,33680,44612,57992,42857,43265
SSA_0519,44614,50222,86333,58183,62112,38698,56174,85184,62806,54170
SSA_0520,28752,28368,50282,33968,35231,18173,28560,45090,33310,27629
SSA_0521,24102,22338,40443,26143,27477,11342,17255,26522,21239,17508
SSA_0522,21341,19080,33873,21837,23612,8979,13404,21680,16649,14367
SSA_0523,60397,53430,90859,57944,61818,22252,31601,47814,37310,34237
SSA_0524,12756,11163,19867,12513,13091,4425,6190,8785,7196,6205
predicted RNA,554,392,895,555,588,170,224,345,291,266
SSA_0525,16571,14432,26211,16590,17588,5425,7424,10250,8937,7046
predicted RNA,1303,984,1906,1248,1292,328,549,661,556,496
SSA_0526,28737,22558,41232,27197,28484,9402,11475,16163,13036,12696
SSA_0527,27907,23314,41484,26305,28297,9306,11886,16384,13295,11856
predicted RNA,540,328,770,494,535,192,229,303,230,229
SSA_0528,27579,21719,39175,25766,27036,8698,10652,14676,11939,11455
SSA_0529,13129,9349,19611,12410,13009,4193,5192,7131,5832,5484
SSA_0530,45497,39533,64201,40949,43441,15104,17585,23360,19048,18155
SSA_0531,24755,20974,33973,21751,23542,7896,8805,11583,9456,8728
predicted RNA,82,8,19,15,14,30,4,15,10,3013
predicted RNA,193079,114002,190066,147404,172035,22711,23978,19240,17325,25913
predicted RNA,207148,165584,192474,171633,153306,138703,318267,423152,230048,205564
SSA_0532,480,282,472,290,296,47,54,54,53,60
SSA_0533,1259,1058,1648,1064,1185,183,192,240,196,212
SSA_0535,527,443,716,458,498,88,99,118,84,89
SSA_0536,323,280,490,315,361,47,62,70,64,50
SSA_0537,1632,1371,2240,1511,1655,275,332,441,343,316
SSA_0538,268,262,376,244,283,42,66,65,59,53
SSA_0539,475,373,593,400,445,83,84,97,88,97
SSA_0540,424,380,542,357,407,88,72,99,82,84
SSA_0541,352,227,362,255,295,75,72,83,69,68
SSA_0543,216979,217975,359090,251852,309284,201471,218130,280222,211939,225860
SSA_0544,94673,102390,160194,113782,139179,110521,126013,161208,123997,124043
SSA_0546,128696,130028,219284,156068,189857,152602,173144,225058,174115,168724
SSA_0547,7421,7528,13121,9031,10891,10848,13117,16907,13203,12546
SSA_0548,22869,24703,39695,28753,33577,34080,40427,53692,41350,40871
SSA_0549,44623,48853,72939,51375,63147,63046,75082,96547,74111,73494
SSA_0551,9368,9014,14283,10455,12289,8947,8803,11175,8389,9099
SSA_0552,24160,19445,28670,21202,23886,13225,13746,15659,11877,16311
SSA_0553,988,937,1444,853,1231,502,665,717,548,771
SSA_0554,1870,1575,2538,1693,2416,1120,1290,1613,1193,1588
SSA_0555,9068,7302,13436,8826,12419,6071,7378,8589,6656,8168
SSA_0556,6354,3418,8412,5958,8470,3201,3995,4492,3496,4296
SSA_0557,3134,2296,4968,3134,4800,2155,2853,3536,2704,2894
SSA_0558,2964,2122,4802,3076,4599,1945,2753,3273,2553,3013
SSA_0559,6402,3607,9412,6277,8940,3882,5038,5728,4742,5312
SSA_0560,7523,4114,11385,7643,10501,4302,5200,5673,5321,6060
SSA_0561,11082,6105,16629,11269,15059,6886,8434,10067,8343,9417
SSA_0562,11367,5907,16070,11097,15030,6057,7524,8384,7181,7843
SSA_0563,14217,14776,21951,15693,18550,25727,27213,36081,26272,29708
SSA_0564,40218,33671,53877,41556,41527,23743,21098,24369,19123,26790
SSA_0565,3852,3357,4716,3502,3896,5211,5139,5669,4189,5820
SSA_0566,7325,6664,8968,6765,7002,3934,3716,4174,3077,4835
SSA_0567,5866,5374,7606,5773,5827,3832,3574,3995,3313,4722
SSA_0568,6921,6856,9337,7047,7416,5153,5111,5789,4444,5249
SSA_0569,3580,2938,4663,3329,3571,1931,1932,2219,1762,2270
SSA_0570,22721,23400,33026,24651,27029,24090,24395,28603,22401,24867
SSA_0571,26173,29052,39225,28972,32799,34509,34107,41536,31316,34154
predicted RNA,3230,1987,4288,3067,3909,2003,2206,2324,2056,2492
SSA_0572,25522,26966,41427,28378,35697,24400,27147,33939,26655,33528
SSA_0573,178,133,266,187,238,165,166,186,191,221
SSA_0574,2370,2166,3139,2443,2479,2032,1828,2277,1838,2456
SSA_0575,3830,3132,4956,3569,3959,1569,1644,1937,1550,2070
SSA_0576,10055,9354,13247,9900,11361,6630,6679,7989,6144,8149
SSA_0577,3012,2793,4374,3208,3819,2448,2612,3081,2475,2938
SSA_0578,7084,6639,10941,7894,9252,6857,7265,8451,7101,7812
SSA_0579,7122,7214,10635,7722,9555,7509,7862,9209,7026,7575
SSA_0580,6896,4593,10854,7627,9489,5722,7058,8044,6593,7585
SSA_0581,4633,4066,7661,5319,6975,5023,5452,6674,5461,5477
SSA_0582,3034,3345,4868,3467,4363,3539,4188,5307,3929,4145
SSA_0583,8036,8765,12435,8791,10886,9494,11353,14118,10745,10679
SSA_0584,4761,3291,6175,4473,5329,1001,1059,1407,1033,1331
SSA_0585,1651,1488,2286,1564,1943,409,438,471,399,452
SSA_0586,46901,41240,62268,45534,53766,24343,27271,31193,23992,26961
SSA_0587,4330,4337,6204,4647,5103,5387,5913,7175,5397,6002
SSA_0588,152384,117814,164180,119393,133259,43810,47852,52416,42260,55301
SSA_0589,43437,39179,56957,42010,45665,38785,38009,43344,34298,43643
SSA_0590,20851,18595,28527,22372,23176,25784,27179,31820,23619,26691
predicted RNA,601,451,803,596,650,608,535,642,493,612
SSA_0591,25811,26053,36459,27077,28705,28522,26537,30272,24067,29325
SSA_0592,21345,22135,31465,23580,24558,25728,25295,28985,22460,25444
SSA_0593,4458,3451,6118,4626,6931,6321,6701,7600,5951,6595
SSA_0594,723,613,913,685,800,474,525,556,434,665
SSA_0595,384,341,545,425,461,343,342,352,262,475
SSA_0596,509,391,734,507,568,452,375,456,347,524
SSA_0597,4345,3290,5398,4095,4729,1180,1123,1264,990,1352
SSA_0599,685,488,814,594,818,229,284,317,275,293
SSA_0601,3713,3656,4745,3533,3926,2671,2844,3272,2474,2915
SSA_0602,7802,8464,11491,8299,9502,8704,9883,12034,9050,9610
SSA_0603,2971,2873,4388,3254,3503,3473,3383,3854,3072,3594
SSA_0604,2421,1831,3490,2372,2693,2167,2254,2544,2059,2519
SSA_0605,6502,6171,7951,6295,7081,5082,5650,7736,5602,5819
SSA_0606,1167,1175,1729,1334,1499,1683,1892,2472,1953,1924
SSA_0607,3762,3878,5688,4388,4760,4975,5932,7305,6154,5898
SSA_0608,2180,2105,3128,2455,2631,2386,2752,3412,2813,2959
SSA_0609,741,816,1010,809,825,574,685,862,680,715
SSA_0610,18162,16806,24793,17931,20309,10682,11622,13283,11169,12939
SSA_0611,17859,17377,25858,19512,20788,14304,13981,16111,13247,16403
SSA_0612,1071,646,1122,841,804,106,110,125,100,227
SSA_0613,134950,132989,219408,162745,184380,12434,13649,16898,14211,15124
SSA_0614,1085,810,979,748,812,530,655,746,644,667
SSA_0615,1260,1065,1540,1175,1239,627,652,745,606,742
SSA_0616,2939,2107,3489,2511,2865,699,760,868,605,1039
SSA_0617,34823,31495,46386,33361,35728,19746,17835,19542,15495,22061
SSA_0618,1620,1400,2008,1543,1835,1594,1918,2346,2080,1874
SSA_0620,1519,1678,1949,1458,1700,1666,1912,2341,2000,1787
SSA_0621,4893,5137,6133,4764,5502,4573,5742,6961,5675,5154
SSA_0622,1624,1499,1956,1446,1644,1191,1475,1768,1445,1408
SSA_0623,2267,1596,2509,1977,2143,605,678,638,545,913
SSA_0624,2830,2596,4018,2888,3508,1989,2237,2460,1807,2782
SSA_0625,3627,3019,4920,3569,4185,2693,2808,3101,2532,3721
SSA_0626,14959,14334,19805,14288,16751,12966,13530,15280,11977,15209
SSA_0627,11044,9799,15531,11451,12605,8739,9509,11359,8416,10554
SSA_0628,21538,23566,35537,25047,28568,26899,27112,32770,25741,30068
SSA_0629,12145,12699,20182,14145,15800,15218,15470,18496,14133,17433
SSA_0631,3909,4348,5816,4120,5010,3452,3818,4676,3567,3930
SSA_0632,1092,1085,1782,1173,1390,932,1118,1305,1024,1164
SSA_0633,530,495,782,535,628,441,561,650,473,515
SSA_0634,1180,1408,1948,1353,1583,1137,1369,1673,1286,1330
SSA_0635,944,986,1515,1025,1229,803,1021,1285,964,1069
SSA_0636,643,687,1049,724,814,622,689,837,637,694
SSA_0637,1484,1742,2279,1627,1763,1238,1440,1811,1305,1359
SSA_0638,1022,1059,1406,978,1086,553,532,595,433,612
SSA_0639,88,73,138,84,101,82,84,102,87,95
SSA_0640,486,324,681,531,539,426,438,548,412,475
SSA_0641,2411,1890,2870,2269,2703,859,1049,1209,1025,1088
SSA_0642,74,57,85,79,82,134,152,177,165,121
SSA_0643,5,3,9,4,7,6,7,7,4,28
SSA_0644,235409,202262,307734,231506,256715,114093,139971,162511,129771,152335
predicted RNA,1393,1094,1759,1321,1454,670,872,1009,720,917
SSA_0646,2814,1713,3160,2417,2720,765,920,1000,709,1029
SSA_0647,9008,6499,11343,8202,8655,3405,3418,3822,3025,4127
SSA_0648,43360,19992,42954,33840,41411,9374,11593,10699,8994,10859
SSA_0649,1357,1205,1955,1430,1657,1003,1066,1343,1013,1048
SSA_0650,63955,58609,89442,66999,74124,40539,39860,47569,35731,46734
SSA_0651,11914,8568,17145,11745,12699,9513,8790,10239,8207,9869
SSA_0652,15953,12639,20159,15041,16395,9173,9014,10089,7858,11474
SSA_0653,12977,12101,18300,13352,15589,13218,13182,14950,11818,14198
SSA_0654,21070,16292,27612,19587,25131,16459,17674,19206,14937,18485
SSA_0655,48697,42177,67509,50190,56723,40782,39791,44125,34872,52185
SSA_0656,59012,61462,88667,62928,71120,59457,54962,59999,48473,66795
SSA_0657,28111,20695,42028,30847,32837,26416,24114,26869,21404,29562
SSA_0658,21118,17935,32013,22556,24265,20985,19747,22118,17693,22170
SSA_0659,23595,18049,34367,26916,27275,23289,22281,25948,20105,26554
SSA_0660,37128,35816,57820,41443,46428,41622,44473,53106,42709,49135
SSA_0661,57927,62538,90575,68546,71581,83584,83798,99519,78542,88894
SSA_0662,1820,1571,2481,1791,2144,1351,1409,1634,1277,1414
SSA_0663,1222,980,1525,966,1217,537,657,800,635,661
SSA_0664,71792,50266,99309,69354,84401,43626,53753,58180,52533,52683
SSA_0665,4923,4140,6667,4880,5519,2973,3275,3946,2799,2800
SSA_0666,7,3,6,5,2,10,5,4,4,6
SSA_0667,1528,1373,2046,1523,1791,1343,1558,1707,1334,1674
SSA_0668,487,427,676,505,551,499,550,607,493,594
SSA_0669,62545,59167,81582,61576,71508,44932,45341,56499,43942,54079
SSA_0670,107878,74622,139239,97225,119715,31036,37110,31806,27754,37749
SSA_0671,4916,4358,6973,4986,5382,3012,3218,4211,3214,3567
SSA_0672,3996,3360,6219,4342,4883,2948,3219,4026,3107,3647
SSA_0673,1875,1879,2860,2035,2536,1833,2002,2490,1944,2006
SSA_0674,7945,7542,10318,7426,8069,4999,4420,5021,3752,6488
SSA_0675,1751,1463,2396,1664,1994,1486,1545,1789,1278,1890
SSA_0676,6319,5899,9595,6689,7638,6876,7508,8493,6502,8563
SSA_0677,6293,6141,9325,6683,7762,8239,8284,9666,7243,8735
SSA_0678,3799,3717,6020,4202,4919,5096,5696,6589,5177,5771
SSA_0679,17079,18134,27117,18968,22541,22313,24579,29277,22791,24822
SSA_0680,8607,8770,12623,8872,11156,9046,10797,12239,9951,10157
SSA_0682,12634,10047,15492,11696,12754,5212,5280,5957,4545,7098
SSA_0683,332917,280320,382157,279042,320416,97230,111250,101704,90736,109620
SSA_0684,2915,2869,3755,2738,3034,22818,21932,23678,18022,23129
SSA_0685,1019,674,1001,768,932,63,84,87,70,78
SSA_0686,6267,5311,7759,5982,7382,2826,3098,3295,2711,3581
SSA_0687,2864,2109,3644,2659,2943,7175,7765,8422,6883,9924
SSA_0688,67592,69177,92235,70674,70640,36783,36231,39589,31509,40299
SSA_0689,19290,18720,24582,19228,20452,13005,12516,14275,11424,15200
SSA_0690,5583,5480,8161,6158,6548,5679,5551,6403,5315,6142
SSA_0691,15056,11978,17970,13370,14639,6473,6394,6857,5625,7791
SSA_0692,12098,12247,15780,11827,13019,8800,9033,10332,8335,9826
SSA_0694,7239,5820,10100,7430,7819,7350,7215,8252,6448,7965
SSA_0695,6746,5417,9474,7120,7582,7700,7464,8682,6972,8066
SSA_0696,6423,5762,9440,7162,7310,8639,8703,9839,8380,8976
SSA_0697,119,90,193,153,140,93,126,118,93,110
SSA_0698,44208,43926,66844,46342,57301,40213,43706,55002,41066,42820
SSA_0699,8536,4039,12590,9353,11117,5489,6303,7745,6264,7187
SSA_0700,39665,18832,58316,42085,51476,23781,29444,32023,29362,30847
SSA_0701,7816,6121,9674,7703,8039,4787,4695,5217,4160,5199
SSA_0702,1719,1650,2347,1625,2077,1150,1333,1579,1198,1501
SSA_0703,1016,1069,1413,1086,1475,690,982,1156,944,1110
SSA_0704,1471,1520,2118,1365,1957,1103,1379,1712,1271,1510
SSA_0705,1419,1252,1802,1374,1475,772,644,688,503,784
SSA_0706,12704,12282,16109,13426,14616,4270,4195,4547,3557,4566
SSA_0707,15672,13450,23646,15859,20122,15782,21208,25440,20567,20597
SSA_0708,2249,1706,2656,2116,2395,1041,1054,1129,909,1275
SSA_0710,5605,5066,7286,5253,6021,6294,7057,9425,7083,7453
SSA_0709,1159,1174,1614,1205,1403,1650,1912,2554,1940,1897
SSA_0711,2608,2504,3398,2589,2815,3433,4058,5387,4251,4090
SSA_0712,18880,19998,24094,18746,20206,16253,15621,18988,14752,17576
SSA_0713,5907,4296,6744,5243,5392,1605,1540,1692,1404,2258
SSA_0714,1517,1181,1780,1346,1402,768,806,879,668,990
SSA_0715,64,58,86,56,94,50,49,74,52,49
SSA_0716,217,204,336,246,277,254,300,349,275,251
SSA_0718,96267,78622,130835,92879,100798,69938,61817,71315,58674,77722
SSA_0720,10523,7862,13330,10072,11026,6021,5926,6385,4822,7241
SSA_0721,46594,39282,57728,45002,55100,36244,40151,46616,35349,51242
SSA_0722,14019,10518,16287,12637,12902,3227,3107,3371,2678,4405
SSA_0723,7341,3136,7646,6393,7185,2161,2794,2773,2020,2543
SSA_0724,513,479,763,549,621,475,594,712,534,522
SSA_0725,240,204,304,244,244,256,270,331,268,265
SSA_0726,963,943,1481,1059,1149,1036,1304,1584,1256,1269
SSA_0727,532,468,819,536,602,558,764,873,689,715
SSA_0728,1175,1146,1551,1121,1197,1035,1282,1540,1259,1190
SSA_0729,375,417,506,353,412,367,433,537,409,410
SSA_0730,3530,2105,4213,3264,3465,1542,1530,1640,1419,1759
SSA_0731,6709,4937,8381,6389,6768,4439,4563,5397,4128,5436
SSA_0732,22,15,19,17,27,5,11,16,9,8
SSA_0733,9233,8342,12433,9042,9523,11868,14035,17364,12809,14357
SSA_0734,2509,2233,3669,2492,2656,2918,3393,4347,3178,3683
SSA_0735,5009,3748,7275,5271,5393,6094,6178,7562,5959,7593
SSA_0736,9236,6585,11926,8319,9320,8664,8750,10247,8215,10855
SSA_0737,78890,71879,119186,82756,93618,201444,229647,295964,219964,258056
predicted RNA,1960,1679,3374,2262,2583,4557,6025,8305,6100,6172
SSA_0738,87313,87183,150846,102482,113290,187540,251881,348151,262875,255001
SSA_0739,6466,6521,10644,7444,8133,11725,16683,23151,16549,17093
SSA_0740,20467,20806,35903,24455,25057,24219,36610,52148,38799,35969
SSA_0741,8377,6707,12330,8381,8472,5739,9200,13019,9654,9305
SSA_0743,5459,4642,6945,5177,5804,5036,4886,5858,4714,6285
SSA_0744,7904,7110,9823,7027,7741,6107,5519,6199,4769,7602
SSA_0745,326,197,280,329,289,104,90,108,69,123
SSA_0746,1265,1238,1756,1325,1551,1526,2074,2403,2046,2266
SSA_0747,17256,13503,20072,15089,15707,6523,6246,6715,5319,8651
SSA_0748,2311,2001,3167,2239,2419,2147,2080,2320,1770,2270
SSA_0749,43,41,65,52,70,47,82,49,52,51
SSA_0750,5827,3132,6916,4958,8669,1628,2530,2395,2115,2495
SSA_0751,34010,29553,49585,36489,39811,37741,35378,40904,31715,41070
SSA_0752,13196,13378,21060,15154,16422,21506,19852,23176,18362,21473
SSA_0753,50254,43832,71875,53372,57781,46488,45718,53540,40586,50389
