,Complete 1,Complete 2,Complete 3,Fe 1,Fe 2,Fe 3,Mn 1,Mn 2,Mn 3,FeMn 1,FeMn 2,FeMn3
SMU_630,3726,4083,3614,4586,3396,3460,2887,2671,2734,2656,2516,3142
SMU_919c,1443,1348,1203,3071,1693,2361,753,713,660,509,355,536
SMU_1007,2095,1751,1624,2108,1802,1407,1635,1567,1564,1454,1368,1556
SMU_374,227,184,198,245,216,207,216,229,219,369,364,500
SMU_1895c,3665,3372,3297,3942,3998,2960,1129,1365,1589,1624,1583,2800
SMU_1375c,949,827,806,1164,1052,783,471,487,572,607,649,767
SMU_698,5002,4718,4346,5340,5035,3445,3884,4546,3869,3834,3179,4239
SMU_376,513,424,454,575,528,479,536,634,537,933,762,1102
SMU_916c,1839,1628,1579,4096,2537,3258,1137,1101,985,793,498,831
SMU_932,3420,4722,3509,7135,6687,8054,582,1106,1947,478,480,690
SMU_1643c,432,434,413,558,551,402,246,322,322,273,289,332
SMU_503c,350,313,313,497,441,306,996,1290,999,856,796,828
SMU_1396,5028,6538,5586,5709,4438,4861,4587,4266,4211,3068,3187,3354
SMU_1545c,3862,3429,3217,4844,3873,3735,3261,3049,3071,2862,2284,2966
SMU_2147c,16147,15395,14121,15433,16013,12169,8979,10046,10639,10840,10695,15233
SMU_101,1099,971,1010,1069,920,608,427,670,530,618,519,717
SMU_49,6085,5423,5005,7103,6599,4082,4115,3694,3368,3667,2954,4316
SMU_179,859,801,727,1295,1296,1055,835,1134,1338,1891,1706,2521
SMU_1750c,689,696,725,715,701,596,2600,3268,2867,1373,1673,2267
SMU_677,235,182,181,313,229,208,155,157,147,121,125,131
SMU_2080,2159,2057,2078,2678,2444,2082,1515,1445,1661,1341,1531,2004
SMU_563,509,456,458,505,499,354,361,282,348,332,306,371
SMU_2005,7476,6668,6446,7667,7171,5463,3372,3984,4658,4971,4860,6166
SMU_1400c,1226,1224,1160,1313,1309,1241,1271,1354,1600,2301,2183,2823
SMU_933,3346,4519,3479,7774,7203,8983,605,1264,2150,512,514,720
SMU_1976c,2921,2735,2521,4009,3507,3165,3282,3262,4024,4559,4739,6165
SMU_31,1714,1302,1300,1592,1646,849,871,801,725,786,614,913
SMU_936,3274,4448,3493,7613,7222,9098,676,1371,2188,512,605,804
SMU_135,1212,1032,1028,1250,1418,907,1352,1543,1461,1916,1850,2438
SMU_1554c,72,63,65,94,88,60,51,64,52,39,40,47
SMU_1355c,374,385,357,504,479,402,305,316,234,263,232,284
SMU_2129c,670,644,557,656,602,556,674,682,794,1039,1103,1365
SMU_490,546,492,408,614,592,503,566,691,720,912,808,1168
SMU_1867c,16074,18082,15484,19874,13766,15520,14944,13208,12328,9608,10321,12439
SMU_661,298,271,251,367,314,254,335,301,331,438,469,620
SMU_110,1446,1372,1307,1505,1346,1194,2208,1792,2114,2354,2604,3039
SMU_83,3206,3128,3219,4702,4160,5099,5373,5259,4999,7501,6470,10551
SMU_614,592,551,493,735,616,449,354,417,419,361,399,514
SMU_819,7250,7265,6918,6625,5331,5222,7137,6213,5892,5732,4929,6172
SMU_662,462,441,414,556,504,435,588,462,556,762,781,1004
SMU_935,2491,3195,2541,5751,5468,6944,487,929,1705,428,406,624
SMU_1898,891,706,747,884,865,691,353,433,452,452,467,732
SMU_1167c,307,266,252,346,304,266,201,185,154,203,154,236
