Description,WT1,WT2,WT3,WT4,Mutant1,Mutant2,Mutant3,Mutant4
SSA_0218,51566,91923,58752,30900,83850,62995,54446,73351
SSA_2450,554,926,406,253,387,384,201,573
SSA_1118,2896,4949,3251,1923,4458,3516,3046,4229
SSA_0162,1225,2014,1074,953,1703,1914,1417,2072
SSA_0581,8406,9285,7504,3792,5750,5572,4400,8242
dapE,65443,107704,71589,39534,101268,73450,70281,91277
SSA_1334,3369,5452,3796,2499,3299,3730,2606,3697
msmG,308,848,629,319,719,923,512,871
SSA_1125,40055,95488,60773,34521,80690,78287,53751,80758
fruB,5233,11109,6658,4160,9643,8011,6986,8423
SSA_0557,3551,4954,4694,2073,2989,3590,2384,3735
SSA_1392,13839,20982,15590,8785,13956,14342,11099,13783
SSA_1255,319,352,263,189,205,257,172,265
SSA_2036,5784,9768,6938,3740,9373,7074,5928,9274
galK,130386,307672,205475,99062,253281,253316,162196,291065
SSA_1148,1313,2464,1628,1019,2179,2242,1546,2101
SSA_1384,6045,9454,5728,3472,6649,4278,4468,6483
murC,83244,144383,96907,50869,129443,101437,86602,120867
apt,19805,27564,18661,9395,21281,12286,11688,19071
SSA_0245,266,418,314,208,233,283,199,281
basA,2144,4113,2393,1973,3973,3770,2519,3858
rpoZ,5300,8654,5838,3781,5989,4694,4114,6785
SSA_1264,320,446,286,250,499,427,345,541
prsA,61188,99176,62041,40604,95458,72879,65364,80656
pyrK,1806,2713,1942,960,1966,1525,1147,1960
SSA_0244,205,303,214,135,197,189,142,196
SSA_1289,5408,11420,7592,4086,6013,7007,4460,6372
recJ,21272,35090,24621,12716,32999,25597,21336,30733
SSA_0291,1288,2343,1802,902,2261,1974,1469,2147
SSA_1824,1306,1646,952,762,974,839,801,1300
SSA_1399,2200,3371,1993,1456,3210,2715,2267,2944
sunL,20660,34865,22320,12805,31115,23902,20896,29127
lrp,44961,85749,53187,32918,72614,60508,53919,68407
ctsR,4526,5480,3490,2423,3213,2846,2348,4845
SSA_0684,69337,100391,63504,37190,76147,51635,50985,64009
SSA_0723,903,2278,1347,903,1087,1394,743,957
SSA_0845,4689,7845,4779,3469,5449,4458,4009,5301
SSA_1016,57514,103513,68599,32618,94838,70862,58584,94940
SSA_2296,3581,9260,5319,3649,7387,8477,5550,7554
SSA_0460,3168,5611,3101,2597,5377,4072,3667,5772
SSA_0036,654,1123,886,388,1117,932,690,1139
SSA_2240,41398,77008,42859,26679,51778,36583,33125,48920
rpsJ,8075,11548,7963,5791,12830,9617,7936,12892
ffh,27456,39966,26360,14741,29729,19445,20260,27557
SSA_0996,4159,6254,3762,2490,4423,3269,2918,4574
SSA_2178,6463,9814,7600,4453,5434,6874,4724,7301
rgg,147,218,127,119,257,183,175,264
SSA_2067,12985,29282,19535,13039,13601,19814,11120,14340
SSA_0990,3225,6100,3414,2600,5156,5402,4088,4844
rpsE,159541,243792,158497,83974,240080,162659,154399,246950
mrcB,49622,82722,48427,30522,60544,40623,40155,50767
SSA_1213,28194,42540,27593,19461,31378,23747,24401,27386
SSA_0616,1510,2506,1494,1150,1637,1266,1190,1859
treR,3980,6948,4737,2570,5957,5307,4067,6533
SSA_0326,9192,16448,10396,5772,11569,9408,7446,10658
SSA_0588,54769,98137,59758,40519,90407,66851,60482,87687
SSA_2013,1735,3162,1878,1163,2036,1727,1537,1986
dnaE,62920,122249,82682,41072,100931,89522,71490,106848
pmi,23606,34983,22293,12317,27049,16526,16928,21761
pbp1b,49368,82403,48261,30411,60470,40450,40094,50628
ruvB,17043,25338,16614,8940,19287,12355,11068,17878
truA,11883,17422,11106,6535,16688,12502,10972,17390
pdxK,4197,6199,3713,2602,6147,4528,3967,6290
SSA_1710,1889,3909,2734,1564,3599,3434,2557,3090
SSA_1742,534,1075,837,495,1110,1068,785,930
SSA_2211,2474,4433,2672,2170,3964,4139,3265,3935
SSA_1381,7971,12699,7238,6400,13339,9861,8537,14108
nox,72234,135748,72900,54828,93344,63606,64078,79073
SSA_1709,178,363,236,141,345,294,303,274
dam,5211,7593,5527,3522,4872,5245,4208,5277
SSA_2222,15099,19666,11987,7549,13937,10582,10269,13239
SSA_0230,8837,17280,9756,10306,20049,16480,12760,17188
SSA_1428,16132,29736,18238,11615,24336,21864,18819,24116
SSA_2388,182,340,243,118,185,220,126,148
SSA_0264,54927,120924,86651,32285,72839,55426,41772,69634
pabC,98652,173083,112476,65133,148475,122803,104618,138859
era,18392,27071,17039,9995,19689,13832,13496,18937
SSA_0897,30602,66036,40153,21602,55271,44631,37285,50830
nifU,35003,58741,41015,20561,57940,41126,35729,50581
SSA_0468,10543,17066,13069,6308,15997,13160,10929,16543
SSA_1664,1241,2280,1508,850,2026,1676,1412,1829
SSA_0286,1376,2805,2215,970,2437,2412,1774,2715
fatB,1137,1780,1538,611,2166,1621,1455,1407
SSA_0668,664,1142,738,468,1070,973,708,944
potD,21109,33911,20747,13178,30127,24726,23290,27258
SSA_1574,23778,42005,23447,17133,27926,21976,21662,23450
SSA_1300,30753,87971,58713,33006,73250,82971,50144,77101
SSA_0319,35225,62253,38523,22671,50662,43959,36071,54000
pstC,39969,69428,40717,27062,61144,50616,40150,56183
SSA_1360,28038,47550,30158,15509,47500,31219,28451,39304
SSA_1287,2654,5145,3701,1796,3044,3269,2222,2797
gtfA,737,1427,1263,513,1348,1355,925,1574
hisE,5775,8596,6739,3084,6837,4865,4161,5918
SSA_1955,70487,120187,78766,44149,120803,78272,73016,106474
ptxB,30088,100892,68009,30501,76991,91165,48359,107132
SSA_1211,2984,5154,4539,2395,3415,3615,2495,3662
SSA_2121,370647,644557,385685,252890,424603,348252,333131,429707
ung,13922,26277,16384,9860,21255,19201,16048,21075
pstB2,31123,58024,37646,20711,54251,40676,33223,45585
SSA_0555,8694,11528,10132,5400,7405,8520,6184,9293
ppnK,17801,28714,16282,11802,19832,14017,15007,18445
SSA_1331,8036,12304,10432,5386,7626,8972,6428,8518
SSA_0867,2699,4639,2534,1924,3042,2393,2425,2441
nth,7877,13374,8699,4988,14831,8778,7950,12076
SSA_0606,3977,7343,5718,2300,7632,5468,4377,6804
SSA_0047,10570,24855,17625,8693,21513,22900,13859,21101
SSA_0695,10947,16708,10746,7923,15177,16905,12848,14518
SSA_0728,2852,5981,3743,2037,4983,4340,3195,5093
SSA_0769,5402,8770,6654,3474,9173,6775,6427,7204
SSA_0813,7015,10972,6185,4566,12696,7067,6729,11628
SSA_2307,17555,27467,19026,10148,20236,17085,13691,18916
int,977,1725,959,804,1006,972,887,1003
SSA_2192,17904,44936,32525,12768,42668,36270,22463,40077
msmF,412,944,719,398,855,881,588,979
SSA_1371,4565,8286,6073,3104,7373,6377,4962,7872
SSA_0948,2237,3447,3021,1533,2239,2588,1640,2445
SSA_1628,1572,2521,1703,1053,1636,1580,1332,1757
SSA_1252,21886,45685,29466,16325,28913,25456,20323,27887
htrA,6047,10981,6524,4886,7335,6380,5566,6571
SSA_1911,5196,5855,3651,2653,3551,2902,2805,5280
SSA_0553,1227,1626,1232,602,1092,905,669,1367
eno,792899,1542057,900350,545286,1366906,998081,910657,1158369
SSA_0593,19463,33005,22247,10882,40163,22798,18650,28304
SSA_2454,1126,105,364,99,11,17,43,174
tmk,10337,14421,8509,4865,10436,6461,6338,9876
trmD,23916,36103,19989,14080,26372,17449,18557,21044
SSA_1519,2234,3341,1948,1683,2342,2151,1631,2162
SSA_1829,21852,36027,22763,11921,26911,16297,15675,23499
smpB,10124,14694,12151,5099,11265,7844,6611,11187
SSA_0763,1648,2848,1800,1213,2673,2115,1840,2354
SSA_0579,14294,18181,12520,7292,12613,10429,9318,14628
SSA_1691,9484,22765,15118,7426,19291,17901,12193,18785
SSA_2290,4919,8641,6636,3663,5447,6129,4224,4816
rplO,89981,131330,95190,46878,130620,99766,82127,127840
SSA_1689,29901,62014,39913,26189,36332,38055,27922,37766
rmlA,38878,65848,39047,24998,46736,34931,34257,39875
map,8440,11624,8076,3832,9326,5449,5404,7532
SSA_1655,1150,1509,1018,555,1114,753,626,1187
SSA_1907,5910,11235,7159,4624,7004,6781,5655,6761
SSA_0296,2124,4124,2607,1767,2377,2639,1933,2355
mur2,3491,5992,3207,2668,6240,3962,3629,6440
tyrA,50555,87194,56023,28731,78465,57940,50186,75122
ftsZ,182764,256242,161837,89350,202326,108651,127310,155490
aliB,35978,60662,33089,26008,57255,43465,43221,48744
SSA_1161,6019,10260,6668,4334,10043,7232,6133,9573
SSA_2177,7933,11259,9495,4843,6945,7537,5446,9622
SSA_2313,5828,9715,5678,3114,6767,4821,4611,5510
SSA_2318,11613,17631,12027,6045,14020,9161,8587,10654
queA,13992,21432,12315,8025,24904,13074,13035,21994
SSA_0891,9646,17943,12871,6327,13048,9544,7980,12167
leuA,14598,21943,14202,8600,19899,15860,14671,19326
SSA_2449,239,384,186,108,94,205,44,228
SSA_2403,1240,147,1263,73,83,103,118,320
SSA_1099,157189,229981,178400,102956,149360,154491,113373,191095
SSA_2358,44479,76941,42196,29819,52142,41421,38260,46283
SSA_1671,381,693,419,271,607,521,453,562
SSA_2297,6325,15279,9131,6100,11741,13877,8928,12844
SSA_0472,14163,20401,15737,7728,20007,16047,13504,20689
SSA_0624,5515,5566,4120,2541,3522,3028,2730,5543
SSA_0451,28250,50325,32826,17757,37254,24339,24765,31627
SSA_1385,1983,3892,2510,1625,3558,3229,2201,3343
SSA_1582,775,1271,1088,486,1494,1314,971,958
SSA_2078,30511,54004,32323,18031,38890,26181,24873,33428
trmE,16059,26163,17388,9429,30140,16637,15486,25338
SSA_1431,10795,19910,12649,7404,16583,14056,12024,15612
SSA_0151,597,946,642,390,822,881,625,854
SSA_1843,12796,22827,14244,9365,19704,17015,14055,18517
gldA,3126,6203,4607,2111,5514,4801,3531,5823
SSA_0357,29509,52072,29970,18575,35157,27750,24102,35181
SSA_0558,3639,5021,5025,2282,3048,3877,2615,4038
SSA_0559,4117,6135,5157,2622,3729,4587,3014,4435
SSA_0591,48044,79621,51790,29040,78699,54080,53008,61845
purB,87099,121891,97899,39153,86783,61823,47635,98056
glgC,43171,110638,84695,37648,97688,91845,62959,104451
SSA_0908,7779,13286,7944,4661,9739,6726,6167,8644
SSA_0339,2497,4218,2987,1636,4202,3216,2570,3466
SSA_1633,34028,47683,42161,21582,31652,35643,25637,37013
SSA_1768,448,686,535,313,435,484,344,488
SSA_1578,496,742,650,313,902,708,545,669
rheB,19930,32423,20458,12136,25085,16920,15568,22190
SSA_2411,1208,108,368,107,7,11,41,173
SSA_0658,52142,76069,49066,29941,59703,42827,40817,49358
SSA_1217,41196,98990,66343,38281,83343,88136,62097,75749
rplC,22251,26218,19793,11917,31687,21085,21609,28173
ftsA,117771,161952,102671,69210,125337,87530,91901,108447
cysS,69476,115729,78945,40723,106317,79579,68577,101770
SSA_2343,104597,178258,108659,63152,161340,119805,106963,137434
SSA_0103,4947,9055,5865,4608,8390,9286,6817,7535
SSA_0709,3565,8903,6488,3428,7494,8773,5212,7783
SSA_2376,14369,22606,13455,9934,16689,12208,12519,13756
SSA_0524,8825,17722,17232,5849,18054,16923,10844,20424
SSA_1514,13410,21047,15443,8826,14298,14159,11540,14653
SSA_1369,6231,11952,9122,4103,10658,9431,6849,11585
SSA_0509,6115,19137,12944,6523,17411,15585,10786,14754
aldB,23737,32756,19786,12474,24638,17051,17453,21044
SSA_0910,97971,220789,151062,66562,193691,157831,116098,188233
glgD,37659,103699,80787,35972,91845,88383,56776,104919
trpA,3138,4745,3223,1803,3638,2608,2624,2991
SSA_1593,3615,8628,5775,3140,4798,4751,3492,5289
SSA_1301,129951,205136,124764,72824,153598,102416,103902,127538
gyrA,117086,201366,117464,71053,149290,95683,95815,123865
crcB1,829,1213,709,460,1192,871,804,1053
SSA_2320,496882,939561,611821,346876,804419,699295,598926,693161
pstB1,32673,63117,41558,23258,59536,46485,36267,47608
SSA_0722,6263,10609,6035,4344,7290,5646,5532,6823
SSA_1172,986,1636,1175,659,1555,1313,1039,1377
SSA_0387,1842,2902,1830,1073,3190,1935,1719,2609
SSA_0761,1283,2077,1771,780,1597,1349,947,1399
clpE,64100,118916,83885,36499,124441,76736,67161,105720
SSA_0101,18097,33086,21544,10730,29489,22427,18483,26741
spxB,50804,86758,62357,30002,104653,62370,56140,65114
SSA_0494,13737,23261,17415,7795,22857,16046,13656,24407
cpsA,13319,19460,11794,8502,14312,11200,10516,13769
holA,9905,15896,8880,6955,10446,9219,8381,10168
srtC,25726,40626,30689,16903,27987,27561,22302,28284
SSA_1395,4202,6558,4424,2800,5004,3977,3584,4764
SSA_0932,19105,29482,22843,12021,20561,18837,14106,24002
ppx,28250,41938,23264,15964,31181,19291,21281,26248
SSA_1960,18641,29767,18158,11412,20752,16907,15812,20218
SSA_1256,11750,16502,10182,6399,12156,8502,9195,10783
ccl,1888,4066,2511,1859,3694,3541,2472,3416
SSA_2468,526,840,318,383,395,370,442,404
SSA_0554,1978,2510,2047,1227,1663,1809,1426,2115
SSA_2062,11795,19276,12756,7652,15664,17549,11730,17340
SSA_0496,16874,28767,22032,8745,31325,19511,16410,29641
SSA_0247,85798,135766,93260,57886,77576,85525,68743,105513
SSA_2176,8707,11915,9978,5322,7416,8599,6057,10044
SSA_1056,28178,49344,35786,18448,35199,28856,24151,36050
SSA_2400,1238,89,1162,65,55,79,111,305
lacE,44018,135411,101593,37332,114805,117669,65550,124898
SSA_0835,23044,38917,30918,18036,31099,41314,28256,42140
SSA_0885,1809,3240,1838,1273,2164,1726,1571,2162
SSA_1590,4225,8468,6365,3271,4914,5541,3920,5166
SSA_2050,5445,8743,5709,3776,8277,6979,6012,6923
SSA_0863,19962,39319,28229,13532,35180,28478,23268,32326
amiF,6975,11226,8239,4021,10059,7957,7240,10893
SSA_2310,4971,7298,4702,3028,5056,4671,4105,4537
SSA_1014,9972,16011,10676,5613,13452,11310,9813,15022
SSA_0380,7817,13764,9050,4936,10311,7478,6427,9475
rpmI,10430,18296,12322,7277,13468,11152,9398,12721
ligA,79340,151268,102751,48475,132058,106902,79805,138240
comYC,27,37,38,9,57,54,31,40
SSA_0202,192,316,215,136,311,251,240,277
SSA_1052,22443,44529,32897,19435,28533,30080,19620,28973
SSA_2283,257223,652294,400752,245286,336069,397360,258771,298512
SSA_0044,12918,21006,15709,9200,13730,15186,11148,13182
SSA_2309,8937,13121,8285,4351,9767,7010,6434,8293
xylH,4295,8247,5597,2814,4920,5111,2756,5447
purH,5376,7908,5874,2668,5453,4248,3299,6378
ssaA,329886,707758,446877,228128,582250,490350,370691,574212
gidB,6807,13684,10369,5648,12003,12256,8597,12126
rpmH,19125,32164,22465,10865,18764,19612,10617,24015
fcsR,6868,18541,12891,5813,15567,15817,9252,15574
SSA_2302,36388,60465,35913,23485,42653,35353,31363,39304
SSA_1169,12123,22815,16521,9483,14406,15211,10995,14884
argJ,1185,1949,1389,644,1860,1458,1203,1603
SSA_0356,38545,76242,52294,25774,68991,55932,40251,64403
SSA_2224,9336,12942,7809,5257,9562,7212,7188,8539
acrA,21744,33808,20572,12683,25923,18889,16782,22650
SSA_0309,1183,1995,1110,821,1243,1132,913,1411
SSA_0970,6662,12221,8496,5412,7239,8403,5876,8018
malQ,6970,11577,7380,4089,8838,5924,5645,7657
SSA_2372,13810,22814,17424,10932,13278,17101,11242,16227
SSA_1773,7132,12512,6132,6889,12691,10732,9196,11388
rpsD,15309,26410,14558,11209,27149,15953,16507,25778
SSA_0562,3884,6420,4968,2593,4012,4732,3203,3801
SSA_1055,7600,12268,9925,5165,8773,8316,6476,9154
SSA_1390,5674,8223,6477,3684,5131,6267,4150,6160
SSA_0854,7060,13737,8674,4710,11298,9892,8577,9820
SSA_0341,3748,5709,3982,2216,5635,4252,3382,5211
nrdE,74858,121622,86968,49969,120457,87032,76340,105830
galT,133481,379355,276950,110297,337694,282757,181980,363767
rpmF,17609,31764,23133,12754,22182,20998,12562,22352
SSA_2210,2064,3925,2671,1410,3483,2960,2076,3487
SSA_0267,15473,33455,21220,11550,21611,18033,14598,20515
SSA_1429,20428,36152,23601,12464,31818,23403,21639,29477
SSA_0377,27016,34926,20165,15120,26317,20608,18893,23182
engA,64140,111154,73970,40054,85474,61100,55255,72978
mutX,14981,26757,18862,9465,23717,19264,15994,21714
SSA_1492,6977,10341,6973,3982,8237,6071,5506,7089
SSA_1638,6107,8584,4908,3984,6179,4976,4991,5087
SSA_1647,2166,3031,1734,1423,2005,1641,1858,1869
SSA_1783,27116,38810,25581,14267,30331,21377,19918,27337
SSA_1818,18877,28826,25736,13313,14657,23009,12286,23408
SSA_0406,209,346,247,119,327,269,257,285
SSA_1060,4260,6212,4009,2784,5666,5924,4511,5125
SSA_1653,2139,3196,2082,1460,2276,2171,1733,2126
SSA_0865,2049,3463,2399,1587,2355,2241,1668,2664
ddl,11200,19246,12703,7024,14294,10667,9086,13901
SSA_0090,71048,109192,75483,38834,100867,78374,64239,105194
SSA_0412,6722,11731,7837,3799,11454,7689,6646,9856
crpA,19777,32029,24764,10913,34217,23040,19878,28461
SSA_1149,1499,2948,1978,1224,2466,2520,1814,2443
recU,5480,11049,6909,4805,10337,7946,7229,8689
SSA_1109,11939,18810,11650,6768,16778,12761,12014,15218
SSA_1564,57109,94307,58386,35867,69482,51204,51124,58794
SSA_1790,8976,16692,9157,5960,10758,9033,7332,11124
cysK,67878,109173,61181,40743,82958,49085,49085,74316
bta,6783,13487,8371,4572,9063,7848,5886,7787
sdaB,3485,7027,4572,2942,5018,4199,3246,4309
SSA_0475,24698,40764,28410,13865,39055,26852,24397,37044
SSA_1926,10307,17438,9598,6463,14194,12060,10329,14171
SSA_2463,39,47,17,20,28,13,10,28
coaA,4916,9168,6475,4291,6261,5944,4737,6157
trmH,6520,10901,7429,3925,11104,7318,5974,10595
prtS,72190,126307,82002,42239,118538,80553,71815,106618
SSA_2015,16283,25683,14475,9151,19430,11682,12048,16643
pyrD,3686,7749,5891,2461,5215,4349,3052,4727
SSA_1573,5962,10223,5873,4753,6246,6853,5250,5190
SSA_1923,7746,16205,10260,6096,12796,12966,9558,12450
epsH,11331,27188,18951,9057,22658,20616,15176,21982
SSA_0388,3626,6285,3753,2475,5630,4759,3835,4646
SSA_0514,37961,103002,73950,31650,93442,75371,56608,80832
guaA,19589,29766,17616,12220,23356,15202,15131,20640
SSA_2251,4617,9724,6405,4094,5338,6710,4129,5421
hit,5491,9425,6390,3589,7452,5558,4557,6383
SSA_0277,737,1581,1092,618,1369,1353,892,1331
glgP,29715,66882,52918,21555,64039,49972,35780,64400
dnaI,49549,84307,53470,27551,62107,43457,37785,56543
SSA_1686,8341,14787,10074,5429,14043,10363,8443,11950
SSA_2039,2479,4421,2810,1828,3743,3443,2832,3486
nrdG,17854,24058,15519,8122,19381,11317,12250,15226
pepP,14457,24019,14206,8178,17498,11394,11226,16127
SSA_0484,18210,32223,23862,11316,29107,23296,18663,29918
SSA_0750,1151,2142,1657,764,1063,1571,880,1237
serB,10403,16893,12827,5966,11426,9810,7359,13464
SSA_1454,25256,46726,32699,18970,31042,30028,23666,31226
cbiC,8608,15223,10923,5600,13926,10474,9445,12801
divIC,10553,16930,12328,7602,11664,11706,9361,12010
pcrA,21510,35100,23473,12697,32982,23956,20924,28883
SSA_1856,3653,7043,5110,2342,3920,4216,2831,4994
cdsA,29413,45676,27697,16852,33035,27485,22713,31107
SSA_0837,109535,181564,135972,65442,155580,139023,106653,197361
pepO,47708,85913,53391,28701,63755,41613,41079,52868
vacB,34555,53889,40202,18632,40623,29858,24827,40964
SSA_2432,17,6,25,4,1,10,4,5
dnaB,12902,22135,14131,9895,15007,14362,12001,13626
ileS,194892,342996,198319,120906,301538,216641,202993,262526
SSA_1788,49855,98858,57918,36302,84961,67941,55200,72144
SSA_1738,36929,65666,38065,23721,47196,33647,32835,41137
spxA,44907,75691,45241,32060,52261,46681,39623,49783
leuS,95682,148334,97165,49863,116577,74557,69475,100300
SSA_0628,66939,116824,77550,40793,86920,65707,54519,80975
ntpB,196052,363587,264894,113528,353291,244532,197931,337743
comYD,51,78,54,27,82,80,54,75
SSA_0898,2657,6292,4060,1921,5438,4095,3510,4664
crpC,465244,784169,566322,278234,713278,551517,461182,710483
pstC1,35145,61239,35544,25208,52884,44344,35958,49871
SSA_1949,100343,214607,121567,83877,139374,114942,102873,117835
SSA_0889,3045,6877,3728,2581,2914,4496,2637,3352
SSA_0983,12938,19825,13773,7104,19316,13467,11840,19326
SSA_0400,5698,9606,6657,3181,8840,6729,5369,8541
SSA_0735,8645,17722,10637,7989,14637,16030,12692,12861
SSA_1702,2173,3680,2459,1442,2502,2411,1829,2523
SSA_0780,2933,4534,3125,1760,3353,2912,2161,3412
SSA_1208,23555,38451,22208,14880,27497,19182,20904,24225
ftsW,24287,38142,20297,15990,27414,19050,19230,25978
SSA_0755,7603,10574,6965,5562,10364,9976,8236,9871
SSA_1822,3202,4746,2849,1994,3170,2825,2570,3432
SSA_0899,33035,52032,31062,20024,38341,29526,28072,32117
SSA_2308,4457,6873,4865,2548,5147,4473,3605,4451
SSA_1682,179,249,147,90,244,219,155,227
SSA_0458,4616,7143,4229,3005,4988,3803,4122,4655
gid,8322,13480,9095,5045,14605,8775,8076,11778
SSA_0379,7830,18634,14086,6329,19072,15340,11928,12135
aspC,33893,54912,33122,19781,40551,29075,27203,38029
argB,978,1526,1014,492,1363,1140,911,1288
SSA_2156,24844,38734,22746,14351,29059,19936,19785,25876
SSA_2193,7649,12674,8039,4488,9358,6307,6507,8602
hisD,12141,17183,13599,6238,13736,9998,7942,13794
SSA_0445,215,405,269,166,310,381,289,341
clpX,40720,64477,39005,24418,49743,32233,34636,39995
SSA_1918,55035,92955,56451,31268,74684,39980,44745,50637
SSA_1525,10522,19619,13049,8509,19178,13625,11674,17376
SSA_0938,4738,9323,6929,3394,5581,5630,4326,6561
SSA_0323,3436,6138,4408,2089,5892,4477,3366,5204
epsC,4938,7867,4985,3011,6235,4305,3926,5507
cobQ,14473,25860,16983,9979,22816,18482,15550,19737
SSA_0274,1701,3123,2284,1181,2581,2527,1945,2668
apbE,62280,145735,96102,43552,118537,104185,73222,117630
serA,13050,18452,12214,7052,13364,10717,9866,14093
SSA_2282,55905,87049,54769,34482,66112,50394,48499,55552
SSA_0729,1085,2383,1471,798,1973,1622,1251,1878
SSA_2175,9754,13192,10975,5894,8593,9196,7488,11393
SSA_1891,39763,65032,43575,22317,46912,34301,30576,48479
SSA_2000,11738,18043,10652,7712,15127,14577,11992,15378
SSA_1842,12298,21602,13792,7956,17828,14669,12757,17157
acoA,8737,13291,9022,5727,14140,9393,8330,12095
serC,6673,9313,6147,3690,6738,5491,4989,7262
SSA_1741,452,592,435,232,702,496,407,521
argC,406,607,449,190,646,481,369,529
SSA_1113,2652,4170,1965,2323,4382,3275,2835,4535
aspB,34829,56482,34927,20792,43820,29912,28353,38289
ptxA,23347,85284,65353,22774,76887,80800,37528,107039
SSA_2293,273,515,365,231,484,512,320,429
SSA_0285,6200,14041,11066,4220,11405,11672,7094,14494
SSA_0476,22324,38278,27555,12902,37214,25471,22721,33039
SSA_0816,7036,14425,9570,4476,11922,10373,7120,12762
SSA_2407,898,148,1589,110,142,116,230,466
SSA_0190,61,106,79,29,123,114,61,82
lepA,23593,32597,22493,11508,25914,16686,16222,24431
mutY,4470,9191,5467,3563,8041,5823,5174,7663
SSA_2405,46485,844,42658,2052,207,660,1660,9373
SSA_0888,11449,19127,11071,8406,16821,14761,12399,15349
SSA_0794,2874,4679,3487,1638,4831,3349,2863,3926
SSA_2466,82,99,63,41,71,43,56,56
SSA_0495,13542,23252,18183,7044,24052,15298,13208,24132
SSA_1997,1340,2804,1721,1192,2215,2633,1768,2102
SSA_1186,4706,7547,4592,3724,4875,4999,4359,4505
SSA_1632,50673,74900,60636,33303,50827,56062,42220,55420
SSA_2065,14450,22987,14170,10932,19631,21205,17124,18785
glgA,39118,98138,75407,30181,87096,72747,47542,99144
SSA_0851,12260,22302,14575,8583,19778,15689,12627,17647
SSA_1643,9060,16390,9823,7437,11455,9614,8420,11205
hisG,3972,5639,4210,2128,4425,3329,2743,4560
suhB,13824,23821,14698,8202,17356,12849,11492,16218
raiA,239121,782040,499683,234155,595546,565996,391504,617732
SSA_2243,12506,18037,12004,6952,13712,10777,9425,13730
SSA_2040,1607,2808,2043,1109,2678,2079,1764,2269
livJ,19722,28627,16908,12171,21781,15743,16556,17982
rplJ,48365,66097,32033,26672,47535,29884,35179,41569
SSA_2384,4071,6346,4697,2917,4124,4726,3664,3900
gyrB,63761,114002,65463,40433,84241,52768,56170,70374
SSA_1304,13554,21796,14178,8456,17169,12941,11696,14185
SSA_0233,50804,82299,46689,35610,58416,49271,45070,47652
SSA_1117,644,1157,669,542,1006,953,790,934
SSA_0626,21681,31466,20562,12643,24275,18302,17124,23679
SSA_0795,1370,2422,1455,1056,2017,1974,1581,1920
SSA_0443,1970,3912,2443,1640,2983,3689,2394,3106
hisK,15188,25264,17712,9637,19597,15497,13060,18206
glnA,73323,125542,72134,46644,118985,72401,75014,112531
phnA,3971,5315,3636,2110,4132,3053,2500,4459
SSA_2047,12041,19710,15189,6823,19408,14202,12279,16961
SSA_2166,43492,62562,41204,22200,44653,34980,32861,46650
SSA_1759,1376,1721,1387,838,1097,1390,949,1409
gpmA,82698,131983,70435,43008,96147,58914,61706,81434
SSA_1388,4708,7690,5643,3309,5042,5578,4041,5312
SSA_0474,38620,63720,46283,21166,61796,42240,37501,58285
SSA_1736,17633,32137,20527,11920,26605,22036,18993,24582
SSA_2064,4911,7539,5128,3548,6561,6936,5354,6555
secA2,170098,264542,196790,96992,229415,198321,156190,296165
SSA_0927,2140,3229,2262,985,3555,2493,1841,2558
SSA_0805,206641,439029,250951,180406,363444,345651,269314,307532
pyrDA,13118,21445,13222,8258,17091,11565,11027,14142
pdhD,17229,37654,27759,12894,30004,29106,20393,35148
SSA_1591,56905,131543,89201,41976,72958,66603,53065,90563
SSA_2317,11896,17944,13019,5234,14945,9034,7839,10926
comEA,150,213,171,88,225,185,144,230
atpC,203636,311801,210095,111980,302723,208158,195296,262961
SSA_1180,5931,8455,5755,3318,6789,5198,4520,6204
SSA_2401,144501,1622,171483,5009,1194,1294,12255,27346
SSA_1438,7468,12082,8585,4866,9286,7759,6654,8614
obgE,34083,46335,30609,17432,36789,24190,23185,36335
SSA_1878,23792,44348,29381,17719,36386,34150,26222,35703
SSA_2054,430,848,589,374,694,817,630,639
SSA_1916,5670,9721,6622,4402,9622,7030,5754,9195
SSA_0491,13922,22849,18333,7441,23960,16005,13170,22746
SSA_1830,3415,8010,5819,2752,6749,6814,3915,7078
pyrH,25000,30773,19382,11822,25358,15321,15121,24156
SSA_1012,23147,37281,24221,13053,31550,25327,21510,33681
acoB,12593,19897,14966,7246,21148,14135,11769,17725
pepC,65676,123949,74977,43301,112089,76751,69872,93354
SSA_1393,2557,4093,2869,1772,2692,2788,2380,2679
SSA_0815,1413,2195,1265,1031,2321,1587,1328,2069
aroA,26372,37522,25474,12513,30070,19487,17448,27357
SSA_1865,23575,39668,24829,12871,30974,18897,17545,26255
SSA_0159,5637,7900,4808,3222,6620,6066,5074,8103
cadD2,151,227,166,94,142,163,117,130
ssb,35341,61633,32225,23195,59382,35326,36721,51160
galE,70318,229166,156200,64104,192979,152408,96980,221189
SSA_0922,969,1601,1238,514,1170,937,678,1154
SSA_0051,5623,14277,9677,4436,8381,6975,4586,9615
SSA_0145,7547,15618,11232,6972,14386,13405,8924,13816
SSA_2223,9774,13697,8641,4906,10610,6911,7604,8995
SSA_1007,719,1246,1004,379,1149,943,726,1223
rimM,16233,26181,16029,10376,18500,15501,14861,16194
SSA_1708,478,757,354,384,798,515,586,676
SSA_0253,453,848,510,377,660,820,555,672
