Synonym,Raw.Counts.Untreated_SK36.strain.Replicate.1,Raw.Counts.Untreated_SK36.strain.Replicate.2,Raw.Counts.Untreated_SK36.strain.Replicate.3,Raw.Counts.Heat_treated_SK36.strain_T10.Replicate.1,Raw.Counts.Heat_treated_SK36.strain_T10.Replicate.2,Raw.Counts.Heat_treated_SK36.strain_T10.Replicate.3,Raw.Counts.Heat_treated_SK36.strain_T20.Replicate.1,Raw.Counts.Heat_treated_SK36.strain_T20.Replicate.2,Raw.Counts.Heat_treated_SK36.strain_T20.Replicate.3,Raw.Counts.Heat_treated_SK36.strain_T30.Replicate.1,Raw.Counts.Heat_treated_SK36.strain_T30.Replicate.2,Raw.Counts.Heat_treated_SK36.strain_T30.Replicate.3
SSA_0335,2183,2077,2189,2364,2097,2934,2184,2417,3168,1509,1232,1537
SSA_0336,2332,1970,1985,2277,2079,2704,2062,2176,2874,1450,1212,1402
SSA_0337,3762,3045,3062,3717,3254,4179,3297,3680,5033,2592,2618,2590
SSA_0338,2202,2004,2144,2327,2066,2832,2165,2453,3384,1709,1603,1678
SSA_0339,423,362,422,388,347,399,278,307,373,173,167,168
SSA_0341,585,502,555,490,478,593,450,428,511,244,197,260
SSA_0342,15809,13005,14726,13771,20897,19631,30130,40270,47473,13754,12042,12813
SSA_0343,386,254,279,382,446,441,344,371,488,231,232,247
SSA_0345,56,60,68,140,176,213,290,305,341,262,208,261
SSA_0346,123,85,104,329,320,503,597,722,959,661,583,633
SSA_0348,141,119,109,352,388,581,648,763,1008,642,629,633
SSA_0349,1743,1255,1281,1626,1745,2089,1763,1912,2793,1291,1107,1183
SSA_0350,2334,2003,2224,1928,1699,2389,1595,1871,2581,1084,951,1040
SSA_0351,1721,1322,1393,1285,1238,1476,1187,1264,1723,753,701,707
SSA_0352,2988,2245,2396,1571,1597,1755,1290,1553,1999,806,768,787
SSA_0353,976,799,763,754,690,863,630,675,944,419,351,351
SSA_0354,2353,1758,1661,1653,1874,1893,1378,1539,2206,900,961,839
SSA_0355,3349,2965,3311,3169,2755,3765,2849,3290,4098,1798,1558,1847
SSA_0356,1566,1383,1559,1738,1472,2065,1667,1923,2505,1257,1022,1140
SSA_0357,1843,1278,1094,1605,1733,1834,1792,2068,2699,1425,1422,1281
SSA_0358,25,11,15,11,32,19,12,13,29,8,7,5
SSA_0359,166,82,77,193,359,274,215,219,398,174,193,158
SSA_0360,2227,1388,1264,1492,1981,1767,1352,1483,1908,858,913,804
SSA_0362,71,31,43,65,68,76,54,56,85,35,50,32
predicted RNA,252,192,147,296,241,389,197,159,250,244,141,129
SSA_0363,1067,953,920,1587,1227,1640,590,661,874,485,427,403
SSA_0364,529,412,432,526,547,666,424,446,674,250,219,214
SSA_0365,1330,1001,1047,1232,1173,1448,1037,1154,1481,681,613,611
SSA_0366,976,798,816,1060,961,1225,835,972,1248,518,488,547
SSA_0367,106,90,85,179,121,179,118,121,162,87,62,84
SSA_0368,220,174,159,278,289,317,274,335,478,208,220,199
SSA_0369,4029,3609,3529,4184,3482,4095,1837,2178,3200,1511,1635,1480
SSA_0370,8683,7648,8576,9150,7004,8565,4282,4654,6722,3371,3447,3159
predicted RNA,163,147,152,180,139,171,80,85,135,60,70,67
SSA_0371,22553,19724,21248,23241,17316,21401,10779,11878,17180,8277,8644,7927
SSA_0373,1033,883,914,865,846,1060,923,1042,1487,639,631,715
SSA_0374,577,500,545,627,601,764,838,1005,1166,618,502,619
SSA_0375,28548,19763,18996,21214,22403,23239,14999,16975,23082,8838,8428,8011
SSA_0376,4853,4316,4400,4297,3683,4599,3227,3542,4529,2077,1856,2055
SSA_0377,4126,3603,3644,3157,3003,3933,2942,3093,3727,1790,1477,1698
SSA_0378,1507,1147,1218,1052,1036,1221,868,999,1370,541,429,458
SSA_0379,134,102,96,171,410,429,1552,1852,2584,242,147,242
SSA_0380,659,504,599,812,726,1006,856,1040,1196,501,397,497
SSA_0381,106,59,41,79,102,80,80,69,118,54,48,40
SSA_0382,346,274,278,481,533,603,469,485,757,304,344,352
SSA_0383,152,122,123,142,138,200,237,272,349,115,98,100
SSA_0384,287,233,221,549,736,779,1528,1696,2097,507,359,487
SSA_0385,8029,6602,7269,7647,6337,8935,4038,4530,6457,2953,2645,2972
SSA_0386,3427,2797,3076,3193,2692,3518,1633,1925,2791,1110,1041,1184
SSA_0387,441,378,412,700,601,732,492,478,698,322,302,302
SSA_0388,158,121,131,245,224,325,269,328,424,218,165,204
SSA_0389,93,91,87,163,176,200,169,209,285,152,128,111
SSA_0390,117,113,99,172,157,207,181,187,298,148,138,132
SSA_0391,1274,1148,1229,1732,3148,3162,3412,4415,5886,2592,2367,2219
predicted RNA,10,4,3,5,15,11,8,15,17,14,23,7
SSA_0392,14,19,25,21,48,51,46,66,88,39,30,22
predicted RNA,146,68,67,223,769,448,460,302,598,270,81,272
SSA_0393,688,561,658,1628,1814,1966,2035,2119,3178,1638,1555,1465
SSA_0394,1452,809,771,1225,878,981,628,727,1048,533,529,540
SSA_0395,59,51,73,63,96,116,312,390,254,118,59,104
SSA_0396,17,17,22,34,32,26,25,21,36,12,15,20
SSA_0397,9,6,7,11,15,12,7,7,13,6,4,3
SSA_0398,25,25,29,27,38,35,30,24,49,21,15,12
SSA_0400,15,17,11,22,23,23,18,18,26,16,9,15
SSA_0401,1092,910,883,1087,1058,1414,1064,1115,1459,608,526,565
SSA_0402,1586,1142,1187,1585,1523,1930,1346,1483,1990,810,730,846
SSA_0403,9,9,11,11,11,13,10,15,13,6,8,4
SSA_0405,518,392,433,497,489,573,434,483,586,265,245,257
SSA_0406,11,8,8,14,8,7,9,4,14,9,9,8
SSA_0407,16,6,4,11,8,10,7,8,22,6,2,7
SSA_0408,2,4,5,5,4,7,1,3,3,1,4,2
SSA_0409,6,2,1,11,3,8,3,11,13,2,1,4
SSA_0410,299,205,288,412,490,515,523,519,866,282,271,253
SSA_0411,262,234,286,421,468,529,451,499,749,275,234,261
SSA_0412,358,367,453,594,528,783,697,813,1072,415,297,391
SSA_0413,660,583,655,907,871,1201,1061,1104,1591,555,427,507
SSA_0414,14,12,8,5,4,9,4,8,7,2,3,5
SSA_0415,1034,808,767,873,879,1093,721,804,1134,491,511,423
SSA_0416,284,237,237,288,250,342,224,232,319,124,143,150
SSA_0417,109,94,125,148,117,141,105,107,151,60,54,63
SSA_0418,671,552,551,1070,1100,1534,1304,1387,1409,654,450,619
SSA_0419,100,90,103,125,143,187,181,219,222,134,91,114
SSA_0420,218,182,198,180,167,226,233,307,344,143,110,130
SSA_0421,97,93,119,102,99,141,136,187,195,106,65,88
SSA_0422,181,142,188,149,125,177,188,230,306,131,84,125
SSA_0423,65,51,63,40,41,47,27,24,41,13,10,11
SSA_0424,101,82,92,51,48,55,26,34,47,17,17,21
SSA_0425,86,50,106,41,64,41,30,42,56,21,17,24
SSA_0426,906,766,790,511,474,526,473,638,877,321,293,298
SSA_0427,1546,1396,1458,2421,3258,4122,4661,5446,6900,1940,1417,1841
SSA_0428,2789,1912,1878,3211,3380,3820,2563,2736,4005,1937,1820,1740
SSA_0429,406,376,423,544,425,582,432,451,620,334,332,291
SSA_0430,194,213,213,260,221,283,221,240,325,174,141,185
SSA_0431,111,98,97,113,98,128,102,121,143,73,74,80
SSA_0432,74,91,87,98,99,117,111,146,119,85,58,64
SSA_0433,8,9,15,17,13,25,20,23,30,14,5,13
SSA_0434,14,12,19,26,19,37,34,33,29,20,13,22
SSA_0435,23,23,28,34,20,49,49,40,54,28,22,34
SSA_0436,801,600,653,882,846,1033,830,899,1138,512,431,475
SSA_0437,20955,14892,13365,10235,10486,11826,5961,6392,8829,3732,3727,3524
SSA_0438,33218,20542,20566,16691,16334,17233,8954,9524,13256,5698,6170,5493
SSA_0440,19002,13020,12201,10618,11056,10970,6056,5913,8289,3708,4037,3568
SSA_0441,1363,907,725,1717,2065,2033,1305,1409,2070,824,876,746
SSA_0442,31,43,44,154,129,189,77,72,101,39,30,35
SSA_0443,142,132,134,487,416,539,281,252,302,123,108,89
SSA_0445,25,24,23,87,85,97,38,41,50,24,22,19
SSA_0446,2124,1678,1886,2070,1894,2271,1419,1585,2274,968,965,932
SSA_0447,2770,2073,2143,2483,2390,2741,1544,1708,2535,1041,1029,1005
SSA_0448,4366,3637,3934,4079,3866,4892,3876,4431,5831,2827,2378,2523
SSA_0449,1769,1345,1375,1829,1685,2053,1482,1557,2286,1022,997,944
SSA_0450,6438,4547,4511,4815,4727,5082,3580,3937,5485,2419,2421,2166
SSA_0451,4699,3334,3183,3456,3378,3703,2433,2881,4054,1691,1648,1643
SSA_0452,5924,4229,4063,3954,3900,4598,3249,3834,5189,2082,1980,2081
SSA_0453,275,257,304,256,473,573,1462,1704,2332,251,201,221
SSA_0454,473,335,379,852,885,998,655,764,1086,316,305,303
SSA_0455,589,439,514,1169,1164,1412,952,997,1373,408,360,398
SSA_0456,1018,773,790,1559,2602,2788,2704,2872,3510,817,568,669
SSA_0457,1316,1072,1052,990,920,1283,1185,1288,1446,634,491,627
SSA_0458,461,419,419,387,400,488,452,501,561,245,197,257
SSA_0459,2442,1559,1578,3205,3499,3810,2592,2835,4049,1790,1589,1487
SSA_0460,503,470,425,516,530,667,502,565,759,327,264,319
SSA_0461,4722,4047,4246,5353,5171,6795,4270,4982,6629,2984,2645,2926
SSA_0462,5882,4626,4948,6985,6502,8483,5391,5959,7913,3772,3549,3823
SSA_0463,1618,1243,1344,1374,1380,1886,1215,1380,1861,595,399,518
SSA_0464,1330,988,1082,1051,1020,1434,951,1178,1498,477,343,470
SSA_0465,571,575,652,596,510,802,631,700,798,259,170,243
SSA_0466,656,789,777,822,632,1027,795,871,1026,329,213,313
SSA_0467,1011,1253,1425,1277,987,1712,1388,1469,1678,614,347,569
SSA_0468,606,771,851,742,558,944,822,924,949,346,192,344
SSA_0469,556,684,786,671,497,849,790,862,906,378,198,348
SSA_0470,875,1169,1428,1141,777,1561,1326,1465,1548,590,316,594
SSA_0471,1404,1705,1963,1827,1250,2214,1854,2154,2223,901,475,838
SSA_0472,754,1152,1310,1238,848,1521,1318,1513,1539,676,376,613
SSA_0473,941,1189,1477,1415,914,1733,1310,1540,1661,700,384,688
SSA_0474,2363,3097,3430,3169,2177,3972,3261,3685,3981,1658,966,1621
SSA_0475,2106,2446,2635,2172,1586,2528,2121,2387,2620,1191,697,1051
SSA_0476,2017,2211,2531,2137,1489,2415,1943,2295,2424,1000,604,972
SSA_0477,2187,2325,2569,2229,1757,2707,1948,2226,2742,1062,774,977
SSA_0478,1114,1097,1280,1052,904,1279,1082,1188,1436,588,381,553
SSA_0479,639,618,701,536,347,637,403,464,504,235,165,239
SSA_0480,411,427,453,462,393,657,607,642,678,273,163,243
SSA_0481,985,1173,1270,1192,935,1779,1644,1868,1964,779,410,724
SSA_0482,316,368,473,423,310,600,614,679,685,263,148,273
SSA_0483,246,345,416,339,296,505,563,593,670,253,131,242
SSA_0484,863,1012,1196,1063,850,1523,1549,1765,1902,827,396,766
SSA_0485,784,907,1037,941,736,1438,1476,1635,1784,752,376,673
SSA_0486,571,682,689,700,528,959,942,1208,1259,522,303,528
SSA_0487,712,918,978,835,677,1190,1294,1598,1591,688,375,665
SSA_0488,947,1173,1310,1229,932,1825,1765,2217,2193,1030,573,1057
SSA_0489,440,603,694,597,450,920,914,1096,1156,526,266,507
SSA_0490,570,753,814,810,532,1083,1156,1382,1399,684,361,669
SSA_0491,514,670,786,646,433,927,1018,1161,1282,600,331,590
SSA_0492,916,1106,1255,1214,835,1657,1719,1991,2175,985,584,999
SSA_0493,1583,2006,2247,2361,1592,2913,2918,3371,3874,1771,999,1744
SSA_0494,579,804,842,861,557,1086,1156,1258,1476,672,389,672
SSA_0495,516,727,822,773,508,1036,965,1130,1308,647,333,587
SSA_0496,719,896,1090,1057,667,1302,1414,1601,1819,856,490,839
SSA_0497,751,905,991,956,627,1171,1227,1402,1651,842,513,812
SSA_0498,571,786,891,837,552,1067,1148,1215,1425,697,417,651
SSA_0499,1145,1569,1795,1763,1105,2096,2172,2390,2696,1433,820,1354
SSA_0500,380,495,565,487,309,652,678,809,826,455,259,412
SSA_0502,273,389,445,382,247,505,527,604,655,350,204,362
SSA_0503,343,439,527,459,311,583,715,809,781,427,246,376
SSA_0504,302,474,498,444,337,581,634,737,792,420,243,392
SSA_0505,310,395,423,386,273,454,538,604,658,323,214,313
SSA_0506,585,456,429,416,384,397,317,377,502,230,174,187
SSA_0507,2292,1105,1053,919,1462,1129,616,553,911,328,338,240
SSA_0508,456,424,432,438,539,739,1371,1846,2458,320,195,306
SSA_0509,139,132,141,127,177,213,397,533,766,104,66,106
SSA_0510,840,752,742,736,794,1067,1281,1823,2662,545,415,535
SSA_0511,688,649,629,550,588,827,1040,1549,2003,510,357,438
SSA_0512,881,795,917,798,762,986,1299,1862,2656,627,460,606
SSA_0513,571,412,431,484,499,632,677,984,1474,369,292,295
SSA_0514,1302,1322,1385,503,808,916,1890,2609,3596,451,273,356
SSA_0515,1965,1343,1228,953,1288,1370,1627,1993,2395,688,574,627
SSA_0516,2786,2027,1862,1713,2303,2447,2764,3472,4577,1220,1146,1104
SSA_0517,5714,4623,4602,4078,5286,6149,7374,9338,13074,3232,2723,2964
SSA_0518,1356,1303,1243,474,726,876,1304,1711,2166,372,234,339
SSA_0519,1421,1766,1849,800,812,1207,1796,2512,3277,656,454,578
SSA_0520,936,1184,1304,547,486,832,1163,1704,2308,498,294,453
SSA_0521,719,940,992,420,421,634,828,1284,1675,433,242,353
SSA_0522,544,871,952,430,310,582,718,1094,1494,363,220,319
SSA_0523,1753,2376,2492,1196,965,1630,2026,3059,4171,1132,664,939
SSA_0524,324,449,481,241,186,325,346,589,824,276,164,207
SSA_0525,365,566,613,288,240,366,450,703,921,291,143,248
SSA_0526,854,1186,1318,616,471,763,905,1411,1989,592,362,498
SSA_0527,901,1220,1406,640,505,814,970,1441,2175,667,342,593
SSA_0528,877,1179,1175,570,474,741,781,1223,1744,567,333,513
SSA_0529,413,597,577,284,237,380,433,673,899,319,169,284
SSA_0530,1935,2180,2112,1102,885,1391,1452,2149,3077,1109,617,984
SSA_0531,991,1079,1091,509,496,678,719,1028,1539,549,344,477
SSA_0532,8,2,1,4,4,4,7,14,28,5,3,1
SSA_0533,7,7,11,11,29,26,46,72,102,19,17,17
SSA_0535,2,2,5,4,12,10,20,30,33,6,8,6
SSA_0536,5,1,1,5,1,2,12,19,25,6,2,5
SSA_0537,19,16,23,18,33,36,51,107,131,38,22,35
SSA_0538,2,5,4,6,3,5,14,21,28,7,6,6
SSA_0539,6,3,3,6,12,7,17,18,31,17,8,8
SSA_0540,6,1,4,8,6,11,12,27,43,14,9,9
SSA_0541,6,12,4,7,9,14,8,22,28,16,7,9
SSA_0543,19473,17282,19053,23103,19491,27804,23041,26793,34200,15858,12569,15182
SSA_0544,9360,8679,9418,11469,9272,13870,10893,12440,16585,7522,6151,7411
SSA_0546,11269,10600,11690,13865,11878,17010,13909,15392,20277,9075,7158,9004
predicted RNA,170,163,127,194,236,246,213,224,285,161,165,138
predicted RNA,13392,5492,4091,3566,4561,3498,2122,2318,3786,1201,1377,1018
predicted RNA,13289,5891,3400,2826,6832,5386,3234,3323,5505,3144,2771,1674
SSA_0547,651,833,907,1129,848,1472,1235,1438,1694,860,634,826
SSA_0548,2037,2092,2350,2968,2266,3756,3380,3783,4485,2395,1543,2387
SSA_0549,4041,4025,4507,5527,4399,7182,6754,7250,8877,4352,2886,4220
SSA_0551,1140,818,965,1132,1054,1250,908,1001,1463,665,616,585
SSA_0552,2968,2232,2124,2614,2433,2961,2199,2505,3331,1578,1388,1445
SSA_0553,121,84,105,141,119,162,222,204,158,103,71,107
SSA_0554,117,119,151,189,168,211,261,240,257,142,102,135
SSA_0555,518,525,576,791,619,908,974,1043,1016,599,387,581
SSA_0556,123,103,107,172,196,199,232,243,264,144,122,152
SSA_0557,110,114,138,192,164,244,277,287,279,159,81,179
SSA_0558,89,87,113,150,112,166,190,224,216,136,93,129
SSA_0559,170,127,145,216,253,261,297,329,383,212,162,212
SSA_0560,117,109,97,209,269,247,301,266,320,167,157,188
SSA_0561,219,193,166,331,362,421,440,475,569,318,337,326
SSA_0562,147,113,112,201,284,264,312,280,336,219,210,215
SSA_0563,901,690,773,1448,2692,2907,3172,3207,5215,1328,1107,1276
SSA_0564,7300,5702,6079,5748,5839,6633,4894,5420,7635,3481,3485,3567
SSA_0565,4397,3410,3329,3288,3394,4441,2654,2939,4085,1462,1178,1299
SSA_0566,2929,2156,2132,2522,2551,2847,1704,1833,2563,896,871,863
SSA_0567,2350,1701,1804,2071,2094,2250,1384,1456,2130,744,746,725
SSA_0568,1307,1246,1241,751,702,945,849,1070,1308,596,443,551
SSA_0569,746,723,745,794,675,867,588,648,878,367,306,365
SSA_0570,5092,4852,4952,4753,4183,5583,4114,4555,5839,2701,2220,2735
SSA_0571,6599,6179,6580,6636,5294,7277,5172,5614,7668,3409,2922,3446
predicted RNA,93,56,60,57,58,60,52,50,70,29,24,26
predicted RNA,287,195,172,173,223,228,148,153,250,90,97,81
SSA_0572,469,377,428,593,1108,1288,4762,6315,7343,2061,1259,1864
SSA_0573,8,7,7,4,9,7,9,9,17,6,7,6
SSA_0574,364,278,274,271,274,352,303,361,460,236,182,247
SSA_0575,774,678,738,653,622,797,667,727,927,383,271,321
SSA_0576,1983,1820,1970,1682,1503,2009,1718,1944,2239,988,680,936
SSA_0577,460,481,561,458,364,527,454,529,572,276,194,282
SSA_0578,1128,1015,1155,837,743,1083,1014,1102,1157,559,378,570
SSA_0579,1116,1144,1283,810,699,1151,1135,1230,1245,591,400,612
SSA_0580,496,572,609,423,454,590,669,659,604,361,294,361
SSA_0581,371,453,509,264,268,444,572,583,469,328,195,337
SSA_0582,488,514,607,395,359,548,602,587,580,324,174,309
SSA_0583,1387,1267,1379,1090,932,1372,1318,1318,1629,760,515,734
SSA_0584,111,80,94,160,166,195,149,170,244,136,132,130
SSA_0585,52,48,31,60,66,71,63,56,102,53,37,42
SSA_0586,6866,4628,4501,4305,4654,4800,3535,3926,5301,2096,2030,2117
SSA_0587,684,538,572,625,603,805,652,700,889,476,383,424
SSA_0588,35666,23961,23771,31777,30680,34640,20851,22927,32113,12389,11732,11890
SSA_0589,8984,7978,8289,11832,9861,13739,9141,10057,13438,6368,5348,6273
SSA_0590,4590,4154,4174,5064,5003,6663,4670,4856,6237,3117,2641,3082
predicted RNA,113,110,135,150,131,178,118,134,176,73,64,84
SSA_0591,7071,6120,6789,8338,6960,9451,6251,6851,9007,4270,3635,4231
SSA_0592,6289,4692,4383,6144,6005,7116,4776,4861,6706,3372,2988,2948
SSA_0593,831,617,592,1092,975,1292,1390,1575,2024,1117,956,1041
SSA_0594,126,92,83,133,137,166,157,190,202,113,108,89
SSA_0595,81,72,76,101,102,107,98,109,157,66,62,64
SSA_0596,115,68,69,89,93,98,115,120,145,78,78,57
SSA_0597,115,94,75,147,135,192,148,185,254,122,114,107
SSA_0599,192,101,85,94,47,50,13,21,27,20,12,11
SSA_0601,1076,781,778,940,850,1107,777,888,1101,457,397,434
SSA_0602,2094,1801,1911,2025,1659,2445,1724,2001,2544,1034,844,1000
SSA_0603,926,758,830,800,720,958,644,717,909,432,378,395
SSA_0604,634,468,516,562,490,596,436,434,563,281,212,256
SSA_0605,766,654,684,726,681,815,674,688,1006,429,394,397
SSA_0606,84,112,116,220,206,265,205,236,276,132,139,150
SSA_0607,411,366,422,765,680,875,604,647,852,414,438,407
SSA_0608,229,187,227,386,378,433,351,385,518,237,233,234
SSA_0609,93,74,89,158,149,170,128,114,192,83,80,62
SSA_0610,3503,2484,2501,2701,2788,3158,2234,2609,3372,1478,1426,1401
SSA_0611,3427,2577,2555,2419,2358,2787,2212,2624,3222,1516,1449,1485
SSA_0612,82,48,50,110,101,124,65,84,99,42,46,30
SSA_0613,1169,1032,1201,2314,1806,2459,2144,2207,2802,1437,1229,1363
SSA_0614,92,76,93,99,104,115,69,61,94,39,41,42
SSA_0615,252,193,237,277,222,262,165,187,283,121,102,105
SSA_0616,520,450,494,424,405,483,385,430,590,218,187,180
SSA_0617,12406,9432,9512,8952,8607,9729,6582,7168,9406,4097,3847,3767
SSA_0618,413,423,437,467,363,467,345,306,371,158,124,141
SSA_0620,489,467,507,478,402,496,399,396,482,162,164,179
SSA_0621,1763,1631,1745,1879,1419,1902,1324,1253,1556,582,613,540
SSA_0622,724,635,632,667,619,701,473,425,646,230,216,221
SSA_0623,379,253,229,227,300,324,206,235,354,152,145,142
SSA_0624,262,294,340,185,226,338,501,575,348,281,151,270
SSA_0625,451,366,421,341,357,501,582,662,545,374,246,343
SSA_0626,1836,1555,1614,1641,1584,2084,1864,2117,2454,1264,985,1279
SSA_0627,922,820,858,816,770,968,849,878,1201,545,432,524
SSA_0628,2447,2034,2199,1992,1686,2255,1975,2213,2772,1289,1066,1245
SSA_0629,1365,1121,1122,1054,952,1184,1059,1141,1384,635,578,674
SSA_0631,835,802,963,749,789,1147,1242,1443,1579,545,403,545
SSA_0632,148,182,198,153,133,208,287,348,339,136,73,128
SSA_0633,57,75,96,63,56,98,115,152,162,72,37,54
SSA_0634,152,209,271,162,147,261,312,361,413,146,93,139
SSA_0635,147,179,233,163,130,196,245,300,345,118,87,130
SSA_0636,119,136,144,117,93,158,216,239,266,102,55,102
SSA_0637,263,339,392,257,244,367,418,530,603,236,147,206
SSA_0638,289,250,292,197,179,250,272,371,409,184,118,165
SSA_0639,17,13,6,11,17,17,12,7,18,10,9,9
SSA_0640,90,65,68,120,130,128,103,94,156,68,71,52
SSA_0641,391,253,267,158,170,180,116,137,169,75,62,65
SSA_0642,14,11,15,12,6,16,6,8,11,7,9,9
SSA_0643,0,0,0,0,1,1,0,0,0,2,0,0
SSA_0644,55270,37056,35078,34886,45523,40739,27912,36009,42972,16039,16678,13343
predicted RNA,234,170,133,157,191,174,117,168,190,74,76,63
SSA_0646,484,367,348,363,417,465,344,334,455,190,198,169
SSA_0647,1984,1400,1334,1920,1994,2117,1374,1471,2051,935,861,764
SSA_0648,3370,1471,1126,1692,2599,1792,1112,980,1672,609,651,505
SSA_0649,104,85,97,126,79,147,77,86,105,84,77,76
SSA_0650,13085,10227,10669,9340,6725,8346,3791,4763,6499,3955,3931,3906
SSA_0651,1866,1507,1446,1397,1073,1331,564,641,991,637,674,599
SSA_0652,2502,2190,2196,2554,2312,3111,2157,2453,3235,1532,1276,1497
SSA_0653,1982,1773,1919,2134,1699,2316,1796,2089,2401,1234,1022,1227
SSA_0654,1443,1649,1857,1882,1523,2138,1771,1924,2251,1162,920,1170
SSA_0655,7610,7713,8897,7872,6524,9104,8771,9394,10353,4987,3683,4999
SSA_0656,12270,11521,12466,12590,9607,13738,11212,12207,14165,6982,5557,6777
SSA_0657,4940,5258,5647,5702,4655,6244,4625,4919,6156,3074,2572,3010
SSA_0658,4491,4743,5405,4926,3876,5520,3903,4257,5626,2695,2104,2518
predicted RNA,2107,1941,1768,1853,1759,2248,1500,1620,2095,1035,946,982
SSA_0659,5268,5197,5559,5065,4296,5705,4242,4405,5854,2878,2279,2799
SSA_0660,6926,6431,6909,7434,6186,8193,6184,6734,8380,3928,3312,3856
SSA_0661,10783,10377,11215,10487,8767,11391,9010,10041,13696,6378,5754,6207
SSA_0662,157,112,108,278,306,331,217,216,314,157,154,124
SSA_0663,169,111,110,186,176,181,110,132,165,64,50,65
SSA_0664,2987,1424,1272,2113,2560,2275,1440,1675,2634,1006,1238,914
SSA_0665,862,656,619,524,532,582,507,559,755,328,280,291
SSA_0666,1,0,0,0,0,0,0,0,0,0,0,0
SSA_0667,218,201,199,226,195,243,213,247,269,131,119,164
SSA_0668,90,62,61,93,81,87,76,92,104,48,51,47
SSA_0669,3816,3082,3289,6470,5878,7084,4982,5904,8223,4516,4440,4236
SSA_0670,3445,1982,1601,2031,1987,1923,1395,1618,1998,950,1143,865
SSA_0671,962,765,851,904,729,950,618,673,864,364,296,387
SSA_0672,706,557,576,575,531,659,428,445,573,253,223,267
SSA_0673,309,292,295,229,242,341,255,291,307,171,118,159
SSA_0674,1175,959,1064,1443,1317,1799,1697,1940,2537,1119,887,984
SSA_0675,177,189,235,255,237,333,382,400,492,225,155,225
SSA_0676,754,687,785,892,861,1182,1338,1553,1807,804,601,814
SSA_0677,745,759,857,965,863,1207,1291,1547,1775,851,570,779
SSA_0678,406,443,435,518,454,645,663,773,946,441,329,441
SSA_0679,2112,1945,1971,2411,2124,2879,3115,3474,4263,2009,1590,2002
SSA_0680,722,626,573,961,952,1107,1194,1307,1773,888,692,775
SSA_0682,2453,1808,1731,1715,1828,2005,1727,1831,2471,962,856,927
SSA_0683,36755,15021,9683,13969,19032,15370,9251,10784,16954,5817,7648,5143
SSA_0684,34007,28700,30493,26967,21378,29798,15509,16188,21111,7323,5835,6966
SSA_0685,58,37,24,42,43,40,35,28,40,15,19,9
SSA_0686,690,519,544,614,657,648,683,791,1014,381,378,402
SSA_0687,1320,962,935,1041,1235,1366,1162,1298,1612,731,658,723
SSA_0688,25052,16231,14646,13987,14814,14698,8432,9340,12621,5542,5935,5360
SSA_0689,3457,2932,3148,2939,2787,3711,2940,3307,3969,1947,1598,1888
SSA_0690,1190,951,1031,944,893,1131,885,1028,1254,633,601,658
SSA_0691,2798,1998,2046,2525,2564,2898,2151,2404,3287,1383,1215,1273
SSA_0692,2831,2237,2471,2411,2039,2716,1931,2156,2618,1130,945,1232
SSA_0694,1492,1314,1417,1488,1182,1614,1156,1282,1561,714,604,762
SSA_0695,1453,1226,1187,1262,1133,1371,1008,1072,1409,644,566,578
SSA_0696,1661,1353,1406,1561,1349,1635,1107,1221,1610,707,732,724
SSA_0697,20,18,17,27,15,32,10,12,17,7,6,11
SSA_0698,4305,3661,3945,4601,4297,5311,4121,4413,6088,2876,2266,2733
SSA_0699,342,308,305,440,546,516,396,398,632,301,274,311
SSA_0700,1153,800,782,1159,1447,1512,1199,1146,1733,924,975,817
predicted RNA,885,572,527,333,337,316,175,200,266,90,98,92
SSA_0701,4316,2850,2800,1765,1791,1875,981,1115,1553,593,700,609
SSA_0702,588,579,656,1391,1135,1737,1457,1372,1384,740,530,604
SSA_0703,258,279,319,613,500,822,787,839,692,374,241,357
SSA_0704,314,414,410,786,713,1082,1060,1136,953,499,307,469
SSA_0705,536,344,323,346,253,297,100,109,177,90,88,89
SSA_0706,5217,3993,4166,1925,1523,1849,1048,1156,1503,640,538,654
SSA_0707,834,590,608,1044,1106,1333,1034,1108,1455,654,677,650
SSA_0708,631,457,509,967,911,979,730,806,1104,452,443,403
SSA_0710,776,642,739,797,691,915,703,728,1126,428,423,372
SSA_0709,168,174,187,192,176,234,175,191,270,115,104,105
SSA_0711,454,365,407,501,404,483,355,405,586,256,256,260
SSA_0712,6009,4576,5018,4220,3920,4722,3214,3746,5227,2271,2074,2056
SSA_0713,2420,1585,1360,1194,1284,1266,884,912,1273,556,536,495
SSA_0714,193,112,114,115,156,159,144,162,242,128,107,115
SSA_0715,5,0,2,4,2,7,3,9,7,1,1,4
SSA_0716,25,19,25,16,27,42,20,25,29,18,5,13
SSA_0718,27892,18797,18931,21049,21983,22769,15384,17152,24520,9744,10387,9229
SSA_0720,1667,1247,1318,1180,1196,1417,1160,1318,1765,804,697,683
SSA_0721,4540,3181,3135,4263,6473,6331,8821,11586,14216,5216,4792,4643
SSA_0722,1359,1001,936,1203,1202,1413,1138,1238,1843,835,806,734
SSA_0723,206,145,112,134,183,184,93,107,195,75,83,65
SSA_0724,117,95,74,117,106,136,66,58,74,24,31,27
SSA_0725,42,34,40,32,39,50,33,33,35,13,14,10
SSA_0726,159,144,165,194,173,251,156,160,181,81,64,89
SSA_0727,97,67,94,91,82,135,94,85,99,50,30,59
