,WT_A,WT_B,WT_C,DcsrR_A,DcsrR_B,DcsrR_C
GENE_+_M5005_Spy0083_rpoB,1563,2526,1623,930,1391,1355
GENE_+_M5005_Spy0084_rpoC,2025,3113,2177,1301,1901,1889
GENE_+_M5005_Spy0085_M5005_Spy_0085,117,227,152,53,62,64
GENE_+_M5005_Spy0086_comYA,1,1,4,2,1,0
GENE_+_M5005_Spy0087_comYB,2,8,3,1,1,1
GENE_+_M5005_Spy0088_comYC,0,2,0,1,0,1
GENE_+_M5005_Spy0089_M5005_Spy_0089,0,2,0,0,0,0
GENE_+_M5005_Spy0090_M5005_Spy_0090,2,0,2,0,1,0
GENE_+_M5005_Spy0091_comYD,0,1,1,0,0,0
GENE_+_M5005_Spy0092_M5005_Spy_0092,0,0,0,0,0,0
GENE_+_M5005_Spy0093_M5005_Spy_0093,218,276,177,75,104,107
GENE_+_M5005_Spy0094_ackA,691,844,545,318,349,279
GENE_+_M5005_Spy0095_M5005_Spy_0095,0,0,3,0,0,0
GENE_+_M5005_Spy0099_M5005_Spy_0099,28,46,20,17,7,17
GENE_+_M5005_Spy0100_M5005_Spy_0100,25,21,14,13,14,9
GENE_+_M5005_Spy0101_M5005_Spy_0101,81,99,72,32,48,45
GENE_+_M5005_Spy0102_M5005_Spy_0102,0,1,2,0,0,2
GENE_+_M5005_Spy0107_M5005_Spy_0107,1260,1673,922,444,688,357
GENE_+_M5005_Spy0108_M5005_Spy_0108,246,293,140,116,130,54
GENE_+_M5005_Spy0109_M5005_Spy_0109,614,762,418,290,323,137
GENE_+_M5005_Spy0110_M5005_Spy_0109,470,493,327,248,236,102
GENE_+_M5005_Spy0111_M5005_Spy_0111,259,287,162,126,139,64
GENE_+_M5005_Spy0114_M5005_Spy_0114,4,6,0,1,2,2
GENE_+_M5005_Spy0116_atoE,0,0,1,0,0,0
GENE_+_M5005_Spy0119_M5005_Spy_0119,3,1,0,2,2,5
GENE_+_M5005_Spy0120_M5005_Spy_0119,0,0,0,2,2,1
GENE_+_M5005_Spy0121_M5005_Spy_0121,1,1,1,1,0,2
GENE_+_M5005_Spy0123_M5005_Spy_0123,23,18,12,16,13,8
GENE_+_M5005_Spy0124_sloR,127,91,63,108,48,58
GENE_+_M5005_Spy0125_M5005_Spy_0125,0,4,3,9,2,4
GENE_+_M5005_Spy0126_ntpI,29,33,22,63,49,49
GENE_+_M5005_Spy0127_ntpK,1,1,3,0,3,7
GENE_+_M5005_Spy0128_ntpE,0,4,1,9,8,8
GENE_+_M5005_Spy0129_ntpC,7,11,4,21,15,10
GENE_+_M5005_Spy0130_ntpF,1,1,1,2,5,5
GENE_+_M5005_Spy0131_ntpA,14,18,15,11,13,16
GENE_+_M5005_Spy0132_ntpB,17,19,10,8,17,13
GENE_+_M5005_Spy0133_ntpD,7,7,5,7,12,3
GENE_+_M5005_Spy0136_purA,197,837,486,296,652,683
GENE_+_M5005_Spy0137_M5005_Spy_0137,395,756,452,308,449,451
GENE_+_M5005_Spy0138_nusG,86,92,82,45,39,38
GENE_+_M5005_Spy0139_nga,111,45,36,529,527,722
GENE_+_M5005_Spy0140_M5005_Spy_0140,34,16,7,229,187,302
GENE_+_M5005_Spy0141_slo,189,91,99,1561,1201,1642
GENE_+_M5005_Spy0142_M5005_Spy_0142,1,0,0,0,1,2
GENE_+_M5005_Spy0146_metB,75,133,111,138,97,121
GENE_+_M5005_Spy0147_leuS,593,911,648,358,385,527
GENE_+_M5005_Spy0148_ulaA,104,199,130,60,119,245
GENE_+_M5005_Spy0149_M5005_Spy_0149,3,5,6,2,9,20
GENE_+_M5005_Spy0150_M5005_Spy_0150,0,8,1,0,1,4
GENE_+_M5005_Spy0151_ulaD,1,5,5,1,2,5
GENE_+_M5005_Spy0152_M5005_Spy_0152,1,7,1,0,6,7
GENE_+_M5005_Spy0153_araD,1,4,1,1,3,0
GENE_+_M5005_Spy0154_M5005_Spy_0154,0,0,0,0,0,0
GENE_+_M5005_Spy0155_M5005_Spy_0155,81,128,82,33,30,20
GENE_+_M5005_Spy0156_M5005_Spy_0156,685,1064,670,277,745,1431
GENE_+_M5005_Spy0157_opuAA,1163,1309,727,118,141,53
GENE_+_M5005_Spy0158_opuABC,2771,4067,2017,260,496,300
GENE_+_M5005_Spy0159_polA,1095,1038,697,511,562,818
GENE_+_M5005_Spy0160_M5005_Spy_0160,93,160,112,69,89,112
GENE_+_M5005_Spy0161_perR,131,260,143,101,97,160
GENE_+_M5005_Spy0162_vlg,39,64,52,26,34,40
GENE_+_M5005_Spy0163_M5005_Spy_0163,512,772,469,386,392,519
GENE_+_M5005_Spy0164_M5005_Spy_0164,363,433,259,249,298,318
GENE_+_M5005_Spy0170_nadC,0,0,0,1,0,0
GENE_+_M5005_Spy0174_M5005_Spy_0174,4,6,2,3,2,4
GENE_+_M5005_Spy0175_tgt,171,241,149,100,128,102
GENE_+_M5005_Spy0176_M5005_Spy_0176,8,11,6,2,4,3
GENE_+_M5005_Spy0177_M5005_Spy_0177,16,18,18,7,6,8
GENE_+_M5005_Spy0178_M5005_Spy_0178,96,150,99,55,54,79
GENE_+_M5005_Spy0179_M5005_Spy_0179,55,93,73,44,37,43
GENE_+_M5005_Spy0181_M5005_Spy_0181,0,0,0,0,0,0
GENE_+_M5005_Spy0182_speG,51,65,36,14,31,37
GENE_+_M5005_Spy0183_M5005_Spy_0183,1,0,0,0,0,2
GENE_+_M5005_Spy0184_M5005_Spy_0184,0,1,0,0,0,0
GENE_+_M5005_Spy0185_pgi,650,705,518,323,311,336
GENE_+_M5005_Spy0187_M5005_Spy_0187,4,5,5,3,4,3
GENE_+_M5005_Spy0188_M5005_Spy_0188,7,9,15,4,8,7
GENE_+_M5005_Spy0189_M5005_Spy_0189,0,0,0,0,0,0
GENE_+_M5005_Spy0190_M5005_Spy_0190,1,0,1,0,0,0
GENE_+_M5005_Spy0191_M5005_Spy_0191,35,68,28,15,13,16
GENE_+_M5005_Spy0195_M5005_Spy_0195,23,80,98,10,9,15
GENE_+_M5005_Spy0196_M5005_Spy_0196,232,588,537,88,67,117
GENE_+_M5005_Spy0197_M5005_Spy_0197,403,785,572,121,87,157
GENE_+_M5005_Spy0198_M5005_Spy_0198,26,37,13,9,13,19
GENE_+_M5005_Spy0199_dut,52,28,23,20,8,11
GENE_+_M5005_Spy0200_radA,125,198,112,86,75,85
GENE_+_M5005_Spy0201_M5005_Spy_0201,100,138,91,46,46,39
GENE_+_M5005_Spy0202_M5005_Spy_0202,158,163,89,293,166,116
GENE_+_M5005_Spy0203_gltX,458,675,469,263,273,230
GENE_+_M5005_Spy0204_fasB,78,107,72,58,33,39
GENE_+_M5005_Spy0205_fasC,61,91,62,38,33,30
GENE_+_M5005_Spy0206_fasA,26,42,40,13,19,23
GENE_+_M5005_Spy0207_rnpA,55,102,59,44,39,39
GENE_+_M5005_Spy0208_M5005_Spy_0208,274,410,263,196,182,200
GENE_+_M5005_Spy0209_M5005_Spy_0209,322,549,400,267,256,375
GENE_+_M5005_Spy0210_M5005_Spy_0210,0,1,0,0,2,0
GENE_+_M5005_Spy0211_rpmH,22,28,22,12,10,13
GENE_+_M5005_Spy0212_M5005_Spy_0212,14,33,14,21,12,15
GENE_+_M5005_Spy0213_M5005_Spy_0213,18,64,46,62,42,60
GENE_+_M5005_Spy0214_M5005_Spy_0214,0,11,8,4,6,9
GENE_+_M5005_Spy0215_M5005_Spy_0215,2,5,3,1,5,5
GENE_+_M5005_Spy0216_M5005_Spy_0216,1,4,1,2,3,2
GENE_+_M5005_Spy0217_nanH,2,11,3,2,1,3
GENE_+_M5005_Spy0218_M5005_Spy_0218,3,7,3,1,2,2
GENE_+_M5005_Spy0220_tatD,123,175,93,93,101,73
GENE_+_M5005_Spy0221_M5005_Spy_0221,84,91,65,51,52,44
GENE_+_M5005_Spy0222_ksgA,129,179,147,72,88,103
GENE_+_M5005_Spy0223_M5005_Spy_0223,293,528,309,217,296,354
GENE_+_M5005_Spy0224_rpe,121,240,136,136,159,209
GENE_+_M5005_Spy0225_M5005_Spy_0225,147,208,144,116,150,169
GENE_+_M5005_Spy0226_M5005_Spy_0226,337,504,348,311,327,384
GENE_+_M5005_Spy0227_cbf,282,495,293,278,267,345
GENE_+_M5005_Spy0228_purR,286,378,222,293,278,299
GENE_+_M5005_Spy0229_prgA,2160,3254,1961,2164,2651,3106
GENE_+_M5005_Spy0230_rpsL,314,409,268,111,204,136
GENE_+_M5005_Spy0231_rpsG,569,711,454,196,310,238
GENE_+_M5005_Spy0232_fus,4652,6380,4122,2675,3303,3417
GENE_+_M5005_Spy0233_plr,7335,9260,6887,3592,3865,4663
GENE_+_M5005_Spy0237_M5005_Spy_0237,181,374,261,163,152,220
GENE_+_M5005_Spy0238_uppP,79,105,91,83,58,94
GENE_+_M5005_Spy0239_mecA,92,148,110,91,63,59
GENE_+_M5005_Spy0240_M5005_Spy_0240,215,269,163,143,135,120
GENE_+_M5005_Spy0241_rgpG,0,2,1,0,0,4
GENE_+_M5005_Spy0242_M5005_Spy_0242,165,211,139,61,90,69
GENE_+_M5005_Spy0243_M5005_Spy_0243,348,641,389,178,286,219
GENE_+_M5005_Spy0244_nifS3,453,744,428,174,315,273
GENE_+_M5005_Spy0245_nifU,184,298,156,58,126,87
GENE_+_M5005_Spy0246_M5005_Spy_0246,741,985,532,223,427,344
GENE_+_M5005_Spy0249_oppA,1019,1552,1010,1070,1213,1254
GENE_+_M5005_Spy0250_oppB,333,492,320,377,458,431
GENE_+_M5005_Spy0251_oppC,206,295,257,221,300,323
GENE_+_M5005_Spy0252_oppD,196,347,264,267,314,370
GENE_+_M5005_Spy0253_oppF,240,333,238,245,344,390
GENE_+_M5005_Spy0256_M5005_Spy_T0044,1,0,1,0,0,0
GENE_+_M5005_Spy0257_M5005_Spy_0257,5,3,6,6,1,3
GENE_+_M5005_Spy0258_M5005_Spy_0258,6,12,6,3,4,6
GENE_+_M5005_Spy0259_M5005_Spy_0259,0,0,0,0,1,0
GENE_+_M5005_Spy0260_M5005_Spy_0260,96,140,84,91,49,54
GENE_+_M5005_Spy0261_M5005_Spy_0261,356,412,224,211,210,152
GENE_+_M5005_Spy0262_M5005_Spy_0262,64,73,27,32,40,27
GENE_+_M5005_Spy0263_nadD,210,200,136,84,105,95
GENE_+_M5005_Spy0264_M5005_Spy_0264,185,237,119,85,139,114
GENE_+_M5005_Spy0265_M5005_Spy_0265,64,58,38,35,42,42
GENE_+_M5005_Spy0266_M5005_Spy_0266,63,74,30,21,32,19
GENE_+_M5005_Spy0267_M5005_Spy_0267,104,105,62,21,61,44
GENE_+_M5005_Spy0268_M5005_Spy_0268,7,18,12,9,5,6
GENE_+_M5005_Spy0269_M5005_Spy_0269,387,440,283,204,201,201
GENE_+_M5005_Spy0270_M5005_Spy_0270,718,1545,1080,651,1195,1123
GENE_+_M5005_Spy0271_M5005_Spy_0271,58,92,58,59,85,78
GENE_+_M5005_Spy0272_M5005_Spy_0272,74,142,83,98,113,109
GENE_+_M5005_Spy0273_M5005_Spy_0273,69,79,62,52,51,61
GENE_+_M5005_Spy0275_M5005_Spy_0275,116,243,185,25,22,18
GENE_+_M5005_Spy0279_lemA,342,524,428,223,151,203
GENE_+_M5005_Spy0280_M5005_Spy_0280,595,948,707,398,404,602
GENE_+_M5005_Spy0281_M5005_Spy_0281,112,146,105,106,165,119
GENE_+_M5005_Spy0282_covR,903,1343,891,0,0,0
GENE_+_M5005_Spy0283_covS,224,279,167,89,84,61
GENE_+_M5005_Spy0284_nrdR,96,128,74,86,82,66
GENE_+_M5005_Spy0285_dnaB,186,278,190,202,191,216
GENE_+_M5005_Spy0286_dnaI,223,313,233,155,189,199
GENE_+_M5005_Spy0287_engA,439,581,367,243,357,314
GENE_+_M5005_Spy0288_snf,536,820,566,343,355,376
GENE_+_M5005_Spy0289_M5005_Spy_0289,499,713,420,260,319,344
GENE_+_M5005_Spy0290_murC,645,947,563,329,476,432
GENE_+_M5005_Spy0291_M5005_Spy_0291,73,84,40,40,40,39
GENE_+_M5005_Spy0292_M5005_Spy_0292,460,547,349,259,295,272
GENE_+_M5005_Spy0293_greA,211,225,147,76,98,70
GENE_+_M5005_Spy0299_M5005_Spy_0299,55,104,61,23,33,40
GENE_+_M5005_Spy0300_M5005_Spy_0300,175,269,207,81,74,86
GENE_+_M5005_Spy0301_M5005_Spy_0301,353,653,434,199,200,209
GENE_+_M5005_Spy0302_M5005_Spy_0302,44,59,30,28,22,21
GENE_+_M5005_Spy0303_glr,90,116,63,74,56,63
GENE_+_M5005_Spy0304_M5005_Spy_0304,145,269,149,107,164,139
GENE_+_M5005_Spy0305_M5005_Spy_0305,85,133,77,49,82,59
GENE_+_M5005_Spy0306_M5005_Spy_0306,70,140,72,44,79,72
GENE_+_M5005_Spy0307_xerD,123,161,105,84,95,83
GENE_+_M5005_Spy0308_scpA,94,177,96,77,82,86
GENE_+_M5005_Spy0309_scpB,101,175,92,63,102,84
GENE_+_M5005_Spy0310_M5005_Spy_0310,183,197,112,62,111,110
GENE_+_M5005_Spy0311_M5005_Spy_0311,21,29,21,11,24,21
GENE_+_M5005_Spy0312_M5005_Spy_0312,40,36,33,20,22,10
GENE_+_M5005_Spy0313_M5005_Spy_0313,24,35,34,17,20,19
GENE_+_M5005_Spy0314_M5005_Spy_0314,146,242,176,70,74,80
GENE_+_M5005_Spy0315_M5005_Spy_0315,116,167,110,77,90,68
GENE_+_M5005_Spy0316_M5005_Spy_0316,93,103,63,40,51,50
GENE_+_M5005_Spy0317_hlyX,257,294,181,135,106,95
GENE_+_M5005_Spy0318_pflC,575,1021,592,552,718,1028
GENE_+_M5005_Spy0319_ppaC,613,1139,628,639,668,936
GENE_+_M5005_Spy0320_M5005_Spy_0320,130,182,85,115,95,120
GENE_+_M5005_Spy0326_M5005_Spy_0326,249,400,232,169,179,213
GENE_+_M5005_Spy0327_upp,131,158,90,45,61,57
GENE_+_M5005_Spy0328_clpP,541,810,564,487,342,363
GENE_+_M5005_Spy0329_M5005_Spy_0329,20,26,22,9,16,13
GENE_+_M5005_Spy0330_tmk,56,78,50,56,45,59
GENE_+_M5005_Spy0331_dnaX,84,123,79,94,75,87
GENE_+_M5005_Spy0332_M5005_Spy_0332,13,21,9,11,11,19
GENE_+_M5005_Spy0333_M5005_Spy_0333,2,6,4,2,5,3
GENE_+_M5005_Spy0334_M5005_Spy_0334,44,87,56,39,61,57
GENE_+_M5005_Spy0335_M5005_Spy_0335,155,269,189,119,149,181
GENE_+_M5005_Spy0336_M5005_Spy_0336,150,215,188,111,101,148
GENE_+_M5005_Spy0338_M5005_Spy_0338,28,46,27,20,12,20
GENE_+_M5005_Spy0340_lctO,961,2425,1484,1280,1605,2254
GENE_+_M5005_Spy0341_M5005_Spy_0341,100,282,195,2093,1263,1378
GENE_+_M5005_Spy0343_M5005_Spy_0343,1,2,0,0,2,0
GENE_+_M5005_Spy0344_M5005_Spy_0344,10,9,10,6,2,2
GENE_+_M5005_Spy0345_metG,487,584,466,224,230,240
GENE_+_M5005_Spy0346_M5005_Spy_0346,2,0,0,0,0,0
GENE_+_M5005_Spy0347_nrdF,24,8,13,11,4,6
GENE_+_M5005_Spy0348_nrdI,13,6,7,2,3,3
GENE_+_M5005_Spy0349_nrdI,78,54,26,30,18,20
GENE_+_M5005_Spy0350_M5005_Spy_0350,3,2,2,0,0,0
GENE_+_M5005_Spy0352_M5005_Spy_0352,0,0,0,190,215,188
GENE_+_M5005_Spy0353_M5005_Spy_0353,19,20,18,12,18,17
GENE_+_M5005_Spy0355_M5005_Spy_0355,0,0,0,2,4,5
GENE_+_M5005_Spy0358_M5005_Spy_0358,43,55,34,15,19,28
GENE_+_M5005_Spy0359_fabG,207,311,201,71,80,121
GENE_+_M5005_Spy0360_M5005_Spy_0360,382,617,430,140,175,285
GENE_+_M5005_Spy0361_M5005_Spy_0361,175,289,164,174,166,141
GENE_+_M5005_Spy0362_glmU,555,687,414,373,370,373
GENE_+_M5005_Spy0363_M5005_Spy_0363,183,234,173,149,138,182
GENE_+_M5005_Spy0364_M5005_Spy_0364,67,125,58,55,60,79
GENE_+_M5005_Spy0365_pfs,299,461,264,259,285,299
GENE_+_M5005_Spy0366_M5005_Spy_0366,154,228,150,124,144,157
GENE_+_M5005_Spy0368_mtsA,1400,1321,916,758,704,587
GENE_+_M5005_Spy0369_mtsB,299,285,229,89,138,129
GENE_+_M5005_Spy0370_mtsC,457,432,356,151,205,267
GENE_+_M5005_Spy0372_ftsK,189,279,155,186,169,191
GENE_+_M5005_Spy0374_rplK,383,329,219,128,83,70
GENE_+_M5005_Spy0375_rplA,614,653,449,225,187,160
GENE_+_M5005_Spy0376_M5005_Spy_0376,13,17,8,12,10,10
GENE_+_M5005_Spy0377_M5005_Spy_0377,18,17,15,4,7,7
GENE_+_M5005_Spy0378_pyrH,24,38,18,18,11,7
GENE_+_M5005_Spy0379_M5005_Spy_0379,71,105,48,32,30,29
GENE_+_M5005_Spy0380_frr,270,394,251,206,197,167
GENE_+_M5005_Spy0381_M5005_Spy_0381,128,154,106,51,64,52
GENE_+_M5005_Spy0382_M5005_Spy_0381,24,45,17,16,5,12
GENE_+_M5005_Spy0383_M5005_Spy_0383,10,12,0,2,1,4
GENE_+_M5005_Spy0384_M5005_Spy_0384,196,246,138,184,237,197
GENE_+_M5005_Spy0385_M5005_Spy_0385,442,1039,656,998,618,906
GENE_+_M5005_Spy0386_phoH,124,217,107,96,115,133
GENE_+_M5005_Spy0387_M5005_Spy_0387,42,96,56,39,45,55
GENE_+_M5005_Spy0388_M5005_Spy_0388,146,220,116,122,112,110
GENE_+_M5005_Spy0389_dgk,54,89,56,45,54,37
GENE_+_M5005_Spy0390_era,301,403,267,178,186,185
GENE_+_M5005_Spy0391_M5005_Spy_0391,99,118,76,57,68,89
GENE_+_M5005_Spy0393_M5005_Spy_0393,11,13,5,11,8,14
GENE_+_M5005_Spy0394_M5005_Spy_0394,1,4,2,3,4,7
GENE_+_M5005_Spy0398_M5005_Spy_0398,1,0,3,0,2,3
GENE_+_M5005_Spy0399_M5005_Spy_0399,1,0,0,1,1,0
GENE_+_M5005_Spy0400_silD,1,3,1,1,0,1
GENE_+_M5005_Spy0402_M5005_Spy_0402,4,5,2,8,1,5
GENE_+_M5005_Spy0403_M5005_Spy_0403,3,3,4,2,1,0
GENE_+_M5005_Spy0405_M5005_Spy_0405,0,0,0,0,0,0
GENE_+_M5005_Spy0407_mutR,21,35,24,17,8,8
GENE_+_M5005_Spy0408_fpg,17,32,23,16,17,11
GENE_+_M5005_Spy0409_coaE,22,38,23,28,22,22
GENE_+_M5005_Spy0410_M5005_Spy_0410,320,637,453,376,355,636
GENE_+_M5005_Spy0411_M5005_Spy_0411,249,380,221,152,171,177
GENE_+_M5005_Spy0412_rpmG,14,7,7,12,7,5
GENE_+_M5005_Spy0413_secG,71,116,50,41,40,26
GENE_+_M5005_Spy0414_M5005_Spy_0414,541,692,405,229,369,390
GENE_+_M5005_Spy0415_smpB,83,128,69,37,86,72
GENE_+_M5005_Spy0416_M5005_Spy_0416,89,100,84,19,57,50
GENE_+_M5005_Spy0424_ccpA,495,854,513,398,385,415
GENE_+_M5005_Spy0425_M5005_Spy_0425,608,944,656,275,513,701
GENE_+_M5005_Spy0426_M5005_Spy_0426,741,1267,923,323,579,935
GENE_+_M5005_Spy0427_thrS,348,397,390,147,127,195
GENE_+_M5005_Spy0428_drrA,9,24,12,12,14,19
GENE_+_M5005_Spy0429_M5005_Spy_0429,8,31,12,5,13,16
GENE_+_M5005_Spy0430_M5005_Spy_0430,6,11,12,10,15,8
GENE_+_M5005_Spy0431_M5005_Spy_0431,0,0,0,0,0,0
GENE_+_M5005_Spy0432_M5005_Spy_0432,7,10,6,5,1,2
GENE_+_M5005_Spy0433_M5005_Spy_0433,11,12,7,8,5,2
GENE_+_M5005_Spy0434_M5005_Spy_0434,59,106,47,37,36,46
GENE_+_M5005_Spy0435_vicR,135,227,156,111,99,119
GENE_+_M5005_Spy0436_vicK,368,664,470,286,292,376
GENE_+_M5005_Spy0437_vicX,179,301,223,139,145,206
GENE_+_M5005_Spy0438_rnc,83,108,68,35,50,41
GENE_+_M5005_Spy0439_smc,558,774,424,366,400,329
GENE_+_M5005_Spy0441_aroE,1,3,4,2,2,1
GENE_+_M5005_Spy0442_M5005_Spy_0442,0,0,3,0,0,3
GENE_+_M5005_Spy0443_M5005_Spy_0443,4,9,3,1,2,2
GENE_+_M5005_Spy0444_M5005_Spy_0444,16,17,12,23,13,26
GENE_+_M5005_Spy0445_metK1,12,29,20,15,18,28
GENE_+_M5005_Spy0446_M5005_Spy_0446,6,17,17,13,8,16
GENE_+_M5005_Spy0447_M5005_Spy_0447,21,26,17,13,18,25
GENE_+_M5005_Spy0448_M5005_Spy_0448,0,1,0,0,0,0
GENE_+_M5005_Spy0449_M5005_Spy_0449,23,47,24,16,27,33
GENE_+_M5005_Spy0450_mefE,37,58,49,31,22,46
GENE_+_M5005_Spy0456_M5005_Spy_0456,2,14,8,1,5,9
GENE_+_M5005_Spy0457_M5005_Spy_0457,6,23,22,4,4,10
GENE_+_M5005_Spy0458_M5005_Spy_0458,7,25,15,6,9,9
GENE_+_M5005_Spy0459_M5005_Spy_0459,1,0,0,0,0,0
GENE_+_M5005_Spy0460_M5005_Spy_0460,0,0,0,0,0,0
GENE_+_M5005_Spy0461_M5005_Spy_0461,26,33,19,23,24,24
GENE_+_M5005_Spy0462_M5005_Spy_0462,126,173,126,120,96,140
GENE_+_M5005_Spy0463_M5005_Spy_0463,411,642,417,298,386,548
GENE_+_M5005_Spy0464_mccF,201,309,209,132,170,261
GENE_+_M5005_Spy0465_M5005_Spy_0465,27,53,33,15,33,43
GENE_+_M5005_Spy0466_M5005_Spy_0466,283,451,304,177,216,363
GENE_+_M5005_Spy0469_M5005_Spy_0469,11,10,11,4,8,8
GENE_+_M5005_Spy0470_M5005_Spy_0470,100,195,149,113,63,115
GENE_+_M5005_Spy0471_M5005_Spy_0471,99,228,153,123,99,130
GENE_+_M5005_Spy0472_ftsY,417,680,485,438,366,455
GENE_+_M5005_Spy0474_licT,11,27,21,22,15,12
GENE_+_M5005_Spy0475_M5005_Spy_0475,28,68,40,53,49,57
GENE_+_M5005_Spy0476_bglA,28,63,37,51,17,46
GENE_+_M5005_Spy0479_M5005_Spy_0479,0,0,0,0,0,0
GENE_+_M5005_Spy0480_M5005_Spy_0480,183,242,134,104,116,114
GENE_+_M5005_Spy0482_M5005_Spy_0482,78,112,92,68,82,83
GENE_+_M5005_Spy0483_M5005_Spy_0483,316,775,652,171,270,742
GENE_+_M5005_Spy0484_ptsK,350,657,429,313,330,414
GENE_+_M5005_Spy0485_lgt,256,457,295,200,196,239
GENE_+_M5005_Spy0486_M5005_Spy_0486,127,242,168,116,118,138
GENE_+_M5005_Spy0487_M5005_Spy_0487,222,401,239,155,177,235
GENE_+_M5005_Spy0489_M5005_Spy_0489,10,17,9,7,14,8
GENE_+_M5005_Spy0490_M5005_Spy_0490,36,50,35,21,30,21
GENE_+_M5005_Spy0491_M5005_Spy_0491,140,170,102,85,94,103
GENE_+_M5005_Spy0493_M5005_Spy_0493,34,53,50,36,22,38
GENE_+_M5005_Spy0496_M5005_Spy_0496,44,56,27,14,24,22
GENE_+_M5005_Spy0501_M5005_Spy_0501,139,279,182,64,101,116
GENE_+_M5005_Spy0502_M5005_Spy_0502,122,203,164,57,83,80
GENE_+_M5005_Spy0505_ppc,181,1024,780,188,623,716
GENE_+_M5005_Spy0506_ftsW,217,319,198,93,139,136
GENE_+_M5005_Spy0508_tuf,11475,14338,9842,6084,6271,6836
GENE_+_M5005_Spy0509_tpiA,1141,1513,971,757,720,928
GENE_+_M5005_Spy0515_M5005_Spy_0515,48,81,45,34,47,51
GENE_+_M5005_Spy0516_pacL,1454,2313,1523,754,882,975
GENE_+_M5005_Spy0523_M5005_Spy_0523,1,1,1,0,0,2
GENE_+_M5005_Spy0524_idnO,8,11,7,5,3,9
GENE_+_M5005_Spy0525_M5005_Spy_0525,4,8,8,6,4,10
GENE_+_M5005_Spy0526_M5005_Spy_0526,11,33,15,9,11,18
GENE_+_M5005_Spy0527_kgdA,6,18,14,8,3,13
GENE_+_M5005_Spy0528_M5005_Spy_0528,26,74,38,42,32,47
GENE_+_M5005_Spy0529_M5005_Spy_0529,182,338,229,219,206,241
GENE_+_M5005_Spy0530_prfB,289,463,297,249,227,262
GENE_+_M5005_Spy0531_ftsE,202,316,213,199,176,196
GENE_+_M5005_Spy0532_ftsX,413,600,371,388,313,373
GENE_+_M5005_Spy0534_M5005_Spy_0534,272,481,256,303,228,287
GENE_+_M5005_Spy0535_M5005_Spy_0535,5,18,2,14,9,7
GENE_+_M5005_Spy0536_dinG,119,197,92,91,82,92
GENE_+_M5005_Spy0537_aspC,285,308,193,136,151,135
GENE_+_M5005_Spy0538_asnC,544,671,383,230,272,311
GENE_+_M5005_Spy0539_M5005_Spy_0539,282,449,308,204,205,305
GENE_+_M5005_Spy0540_M5005_Spy_0540,276,447,273,228,211,300
GENE_+_M5005_Spy0541_M5005_Spy_0541,250,354,243,186,175,273
GENE_+_M5005_Spy0542_pepD,125,182,109,93,79,126
GENE_+_M5005_Spy0543_M5005_Spy_0543,330,549,522,231,180,152
GENE_+_M5005_Spy0544_M5005_Spy_0544,65,113,84,61,35,58
GENE_+_M5005_Spy0545_agaS,155,283,163,274,149,194
GENE_+_M5005_Spy0548_M5005_Spy_0548,107,139,100,56,40,43
GENE_+_M5005_Spy0549_M5005_Spy_0549,8,7,5,4,2,1
GENE_+_M5005_Spy0550_M5005_Spy_0550,97,102,65,45,48,52
GENE_+_M5005_Spy0551_rplS,475,512,404,103,93,89
GENE_+_M5005_Spy0552_M5005_Spy_0552,75,110,46,77,60,36
GENE_+_M5005_Spy0553_gyrB,785,967,627,600,530,501
GENE_+_M5005_Spy0554_M5005_Spy_0554,1024,1546,1007,710,790,761
GENE_+_M5005_Spy0556_eno,5787,6912,4635,3273,3151,3084
GENE_+_M5005_Spy0561_epf,32,29,36,417,508,718
GENE_+_M5005_Spy0562_sagA,45,58,28,112,164,157
GENE_+_M5005_Spy0563_sagB,135,263,103,993,950,650
GENE_+_M5005_Spy0564_sagC,91,203,86,892,837,584
GENE_+_M5005_Spy0565_sagD,133,207,101,966,991,594
GENE_+_M5005_Spy0566_sagE,51,64,28,224,263,150
GENE_+_M5005_Spy0567_sagF,50,72,37,229,286,159
GENE_+_M5005_Spy0568_sagG,98,129,43,275,495,179
GENE_+_M5005_Spy0569_sagH,89,130,75,242,552,253
GENE_+_M5005_Spy0570_sagI,97,146,83,194,593,234
GENE_+_M5005_Spy0571_M5005_Spy_0571,499,551,336,472,718,507
GENE_+_M5005_Spy0572_M5005_Spy_0572,182,244,132,89,83,99
GENE_+_M5005_Spy0573_ligA,250,297,208,185,177,197
GENE_+_M5005_Spy0574_M5005_Spy_0574,102,139,86,103,81,101
GENE_+_M5005_Spy0575_atpE,61,50,32,28,16,25
GENE_+_M5005_Spy0576_atpB,395,373,263,198,139,161
GENE_+_M5005_Spy0577_atpF,297,310,218,185,139,140
GENE_+_M5005_Spy0578_atpH,467,507,353,290,217,279
GENE_+_M5005_Spy0579_atpA,1329,1336,963,1099,689,755
GENE_+_M5005_Spy0580_atpG,659,648,462,606,434,412
GENE_+_M5005_Spy0581_atpD,1233,1238,911,1413,793,818
GENE_+_M5005_Spy0582_atpC,284,273,227,356,220,218
GENE_+_M5005_Spy0583_M5005_Spy_0583,33,48,34,16,18,20
GENE_+_M5005_Spy0584_murA,451,682,462,316,276,333
GENE_+_M5005_Spy0585_epuA,32,48,30,18,20,16
GENE_+_M5005_Spy0586_endA,29,32,28,8,16,16
