IDs,CvD1,CvD2,CvD3,WR1,WR2,WR3
Inter.NC_008533.0.1302540.11,149,198,201,132,160,153
Inter.NC_008533.0.1302540.12,128,176,175,126,143,125
Inter.NC_008533.0.1302540.13,186,194,176,144,176,137
Inter.NC_008533.0.1302540.14,153,203,187,128,134,124
Inter.NC_008533.0.1302540.15,178,244,190,150,150,140
Inter.NC_008533.0.1302540.16,129,187,157,118,134,102
Inter.NC_008533.0.1302540.17,104,131,113,108,133,88
Inter.NC_008533.0.1302540.18,178,238,238,178,191,138
Inter.NC_008533.0.1302540.19,365,430,458,372,330,267
Inter.NC_008533.0.1302540.2,67,91,86,63,64,57
Inter.NC_008533.0.1302540.20,210,192,215,184,182,156
Inter.NC_008533.0.1302540.21,376,441,462,352,381,332
Inter.NC_008533.0.1302540.22,372,464,493,405,398,318
Inter.NC_008533.0.1302540.23,144,130,133,124,111,100
Inter.NC_008533.0.1302540.24,382,400,414,345,360,309
Inter.NC_008533.0.1302540.25,107,132,120,106,134,104
Inter.NC_008533.0.1302540.26,13,26,27,19,22,22
Inter.NC_008533.0.1302540.27,37,54,60,56,73,43
Inter.NC_008533.0.1302540.28,34,32,45,35,60,50
Inter.NC_008533.0.1302540.29,22,49,45,39,39,41
Inter.NC_008533.0.1302540.3,120,136,148,79,103,99
Inter.NC_008533.0.1302540.30,22,60,35,51,44,42
Inter.NC_008533.0.1302540.31,64,101,76,88,106,93
Inter.NC_008533.0.1302540.32,26,69,76,51,52,54
Inter.NC_008533.0.1302540.33,34,43,42,35,30,55
Inter.NC_008533.0.1302540.34,34,43,43,61,39,34
Inter.NC_008533.0.1302540.35,23,41,45,33,46,40
Inter.NC_008533.0.1302540.36,25,28,34,23,38,40
Inter.NC_008533.0.1302540.37,25,44,56,41,62,42
Inter.NC_008533.0.1302540.38,34,54,50,58,50,46
Inter.NC_008533.0.1302540.39,14,26,20,29,30,23
Inter.NC_008533.0.1302540.4,107,166,131,111,138,114
Inter.NC_008533.0.1302540.40,21,22,36,27,39,26
Inter.NC_008533.0.1302540.41,17,23,27,27,45,34
Inter.NC_008533.0.1302540.42,27,41,51,41,44,47
Inter.NC_008533.0.1302540.43,19,33,27,22,40,36
Inter.NC_008533.0.1302540.44,28,28,26,42,48,29
Inter.NC_008533.0.1302540.45,10,23,24,19,32,22
Inter.NC_008533.0.1302540.46,21,29,28,31,29,34
Inter.NC_008533.0.1302540.47,24,31,37,41,53,40
Inter.NC_008533.0.1302540.48,15,21,25,25,39,25
Inter.NC_008533.0.1302540.49,18,34,26,32,31,35
Inter.NC_008533.0.1302540.5,137,154,136,140,139,133
Inter.NC_008533.0.1302540.50,13,13,10,8,15,12
Inter.NC_008533.0.1302540.51,27,45,44,35,37,39
Inter.NC_008533.0.1302540.52,23,27,43,39,44,25
Inter.NC_008533.0.1302540.53,3,2,10,8,9,5
Inter.NC_008533.0.1302540.6,149,175,185,121,149,123
Inter.NC_008533.0.1302540.7,101,128,132,103,103,81
Inter.NC_008533.0.1302540.8,157,186,202,165,183,136
Inter.NC_008533.0.1302540.9,270,311,310,220,235,251
Inter.NC_008533.0.1307971.0,21,19,22,22,16,19
Inter.NC_008533.0.1307971.1,2,1,3,1,2,0
Inter.NC_008533.0.1307971.2,0,2,1,1,1,1
Inter.NC_008533.0.1307971.3,1,0,0,1,0,0
Inter.NC_008533.0.1308906.0,1,2,0,0,0,0
Inter.NC_008533.0.1309679.0,279,349,310,302,320,274
Inter.NC_008533.0.1309679.1,537,586,622,645,595,502
Inter.NC_008533.0.1309679.10,372,372,367,459,480,336
Inter.NC_008533.0.1309679.11,231,257,218,293,254,219
Inter.NC_008533.0.1309679.12,147,126,123,132,166,147
Inter.NC_008533.0.1309679.13,521,557,595,609,641,464
Inter.NC_008533.0.1309679.14,512,517,500,565,612,468
Inter.NC_008533.0.1309679.15,353,368,347,424,361,373
Inter.NC_008533.0.1309679.16,635,711,679,809,770,640
Inter.NC_008533.0.1309679.17,467,530,552,539,595,454
Inter.NC_008533.0.1309679.18,603,633,630,636,644,614
Inter.NC_008533.0.1309679.19,581,602,627,673,703,544
Inter.NC_008533.0.1309679.2,471,451,452,515,445,414
Inter.NC_008533.0.1309679.20,409,453,403,450,446,361
Inter.NC_008533.0.1309679.21,700,817,778,849,808,677
Inter.NC_008533.0.1309679.22,323,321,343,410,381,316
Inter.NC_008533.0.1309679.23,430,402,400,510,481,370
Inter.NC_008533.0.1309679.24,387,448,431,516,561,436
Inter.NC_008533.0.1309679.25,337,366,365,441,408,338
Inter.NC_008533.0.1309679.26,400,442,432,471,485,422
Inter.NC_008533.0.1309679.27,523,573,571,655,663,534
Inter.NC_008533.0.1309679.28,404,420,407,482,505,431
Inter.NC_008533.0.1309679.29,409,499,522,618,681,556
Inter.NC_008533.0.1309679.3,627,663,675,713,757,543
Inter.NC_008533.0.1309679.30,273,311,294,383,410,304
Inter.NC_008533.0.1309679.31,412,464,452,598,621,524
Inter.NC_008533.0.1309679.32,488,574,564,666,721,605
Inter.NC_008533.0.1309679.33,237,237,274,356,379,322
Inter.NC_008533.0.1309679.34,277,323,316,467,462,349
Inter.NC_008533.0.1309679.35,210,215,259,284,354,250
Inter.NC_008533.0.1309679.36,342,369,365,445,461,369
Inter.NC_008533.0.1309679.37,180,232,220,290,300,254
Inter.NC_008533.0.1309679.38,226,245,256,369,346,253
Inter.NC_008533.0.1309679.39,326,374,355,434,441,398
Inter.NC_008533.0.1309679.4,534,603,540,571,613,513
Inter.NC_008533.0.1309679.40,178,241,231,303,285,210
Inter.NC_008533.0.1309679.41,488,546,523,636,715,521
Inter.NC_008533.0.1309679.42,262,324,282,366,395,334
Inter.NC_008533.0.1309679.43,132,129,152,208,201,150
Inter.NC_008533.0.1309679.44,4,8,4,1,1,1
Inter.NC_008533.0.1309679.45,1,1,2,4,1,0
Inter.NC_008533.0.1309679.5,604,638,712,657,621,504
Inter.NC_008533.0.1309679.6,721,780,792,791,805,655
Inter.NC_008533.0.1309679.7,499,556,534,523,566,456
Inter.NC_008533.0.1309679.8,430,384,360,419,411,348
Inter.NC_008533.0.1309679.9,325,303,336,328,387,322
Inter.NC_008533.0.1314648.0,0,0,0,0,0,0
Inter.NC_008533.0.1315297.0,191,231,205,113,104,74
Inter.NC_008533.0.1315297.1,1207,1393,1287,556,590,448
Inter.NC_008533.0.1315297.10,944,1186,1108,488,500,421
Inter.NC_008533.0.1315297.11,869,991,958,470,439,337
Inter.NC_008533.0.1315297.12,1014,1136,1245,569,589,473
Inter.NC_008533.0.1315297.13,488,491,564,404,363,312
Inter.NC_008533.0.1315297.14,571,604,576,285,305,245
Inter.NC_008533.0.1315297.15,56,95,88,57,80,39
Inter.NC_008533.0.1315297.16,1063,1415,1363,1133,1129,1055
Inter.NC_008533.0.1315297.17,1809,2482,2341,1900,2134,1837
Inter.NC_008533.0.1315297.18,1976,2724,2532,2117,2237,1845
Inter.NC_008533.0.1315297.19,1372,1876,1811,1528,1598,1317
Inter.NC_008533.0.1315297.2,1213,1417,1272,600,565,491
Inter.NC_008533.0.1315297.20,1175,1807,1695,1376,1514,1228
Inter.NC_008533.0.1315297.21,1290,1879,1802,1524,1509,1284
Inter.NC_008533.0.1315297.22,1590,2430,2240,1822,1850,1703
Inter.NC_008533.0.1315297.23,1557,2337,2256,1897,2003,1492
Inter.NC_008533.0.1315297.24,856,1385,1305,1021,1131,923
Inter.NC_008533.0.1315297.25,853,1256,1232,997,1019,933
Inter.NC_008533.0.1315297.26,1402,2038,1810,1492,1540,1373
Inter.NC_008533.0.1315297.27,1336,1915,1808,1399,1508,1254
Inter.NC_008533.0.1315297.28,1158,1626,1494,1165,1261,1045
Inter.NC_008533.0.1315297.29,923,1295,1212,1064,1035,880
Inter.NC_008533.0.1315297.3,937,1050,1023,466,448,372
Inter.NC_008533.0.1315297.30,4,2,4,7,3,2
Inter.NC_008533.0.1315297.31,0,0,1,0,0,1
Inter.NC_008533.0.1315297.4,692,785,730,385,352,276
Inter.NC_008533.0.1315297.5,704,940,845,360,380,299
Inter.NC_008533.0.1315297.6,458,543,497,230,247,187
Inter.NC_008533.0.1315297.7,1091,1346,1304,592,595,479
Inter.NC_008533.0.1315297.8,846,1037,1005,437,463,378
Inter.NC_008533.0.1315297.9,1000,1157,999,490,497,376
Inter.NC_008533.0.131738.0,0,0,0,0,2,1
Inter.NC_008533.0.131738.1,0,0,0,0,0,0
Inter.NC_008533.0.1318598.0,0,0,0,0,0,0
Inter.NC_008533.0.1319523.0,1,1,1,2,1,0
Inter.NC_008533.0.1320188.0,0,0,0,1,0,0
Inter.NC_008533.0.1321450.0,1,4,3,6,4,8
Inter.NC_008533.0.1321450.1,442,739,687,702,773,657
Inter.NC_008533.0.1321450.10,246,394,444,398,474,444
Inter.NC_008533.0.1321450.11,211,308,331,333,333,323
Inter.NC_008533.0.1321450.12,231,392,366,396,430,367
Inter.NC_008533.0.1321450.13,159,279,282,290,303,248
Inter.NC_008533.0.1321450.14,231,357,398,387,438,393
Inter.NC_008533.0.1321450.15,262,468,437,456,489,395
Inter.NC_008533.0.1321450.16,197,330,348,359,369,314
Inter.NC_008533.0.1321450.17,283,455,474,464,524,425
Inter.NC_008533.0.1321450.18,333,538,579,534,630,524
Inter.NC_008533.0.1321450.19,204,288,258,302,359,328
Inter.NC_008533.0.1321450.2,184,312,340,334,374,310
Inter.NC_008533.0.1321450.20,263,370,352,451,416,386
Inter.NC_008533.0.1321450.21,254,442,407,399,434,369
Inter.NC_008533.0.1321450.22,196,358,376,400,434,337
Inter.NC_008533.0.1321450.23,60,121,110,104,130,134
Inter.NC_008533.0.1321450.24,178,244,261,277,316,279
Inter.NC_008533.0.1321450.25,83,109,143,155,149,140
Inter.NC_008533.0.1321450.26,155,209,218,237,228,207
Inter.NC_008533.0.1321450.27,205,298,317,334,399,334
Inter.NC_008533.0.1321450.28,86,116,107,146,137,134
Inter.NC_008533.0.1321450.29,154,260,241,251,257,255
Inter.NC_008533.0.1321450.3,184,335,381,327,376,336
Inter.NC_008533.0.1321450.30,250,371,307,336,430,361
Inter.NC_008533.0.1321450.31,165,249,242,312,336,272
Inter.NC_008533.0.1321450.32,139,258,237,254,306,252
Inter.NC_008533.0.1321450.33,195,318,295,339,355,343
Inter.NC_008533.0.1321450.34,89,127,131,152,137,145
Inter.NC_008533.0.1321450.35,227,370,362,389,401,382
Inter.NC_008533.0.1321450.36,85,124,135,164,168,161
Inter.NC_008533.0.1321450.37,65,79,94,119,119,100
Inter.NC_008533.0.1321450.38,151,210,205,234,296,233
Inter.NC_008533.0.1321450.39,159,241,228,242,285,231
Inter.NC_008533.0.1321450.4,415,760,751,759,769,657
Inter.NC_008533.0.1321450.40,130,205,201,224,233,182
Inter.NC_008533.0.1321450.41,131,214,183,233,246,214
Inter.NC_008533.0.1321450.42,155,239,252,282,313,229
Inter.NC_008533.0.1321450.43,173,273,267,322,334,257
Inter.NC_008533.0.1321450.44,70,74,68,82,85,82
Inter.NC_008533.0.1321450.45,87,109,123,156,162,119
Inter.NC_008533.0.1321450.46,86,112,125,127,156,134
Inter.NC_008533.0.1321450.47,336,500,465,493,456,458
Inter.NC_008533.0.1321450.48,145,226,233,220,237,184
Inter.NC_008533.0.1321450.49,183,293,277,258,287,217
Inter.NC_008533.0.1321450.5,264,432,417,434,430,413
Inter.NC_008533.0.1321450.50,200,275,285,282,308,252
Inter.NC_008533.0.1321450.51,364,521,458,501,510,469
Inter.NC_008533.0.1321450.52,214,279,233,246,309,226
Inter.NC_008533.0.1321450.53,246,299,261,277,307,243
Inter.NC_008533.0.1321450.54,250,338,325,322,356,280
Inter.NC_008533.0.1321450.55,222,276,276,309,296,273
Inter.NC_008533.0.1321450.56,170,196,183,194,260,190
Inter.NC_008533.0.1321450.57,83,108,122,108,127,101
Inter.NC_008533.0.1321450.58,697,886,871,1087,1050,797
Inter.NC_008533.0.1321450.59,547,723,675,809,859,716
Inter.NC_008533.0.1321450.6,521,788,689,789,864,802
Inter.NC_008533.0.1321450.60,688,853,853,965,1015,857
Inter.NC_008533.0.1321450.61,476,593,580,753,702,566
Inter.NC_008533.0.1321450.62,475,646,566,730,736,628
Inter.NC_008533.0.1321450.63,612,827,768,928,973,762
Inter.NC_008533.0.1321450.64,476,626,583,705,715,636
Inter.NC_008533.0.1321450.65,376,446,406,570,581,484
Inter.NC_008533.0.1321450.66,764,1007,984,1105,1191,972
Inter.NC_008533.0.1321450.67,409,562,547,679,646,499
Inter.NC_008533.0.1321450.68,550,734,713,864,891,716
Inter.NC_008533.0.1321450.69,273,309,312,350,381,342
Inter.NC_008533.0.1321450.7,336,597,545,581,583,563
Inter.NC_008533.0.1321450.70,328,384,484,428,433,370
Inter.NC_008533.0.1321450.71,168,202,245,278,228,182
Inter.NC_008533.0.1321450.72,191,231,223,265,290,255
Inter.NC_008533.0.1321450.73,160,232,224,261,250,183
Inter.NC_008533.0.1321450.74,177,245,224,282,281,238
Inter.NC_008533.0.1321450.75,167,225,211,241,221,229
Inter.NC_008533.0.1321450.76,172,250,217,241,265,207
Inter.NC_008533.0.1321450.77,102,124,121,161,165,135
Inter.NC_008533.0.1321450.78,29,20,27,25,33,22
Inter.NC_008533.0.1321450.79,0,0,0,0,1,0
Inter.NC_008533.0.1321450.8,342,592,561,559,641,576
Inter.NC_008533.0.1321450.80,0,0,0,0,0,0
Inter.NC_008533.0.1321450.9,257,466,420,455,445,368
Inter.NC_008533.0.132334.0,0,0,0,0,0,0
Inter.NC_008533.0.1331536.0,1,3,4,0,0,0
Inter.NC_008533.0.1331536.1,1,7,7,0,3,3
Inter.NC_008533.0.1331536.10,8,14,16,9,11,13
Inter.NC_008533.0.1331536.11,12,19,17,20,21,14
Inter.NC_008533.0.1331536.12,9,22,13,14,25,8
Inter.NC_008533.0.1331536.13,13,20,20,22,18,13
Inter.NC_008533.0.1331536.14,11,15,13,16,12,9
Inter.NC_008533.0.1331536.15,1,2,1,3,4,5
Inter.NC_008533.0.1331536.16,0,2,1,2,1,2
Inter.NC_008533.0.1331536.17,1,2,4,0,1,2
Inter.NC_008533.0.1331536.18,1,0,0,1,0,2
Inter.NC_008533.0.1331536.19,1,0,1,0,1,1
Inter.NC_008533.0.1331536.2,3,4,9,8,7,7
Inter.NC_008533.0.1331536.20,47,55,55,46,51,54
Inter.NC_008533.0.1331536.21,25,27,23,24,34,22
Inter.NC_008533.0.1331536.22,14,20,27,15,20,14
Inter.NC_008533.0.1331536.23,36,43,36,35,21,33
Inter.NC_008533.0.1331536.24,35,40,44,40,34,34
Inter.NC_008533.0.1331536.25,13,12,13,20,17,23
Inter.NC_008533.0.1331536.26,16,8,13,19,19,7
Inter.NC_008533.0.1331536.27,11,7,9,7,9,10
Inter.NC_008533.0.1331536.28,35,37,37,31,48,36
Inter.NC_008533.0.1331536.29,37286,50383,48720,29852,32019,26823
Inter.NC_008533.0.1331536.3,8,7,10,11,6,8
Inter.NC_008533.0.1331536.30,12515,16089,15901,9967,10181,8512
Inter.NC_008533.0.1331536.31,15389,19969,21182,12363,13750,11628
Inter.NC_008533.0.1331536.32,25631,32928,33175,18596,21012,19253
Inter.NC_008533.0.1331536.33,22669,31388,30996,18280,18977,15388
Inter.NC_008533.0.1331536.34,19465,25841,27495,16230,16667,13305
Inter.NC_008533.0.1331536.35,38380,51794,52324,28648,31137,27741
Inter.NC_008533.0.1331536.36,23364,31794,31740,18901,19199,16008
Inter.NC_008533.0.1331536.37,14770,19431,20622,12535,12673,9982
Inter.NC_008533.0.1331536.38,20979,27374,30021,18424,20012,16923
Inter.NC_008533.0.1331536.39,13591,17404,19313,12646,12872,11017
Inter.NC_008533.0.1331536.4,6,3,5,4,4,7
Inter.NC_008533.0.1331536.40,14613,19012,19343,11351,12013,10593
Inter.NC_008533.0.1331536.41,11929,14437,15419,8710,9136,7892
Inter.NC_008533.0.1331536.42,13,20,14,13,29,24
Inter.NC_008533.0.1331536.43,36,38,47,64,62,51
Inter.NC_008533.0.1331536.44,51,56,77,96,87,59
Inter.NC_008533.0.1331536.45,50,55,53,90,86,58
Inter.NC_008533.0.1331536.46,42,63,56,70,70,56
Inter.NC_008533.0.1331536.47,25,39,34,44,51,42
Inter.NC_008533.0.1331536.48,78,86,105,138,130,113
Inter.NC_008533.0.1331536.49,61,49,58,97,83,75
Inter.NC_008533.0.1331536.5,3,4,4,3,2,3
Inter.NC_008533.0.1331536.50,444,614,652,710,623,561
Inter.NC_008533.0.1331536.51,1354,1775,1940,1851,2065,1703
Inter.NC_008533.0.1331536.52,466,607,714,729,695,559
Inter.NC_008533.0.1331536.53,1605,2016,2097,1948,2127,1923
Inter.NC_008533.0.1331536.54,746,1014,1069,1058,1016,925
Inter.NC_008533.0.1331536.55,1208,1603,1656,1521,1563,1376
Inter.NC_008533.0.1331536.56,826,1049,1211,1054,1133,1029
Inter.NC_008533.0.1331536.57,936,1239,1350,1214,1273,1146
Inter.NC_008533.0.1331536.58,867,1263,1312,1184,1177,999
Inter.NC_008533.0.1331536.59,63,80,90,74,80,58
Inter.NC_008533.0.1331536.6,5,2,3,0,4,3
Inter.NC_008533.0.1331536.60,0,0,0,0,0,0
Inter.NC_008533.0.1331536.61,1,1,0,0,1,0
Inter.NC_008533.0.1331536.62,2,0,2,0,0,0
Inter.NC_008533.0.1331536.63,0,2,1,0,2,2
Inter.NC_008533.0.1331536.64,0,1,0,1,0,1
Inter.NC_008533.0.1331536.65,1,0,0,0,0,1
Inter.NC_008533.0.1331536.66,0,4,1,0,0,0
Inter.NC_008533.0.1331536.67,1,1,1,1,0,0
Inter.NC_008533.0.1331536.68,0,0,2,0,1,0
Inter.NC_008533.0.1331536.69,1,0,1,0,1,0
Inter.NC_008533.0.1331536.7,3,3,2,4,2,2
Inter.NC_008533.0.1331536.70,1,0,1,0,1,0
Inter.NC_008533.0.1331536.71,0,1,0,0,0,0
Inter.NC_008533.0.1331536.72,0,0,1,0,0,2
Inter.NC_008533.0.1331536.73,1,0,1,0,1,0
Inter.NC_008533.0.1331536.74,0,0,0,0,0,0
Inter.NC_008533.0.1331536.75,0,0,0,0,0,0
Inter.NC_008533.0.1331536.76,0,0,0,0,0,1
Inter.NC_008533.0.1331536.77,0,1,0,1,0,0
Inter.NC_008533.0.1331536.78,0,0,0,0,0,0
Inter.NC_008533.0.1331536.79,0,0,0,0,0,0
Inter.NC_008533.0.1331536.8,10,14,10,11,8,13
Inter.NC_008533.0.1331536.80,0,1,0,0,0,1
Inter.NC_008533.0.1331536.81,0,0,1,0,0,1
Inter.NC_008533.0.1331536.82,1,0,0,0,0,0
Inter.NC_008533.0.1331536.83,0,1,0,0,0,0
Inter.NC_008533.0.1331536.84,0,0,0,0,0,1
Inter.NC_008533.0.1331536.85,0,0,0,1,0,0
Inter.NC_008533.0.1331536.86,0,0,0,0,0,0
Inter.NC_008533.0.1331536.87,0,0,0,0,0,0
Inter.NC_008533.0.1331536.88,0,0,1,0,0,0
Inter.NC_008533.0.1331536.89,1,0,0,0,0,0
Inter.NC_008533.0.1331536.9,12,16,13,9,15,10
Inter.NC_008533.0.1331536.90,0,0,0,0,0,1
Inter.NC_008533.0.1331536.91,0,0,1,0,0,0
Inter.NC_008533.0.1331536.92,0,1,1,0,0,0
Inter.NC_008533.0.1331536.93,0,0,0,0,0,0
Inter.NC_008533.0.1331536.94,0,0,0,0,0,0
Inter.NC_008533.0.134257.0,1,4,4,3,5,1
Inter.NC_008533.0.134257.1,2,2,2,4,0,0
Inter.NC_008533.0.134257.10,989,1116,1208,1315,1305,1184
Inter.NC_008533.0.134257.11,1072,1156,1190,1337,1379,1262
Inter.NC_008533.0.134257.12,867,985,1015,1144,1109,954
Inter.NC_008533.0.134257.13,675,847,852,897,936,853
Inter.NC_008533.0.134257.14,504,572,551,729,699,516
Inter.NC_008533.0.134257.15,594,633,719,892,785,676
Inter.NC_008533.0.134257.16,775,942,1028,1171,1243,999
Inter.NC_008533.0.134257.17,589,729,713,992,971,778
Inter.NC_008533.0.134257.18,765,835,856,1043,1088,804
Inter.NC_008533.0.134257.19,540,591,585,628,641,523
Inter.NC_008533.0.134257.2,1470,1822,1782,1964,1969,1568
Inter.NC_008533.0.134257.20,758,884,889,1080,935,915
Inter.NC_008533.0.134257.21,485,603,556,711,712,514
Inter.NC_008533.0.134257.22,382,395,391,547,531,437
Inter.NC_008533.0.134257.23,249,215,184,294,254,223
Inter.NC_008533.0.134257.24,0,0,0,0,0,0
Inter.NC_008533.0.134257.26,0,0,0,0,0,0
Inter.NC_008533.0.134257.27,0,0,0,0,0,0
Inter.NC_008533.0.134257.28,0,0,0,0,0,0
Inter.NC_008533.0.134257.29,1,1,2,2,1,3
Inter.NC_008533.0.134257.3,606,765,771,818,871,753
Inter.NC_008533.0.134257.30,2,1,1,0,0,1
Inter.NC_008533.0.134257.31,3,4,1,3,4,1
Inter.NC_008533.0.134257.32,5,5,3,5,5,1
Inter.NC_008533.0.134257.33,6,8,6,4,4,2
Inter.NC_008533.0.134257.34,3,5,2,3,3,4
Inter.NC_008533.0.134257.35,3,3,2,2,2,1
Inter.NC_008533.0.134257.36,0,1,0,1,0,0
Inter.NC_008533.0.134257.4,1120,1226,1168,1388,1448,1225
Inter.NC_008533.0.134257.5,782,928,854,992,1025,867
Inter.NC_008533.0.134257.6,672,795,819,907,971,794
Inter.NC_008533.0.134257.7,739,840,976,1065,1084,800
Inter.NC_008533.0.134257.8,870,1086,1062,1255,1236,1026
Inter.NC_008533.0.134257.9,1075,1295,1368,1410,1520,1244
Inter.NC_008533.0.1342898.0,0,0,1,0,0,0
Inter.NC_008533.0.1343356.1,0,1,0,3,2,0
Inter.NC_008533.0.1343356.10,259,387,294,338,384,312
Inter.NC_008533.0.1343356.11,384,561,440,497,578,444
Inter.NC_008533.0.1343356.12,174,282,247,263,301,227
Inter.NC_008533.0.1343356.13,193,274,236,285,279,236
Inter.NC_008533.0.1343356.14,170,242,200,202,256,182
Inter.NC_008533.0.1343356.15,192,225,200,244,236,207
Inter.NC_008533.0.1343356.16,189,273,238,268,276,237
Inter.NC_008533.0.1343356.17,239,258,285,229,324,273
Inter.NC_008533.0.1343356.18,196,321,199,236,261,203
Inter.NC_008533.0.1343356.19,142,158,138,159,153,123
Inter.NC_008533.0.1343356.2,2,2,5,7,3,5
Inter.NC_008533.0.1343356.20,117,154,117,125,113,116
Inter.NC_008533.0.1343356.21,153,211,161,170,206,172
Inter.NC_008533.0.1343356.22,134,138,130,157,144,140
Inter.NC_008533.0.1343356.23,53,86,60,73,87,49
Inter.NC_008533.0.1343356.24,3,6,5,4,11,9
Inter.NC_008533.0.1343356.25,43,50,54,78,59,48
Inter.NC_008533.0.1343356.26,533,637,580,839,854,696
Inter.NC_008533.0.1343356.27,261,330,318,431,468,397
Inter.NC_008533.0.1343356.28,298,367,341,460,498,391
Inter.NC_008533.0.1343356.29,223,290,252,357,379,289
Inter.NC_008533.0.1343356.3,702,982,708,779,922,834
Inter.NC_008533.0.1343356.30,233,281,262,362,390,325
Inter.NC_008533.0.1343356.31,333,420,355,570,578,492
Inter.NC_008533.0.1343356.32,260,305,302,456,448,344
Inter.NC_008533.0.1343356.33,31,29,28,58,61,41
Inter.NC_008533.0.1343356.34,344,429,397,611,559,525
Inter.NC_008533.0.1343356.35,211,270,272,388,354,298
Inter.NC_008533.0.1343356.36,254,338,317,426,479,386
Inter.NC_008533.0.1343356.37,406,505,471,672,686,590
Inter.NC_008533.0.1343356.38,265,330,323,437,440,373
Inter.NC_008533.0.1343356.39,260,277,266,421,340,286
Inter.NC_008533.0.1343356.4,282,358,321,349,379,344
Inter.NC_008533.0.1343356.40,274,308,296,410,422,406
Inter.NC_008533.0.1343356.41,366,430,363,511,557,446
Inter.NC_008533.0.1343356.42,258,303,310,429,443,366
Inter.NC_008533.0.1343356.43,253,270,288,392,371,296
Inter.NC_008533.0.1343356.44,197,244,262,334,311,265
Inter.NC_008533.0.1343356.45,226,326,304,365,431,368
Inter.NC_008533.0.1343356.46,127,153,154,255,229,166
Inter.NC_008533.0.1343356.47,77,109,144,153,156,132
Inter.NC_008533.0.1343356.48,119,164,194,208,285,222
Inter.NC_008533.0.1343356.49,15,28,26,22,34,32
Inter.NC_008533.0.1343356.5,252,374,274,331,320,309
Inter.NC_008533.0.1343356.50,3,8,11,8,10,11
Inter.NC_008533.0.1343356.6,270,398,329,361,392,338
Inter.NC_008533.0.1343356.7,371,514,396,421,483,428
Inter.NC_008533.0.1343356.8,217,296,213,257,294,239
Inter.NC_008533.0.1343356.9,253,390,280,335,363,298
Inter.NC_008533.0.1349452.0,291,373,351,409,389,293
Inter.NC_008533.0.1349452.1,3272,4010,3948,3914,4290,3570
Inter.NC_008533.0.1349452.10,2187,2562,2517,2727,2733,2413
Inter.NC_008533.0.1349452.100,1279,1736,1606,1548,1709,1383
Inter.NC_008533.0.1349452.101,893,1232,1150,1150,1242,992
Inter.NC_008533.0.1349452.102,882,1223,1129,1219,1182,937
Inter.NC_008533.0.1349452.103,1283,1721,1738,1717,1726,1471
Inter.NC_008533.0.1349452.104,1000,1251,1180,1222,1324,1140
Inter.NC_008533.0.1349452.105,506,606,581,567,638,535
Inter.NC_008533.0.1349452.106,823,1022,965,872,1010,945
Inter.NC_008533.0.1349452.107,624,819,768,740,756,688
Inter.NC_008533.0.1349452.108,1218,1486,1436,1415,1489,1258
Inter.NC_008533.0.1349452.109,502,586,554,551,585,517
Inter.NC_008533.0.1349452.11,1806,2336,2250,2356,2584,2086
Inter.NC_008533.0.1349452.110,500,663,658,667,749,600
Inter.NC_008533.0.1349452.111,157,247,226,259,264,259
Inter.NC_008533.0.1349452.112,161,240,220,235,260,205
Inter.NC_008533.0.1349452.113,125,167,195,201,228,204
Inter.NC_008533.0.1349452.114,104,164,148,192,203,175
Inter.NC_008533.0.1349452.115,188,303,285,287,333,264
Inter.NC_008533.0.1349452.116,258,383,385,396,428,378
Inter.NC_008533.0.1349452.117,229,351,310,316,331,314
Inter.NC_008533.0.1349452.118,188,245,210,273,260,237
Inter.NC_008533.0.1349452.119,170,191,175,233,245,229
Inter.NC_008533.0.1349452.12,2062,2420,2413,2585,2650,2218
Inter.NC_008533.0.1349452.120,413,557,548,590,662,554
Inter.NC_008533.0.1349452.121,465,562,525,607,609,551
Inter.NC_008533.0.1349452.122,378,536,476,533,585,490
Inter.NC_008533.0.1349452.123,488,638,591,657,730,619
Inter.NC_008533.0.1349452.124,465,627,593,646,722,646
Inter.NC_008533.0.1349452.125,340,468,403,528,482,494
Inter.NC_008533.0.1349452.126,516,717,659,710,770,701
Inter.NC_008533.0.1349452.127,317,421,448,483,487,442
Inter.NC_008533.0.1349452.128,475,699,641,715,766,665
Inter.NC_008533.0.1349452.129,451,592,544,569,635,621
Inter.NC_008533.0.1349452.13,3083,3840,3820,3778,3872,3531
Inter.NC_008533.0.1349452.130,203,275,259,319,315,240
Inter.NC_008533.0.1349452.131,490,651,625,672,729,655
Inter.NC_008533.0.1349452.132,245,345,332,332,397,350
Inter.NC_008533.0.1349452.133,263,372,319,363,362,318
Inter.NC_008533.0.1349452.134,353,491,449,442,511,490
Inter.NC_008533.0.1349452.135,335,443,462,444,449,450
Inter.NC_008533.0.1349452.136,369,549,427,493,533,450
Inter.NC_008533.0.1349452.137,160,263,231,256,319,268
Inter.NC_008533.0.1349452.138,251,316,344,305,375,285
Inter.NC_008533.0.1349452.139,481,631,599,602,668,626
Inter.NC_008533.0.1349452.14,1760,1902,1916,1874,1942,1816
Inter.NC_008533.0.1349452.140,187,262,243,226,267,213
Inter.NC_008533.0.1349452.141,124,216,192,244,221,218
Inter.NC_008533.0.1349452.142,98,146,159,167,193,131
Inter.NC_008533.0.1349452.143,27,48,43,58,61,31
