,readcount_cph1-efg1_0min_1,readcount_cph1-efg1_0min_3,readcount_cph1-efg1_0min_4,readcount_cph1-efg1_75min_1,readcount_cph1-efg1_75min_3,readcount_cph1-efg1_75min_4,readcount_Evo_0min_1,readcount_Evo_0min_3,readcount_Evo_0min_4,readcount_Evo_75min_1,readcount_Evo_75min_3,readcount_Evo_75min_4
orf19.2302,1885,949,967,1247,973,1154,1317,4616,1234,1176,1085,2219
orf19.2303,994,457,369,683,403,539,634,2076,519,619,516,985
orf19.2304,8498,3643,3090,4401,3262,3551,5713,14443,2822,3473,3204,5651
orf19.2305,2220,1553,1414,1771,1279,1751,1552,5576,1627,1332,1126,2413
orf19.2306,1991,1165,1091,1512,1199,1322,1405,4762,1082,1071,1036,1857
orf19.2307,3457,1722,1856,2172,1766,1975,2181,7426,1815,1972,1856,3412
orf19.2308,6902,3215,3603,3761,2854,2746,5016,16759,2911,3369,3239,4028
orf19.2309,1591,1343,1169,2074,1542,1855,790,4363,1044,1500,1541,2437
orf19.2309.2,242635,131887,126478,142300,114207,129242,168825,593949,157564,130661,133881,242572
orf19.231,4510,2278,2201,2839,2194,2591,3358,10415,2363,2981,2646,5073
orf19.2310,201,120,91,147,139,112,170,529,104,144,112,266
orf19.2310.1,60514,33673,30812,32904,28174,31013,36485,128721,39234,30054,29699,58415
orf19.2311,19459,12372,9387,14648,12503,13965,14879,55980,12169,14463,15008,28223
orf19.2312,392,176,225,452,379,427,347,1230,409,512,460,1066
orf19.2313,1779,804,830,832,624,684,1520,4239,837,840,795,1444
orf19.2314,2199,1824,1932,2456,1897,2415,1012,5559,2160,1974,2027,3524
orf19.2315,2565,1535,1565,1994,1520,1916,1731,6876,1604,1757,1625,3071
orf19.2317,35,10,13,9,7,7,38,115,19,13,24,44
orf19.2318.1,2497,1553,1410,1915,1588,1882,1472,5625,1499,1731,1885,3497
orf19.2319,4694,3404,3866,5572,4432,5604,2747,11383,4484,4858,4692,8288
orf19.232,908,521,502,726,549,596,668,2322,536,631,600,1065
orf19.2320,2813,2336,2079,3017,2244,2909,1802,8083,2394,2445,2483,4334
orf19.2322.3,11263,5859,5240,7143,5523,6582,8139,23583,5485,5834,5817,11128
orf19.2324,2999,1532,1663,1842,1501,1842,2174,6328,2033,1639,1611,3158
orf19.2325,2268,955,982,1040,756,849,1623,4976,965,974,866,1691
orf19.2326,1663,1011,903,1203,880,1097,1153,4071,966,1054,889,1890
orf19.2328,5040,2607,2241,2544,1800,2246,3516,11399,2318,2176,2135,4087
orf19.2329.1,106741,57133,53664,63028,51636,56050,77273,233872,67262,60280,58555,105232
orf19.2330,5645,4222,4206,5985,4483,5856,2689,12137,3862,3975,3941,7022
orf19.2331,1598,879,776,814,722,750,1190,4124,809,1010,917,2057
orf19.233.1,4043,2040,1765,2665,2103,2405,3046,9128,1933,2291,2176,4162
orf19.2332,13,6,5,8,4,1,14,42,4,12,5,19
orf19.2333,29296,9945,6178,5226,4982,4239,26344,72880,9443,7583,5559,9886
orf19.2334,1222,667,707,794,526,652,1099,3313,912,684,585,1128
orf19.2335,4175,1961,1880,2250,1699,1893,4959,11864,2919,1948,1762,3409
orf19.2336,4,1,2,8,2,4,6,23,3,5,3,8
orf19.2337,5063,2831,2711,3937,3185,2951,4768,19936,4426,3011,3424,4571
orf19.234,993,678,751,1020,850,868,708,3491,943,1183,995,1831
orf19.2340,50655,24627,27686,31413,24736,26420,39433,115642,25626,27719,26282,46081
orf19.2341,3438,1766,1529,2212,1629,1904,2685,8618,1674,1839,1681,3178
orf19.2342,1808,781,824,769,648,590,1288,3682,826,735,706,1251
orf19.2343,1024,554,504,728,559,717,794,2451,593,649,631,1304
orf19.2343.1,0,0,0,0,0,0,0,0,0,0,0,0
orf19.2344,208,108,135,141,174,164,190,505,124,218,208,499
orf19.2346,1451,706,671,1830,1557,1503,863,2318,558,1625,1468,2606
orf19.2347,7451,3713,3348,4798,3822,4499,3596,12887,2938,3885,3987,7143
orf19.2350,1829,601,596,259,206,227,1428,2883,592,196,157,382
orf19.2351,2911,1293,1188,2166,1389,1727,2443,6775,1378,1622,1484,2585
orf19.2352,2232,1277,1140,1574,1271,1504,1702,6456,1426,1383,1411,2785
orf19.2356,27,17,19,2,10,9,17,68,14,4,3,10
orf19.236,92152,58630,50784,54687,44006,48765,66548,241968,67046,49110,46363,90299
orf19.2360,30291,17904,22567,32278,28474,29514,14600,54938,19582,20304,19467,35730
orf19.2361,1562,788,913,1014,666,819,1197,3718,902,894,822,1554
orf19.2362,1380,1096,1076,1580,1241,1566,728,3613,1133,1342,1370,2298
orf19.2363,6507,3640,3709,5795,4494,5481,3678,14406,3692,4746,4144,7966
orf19.2364,24104,11974,12879,31491,25481,24993,16461,55157,13313,28513,27327,46271
orf19.2365,4318,2469,2318,3730,3142,3263,3063,9896,2361,3185,3127,5376
orf19.2366,1508,771,805,1010,847,791,1357,4018,1005,1056,987,1778
orf19.2367,439,270,278,393,267,310,306,1084,317,311,257,546
orf19.2368,1079,607,752,1016,811,895,781,2516,870,1000,918,1588
orf19.2369,2068,1205,1131,1361,1027,1073,1513,5625,1188,1258,1267,2220
orf19.2369.1,2822,1875,1586,2451,1961,1941,1915,7020,1998,1792,1978,2979
orf19.2370,824,336,484,546,379,429,739,2015,497,588,483,842
orf19.2371,0,0,0,0,0,0,0,0,0,0,0,0
orf19.2372,143,44,36,57,40,49,312,351,117,104,96,124
orf19.2376,102,48,47,123,138,125,107,235,92,188,181,368
orf19.2378,2303,1177,1143,1449,1161,1323,1399,4536,1204,1173,1185,2156
orf19.2379,6995,3476,4176,5102,4200,4629,5474,17274,4411,4991,4426,8483
orf19.238,4355,2804,2976,1608,1593,1868,7202,21664,5336,2078,1706,3583
orf19.2381,2425,1100,937,856,596,671,1822,5044,1019,819,647,1564
orf19.2382,3165,1995,1833,3483,2510,2943,1985,8802,1663,2502,2399,3883
orf19.2383,1750,833,729,975,708,798,1266,3743,828,858,766,1725
orf19.2384,782,662,673,1141,799,1090,400,2251,618,807,851,1334
orf19.2385,1561,1091,1121,1832,1334,1701,942,4074,1237,1648,1555,2745
orf19.2386,2157,1500,1625,2238,1802,2279,1258,5145,1871,1808,1809,3114
orf19.2387,3041,2025,1966,3631,2457,3175,1777,8238,1826,2767,2533,4274
orf19.2389,1815,835,809,1234,955,1001,1275,3875,830,1110,978,1744
orf19.239,8239,4533,4266,5066,3806,4608,6130,20825,4485,4583,4386,7966
orf19.2391,2063,927,1025,1164,894,896,1669,4614,1095,1003,917,1571
orf19.2392,0,0,0,0,0,0,0,0,0,0,0,1
orf19.2393,3646,1972,1772,1941,1432,1757,2765,9035,1858,1603,1565,2755
orf19.2394,17,3,6,11,6,8,15,45,11,16,14,19
orf19.2395,28,14,10,16,27,17,17,56,16,37,28,63
orf19.2396,12976,7007,6440,6778,5028,5842,9013,30947,6555,5173,4564,8727
orf19.2397,904,543,726,4071,4332,4420,538,2098,715,3838,3629,9332
orf19.2397.3,2553,876,1473,854,674,608,2375,5516,1596,1023,792,1172
orf19.2398,9808,3770,4988,3097,3066,2821,7655,23025,5633,3338,2965,4712
orf19.2399,813,434,496,797,597,705,672,2030,605,656,577,1124
orf19.24,2620,1431,1872,1481,2346,1492,2316,9045,1648,2222,2879,4853
orf19.240,5642,3551,3318,5149,3575,4573,3462,13099,3370,3853,3130,6182
orf19.2400,1829,821,1068,1625,1389,1363,1395,4013,1071,1307,1236,2092
orf19.2401,445,179,270,310,243,264,380,1050,245,326,249,561
orf19.2402,2506,1350,1334,1562,1147,1558,1770,6164,1475,1491,1354,2511
orf19.2404,1388,1020,1094,1760,1358,1757,1038,4234,1198,1371,1546,2581
orf19.2406,2646,1471,1527,1581,1101,1466,2053,6896,1662,1346,1212,2177
orf19.2407,20957,11033,10889,14748,12169,13720,14968,45110,12351,12975,12535,22881
orf19.2408,747,489,423,563,431,562,578,2075,565,520,479,857
orf19.2410,2295,1107,1151,1880,1476,1514,1994,5402,1302,1818,1654,2742
orf19.2411,1013,471,518,722,480,513,808,2436,575,639,483,931
orf19.2412,1613,702,675,796,669,675,1226,3300,691,717,631,1166
orf19.2414,4972,2126,2310,2880,2090,2473,3180,10937,2314,2124,1677,2981
orf19.2415,1452,980,868,2106,1415,1844,880,4241,933,1588,1414,2583
orf19.2416.1,10596,5836,4921,5550,4335,4819,7384,24159,4991,5640,5686,9671
orf19.2417,2503,1426,1196,1926,1638,1661,1817,6089,1352,1657,1677,2953
orf19.2418,1044,658,526,669,378,631,716,2870,591,555,465,938
orf19.2419,3051,1542,1560,1793,1574,1721,2666,7660,1827,1721,1626,2883
orf19.242,263,154,140,196,159,174,259,818,208,230,216,428
orf19.2422,17040,9053,8725,13189,10866,12354,13019,40165,10856,11255,10789,20690
orf19.242.2,1216,650,606,740,466,619,1052,3184,598,568,554,1158
orf19.2423,1615,855,966,1337,968,1178,1111,4045,1110,1217,1131,2354
orf19.2425,2148,1007,764,883,831,807,1379,3894,681,745,694,1523
orf19.2426,4580,2770,2272,3029,2295,2920,3071,10804,2174,2582,2563,4990
orf19.2429,6,2,1,2,3,1,1,3,1,3,6,14
orf19.243,769,404,351,212,141,177,524,1684,370,178,124,293
orf19.2430,0,0,0,1,0,0,0,0,0,0,1,2
orf19.2431,25,10,12,25,53,29,9,47,11,133,147,247
orf19.2432,2767,1345,2307,1605,2487,1937,1885,6310,1826,2725,3131,4975
orf19.2433,305,144,163,159,108,111,226,695,144,113,83,184
orf19.2434,2501,1313,1379,1613,1241,1398,2007,6509,1419,1577,1421,2470
orf19.2435,32087,19791,21082,25982,22407,25244,19536,73308,22871,25051,24531,42562
orf19.2436,2701,1534,1556,1917,1643,1837,1967,6691,1850,1886,1888,3329
orf19.2437,4100,2192,2231,2455,1972,2035,3442,10388,2352,2391,2254,3848
orf19.2438,4388,3220,2370,3299,2252,3068,2588,12381,2338,2343,2016,4065
orf19.2439,5537,3167,3156,4659,3808,4480,3892,13173,3317,3750,3588,7129
orf19.2439.1,12019,6378,5112,6397,5612,7196,7450,25023,6422,6022,5908,11964
orf19.244,807,427,338,423,296,322,546,1923,347,245,230,460
orf19.2440,1027,553,529,732,592,602,774,2575,581,742,702,1187
orf19.2442,609,325,334,377,270,311,404,1440,349,315,269,518
orf19.2443,2268,1026,1097,1675,1290,1518,1887,5623,1044,1475,1449,2495
orf19.2444,2766,1674,1534,2172,2039,2186,1651,6169,1309,2026,2199,4044
orf19.2445,104,41,49,49,77,47,62,125,45,106,84,217
orf19.2446,699,380,412,834,604,713,605,2172,451,650,623,1190
orf19.2447,1355,757,849,1426,1152,1223,1092,3586,895,1505,1478,2468
orf19.2449,14,4,10,7,6,5,12,35,6,18,16,41
orf19.245,361,232,199,284,174,253,258,861,201,236,219,491
orf19.2451,7688,3466,4578,6287,8100,6585,9595,24027,6350,12496,11975,23872
orf19.2452,6274,2949,4123,7686,8442,7531,5372,16305,4659,10841,10103,18743
orf19.2454,7824,3931,4602,1216,1119,788,6202,22062,4481,319,405,403
orf19.2455,1570,783,811,1341,1023,1040,1416,3639,778,832,900,1346
orf19.2457,636,505,385,762,584,671,463,3220,580,1530,1072,2354
orf19.2458,958,446,457,857,690,622,731,2047,431,688,546,1061
orf19.2459,6417,3288,3929,4387,4483,4136,3834,11579,3027,4332,4300,7425
orf19.246,322,157,117,221,156,202,272,762,165,232,185,477
orf19.2460,57,28,38,71,54,66,27,98,32,87,99,157
orf19.2461,1661,1179,1372,2086,1878,2072,1199,6033,1676,2115,2154,3637
orf19.2462,945,454,632,881,785,789,715,2504,761,876,851,1182
orf19.2463,617,339,345,531,561,499,387,1365,380,602,545,996
orf19.2465,4083,2212,2093,2415,1958,2169,2817,7756,2034,1916,1757,3571
orf19.2467,1131,582,839,649,614,735,794,2926,867,756,745,1228
orf19.2468,20,16,3,4,5,4,17,52,9,12,7,14
orf19.2469,986,481,502,673,572,588,788,2310,617,618,527,1056
orf19.247,918,386,404,544,382,500,762,2136,530,512,433,888
orf19.2471,2925,1781,1599,2128,1579,2025,2009,6800,1957,1775,1784,3149
orf19.2472,775,491,488,492,361,450,509,2015,462,470,444,727
orf19.2472.1,3848,2475,1875,2477,1974,2561,2354,9831,2014,1778,1680,3195
orf19.2473,5700,3014,3080,3804,2992,3330,4126,13424,3178,3267,3235,6054
orf19.2474,1484,724,677,1128,988,991,1513,4414,1045,1294,1231,2240
orf19.2475,26578,9713,9334,7713,6779,7783,2718,4673,1958,2576,2944,5518
orf19.2476,3158,1711,1317,2371,1981,2016,2373,7407,1495,2347,2277,3718
orf19.2478,563,324,271,359,262,313,340,1275,217,281,220,581
orf19.2478.1,94197,52338,49564,59806,50667,55387,67379,220774,63543,58368,58405,109399
orf19.2479,90,66,56,191,164,154,83,329,97,185,207,439
orf19.248,3046,1560,1509,2056,1502,1786,2444,6944,1805,2012,1748,3153
orf19.2480.1,1359,494,577,824,782,770,982,2416,566,837,751,1417
orf19.2481,22,10,3,12,9,7,13,39,6,4,9,17
orf19.2483,16422,9501,8018,6905,5524,6720,10884,36765,8540,6116,6476,11716
orf19.2484,5805,2728,2698,3437,2604,2889,4814,12630,2954,2990,2832,5083
orf19.2485,8771,5074,4490,6608,4999,5457,6891,23337,5477,6212,6089,10058
orf19.2487,1353,897,902,1295,1139,1325,856,3281,1057,1373,1332,2498
orf19.2488,2286,1481,1631,2442,1928,2506,1393,6017,1869,2247,2180,3779
orf19.2489,26304,15329,16500,21961,18887,20531,16522,56826,20232,23778,24009,38792
orf19.2492,262,148,147,118,128,112,162,756,150,143,191,393
orf19.2494,1610,750,933,1549,1256,1420,1240,3986,1152,1491,1443,2616
orf19.2495,874,428,498,736,665,592,791,2341,577,838,783,1415
orf19.2496,2958,1580,2220,3371,3376,3269,2699,8187,2111,4365,3924,10787
orf19.2498,3432,1617,2197,2066,1330,1801,2982,8853,2783,2046,1546,3361
orf19.2499,1051,648,754,1058,775,969,776,2745,898,973,918,1538
orf19.25,2020,1460,1367,2174,1675,2042,1312,5512,1404,1577,1550,2741
orf19.250,3678,1981,1915,2900,2730,2734,2669,7966,1985,2908,2813,5051
orf19.2500,934,606,574,1032,723,916,759,2655,634,850,710,1420
orf19.2501,2265,1279,1423,2365,2506,2221,1455,5598,1202,2093,2218,4082
orf19.2503,19,5,4,10,10,2,19,60,17,12,18,20
orf19.2504,5714,4092,4442,6846,5638,6848,3269,14471,5438,7110,6434,11203
orf19.2505,2,2,1,2,3,3,6,13,0,4,5,8
orf19.2506,1574,751,882,1612,1276,1254,1375,4160,1355,2051,1814,3017
orf19.2507,5457,2917,2871,2994,2353,2521,3960,12744,2788,2529,2447,4412
orf19.2508,100,56,44,65,45,37,99,325,67,55,61,89
orf19.2509,0,0,0,0,0,0,0,0,0,0,0,0
orf19.2509.1,48,17,25,57,62,46,79,132,26,89,61,134
orf19.251,1789,1339,1088,1839,1253,1643,781,4155,479,2466,2359,3239
orf19.2510,885,401,455,577,354,427,710,2075,493,541,435,1016
orf19.2511.1,2845,2257,2006,2703,2185,2787,1545,8200,1984,1810,1756,3428
orf19.2511.2,2536,1195,930,740,736,787,1927,6409,1210,877,838,1577
orf19.2512,1173,588,572,635,510,589,616,1845,581,608,514,1021
orf19.2513,67,94,104,142,158,162,25,200,62,105,138,203
orf19.2514,1037,588,591,899,742,852,944,2843,763,936,917,1635
orf19.2515,140,42,58,85,117,75,113,251,44,183,149,255
orf19.2516,594,332,374,409,333,364,328,1223,335,357,383,692
orf19.2517,41,16,18,30,24,28,43,100,24,59,37,155
orf19.2518,6343,3060,2879,4175,3155,3625,4612,14020,2996,3590,3239,5950
orf19.2519,1177,628,563,584,475,544,792,2748,524,463,480,964
orf19.252,1990,1039,1140,1987,1717,1653,1476,5226,1180,2613,2341,4141
orf19.2520,5363,4287,3473,5808,3900,5070,2652,15133,3470,4397,3762,7022
orf19.2521,2439,1356,1158,1601,1325,1314,1766,5614,1316,1593,1505,2551
orf19.2524,8193,4999,4600,7712,5965,6776,5099,19554,4163,5701,5179,8625
orf19.2525,6573,2733,2496,5937,4982,5046,7473,17595,3185,4812,4578,8107
orf19.2527,2489,1791,1942,2843,2096,3006,1238,5961,2391,2841,2694,4887
orf19.2528,3656,1917,1742,2628,2123,2370,2305,8424,1835,2324,2433,4184
orf19.2529,1073,660,719,1794,1228,1505,620,2345,572,1594,1663,2635
orf19.2529.1,42386,14696,11075,6213,5984,3696,27534,100352,15306,7366,6818,6392
orf19.2530,16,7,4,0,1,2,22,36,4,2,0,2
orf19.2531,178,97,144,44,55,60,469,1397,241,53,73,117
orf19.2532,1479,897,772,1461,1011,1245,917,4036,697,1083,939,1878
orf19.2533.1,10078,5212,4967,6078,4794,5545,7015,21793,5056,5624,5443,10973
orf19.2534,5052,2514,2643,3173,2847,2639,3604,12536,2800,3326,3082,5959
orf19.2537,7,5,8,11,8,11,5,17,5,10,11,19
orf19.2538,8842,5054,6380,8385,8167,8661,5488,18175,6740,8743,8543,15872
orf19.2539,5,1,3,4,4,4,1,17,2,4,5,11
orf19.254,365,189,222,208,198,188,319,1164,245,246,245,465
orf19.2540,1709,958,876,1131,858,931,1276,3944,893,956,963,1693
orf19.2541,816,485,520,817,574,783,555,2241,568,701,617,1150
orf19.2542,608,390,370,592,401,446,492,1532,477,498,403,714
orf19.2544,1061,651,642,1020,722,979,614,2223,650,697,700,1323
orf19.2545,3282,1781,2168,2584,2317,2487,2095,8701,2341,2249,2396,4192
orf19.2546,7820,4281,4048,6634,4914,5987,6380,21490,5523,5876,5486,10140
orf19.2547,294,415,405,806,665,807,171,1316,391,538,633,888
orf19.2549,8610,3888,3930,5255,4048,4456,6820,18950,4161,5071,4578,8044
orf19.255,421,186,254,287,211,235,421,1381,374,323,332,412
orf19.2551,43590,20034,28549,64049,60029,50096,30832,91586,31934,67190,72087,102814
orf19.2552,109,23,69,171,168,88,73,240,68,286,283,333
orf19.2553,41,17,21,70,74,44,28,81,27,121,132,142
orf19.2555,5213,3546,3578,4925,3983,4832,2738,11573,3816,3295,3199,6103
orf19.2557,4604,2433,2606,3204,2256,2713,3426,10767,3046,2805,2531,4771
orf19.2558,1419,782,892,996,722,792,1010,3674,903,880,782,1343
orf19.2559,4951,2734,2612,4427,4010,3916,3839,14059,3102,5699,5787,10516
orf19.2560,25633,13940,15413,23640,19142,20746,18153,55243,17563,20470,19903,33412
orf19.2563,2674,1476,1379,2274,1851,2067,1932,6634,1646,2139,2182,3517
orf19.2564,761,687,678,1017,937,1088,374,2095,648,754,870,1367
orf19.2565,809,365,414,570,588,546,716,1996,427,766,790,1241
orf19.2568,7265,3052,3294,2622,2354,2111,5198,13856,2853,2326,1944,3498
orf19.257,12,12,9,5,5,8,17,76,14,17,10,24
orf19.2570,8961,4730,3995,4429,4070,4446,6145,19485,4245,3934,3623,6917
orf19.2571,11928,6174,5415,6060,5042,5810,8568,27401,5964,5745,5540,11005
orf19.2573,24744,13497,12807,17907,14379,16710,17941,56939,15285,16401,16423,29316
orf19.2574,3537,1469,1753,2617,2384,2209,2716,7790,1815,2829,2671,4962
orf19.2575,1536,1147,1276,1847,1490,1903,816,4198,1560,1869,1889,3518
orf19.2579,497,316,242,447,330,339,372,1271,252,364,344,694
orf19.258,32,27,27,28,21,23,22,77,18,25,24,36
orf19.2580,231,114,151,338,277,248,200,611,182,321,325,552
orf19.2581,69,49,33,80,55,77,82,284,72,89,86,170
orf19.2582,4175,2092,2413,3155,2560,2670,3392,10440,2619,2853,2591,4497
orf19.2583,21,9,7,9,7,2,11,50,6,16,13,17
orf19.2583.1,4,1,0,0,0,1,0,8,2,1,2,0
orf19.2583.2,17,4,4,4,2,1,20,36,5,3,1,3
orf19.2584,811,168,142,84,85,69,956,1835,253,127,124,160
orf19.2585,0,0,0,0,0,0,0,1,0,0,0,1
orf19.2587,347,96,95,179,149,147,438,624,140,249,176,457
orf19.259,634,444,457,691,481,620,468,1868,468,443,438,811
orf19.2590,33,20,14,223,228,250,59,202,41,459,369,870
orf19.2591,10,3,9,83,126,108,28,82,27,327,228,672
orf19.2593,165,88,84,871,696,916,342,873,239,1373,1010,3040
orf19.2594,5114,3273,3803,5344,4273,5721,2938,12201,4894,4997,4948,9605
orf19.2597,985,650,638,1086,738,924,713,3159,693,851,780,1413
orf19.2598,8830,4630,4246,5921,4881,5572,6742,20606,4823,5393,5094,9711
orf19.2599,2935,1812,1829,2242,1769,2002,1558,7910,1488,1514,1471,2833
orf19.26,2359,1184,1231,1593,1129,1298,1982,6374,1443,1537,1383,2536
orf19.260,1823,837,786,1042,928,983,1323,3738,946,1024,1158,1908
orf19.2600,1645,1090,957,1010,784,876,1226,4816,971,874,891,1641
orf19.2601,7222,4267,4224,3845,2773,3133,5318,20419,5325,2850,3126,4515
orf19.2602,1886,338,440,325,251,180,2240,4194,832,383,360,502
orf19.2604,1127,866,939,1550,1179,1591,589,3026,1029,1101,1221,1734
orf19.2605,4944,2063,2318,2751,2312,2367,3826,10446,2421,2681,2552,4562
orf19.2606,4950,2667,2854,3569,2831,3016,3185,11439,2851,3257,3031,5309
orf19.2607,732,388,405,857,531,676,543,1721,449,612,511,970
orf19.2608,4011,829,1032,3314,5078,2019,4718,8318,1129,11501,9022,11212
orf19.2609,6498,2949,3129,3852,3025,3406,5154,15376,3962,4150,3737,7158
orf19.261,2914,1511,1643,1912,1614,1784,1815,6278,1608,1725,1605,2994
orf19.2610,2833,1403,1145,1211,915,1046,1931,6076,1266,1150,1076,2012
orf19.2611,11299,6494,6414,8728,7047,8097,7235,23929,6758,6735,6585,11822
orf19.2612,1365,728,851,1248,865,1121,735,2732,847,1006,947,1641
orf19.2613,1068,578,623,1088,930,960,1048,2961,774,1406,1227,2516
orf19.2614,6907,3381,3174,3150,2561,2814,4587,14450,3138,3308,3366,5992
orf19.2615,3425,1638,1763,2197,1495,1682,2990,8824,1791,1982,1766,3220
orf19.2616,1409,701,726,1385,1227,1082,1126,3387,803,1467,1496,2295
orf19.2618,4046,2184,2527,6909,5322,5568,3460,11030,3217,5236,5316,7853
orf19.2619,777,208,186,520,548,563,552,1318,305,645,881,1152
orf19.262,1640,1031,820,920,804,810,1139,3981,857,777,776,1381
orf19.2620,4,0,0,2,6,3,6,9,4,7,4,7
orf19.2621,2085,1206,950,1279,920,1138,1571,4913,1127,1116,977,1860
orf19.2622,7399,3753,3916,5020,4151,4876,5168,16191,3939,4376,4072,8109
orf19.2623,4696,2053,3900,1497,1231,1175,4475,14751,5678,2114,1769,3112
orf19.2624,5,3,3,5,3,1,9,15,7,7,5,13
orf19.2625,0,0,0,0,0,1,0,0,0,0,0,0
orf19.2629,3453,1848,1706,2703,2112,2450,2788,8314,2021,2799,2473,4241
orf19.2630,1111,629,579,708,553,670,789,2651,603,643,627,1176
orf19.2631,1682,1494,1088,1723,1403,1850,935,5833,1230,1680,1714,3220
orf19.263.1,11614,6564,6808,6953,5347,6693,6579,26957,6716,5973,6067,11207
orf19.2633,992,674,622,826,853,940,434,1892,503,720,947,1643
orf19.2633.1,90,47,53,57,41,46,77,259,47,56,64,110
orf19.2637,1422,878,695,638,446,604,937,3140,746,446,433,944
orf19.2638,34,21,21,62,50,63,45,230,49,113,108,214
orf19.2639,1988,1961,1417,2837,1796,2690,1084,7019,1426,1935,1535,3063
orf19.2639.1,4386,2496,2002,2047,1619,1788,3253,10706,2232,1697,1626,3194
orf19.264,472,272,326,401,302,301,309,1352,270,424,340,664
orf19.2640,3593,2043,1903,2852,2423,2991,2199,7177,2192,2146,2017,4024
orf19.2641,1357,697,609,766,620,673,1009,3304,624,775,753,1384
orf19.2642,762,448,336,465,298,367,486,1616,269,298,278,573
orf19.2643,6218,3777,3630,5305,4238,5251,3561,13431,3874,4597,4416,8059
orf19.2644,25269,13167,13879,17027,14671,17554,18957,64069,15935,16504,16419,30114
orf19.2645,0,2,0,2,0,0,1,2,0,3,0,2
orf19.2646,646,284,415,700,692,543,626,2016,566,985,944,1459
orf19.2647,301,129,185,218,167,177,227,672,185,215,197,387
orf19.2649,226,156,176,260,318,420,93,349,134,181,155,624
orf19.265,5,1,1,0,1,0,3,0,0,4,1,2
orf19.2650,1013,513,630,794,584,522,684,2414,742,799,694,1260
orf19.2650.1,2213,1508,1140,1928,1411,1819,1295,5980,1081,1404,1203,2468
orf19.2651,28509,16127,15823,17408,14321,16104,20596,62812,18336,14800,14158,25620
orf19.2652,27,10,8,15,10,9,13,43,6,6,11,21
orf19.2653,1175,678,696,849,495,686,920,3642,797,779,649,1317
orf19.2654,1372,1132,1417,2001,1445,1932,823,4346,1748,1708,1647,2701
orf19.2655,4831,1397,1799,1152,938,850,4609,9309,2000,1491,1176,1846
orf19.2657,835,471,436,587,439,488,411,1839,480,411,392,860
orf19.2660,1643,974,980,1013,814,827,999,3901,886,835,778,1428
orf19.2661,794,406,279,422,409,474,415,1399,236,409,393,847
orf19.2662,0,0,0,0,0,0,0,0,0,0,0,0
orf19.2663,1854,888,791,948,749,904,1466,4573,916,1070,973,1976
orf19.2664,5355,2660,2961,3506,2759,2855,4004,12759,3224,3855,3441,6225
orf19.2665,13518,4612,6123,7736,7103,5919,9090,25473,6782,10380,9175,15273
orf19.2667,6881,4387,4040,5861,4951,5879,3462,14364,4570,5005,5067,8531
orf19.2668,2059,1325,1083,1182,1066,1216,1644,5821,1515,1212,1233,2658
orf19.2669,2723,1520,1319,849,1079,921,2372,9070,1936,1349,1553,2702
orf19.267,3196,1669,1886,2894,2314,2466,2185,7077,2017,2636,2595,4127
orf19.2670,4432,1607,1327,1492,1227,1085,3184,8184,1579,1445,1192,2178
orf19.2671,3948,1922,2346,5035,3885,3826,3246,12105,2970,4545,4460,7106
orf19.2672,11300,5505,5271,6991,5822,6052,8102,24431,5642,6244,6097,10983
orf19.2673,1047,635,582,815,652,811,720,2477,709,628,638,1288
orf19.2674,206,79,74,127,153,126,171,588,157,133,142,269
orf19.2675,2012,1107,1087,1820,1400,1626,1405,4947,1219,1554,1557,2403
orf19.2676,1397,966,1014,1487,1066,1344,966,3716,1182,1300,1250,2199
orf19.2677,3135,1690,1622,2010,1548,1884,2338,7548,1807,1658,1598,3296
orf19.2678,4984,2562,2243,2352,1962,2175,3293,10932,2183,2063,2108,4183
orf19.268,1029,407,465,508,437,457,885,2076,493,606,481,1109
orf19.2680,3755,2053,1862,3410,2976,2854,3339,9788,1997,3003,3188,4880
orf19.2681,11,8,5,28,53,41,16,28,4,34,92,140
orf19.2682,3492,1808,1941,1677,1529,1552,2356,7515,1909,1691,1604,3088
orf19.2684,2550,1593,1840,1935,1748,1851,1464,6308,1722,1437,1346,2844
orf19.2685,4010,2352,2626,5471,4786,5748,3401,13206,3875,10005,9287,18726
orf19.2686,2200,1060,1061,1546,1271,1292,1816,5564,1245,1509,1701,2773
orf19.2687.1,4570,2846,2723,3490,3093,3685,2829,9710,3230,3172,3058,6169
orf19.2688,4313,3506,3484,5369,3879,5143,2585,13325,3808,4554,4830,7518
orf19.269,22634,12415,11561,16309,13657,15564,15943,51320,13073,14437,14325,26086
orf19.2690,5085,2003,2013,2668,2156,2267,3686,9623,2024,2725,2480,4224
orf19.2691,223,97,75,55,47,62,190,392,68,84,67,115
orf19.2693,403,213,204,115,113,95,363,889,270,108,119,211
orf19.2694,15076,8206,7880,12014,9578,11199,11077,34943,10107,11432,10843,20221
orf19.2695,6300,3065,2675,4465,3604,3550,4942,14963,3353,4692,4656,7356
orf19.2697,3837,2000,1703,2109,1652,1902,2838,9253,1648,1929,1968,3398
orf19.2698,1534,827,722,708,575,676,1238,3805,869,671,661,1249
orf19.2699,11168,5362,4946,9137,7410,7789,10612,27463,5667,8516,6950,14050
orf19.27,970,383,420,593,458,491,774,2010,440,596,523,908
orf19.270,1221,208,197,220,337,143,978,1913,217,323,317,402
