Tags.matched.to.6653.Candida.albicans.ORF19.genome.features...elements,C..albicans.only,C..albicans...S..gordonii,C..albicans...growth.medium..YPT.Glc.,C..albicans.only.1,C..albicans...S..gordonii.1,C..albicans...growth.medium..YPT.Glc..1,C..albicans.only.2,C..albicans...S..gordonii.2,C..albicans...growth.medium..YPT.Glc..2
ID_orf19_213_Name_orf19_213_Note_Ortholog_s__have_role_in_ubiquitin-dependent_protein_catabolic_process_and_nucleus_2C_proteasome_regulatory_particle_2C_lid_subcomplex_2C_proteasome_storage_granule_localization_orf_classification_Uncharacterized_Alias_RPN12_orf19_7845_IPF27114_1_IPF13198_1_Contig4-2967_0009_orf6_5160_CA3034_CaO19_213_CaO19_7845,1232,573,1833,799,179,1040,775,291,724
ID_orf19_2131_Name_orf19_2131_Note_Ortholog_s__have_ubiquitin-protein_ligase_activity_2C_role_in_protein_ubiquitination_2C_ubiquitin-dependent_protein_catabolic_process_via_the_multivesicular_body_sorting_pathway_and_Golgi_apparatus_2C_endoplasmic_reticulum_localization_orf_classification_Uncharacterized_Alias_orf19_9678_IPF25179_1_IPF12244_2_Contig4-2687_0002_orf6_5365_CA3180_CaO19_9678_CaO19_2131_IPF12244,1931,939,2535,2100,670,2231,1883,1096,1793
ID_orf19_2132_Name_orf19_2132_Note_Ortholog_of_C__parapsilosis_CDC317__A_CPAR2_213740_orf_classification_Uncharacterized_Alias_orf19_9679_IPF25191_1_IPF12241_1_Contig4-2687_0003_orf6_5366_CA3181_CaO19_9679_CaO19_2132_IPF12241,2034,717,1956,2187,563,2557,1993,1152,1951
ID_orf19_2133_Name_orf19_2133_Gene_LIP4_Note_Secreted_lipase_2C_member_of_a_differentially_expressed_lipase_gene_family_with_possible_roles_in_nutrition_and_2For_in_creating_an_acidic_microenvironment_B_expressed_more_strongly_during_mucosal_infections_than_during_systemic_infections_orf_classification_Verified_Alias_orf19_9680_IPF19830_2_IPF15657_2_Contig4-2687_0005_orf6_288_orf6_5367_CA3182_CaO19_2133,202,120,266,167,63,218,166,107,200
ID_orf19_2135_Name_orf19_2135_Gene_TSM1_Note_Putative_transcription_initiation_factor_TFIID_subunit_B_transcription_is_upregulated_in_clinical_isolates_from_HIV_2B_patients_with_oral_candidiasis_B_transcription_is_regulated_by_Nrg1p_orf_classification_Uncharacterized_Alias_orf19_9682_orf19_9683_IPF25185_1_IPF25176_1_IPF13636_2_IPF15656_2_orf6_287_orf6_5369_orf6_5370_CA3183_CA3184_orf19_2136_TSM1_3f,2500,967,2377,2215,801,2943,2557,1257,2394
ID_orf19_2137_Name_orf19_2137_Note_Ortholog_s__have_mitochondrion_localization_orf_classification_Uncharacterized_Alias_orf19_9684_IPF25186_1_IPF13637_2_Contig4-2481_0005_orf6_5371_CA3185_CaO19_9684_CaO19_2137_IPF13637,272,76,195,97,38,181,141,89,143
ID_orf19_2138_Name_orf19_2138_Gene_ILS1_Note_Putative_isoleucyl-tRNA_synthetase_2C_the_target_of_drugs_including_the_cyclic_beta-amino_acid_icofungipen_2FPLD-118_2FBAY-10-8888_and_mupirocin_B_protein_present_in_exponential_and_stationary_growth_phase_yeast_cultures_orf_classification_Uncharacterized_Alias_orf19_9685_IPF25214_1_IPF13644_2_Contig4-2481_0004_orf6_5372_CA3186_CaO19_2138_CaO19_9685,12111,3669,10972,9088,6191,16642,7897,7676,12052
ID_orf19_2143_Name_orf19_2143_Note_Ortholog_s__have_role_in_endocytic_recycling_and_cytosol_2C_endosome_2C_nucleus_localization_orf_classification_Uncharacterized_Alias_orf19_9690_IPF25218_1_IPF17094_2_Contig4-2481_0003_orf6_5377_CA3187_CaO19_9690_CaO19_2143_IPF17094,1024,418,945,1508,463,1496,1032,361,1353
ID_orf19_2146_Name_orf19_2146_Note_Ortholog_s__have_histone_acetyltransferase_activity_2C_histone_binding_activity_2C_role_in_chromatin_assembly_or_disassembly_2C_chromatin_silencing_at_telomere_2C_histone_acetylation_and_cytoplasm_2C_histone_acetyltransferase_complex_localization_orf_classification_Uncharacterized_Alias_HAT2_orf19_9693_IPF25187_1_IPF11610_2_Contig4-2303_0002_orf6_5380_CA3188_CaO19_2146_IPF11610,707,98,562,289,91,443,286,164,330
ID_orf19_2149_Name_orf19_2149_Note_Putative_sulfate_permease_B_S__cerevisiae_ortholog_YPR003C_localizes_to_the_endoplasmic_reticulum_B_regulated_by_Sef1p-_2C_Sfu1p-_2C_and_Hap43p_orf_classification_Uncharacterized_Alias_orf19_9696_IPF25180_1_IPF11607_2_Contig4-2303_0004_orf6_5383_CA3189_CaO19_9696_CaO19_2149_IPF11607,831,365,845,1049,377,1230,1173,599,1126
ID_orf19_215_Name_orf19_215_orf_classification_Uncharacterized_Alias_AVO2_orf19_7847_IPF27103_1_IPF13202_1_Contig4-2967_0007_orf6_5158_CA3033_CaO19_215_CaO19_7847_IPF13202,1229,510,1197,934,592,1504,1384,796,1458
ID_orf19_2150_Name_orf19_2150_Note_Ortholog_s__have_mitochondrion_localization_orf_classification_Uncharacterized_Alias_orf19_9697_IPF25190_1_IPF11603_2_Contig4-2063_0006_Contig4-2303_0006_orf6_5384_CA3190_CaO19_9697_CaO19_2150_IPF11603,1770,561,1395,1086,423,1479,863,548,1266
ID_orf19_2151_Name_orf19_2151_Gene_NAG6_Note_Protein_required_for_wild-type_mouse_virulence_and_wild-type_cycloheximide_resistance_B_putative_GTP-binding_motif_B_similar_to_S__cerevisiae_Yor165Wp_B_in_gene_cluster_that_encodes_enzymes_of_GlcNAc_catabolism_B_no_human_or_murine_homolog_orf_classification_Verified_Alias_SEY1_orf19_9698_IPF25181_1_IPF11601_2_Contig4-2063_0005_orf6_5385_CA3191_CaO19_2151_CaO19_9698_IPF11601,2269,1469,3028,2338,922,2232,2335,1575,2008
ID_orf19_2154_Name_orf19_2154_Gene_HXK1_Note_N-acetylglucosamine__GlcNAc__kinase_B_involved_in_GlcNAc_utilization_B_required_for_wild-type_hyphal_growth_and_mouse_virulence_B_gene_expression_is_GlcNAc-induced_B_induced_in_response_to_alpha_pheromone_in_SpiderM_medium_orf_classification_Verified_Alias_NAG5_orf19_9701_IPF2721_2_IPF11598_2_Contig4-2021_0003_Contig4-2063_0001_Contig4-2063_0004_orf6_2468_orf6_5388_CA3192_CaO19_2154_IPF11598,265,153,384,315,145,331,243,361,354
ID_orf19_2156_Name_orf19_2156_Gene_NAG1_Note_Glucosamine-6-phosphate_deaminase_B_enzyme_of_N-acetylglucosamine_utilization_B_required_for_wild-type_hyphal_growth_and_mouse_virulence_B_converts_glucosamine_6-P_to_fructose_6-P_B_reaction_is_reversible_in_vitro_B_gene_is_GlcNAc-induced_orf_classification_Verified_Alias_orf19_9703_IPF2719_1_IPF29192_1_Contig4-2021_0001_orf6_5390_orf6_2470_CA1130_CaO19_2156,163,68,135,102,36,147,113,76,123
ID_orf19_2157_Name_orf19_2157_Gene_DAC1_Note_N-acetylglucosamine-6-phosphate__GlcNAcP__deacetylase_B_enzyme_of_N-acetylglucosamine_utilization_B_required_for_wild-type_hyphal_growth_and_virulence_in_mouse_systemic_infection_B_gene_is_GlcNAc-induced_orf_classification_Verified_Alias_NAG2_orf19_9704_IPF20073_1_IPF20045_2_Contig4-2021_0002_orf6_2471_orf6_684_CA1131_CaO19_2157,202,156,365,257,106,460,386,197,290
ID_orf19_2158_Name_orf19_2158_Gene_NAG3_Note_Putative_transporter_of_the_major_facilitator_superfamily__MFS__B_similar_to_Nag4p_B_required_for_wild-type_mouse_virulence_and_cycloheximide_resistance_B_in_gene_cluster_that_includes_genes_encoding_enzymes_of_GlcNAc_catabolism_orf_classification_Verified_Alias_MDR97_TMP1_orf6_683_orf6_682_IPF2706_2_IPF2714_2_Contig4-2515_0003_orf6_2472_CA6268_CA1132_orf19_2159_IFY2_3f,154,59,135,286,63,331,188,81,236
ID_orf19_216_1_Name_orf19_216_1_Note_Ortholog_of_C__parapsilosis_CDC317__A_CPAR2_806510_orf_classification_Uncharacterized,860,327,571,298,62,393,251,92,279
ID_orf19_216_Name_orf19_216_Note_Predicted_ORF_in_Assemblies_19_2C_20_and_21_B_ketoconazole-induced_B_upregulation_correlates_with_clinical_development_of_fluconazole_resistance_orf_classification_Uncharacterized_Alias_orf19_7848_IPF12319_IPF13203_3_IPF12319_2_Contig4-2967_0004_orf6_5157_orf6_28_CA3032_CaO19_216,442,244,583,670,427,1165,1180,593,965
ID_orf19_2160_Name_orf19_2160_Gene_NAG4_Note_Putative_transporter_B_fungal-specific_B_similar_to_Nag3p_and_to_S__cerevisiae_Ypr156Cp_and_Ygr138Cp_B_required_for_wild-type_mouse_virulence_and_wild-type_cycloheximide_resistance_B_gene_cluster_encodes_enzymes_of_GlcNAc_catabolism_orf_classification_Verified_Alias_TMP2_GAN4_IFY1_orf19_9706_IPF2710_1_IPF2708_3_Contig4-2515_0002_orf6_2473_orf6_681_CA1133_CaO19_2160_IPF2710_repeat1,7,4,6,2,2,4,20,4,23
ID_orf19_2163_Name_orf19_2163_Note_Ortholog_s__have_cytosol_localization_orf_classification_Uncharacterized_Alias_orf19_9709_IPF25178_1_IPF2702_1_orf6_2476_CA1134_CaO19_2163_CaO19_9709_IPF2702,529,248,673,302,215,275,279,405,381
ID_orf19_2164_1_Name_orf19_2164_1_Gene_MFA1_Note_Mating_pheromone_2C_a-factor_B_produced_in_opaque_MTLa_cells_B_required_for_mating_competence_of_MTLa_cells_2C_but_not_MTLalpha_B_induced_by_alpha-factor_orf_classification_Verified,2,15,16,7,4,3,4,6,1
ID_orf19_2165_Name_orf19_2165_Note_Predicted_ORF_in_Assemblies_19_2C_20_and_21_B_induced_by_nitric_oxide_orf_classification_Uncharacterized_Alias_HWH3_orf19_9711_IPF16630_3_IPF25145_1_IPF29175_1_Contig4-2572_0003_orf6_754_orf6_1313_CA6233_CA6198_orf19_1125_CaO19_9711_CaO19_2165_IPF29175,228,823,249,222,556,281,154,824,203
ID_orf19_2166_Name_orf19_2166_Gene_VMA5_Note_Putative_vacuolar_H__2B_-ATPase_B_plasma_membrane_localized_orf_classification_Verified_Alias_orf19_9712_IPF13718_3_IPF29174_1_Contig4-2572_0004_orf6_1314_orf6_1803_CA0711_CaO19_2166_IPF13718_2,1171,429,1026,371,125,794,536,190,512
ID_orf19_2167_Name_orf19_2167_Note_Ortholog_s__have_role_in_ribosomal_large_subunit_biogenesis_2C_ribosomal_small_subunit_biogenesis_and_cytosolic_large_ribosomal_subunit_2C_nucleolus_localization_orf_classification_Uncharacterized_Alias_orf19_9713_IPF25129_1_IPF13717_1_Contig4-2572_0007_orf6_1804_CA0712_CaO19_9713_CaO19_2167_IPF13717,1133,513,1400,6131,1239,4481,2773,1010,4284
ID_orf19_2168_3_Name_orf19_2168_3_Note_Ortholog_s__have_role_in_cellular_protein_localization_2C_endoplasmic_reticulum_tubular_network_organization_2C_nuclear_pore_complex_assembly_2C_site_selection_involved_in_cell_cycle_cytokinesis_2C_vesicle-mediated_transport_orf_classification_Uncharacterized_Alias_IPF13710_3_IPF16182_1_Contig4-2572_0016_CA6199_IPF16182,1105,269,791,214,47,296,267,106,201
ID_orf19_2168_Name_orf19_2168_Note_Late-stage_biofilm-induced_gene_orf_classification_Uncharacterized_Alias_AES2_IFJ2_orf19_9714_IPF25127_1_IPF13715_1_Contig4-2572_0010_orf6_1805_CA0713_CaO19_9714_CaO19_2168,43,11,66,34,6,53,81,12,48
ID_orf19_2169_Name_orf19_2169_Note_Ortholog_of_C__parapsilosis_CDC317__A_CPAR2_805720_orf_classification_Uncharacterized_Alias_orf19_9715_IPF16181_3_IPF29176_1_orf6_1806_orf6_6094_CA6200_CaO19_2169_IPF29176,0,8,0,12,6,13,8,2,10
ID_orf19_217_Name_orf19_217_Note_Has_domain_s__with_predicted_DNA_binding_2C_zinc_ion_binding_activity_and_intracellular_localization_orf_classification_Uncharacterized_Alias_orf19_7849_IPF27112_1_IPF12324_2_Contig4-2967_0001_orf6_5156_CA3031_CaO19_217_CaO19_7849_IPF12324,12,86,87,73,38,73,91,72,95
ID_orf19_2170_Name_orf19_2170_Gene_PHM7_Note_Putative_transporter_B_fungal-specific__no_human_or_murine_homolog__B_Hog1p-downregulated_B_downregulated_in_response_to_17-beta-estradiol_2C_ethynyl_estradiol_B_Hap43p-induced_gene_orf_classification_Verified_Alias_orf19_9716_IPF25099_1_IPF10153_2_Contig4-3057_0029_orf6_6093_CA3747_CaO19_2170_IPF10153,10274,3583,7019,2865,1104,4808,3764,2147,3392
ID_orf19_2172_Name_orf19_2172_Gene_ARA1_Note_D-Arabinose_dehydrogenase_B_in_dehydro-D-arabinono-1_2C4-lactone_biosynthesis_B_NADP_2B_cofactor_B_active_toward_D-arabinose_2C_L-fucose_2C_L-xylose_2C_L-galactose_B_inhibited_by_metal_ions_2C_thiol_group-specific_reagents_B_induced_on_polystyrene_adherence_orf_classification_Verified_Alias_orf19_9718_IPF25141_1_IPF10148_2_Contig4-3057_0027_orf6_6091_CA3746_CaO19_9718_CaO19_2172,632,189,943,528,60,379,634,125,262
ID_orf19_2173_Name_orf19_2173_Gene_MAF1_Note_Putative_negative_regulator_of_RNA_polymerase_III_B_decreased_expression_in_hyphae_compared_to_yeast-form_cells_B_caspofungin_repressed_orf_classification_Uncharacterized_Alias_orf19_9719_IPF25133_1_IPF10146_2_Contig4-3057_0024_orf6_6090_CA3745,1177,257,895,283,131,594,426,318,546
ID_orf19_2174_Name_orf19_2174_Gene_RAD57_Note_Putative_DNA_recombination_and_repair_protein_B_transcriptionally_induced_by_interaction_with_macrophage_B_transcription_is_regulated_by_Nrg1p_2C_Mig1p_2C_and_Tup1p_B_essential_protein_B_S__cerevisiae_ortholog_is_essential_orf_classification_Uncharacterized_Alias_orf19_9720_IPF25120_1_IPF10144_2_Contig4-3057_0023_orf6_6089_CA3744_CaO19_9720_CaO19_2174,444,167,524,253,124,448,335,250,339
ID_orf19_2175_Name_orf19_2175_Note_Putative_mitochondrial_cell_death_effector_B_induced_by_nitric_oxide_orf_classification_Uncharacterized_Alias_CPD1_orf19_9721_IPF25135_1_IPF19998_1_Contig4-3057_0019_Contig4-3057_0021_Contig4-3057_0022_orf6_6088_CA3743_CaO19_9721_CaO19_2175_IPF19998,848,524,1075,332,206,611,412,475,788
ID_orf19_2176_Name_orf19_2176_Gene_IFM3_Note_Hap43p-repressed_gene_B_Plc1p-regulated_B_overlaps_orf19_2177_orf_classification_Uncharacterized_Alias_orf19_9722_IPF25139_1_IPF5511_1_Contig4-3057_0018_orf6_6087_CA3742_CaO19_2176_CaO19_9722,244,103,282,233,126,381,428,223,397
ID_orf19_2177_Name_orf19_2177_Note_Sef1p-_2C_Sfu1p-_2C_and_Hap43p-regulated_gene_B_overlaps_IFM3_2Forf19_2176_orf_classification_Uncharacterized_Alias_IPF25150_1_IPF5510_1_orf6_6086,173,59,242,103,79,291,247,120,231
ID_orf19_2178_1_Name_orf19_2178_1_Note_Ortholog_of_C__parapsilosis_CDC317__A_CPAR2_407590_orf_classification_Uncharacterized,102,59,124,59,15,65,81,24,50
ID_orf19_2178_Name_orf19_2178_Gene_MRS4_Note_Putative_membrane_transporter_localized_to_the_mitochondrial_membrane_B_regulated_by_Sef1p-_2C_Sfu1p-_2C_and_Hap43p_orf_classification_Verified_Alias_MRS3_orf19_9724_IPF25142_1_IPF5513_1_Contig4-3057_0017_orf6_6085_CA3741_CaO19_2178_CaO19_9724,807,239,650,588,159,981,650,203,704
ID_orf19_2179_2_Name_orf19_2179_2_Gene_RPS10_Note_Ribosomal_protein_S10_B_downregulated_in_the_presence_of_human_whole_blood_or_polymorphonuclear__PMN__cells_orf_classification_Verified_Alias_IPF25168_1_IPF5524_1_Contig4-3057_0011_Contig4-3057_0012_CA3739_RPS10_3,11649,3222,7193,6191,1525,9591,6070,2410,8069
ID_orf19_2179_Name_orf19_2179_Gene_SIT1_Note_Transporter_of_ferrichrome_siderophores_2C_not_ferrioxamine_B_B_required_for_wild-type_invasion_of_human_epithelial_cells_in_vitro_2C_but_not_for_wild-type_systemic_infection_in_mice_B_transcription_regulated_by_iron_2C_Sfu1p_2C_SRfg1p_2C_Tup1p_2C_Hap43p_orf_classification_Verified_Alias_ARN1_orf19_9725_orf6_6084_YHL040C_IPF25111_1_IPF5522_1_Contig4-3057_0013_CA3740_CaO19_2179_CaO19_9725,3546,299,1733,1769,229,1510,2051,303,1401
ID_orf19_218_Name_orf19_218_Gene_BUD20_Note_Protein_similar_to_S__cerevisiae_Bud20p_2C_which_affects_bud_site_selection_B_transposon_mutation_affects_filamentous_growth_orf_classification_Verified_Alias_orf19_7850_IPF27125_1_IPF18392_1_orf6_5155_CaO19_7850_CaO19_218,0,2,2,0,0,3,2,1,4
ID_orf19_2180_Name_orf19_2180_Note_Has_domain_s__with_predicted_calcium_ion_binding_activity_orf_classification_Uncharacterized_Alias_orf19_9726_IPF25136_1_IPF5526_1_Contig4-3057_0008_orf6_6083_CA3738_CaO19_9726_CaO19_2180_IPF5526,522,238,639,344,92,296,290,149,273
ID_orf19_2181_Name_orf19_2181_Note_ORF_Predicted_by_Annotation_Working_Group_B_overlaps_orf19_2180_orf_classification_Uncharacterized_Alias_IPF25147_1_IPF5525_1_orf6_6082_CaO19_2181_CaO19_9727,324,150,431,221,53,159,187,93,189
ID_orf19_2182_Name_orf19_2182_Gene_BLM3_Note_Protein_similar_to_S__cerevisiae_Blm10p_B_transcription_is_regulated_by_Nrg1p_and_Mig1p_orf_classification_Uncharacterized_Alias_orf19_9728_IPF25148_1_IPF5529_1_Contig4-3057_0004_Contig4-3057_0005_orf6_6081_CA3737_CaO19_2182_CaO19_9728,5491,2446,8885,5251,1488,5123,4803,2622,3910
ID_orf19_2183_Name_orf19_2183_Gene_KRE30_Note_YEF3-subfamily_ABC_family_protein_2C_predicted_not_to_be_a_transporter_B_downregulated_during_core_stress_response_B_mutation_confers_hypersensitivity_to_amphotericin_B_orf_classification_Verified_Alias_orf19_9729_IPF25112_1_IPF5533_2_Contig4-3057_0002_orf6_6080_CA3736_CaO19_2183_CaO19_9729_IPF5533,3898,1121,3733,6379,1842,8954,4438,1908,7267
ID_orf19_2184_Name_orf19_2184_Note_Predicted_ORF_in_Assemblies_19_2C_20_and_21_B_clade-associated_gene_expression_orf_classification_Uncharacterized_Alias_FAH2_orf19_9730_IPF12454_2_IPF5534_2_Contig4-2452_0008_orf6_3420_orf6_6079_CA3735_CaO19_2184_IPF5534_IPF5534_1,250,102,232,241,42,209,157,61,255
ID_orf19_2185_Name_orf19_2185_Gene_NSA1_Note_Putative_66S_pre-ribosomal_particles_conmponent_B_Hap43p-induced_gene_B_decreased_expression_in_response_to_prostaglandins_orf_classification_Uncharacterized_Alias_orf19_9731_IPF25132_1_IPF12457_2_Contig4-2452_0006_orf6_3421_CA1770_CaO19_2185_CaO19_9731_IPF12457,1107,364,1067,3038,575,2171,1494,479,2087
ID_orf19_2186_Name_orf19_2186_Note_Ortholog_s__have_Nup107-160_complex_2C_Seh1-associated_complex_2C_cytosol_2C_fungal-type_vacuole_membrane_2C_nuclear_membrane_localization_orf_classification_Uncharacterized_Alias_SEH1_orf19_9732_IPF25138_1_IPF12458_2_Contig4-2452_0004_orf6_3422_CA1771_CaO19_9732_CaO19_2186,860,345,689,578,296,728,608,375,673
ID_orf19_2187_Name_orf19_2187_Gene_ALG7_Note_Protein_involved_in_cell_wall_mannan_biosynthesis_B_mutation_confers_hypersensitivity_to_tunicamycin_B_transcription_is_elevated_in_chk1_2C_nik1_2C_and_sln1_homozygous_null_mutants_B_possibly_essential_gene_2C_disruptants_not_obtained_by_UAU1_method_orf_classification_Verified_Alias_orf19_9733_IPF25121_1_IPF12460_2_Contig4-2452_0003_orf6_3423_CA1772_CaO19_2187_CaO19_9733,437,203,485,253,71,427,264,93,273
ID_orf19_2190_Name_orf19_2190_Gene_VRP1_Note_Verprolin-related_protein_involved_in_actin_cytoskeleton_organization_and_polarized_morphogenesis_B_interacts_with_Wal1p_and_Myo5p_B_downregulated_upon_adherence_to_polystyrene_orf_classification_Verified_Alias_orf19_9736_IPF25107_1_IPF12461_2_orf6_3426_CA1773_CaO19_2190_CaO19_9736,118,36,218,130,26,136,95,41,118
ID_orf19_2191_1_Name_orf19_2191_1_Note_Ortholog_of_C__parapsilosis_CDC317__A_CPAR2_104195_orf_classification_Uncharacterized,319,50,97,188,60,364,218,79,280
ID_orf19_2191_Name_orf19_2191_Note_Ortholog_s__have_diphthine-ammonia_ligase_activity_2C_role_in_endocytic_recycling_2C_peptidyl-diphthamide_biosynthetic_process_from_peptidyl-histidine_and_cytosol_2C_endosome_2C_nucleus_localization_orf_classification_Uncharacterized_Alias_orf19_9737_IPF25137_1_IPF7498_2_Contig4-2075_0002_orf6_3427_CA1774_CaO19_9737_CaO19_2191_IPF7498,162,33,177,118,30,233,113,31,109
ID_orf19_2192_Name_orf19_2192_Gene_GDH2_Note_Putative_NAD-specific_glutamate_dehydrogenase_B_fungal-specific__no_human_or_murine_homolog__B_transcription_is_regulated_by_Nrg1p_2C_Mig1p_2C_Tup1p_2C_and_Gcn4p_B_stationary_phase_enriched_protein_B_biofilm-induced_orf_classification_Uncharacterized_Alias_orf19_9738_IPF19745_1_IPF29185_1_Contig4-2073_0005_Contig4-2073_0006_Contig4-2075_0005_orf6_3428_CA1775_CaO19_2192,30483,16879,35043,5760,5914,16037,14970,9377,9411
ID_orf19_2193_Name_orf19_2193_Gene_PRS5_Note_Putative_5-phospho-ribosyl-1_alpha_-pyrophosphate_synthetase_B_Hap43p-induced_gene_B_downregulated_during_core_stress_response_orf_classification_Uncharacterized_Alias_orf19_9739_IPF25123_1_IPF7507_2_Contig4-3058_0037_orf6_4348_CA2442_CaO19_9739_CaO19_2193,1301,529,1251,1293,399,1736,1292,400,1171
ID_orf19_2194_Name_orf19_2194_Note_Phosphorylated_protein_of_unknown_function_orf_classification_Uncharacterized_Alias_APM4_orf19_9740_IPF25124_1_IPF7509_2_Contig4-3058_0036_orf6_4347_CA2441_CaO19_2194_CaO19_9740,367,124,427,424,146,600,313,251,424
ID_orf19_2195_Name_orf19_2195_orf_classification_Uncharacterized_Alias_IPF25151_1_IPF7512_2_orf6_4346,120,49,97,160,71,131,90,104,117
ID_orf19_2196_Name_orf19_2196_Note_Ortholog_s__have_ubiquitin_binding_activity_and_cytoplasm_localization_orf_classification_Uncharacterized_Alias_CUE3_orf19_9742_IPF25128_1_IPF7513_2_Contig4-3058_0034_orf6_4345_CA2440_CaO19_2196_CaO19_9742_IPF7513,325,112,263,321,167,319,219,227,273
ID_orf19_2197_Name_orf19_2197_Note_Has_domain_s__with_predicted_N_2CN-dimethylaniline_monooxygenase_activity_2C_NADP_binding_2C_flavin_adenine_dinucleotide_binding_activity_and_role_in_oxidation-reduction_process_orf_classification_Uncharacterized_Alias_orf19_9743_IPF25119_1_IPF7514_2_Contig4-3058_0032_orf6_4344_CA2439_CaO19_2197_CaO19_9743_IPF7514,7,0,12,31,0,29,17,4,33
ID_orf19_2198_Name_orf19_2198_Gene_FLC3_Note_Protein_involved_in_heme_uptake_B_putative_FAD_transporter_2C_similar_to_S__cerevisiae_Flc3p_orf_classification_Uncharacterized_Alias_CFP3_orf19_9744_IPF25103_1_IPF5505_2_Contig4-3058_0030_orf6_4343_CA2438_CaO19_2198_CaO19_9744_IPF5505,803,342,696,668,159,927,629,260,531
ID_orf19_2199_Name_orf19_2199_Gene_PHO86_Note_Putative_endoplasmic_reticulum_protein_B_possibly_adherence-induced_orf_classification_Uncharacterized_Alias_orf19_9745_IPF25140_1_IPF5501_1_Contig4-3058_0025_orf6_4342_CA2437_CaO19_9745_CaO19_2199,1124,355,1101,1139,146,2043,1198,327,1020
ID_orf19_22_1_Name_orf19_22_1_Note_Pseudogene_B_added_to_Assembly_21_based_on_comparative_genome_analysis,0,0,0,0,2,0,6,4,7
ID_orf19_22_Name_orf19_22_Note_Protein_with_homology_to_peroxisomal_membrane_proteins_B_Sef1p-_2C_Sfu1p-_2C_and_Hap43p-regulated_gene_orf_classification_Uncharacterized_Alias_orf19_7693_orf6_5916_IPF18727_2_IPF3865_2_Contig4-3047_0009_orf6_2655_CA3605_CaO19_22_CaO19_7693_IPF3865,218,58,184,294,101,409,477,89,368
ID_orf19_220_Name_orf19_220_Gene_PIR1_Note_1_2C3-beta-glucan-linked_structural_cell_wall_protein_B_N-mannosylated_2C_O-glycosylated_by_Pmt1p_B_tandem_repeats_B_cell_wall_defect_in_heterozygous_mutant_B_hyphal_repressed_B_Hog1p_2C_fluconazole_2C_hypoxia_induced_B_iron_2C_Efg1p_2C_Plc1p_2C_temp_regulated_orf_classification_Verified_Alias_PIR2_orf19_7851_orf6_474_IPF15363_2_IPF19968_1_orf6_5153_CA3030_CaO19_220_IPF19968,2646,380,1539,1006,111,878,1378,298,605
ID_orf19_2200_Name_orf19_2200_Note_Has_domain_s__with_predicted_membrane_localization_orf_classification_Uncharacterized_Alias_orf19_9746_IPF25130_1_IPF5500_2_Contig4-3058_0024_orf6_4341_CA2436_CaO19_2200_CaO19_9746_IPF5500,1198,483,1384,2131,707,2693,1784,873,2140
ID_orf19_2201_Name_orf19_2201_Note_Ortholog_s__have_ribosome_binding_activity_2C_role_in_mitochondrial_respiratory_chain_complex_III_assembly_2C_positive_regulation_of_mitochondrial_translation_and_mitochondrial_ribosome_localization_orf_classification_Uncharacterized_Alias_CBP6_orf19_9747_IPF18593_2_IPF5499_1_Contig4-3058_0021_orf6_3582_orf6_4340_CA1889_CaO19_9747_CaO19_2201_IPF18593_1,264,124,240,315,57,408,291,121,357
ID_orf19_2202_Name_orf19_2202_Note_Predicted_ORF_in_Assemblies_19_2C_20_and_21_B_transcription_is_induced_in_response_to_alpha_pheromone_in_SpiderM_medium_orf_classification_Uncharacterized_Alias_orf19_9748_IPF18594_1_IPF5498_1_Contig4-3058_0019_orf6_3581_orf6_4339_CA1888_CaO19_2202_IPF18594,24,16,83,80,10,58,58,22,76
ID_orf19_2203_1_Name_orf19_2203_1_Note_ORF_added_to_Assembly_21_based_on_comparative_genome_analysis_B_overlaps_dubious_orf19_2203__orf_classification_Uncharacterized,47,15,53,5,3,18,19,10,16
ID_orf19_2203_Name_orf19_2203_orf_classification_Dubious_Alias_IPF29181_1_orf6_4338_CaO19_2203,27,8,33,7,2,14,16,6,8
ID_orf19_2204_2_Name_orf19_2204_2_Note_Ortholog_s__have_GTPase_activity_and_role_in_establishment_or_maintenance_of_actin_cytoskeleton_polarity_2C_regulation_of_alpha-glucan_biosynthetic_process_orf_classification_Uncharacterized_Alias_IPF25102_1_IPF5490_1_Contig4-3058_0013_CA1886_RHO2_3f,162,153,265,186,58,245,172,119,169
ID_orf19_2204_Name_orf19_2204_Note_Has_domain_s__with_predicted_membrane_localization_orf_classification_Uncharacterized_Alias_orf19_9749_IPF25125_1_IPF5496_1_Contig4-3058_0014_Contig4-3058_0015_Contig4-3058_0016_orf6_3580_CA1887_CaO19_2204_CaO19_9749_IPF5496,476,230,465,644,210,1256,1381,403,972
ID_orf19_2208_Name_orf19_2208_Note_Ortholog_s__have_role_in_response_to_salt_stress_and_cytoplasm_localization_orf_classification_Uncharacterized_Alias_orf19_9753_IPF25161_1_IPF5486_2_Contig4-3058_0008_Contig4-3058_0011_orf6_3576_CA1884_CaO19_9753_CaO19_2208_IPF5486,1516,624,1597,1961,546,1776,1245,923,1619
ID_orf19_2209_Name_orf19_2209_Gene_YVC1_Note_Protein_similar_to_S__cerevisiae_Yvc1p_B_transcription_is_repressed_in_response_to_alpha_pheromone_in_SpiderM_medium_orf_classification_Uncharacterized_Alias_orf19_9754_IPF25104_1_IPF5479_2_Contig4-3058_0005_orf6_3575_CA1883_CaO19_2209_CaO19_9754_IPF5479,4920,2343,4725,3916,1220,4355,3870,1895,3286
